ID	NAME	EC
CBM41	alpha-glucans/amylose/amylopectin/pullulan/oligosaccharide binding	
CBM42	arabinofuranose binding	
CBM43	beta-1,3-glucan binding	
CBM44	cellulose/xyloglucan binding	
CBM45	starch binding	
CBM46	cellulose binding	
CBM47	fucose binding	
CBM48	glycogene binding	
CBM49	cellulose binding	
CBM4	xylan/beta-1,3/1,3-1,4/1,6-glucan/amorphous cellulose binding	
CBM50	chitopentaose binding	
CBM51	galactose binding	
CBM52	beta-1,3-glucan binding	
CBM53	starch binding	
CBM54	xylan/yeast cell wall glucan/chitin binding	
CBM55	chitin binding	
CBM56	beta-1,3-glucan binding	
CBM57	glc(2)-N-glycan binding	
CBM58	maltoheptaose binding	
CBM59	mannan/xylan/cellulose binding	
CBM5	chitin binding	
CBM60	xylan binding	
CBM61	beta-1,4-galactan binding	
CBM62	galactose binding on xyloglucan/arabinogalactan/galactomannan.	
CBM63	cellulose binding	
CBM64	cellulose binding	
CBM65	board range beta-glucans/xyloglucan	
CBM66	fructans/fructoside binding	
CBM67	L-rhamnose binding	
CBM68	maltotriose/maltotetraose binding	
CBM69	starch binding	
CBM6	board range binding (cellulose/beta-1,3/1,3-1,4/1,4-glucan/beta-1,4-xylan)	
CBM70	hyaluronan binding	
CBM71	lactose/LacNAc binding	
CBM72	cellulose/beta-1,3/1,4-glucans/xylan/beta-mannan binding	
CBM73	chitin binding	
CBM74	starch binding	
CBM75	xyloglucan binding	
CBM76	board range beta-glycan binding (xyloglucan/glucomannan/galactomannan)	
CBM77	pectin binding	
CBM78	beta-1,4-glucans/xyloglucan binding	
CBM79	beta-glucan binding	
CBM7	deleted entry	
CBM80	board range beta-glycan binding (xyloglucan/glucomannan/galactomannan)	
CBM81	beta-1,4/1,3,-glucans/xyloglucan/avicel/cellooligosaccharide binding	
CBM82	starch binding	
CBM83	starch binding	
CBM84	xanthan binding	
CBM85	broad range binding (cellulose/glucuronoxylan/beta-1,3-1,4-glucan/glucomannan)	
CBM86	xylan binding	
CBM87	alpha-1,4-N-acetylgalactosamine binding	
CBM88	terminal galactose binding in galactoxyloglucan/galactomannan	
CBM89	xylan/arabinoxylan binding	
CBM8	cellulose binding	
CBM90	ulvan binding	
CBM91	xylan binding	
CBM92	carrageenan/beta-1,3/1,6-glucan binding	
CBM93	glycan binding	
CBM9	cellulose binding	
CE0	unclassified	
CE10	arylesterase	3.1.1.-
CE11	UDP-3-0-acyl N-acetylglucosamine deacetylase	3.5.1.108
CE12	pectin acetylesterase	3.1.1.-
CE13	pectin acetylesterase	3.1.1.-
CE14	N-acetyl-1-D-myo-inosityl-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase	3.5.1.89
CE15	4-O-methyl-glucuronoyl methylesterase	3.1.1.-
CE16	acetylesterase	3.1.1.6
CE17	acetylmannan esterase 	3.1.1.-
CE18	N-acetylgalactosamine deacetylase	3.5.1.-
CE19	pectin methylesterase	
CE1	acetyl xylan esterase	3.1.1.72
CE20	acetylestarerase	
CE2	acetyl xylan esterase	3.1.1.72
CE3	acetyl xylan esterase	3.1.1.72
CE4	acetyl xylan esterase	3.1.1.72
CE5	acetyl xylan esterase	3.1.1.72
CE6	acetyl xylan esterase	3.1.1.72
CE7	acetyl xylan esterase	3.1.1.72
CE8	pectin methylesterase	3.1.1.11
CE9	N-acetylglucosamine 6-phosphate deacetylase	3.5.1.25
GH0	unclassified	
GH100	alkaline and neutral invertase	3.2.1.26
GH101	endo-alpha-N-acetylgalactosaminidase	3.2.1.97
GH102	peptidoglycan lytic transglycosylase	3.2.1.-
GH103	peptidoglycan lytic transglycosylase	3.2.1.-
GH104	peptidoglycan lytic transglycosylase	3.2.1.-
GH105	unsaturated rhamnogalacturonyl hydrolase	3.2.1.172
GH106	alpha-L-rhamnosidase	3.2.1.40
GH107	endo-alpha-1,4-L-fucanase	3.2.1.212
GH108	N-acetylmuramidase	3.2.1.17
GH109	alpha-N-acetylgalactosaminidase	3.2.1.49
GH10	endo-1,4-beta-xylanase	3.2.1.8
GH110	alpha-galactosidase	3.2.1.22
GH111	keratan sulfate hydrolase (endo-beta-N-acetylglucosaminidase)	3.2.1.-
GH112	lacto-N-biose phosphorylase or galacto-N-biose phosphorylase	2.4.1.211
GH113	beta-mannanase	3.2.1.78
GH114	endo-alpha-1,4-polygalactosaminidase	3.2.1.109
GH115	xylan alpha-1,2-glucuronidase	3.2.1.131
GH116	beta-glucosidase	3.2.1.21
GH117	beta-D-galactofuranosidase	3.2.1.146
GH118	beta-agarase	3.2.1.81
GH119	alpha-amylase	3.2.1.1
GH11	endo-beta-1,4-xylanase	3.2.1.8
GH120	beta-xylosidase	3.2.1.37
GH121	beta-L-arabinobiosidase	3.2.1.-
GH122	alpha-glucosidase	3.2.1.20
GH123	beta-N-acetylgalactosaminidase	3.2.1.53
GH124	endoglucanase	3.2.1.4
GH125	exo-alpha-1,6-mannosidase	3.2.1.163
GH126	alpha-amylase	3.2.1.-
GH127	beta-L-arabinofuranosidase	3.2.1.185
GH128	beta-1,3-glucanase	3.2.1.39
GH129	alpha-N-acetylgalactosaminidase	3.2.1.49
GH12	endoglucanase	3.2.1.4
GH130	beta-1,4-mannosylglucose phosphorylase	2.4.1.281
GH131	endo-beta-1,4-glucanase	3.2.1.21
GH132	beta-1,3-glucanase 	3.2.1.-
GH133	amylo-alpha-1,6-glucosidase	3.2.1.33
GH134	endo-beta-1,4-mannanase	3.2.1.78
GH135	alpha-1,4-galactosaminogalactan hydrolase	3.2.1.-
GH136	lacto-N-biosidase	3.2.1.140
GH137	beta-L-arabinofuranosidase	3.2.1.185
GH138	rhamnogalacturonan alpha-1,2-galacturonohydrolase	3.2.1.173
GH139	alpha-2-O-Me-L-fucosidase	3.2.1.-
GH13	alpha-amylase	3.2.1.1
GH140	beta-1,2-apiosidase	3.2.1.-
GH141	alpha-L-fucosidase	3.2.1.51
GH142	beta-L-arabinofuranosidase	3.2.1.185
GH143	2-keto-3-deoxy-D-lyxo-heptulosaric acid hydrolase	3.2.1.-
GH144	endo-beta-1,2-glucanase	3.2.1.71
GH145	deleted family now family PL42	
GH146	beta-L-arabinofuranosidase	3.2.1.185
GH147	beta-galactosidase	3.2.1.23
GH148	beta-1,3-glucanase	3.2.1.-
GH149	beta-1,3-glucan phosphorylase	2.4.1.97
GH14	beta-amylase	3.2.1.2
GH150	Iota;-carrageenase	3.2.1.162
GH151	alpha-L-fucosidase	3.2.1.51
GH152	beta-1,3-glucanase	3.2.1.39
GH153	poly-beta-1,6-D-glucosamine hydrolase	3.2.1.-
GH154	Beta-glucuronidase; beta-1,6-D-glucuronidase	3.2.1.31
GH155	deleted family	
GH156	exo-alpha-sialidase	3.2.1.18
GH157	endo-beta-1,3-glucanase / laminarinase	3.2.1.39
GH158	endo-beta-1,3-glucanase	3.2.1.39
GH159	beta-D-galactofuranosidase	3.2.1.146
GH15	glucoamylase	3.2.1.3
GH160	endo-beta-1,4-galactosidase	3.2.1.-
GH161	beta-1,3-glucan phosphorylase	2.4.1.97
GH162	endo-beta-1,2-glucanase	3.2.1.71
GH163	endo-beta-N-acetylglucosaminidase 	3.2.1.-
GH164	beta-mannosidase	3.2.1.25
GH165	beta-galactosidase	3.2.1.23
GH166	alpha-1,4-galactosaminogalactan hydrolase	3.2.1.-
GH167	beta-carrageenase	3.2.1.-
GH168	endo-alpha-(1,3)-L-fucanase	3.2.1.211
GH169	beta-glucuronidase	3.2.1.31
GH16	xyloglucan:xyloglucosyltransferase	2.4.1.207
GH170	6-phospho-N-acetylmuramidase	3.2.1.-
GH171	peptidoglycan beta-N-acetylmuramidase	3.2.1.92
GH172	difructose-anhydride-I synthase (EC 4.2.1.179 (old 3.2.1.134)); alpha-D-Arabinofuranosidase	3.2.1.-
GH173	beta-galactosidase	3.2.1.23
GH17	glucan endo-1,3-beta-glucosidase	3.2.1.39
GH18	chitinase	3.2.1.14
GH19	chitinase	3.2.1.14
GH1	beta-glucosidase	3.2.1.21
GH20	beta-hexosaminidase	3.2.1.52
GH21	deleted family	
GH22	lysozyme type C	3.2.1.17
GH23	lysozyme type G	3.2.1.17
GH24	lysozyme	3.2.1.17
GH25	lysozyme	3.2.1.17
GH26	beta-mannanase	3.2.1.78
GH27	alpha-galactosidase	3.2.1.22
GH28	polygalacturonase	3.2.1.15
GH29	alpha-L-fucosidase	3.2.1.51
GH2	beta-galactosidase	3.2.1.23
GH30	endo-beta-1,4-xylanase	3.2.1.8
GH31	alpha-glucosidase	3.2.1.20
GH32	invertase	3.2.1.26
GH33	sialidase or neuraminidase	3.2.1.18
GH34	sialidase or neuraminidase	3.2.1.18
GH35	beta-galactosidase	3.2.1.23
GH36	alpha-galactosidase	3.2.1.22
GH37	alpha,alpha-trehalase	3.2.1.28
GH38	alpha-mannosidase	3.2.1.24
GH39	alpha-L-iduronidase	3.2.1.76
GH3	beta-glucosidase	3.2.1.21
GH40	deleted family	
GH41	deleted family	
GH42	beta-galactosidase	3.2.1.23
GH43	beta-xylosidase	3.2.1.37
GH44	endoglucanase	3.2.1.4
GH45	endoglucanase	3.2.1.4
GH46	chitosanase	3.2.1.132
GH47	alpha-mannosidase	3.2.1.113
GH48	reducing end-acting cellobiohydrolase	3.2.1.176
GH49	dextranase	3.2.1.11
GH4	maltose-6-phosphate glucosidase	3.2.1.122
GH50	beta-agarase	3.2.1.81
GH51	endoglucanase	3.2.1.4
GH52	beta-xylosidase	3.2.1.37
GH53	endo-beta-1,4-galactanase	3.2.1.89
GH54	alpha-L-arabinofuranosidase	3.2.1.55
GH55	exo-beta-1,3-glucanase	3.2.1.58
GH56	hyaluronidase	3.2.1.35
GH57	alpha-amylase	3.2.1.1
GH58	endo-N-acetylneuraminidase or endo-sialidase	3.2.1.129
GH59	beta-galactosidase	3.2.1.23
GH5	endo-beta-1,4-glucanase / cellulase	3.2.1.4
GH60	deleted family	
GH61	now AA9	
GH62	alpha-L-arabinofuranosidase	3.2.1.55
GH63	processing alpha-glucosidase	3.2.1.106
GH64	beta-1,3-glucanase	3.2.1.39
GH65	alpha,alpha-trehalase	3.2.1.28
GH66	cycloisomaltooligosaccharide glucanotransferase	2.4.1.248
GH67	alpha-glucuronidase	3.2.1.139
GH68	levansucrase	2.4.1.10
GH69	deleted family, now PL16	
GH6	endoglucanase	3.2.1.4
GH70	dextransucrase	2.4.1.5
GH71	alpha-1,3-glucanase	3.2.1.59
GH72	beta-1,3-glucanosyltransglycosylase	2.4.1.-
GH73	lysozyme	3.2.1.17
GH74	endoglucanase	3.2.1.4
GH75	chitosanase	3.2.1.132
GH76	alpha-1,6-mannanase	3.2.1.101
GH77	amylomaltase or 4-alpha-glucanotransferase	2.4.1.25
GH78	alpha-L-rhamnosidase	3.2.1.40
GH79	beta-glucuronidase	3.2.1.31
GH7	endo-beta-1,4-glucanase	3.2.1.4
GH80	chitosanase	3.2.1.132
GH81	endo-beta-1,3-glucanase	3.2.1.39
GH82	Iota;-carrageenase	3.2.1.157
GH83	neuraminidase	3.2.1.18
GH84	N-acetyl beta-glucosaminidase	3.2.1.52
GH85	endo-beta-N-acetylglucosaminidase	3.2.1.96
GH86	beta-agarase	3.2.1.81
GH87	mycodextranase	3.2.1.61
GH88	d-4,5-unsaturated beta-glucuronyl hydrolase	3.2.1.-
GH89	alpha-N-acetylglucosaminidase	3.2.1.50
GH8	chitosanase	3.2.1.132
GH90	endorhamnosidase	3.2.1.-
GH91	inulin lyase [DFA-I-forming]	4.2.2.17
GH92	mannosyl-oligosaccharide alpha-1,2-mannosidase	3.2.1.113
GH93	exo-alpha-L-1,5-arabinanase	3.2.1.-
GH94	cellobiose phosphorylase	2.4.1.20
GH95	alpha-L-fucosidase	3.2.1.51
GH96	alpha-agarase	3.2.1.158
GH97	glucoamylase	3.2.1.3
GH98	blood-group endo-beta-1,4-galactosidase	3.2.1.102
GH99	glycoprotein endo-alpha-1,2-mannosidase	3.2.1.130
GH9	endoglucanase	3.2.1.4
GT0	unclassifed	
GT100	alpha-sialyltransferase	2.4.99.-
GT101	beta-glucosyltransferase	2.4.1.-
GT102	O-antigen-polysaccharide alpha-1,3-L-rhamnosyltransferase	2.4.1.289
GT103	O-antigen-polysaccharide beta-1,4-N-acetylglucosaminyltransferase	2.4.1.56
GT104	arginine alpha-L-rhamnosyltransferase	2.4.1.-
GT105	Dol-P-beta-D-Man: protein alpha-D-mannosyltransferase	2.4.1.109
GT106	UDP-beta-L-rhamnose:rhamnogalacturonan I 4-alpha-rhamnosyltransferase	2.4.1.351
GT107	CMP-beta-KDO: beta-2,4-KDO transferase	2.4.99.-
GT108	GDP-alpha-D-Manp: beta-1,2-D-mannosyltransferase	2.4.1.374
GT109	UDP-GalNAc: beta-1,4-N-acetylgalactosaminyltransferase	2.4.1.-
GT10	galactoside alpha-1,3/1,4-L-fucosyltransferase	2.4.1.65
GT110	UDP-D-xylose:ribitol-5-phosphate beta-1,4-xylosyltransferase	2.4.2.-
GT111	UDP-Galf: beta-1,3-galactofuranosyltransferase	2.4.1.-
GT112	ADP-glyceromannoheptose: glycoprotein O-heptosyltransferase	2.4.99.-
GT113	glucosyltransferase/hexosyltransferase	2.4.1.-
GT114	beta-xylosyltransferase	2.4.1.-
GT115	UDP-GlcNAc: Dol-PP-GlcNAc beta-GlcNAc-transferase	2.4.1.-
GT11	GDP-L-Fuc: galactoside alpha-1,2-L-fucosyltransferase	2.4.1.69
GT12	[N-acetylneuraminyl]-galactosylglucosylceramide N-acetylgalactosaminyltransferase	2.4.1.92
GT13	alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	2.4.1.101
GT14	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase	2.4.1.102
GT15	glycolipid 2-alpha-mannosyltransferase	2.4.1.131
GT16	alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	2.4.1.143
GT17	beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	2.4.1.144
GT18	alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	2.4.1.155
GT19	lipid-A-disaccharide synthase	2.4.1.182
GT1	UDP-glucuronosyltransferase	2.4.1.17
GT20	alpha,alpha-trehalose-phosphate synthase [UDP-forming]	2.4.1.15
GT21	UDP-Glc: ceramide beta-glucosyltransferase	2.4.1.80
GT22	Dol-P-Man: Man6GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase	2.4.1.259
GT23	N-acetyl-beta-D-glucosaminide alpha-1,6-L-fucosyltransferase	2.4.1.68
GT24	UDP-Glc: glycoprotein alpha-glucosyltransferase	2.4.1.-
GT25	lipopolysaccharide beta-1,4-galactosyltransferase	2.4.1.-
GT26	UDP-ManNAcA: beta-N-acetyl mannosaminuronyltransferase	2.4.1.-
GT27	polypeptide alpha-N-acetylgalactosaminyltransferase	2.4.1.41
GT28	1,2-diacylglycerol 3-beta-galactosyltransferase	2.4.1.46
GT29	sialyltransferase	2.4.99.-
GT2	cellulose synthase	2.4.1.12
GT30	CMP-beta-KDO: alpha-3-deoxy-D-manno-octulosonic-acid (KDO) transferase	2.4.99.-
GT31	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase	2.4.1.149
GT32	alpha-1,6-mannosyltransferase	2.4.1.-
GT33	GDP-Man: chitobiosyldiphosphodolichol beta-mannosyltransferase	2.4.1.142
GT34	UDP-Gal: galactomannan alpha-1,6-galactosyltransferase	2.4.1.-
GT35	glycogen or starch phosphorylase	2.4.1.1
GT36	deleted family, now GH94	
GT37	galactoside 2-L-fucosyltransferase	2.4.1.69
GT38	polysialyltransferase	2.4.-.-
GT39	Dol-P-Man: protein alpha-mannosyltransferase	2.4.1.109
GT3	glycogen synthase	2.4.1.11
GT40	beta-1,3-galactofuranosyltransferases	2.4.1.-
GT41	UDP-GlcNAc: peptide beta-N-acetylglucosaminyltransferase	2.4.1.255
GT42	CMP-NeuAc alpha-2,3-sialyltransferase	2.4.99.-
GT43	beta-glucuronyltransferase	2.4.1.135
GT44	UDP-Glc: alpha-glucosyltransferase	2.4.1.-
GT45	alpha-N-acteylglucosaminyltransferase	2.4.1.-
GT46	deleted family	
GT47	heparan beta-glucuronyltransferase	2.4.1.225
GT48	1,3-beta-glucan synthase	2.4.1.34
GT49	beta-1,3-N-acetylglucosaminyltransferase	2.4.1.-
GT4	sucrose synthase	2.4.1.13
GT50	Dol-P-Man alpha-1,4-mannosyltransferase	2.4.1.-
GT51	murein polymerase	2.4.1.129
GT52	alpha-2,3-sialyltransferase	2.4.99.4
GT53	UDP-L-Ara: alpha-L-arabinosyltransferase	2.4.2.-
GT54	UDP-GlcNAc: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase	2.4.1.145
GT55	GDP-Man: mannosyl-3-phosphoglycerate synthase	2.4.1.217
GT56	TDP-Fuc4NAc: lipid II Fuc4NAc transferase	2.4.1.-
GT57	Dol-P-Glc: alpha-1,3-glucosyltransferase	2.4.1.-
GT58	Dol-P-Man: Man5GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase	2.4.1.258
GT59	Dol-P-Glc: Glc2Man9GlcNAc2-PP-Dol alpha-1,2-glucosyltransferase	2.4.1.256
GT5	UDP-Glc: glycogen glucosyltransferase	2.4.1.11
GT60	UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase	2.4.1.-
GT61	beta-1,2-xylosyltransferase	2.4.2.38
GT62	alpha-1,2-mannosyltransferase	2.4.1.-
GT63	UDP-Glc: DNA beta-glucosyltransferase	2.4.1.27
GT64	UDP-GlcNAc: heparan alpha-N-acetylhexosaminyltransferase	2.4.1.224
GT65	GDP-Fuc: protein O-alpha-fucosyltransferase	2.4.1.-
GT66	dolichyl-diphosphooligosaccharideâ€”protein glycotransferase	2.4.99.18
GT67	UDP-Gal: phosphoglycan beta-1,3-galactosyltransferase 1 (SCG1)	2.4.1.-
GT68	GDP-Fuc: protein O-alpha-fucosyltransferase	2.4.1.-
GT69	GDP-Man: alpha-1,3-mannosyltransferase	2.4.1.-
GT6	alpha-1,3-galactosyltransferase	2.4.1.87
GT70	UDP-GlcA: beta-glucuronosyltransferase	2.4.1.17
GT71	alpha-mannosyltransferase	2.4.1.-
GT72	UDP-Glc: DNA alpha-glucosyltransferase	2.4.1.26
GT73	CMP-beta-KDO: alpha-3-deoxy-D-manno-octulosonic-acid (KDO) transferase	2.4.99.-
GT74	alpha-1,2-L-fucosyltransferase	2.4.1.69
GT75	UDP-Glc: self-glucosylating beta-glucosyltransferase	2.4.1.-
GT76	Dol-P-Man: alpha-1,6-mannosyltransferase	2.4.1.-
GT77	alpha-xylosyltransferase	2.4.2.39
GT78	GDP-Man: alpha-mannosyltransferase (mannosylglycerate synthase)	2.4.1.-
GT79	GDP-D-Ara: phosphoglycan alpha-1,2-D-arabinopyranosyltransferase 1	2.4.2.-
GT7	lactose synthase	2.4.1.22
GT80	beta-galactoside alpha-2,6-sialyltransferase	2.4.99.1
GT81	NDP-Glc: glucosyl-3-phosphoglycerate synthase	2.4.1.266
GT82	UDP-GalNAc: beta-1,4-N-acetylgalactosaminyltransferase	2.4.1.-
GT83	undecaprenyl phosphate-alpha-L-Ara4N: 4-amino-4-deoxy-beta-L-arabinosyltransferase	2.4.2.43
GT84	cyclic beta-1,2-glucan synthase	2.4.1.-
GT85	beta-D-arabinofuranosyl monophosphoryldecaprenol: galactan alpha-D-arabinofuranosyltransferase	2.4.2.-
GT86	deleted family	
GT87	polyprenol-P-Man: alpha-1,2-mannosyltransferase	2.4.1.-
GT88	UDP-Glc: alpha-glucosyltransferase	2.4.1.-
GT89	beta-D-arabinofuranosyl-1-monophosphoryldecaprenol : arabinan beta-1,2-arabinofuranosyltransferase	2.4.2.-
GT8	lipopolysaccharide alpha-1,3-galactosyltransferase	2.4.1.44
GT90	UDP-Xyl: (mannosyl) glucuronoxylomannan/galactoxylomannan beta-1,2-xylosyltransferase	2.4.2.-
GT91	beta-1,2-mannosyltransferase	2.4.1.-
GT92	UDP-Gal: N-glycan core alpha-1,6-fucoside beta-1,4-galactosyltransferase	2.4.1.-
GT93	UDP-GluA : alpha-glucuronyltransferase	2.4.1.-
GT94	GlcA-beta-1,2-Man-alpha-1,3-Glc-beta-1,4-Glc-alpha-1-PP-undecaprenol beta-1,4-mannosyltransferase	
GT95	UDP-beta-L-Araf:hydroxyproline beta-L-arabinofuranosyltransferase	2.4.2.-
GT96	UDP-Gal: peptidyl serine alpha-galactosyltransferase	2.4.1.-
GT97	CMP-Neu5Ac:alpha-galactoside alpha-2,6-sialyltransferase	2.4.99.-
GT98	Dol-P-Man : protein [tryptophan] alpha-C-mannosyltransferase	2.4.1.-
GT99	CMP-beta-KDO 3-deoxy-beta-D-manno-oct-2-ulosonic acid transferase	2.4.99.-
GT9	lipopolysaccharide N-acetylglucosaminyltransferase	2.4.1.56
PL0	unclassifed	
PL10	pectate lyase	4.2.2.2
PL11	rhamnogalacturonan endolyase	4.2.2.23
PL12	heparin-sulfate lyase	4.2.2.8
PL13	heparin lyase	4.2.2.7
PL14	poly(beta-mannuronate) lyase / M-specific alginate lyase	4.2.2.3
PL15	alginate lyase	4.2.2.3
PL16	hyaluronan lyase	4.2.2.1
PL17	alginate lyase	4.2.2.3
PL18	alginate lyase	4.2.2.3
PL19	deleted family, now GH91	
PL1	pectate lyase	4.2.2.2
PL20	endo-beta-1,4-glucuronan lyase	4.2.2.14
PL21	heparin lyase	4.2.2.7
PL22	oligogalacturonate lyase / oligogalacturonide lyase	4.2.2.6
PL23	chondroitin lyase	4.2.2.-
PL24	ulvan lyase	4.2.2.-
PL25	ulvan lyase	4.2.2.-
PL26	rhamnogalacturonan exolyase	4.2.2.24
PL27	L-rhamnose-alpha-1,4-D-glucuronate lyase	4.2.2.-
PL28	ulvan lyase	4.2.2.-
PL29	chondroitin-sulfate ABC endolyase	4.2.2.20
PL2	pectate lyase	4.2.2.2
PL30	hyaluronate lyase	4.2.2.1
PL31	endo-beta-1,4-glucuronan lyase	4.2.2.14
PL32	poly(beta-mannuronate) lyase / M-specific alginate lyase	4.2.2.3
PL33	hyaluronate lyase	4.2.2.1
PL34	alginate lyase	4.2.2.-
PL35	chondroitin lyase / chondroitinase	4.2.2.-
PL36	poly(beta-mannuronate) lyase / M-specific alginate lyase	4.2.2.3
PL37	chondroitin-sulfate ABC endolyase	4.2.2.20
PL38	endo-beta-1,4-glucuronan lyase	4.2.2.14
PL39	alginate lyase	4.2.2.-
PL3	pectate lyase	4.2.2.2
PL40	ulvan lyase	4.2.2.-
PL41	alginate lyase	4.2.2.3
PL42	L-rhamnose-alpha-1,4-D-glucuronate lyase	4.2.2.-
PL4	rhamnogalacturonan endolyase	4.2.2.23
PL5	alginate lyase	4.2.2.3
PL6	alginate lyase	4.2.2.3
PL7	poly(beta-mannuronate) lyase / M-specific alginate lyase	4.2.2.3
PL8	hyaluronate lyase	4.2.2.1
PL9	pectate lyase	4.2.2.2
