Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	DRAM-KO_count	Metacerberus-ORF_count	Metacerberus-Annotated	Metacerberus-Hypothetical	Metacerberus-Unknown	Metacerberus-KO_count
QGNH01000107.1	72.0	8.0	0.0	64.0	2.0	70.0	10.0	57.0	3.0	6.0
QGNH01000108.1	59.0	8.0	5.0	46.0	2.0	63.0	11.0	46.0	6.0	7.0
QGNH01000109.1	74.0	14.0	9.0	51.0	6.0	76.0	21.0	47.0	8.0	16.0
QGNH01000110.1	82.0	9.0	3.0	70.0	2.0	81.0	14.0	60.0	7.0	5.0
QGNH01000111.1	81.0	5.0	3.0	73.0	2.0	90.0	8.0	74.0	8.0	5.0
QGNH01000112.1	80.0	17.0	1.0	62.0	2.0	83.0	18.0	51.0	14.0	10.0
QGNH01000113.1	67.0	9.0	5.0	53.0	2.0	63.0	18.0	38.0	7.0	11.0
QGNH01000114.1	73.0	7.0	0.0	66.0	2.0	76.0	10.0	59.0	7.0	4.0
QGNH01000115.1	52.0	10.0	4.0	38.0	3.0	59.0	11.0	39.0	9.0	8.0
QGNH01000116.1	54.0	9.0	3.0	42.0	3.0	60.0	9.0	47.0	4.0	5.0
QGNH01000117.1	77.0	4.0	2.0	71.0	1.0	75.0	5.0	64.0	6.0	3.0
QGNH01000118.1	69.0	7.0	3.0	59.0	1.0	66.0	10.0	52.0	4.0	3.0
QGNH01000119.1	64.0	13.0	2.0	49.0	9.0	73.0	13.0	45.0	15.0	12.0
QGNH01000120.1	66.0	12.0	10.0	44.0	4.0	75.0	19.0	52.0	4.0	11.0
QGNH01000121.1	54.0	10.0	1.0	43.0	1.0	56.0	10.0	38.0	8.0	6.0
QGNH01000122.1	59.0	12.0	2.0	45.0	3.0	57.0	13.0	38.0	6.0	8.0
QGNH01000123.1	54.0	7.0	6.0	41.0	3.0	54.0	11.0	37.0	6.0	6.0
QGNH01000124.1	63.0	11.0	0.0	52.0	4.0	70.0	8.0	50.0	12.0	6.0
QGNH01000125.1	56.0	8.0	4.0	44.0	2.0	54.0	13.0	32.0	9.0	6.0
QGNH01000126.1	68.0	10.0	0.0	58.0	2.0	64.0	7.0	47.0	10.0	2.0
QGNH01000127.1	58.0	14.0	2.0	42.0	7.0	63.0	14.0	42.0	7.0	6.0
QGNH01000128.1	43.0	7.0	7.0	29.0	1.0	43.0	12.0	24.0	7.0	9.0
QGNH01000129.1	52.0	10.0	4.0	38.0	2.0	60.0	14.0	39.0	7.0	5.0
QGNH01000130.1	52.0	9.0	2.0	41.0	2.0	58.0	15.0	39.0	4.0	5.0
QGNH01000131.1	67.0	7.0	1.0	59.0	1.0	72.0	9.0	55.0	8.0	3.0
QGNH01000132.1	57.0	10.0	2.0	45.0	5.0	59.0	12.0	34.0	13.0	8.0
QGNH01000133.1	47.0	11.0	14.0	22.0	3.0	52.0	21.0	25.0	6.0	6.0
QGNH01000134.1	56.0	8.0	10.0	38.0	0.0	55.0	18.0	32.0	5.0	5.0
QGNH01000135.1	52.0	11.0	3.0	38.0	2.0	51.0	12.0	32.0	7.0	9.0
QGNH01000136.1	57.0	11.0	1.0	45.0	4.0	60.0	11.0	46.0	3.0	4.0
QGNH01000137.1	56.0	21.0	6.0	29.0	4.0	57.0	28.0	25.0	4.0	9.0
QGNH01000138.1	52.0	9.0	2.0	41.0	4.0	48.0	8.0	35.0	5.0	5.0
QGNH01000139.1	56.0	10.0	3.0	43.0	3.0	61.0	12.0	43.0	6.0	5.0
QGNH01000140.1	52.0	7.0	1.0	44.0	0.0	51.0	12.0	33.0	6.0	2.0
QGNH01000141.1	50.0	12.0	1.0	37.0	1.0	48.0	15.0	28.0	5.0	3.0
QGNH01000142.1	46.0	46.0	0.0	0.0	0.0	43.0	5.0	34.0	4.0	2.0
QGNH01000143.1	56.0	10.0	5.0	41.0	2.0	54.0	20.0	24.0	10.0	6.0
QGNH01000144.1	51.0	8.0	1.0	42.0	1.0	51.0	8.0	38.0	5.0	4.0
QGNH01000145.1	61.0	10.0	1.0	50.0	2.0	54.0	7.0	38.0	9.0	4.0
QGNH01000146.1	57.0	11.0	1.0	45.0	5.0	57.0	16.0	37.0	4.0	9.0
QGNH01000147.1	65.0	11.0	7.0	47.0	5.0	62.0	14.0	39.0	9.0	8.0
QGNH01000148.1	53.0	13.0	2.0	38.0	4.0	56.0	11.0	34.0	11.0	4.0
QGNH01000149.1	52.0	8.0	1.0	43.0	2.0	50.0	9.0	34.0	7.0	4.0
QGNH01000150.1	49.0	12.0	11.0	26.0	2.0	51.0	15.0	26.0	10.0	3.0
QGNH01000151.1	57.0	14.0	3.0	40.0	1.0	59.0	11.0	39.0	9.0	4.0
QGNH01000152.1	68.0	6.0	3.0	59.0	2.0	79.0	8.0	59.0	12.0	4.0
QGNH01000153.1	39.0	5.0	2.0	32.0	0.0	42.0	6.0	32.0	4.0	1.0
QGNH01000154.1	51.0	6.0	1.0	44.0	2.0	48.0	7.0	33.0	8.0	3.0
QGNH01000155.1	42.0	15.0	2.0	25.0	3.0	50.0	16.0	27.0	7.0	6.0
QGNH01000156.1	50.0	14.0	8.0	28.0	4.0	59.0	20.0	33.0	6.0	5.0
QGNH01000157.1	52.0	23.0	1.0	28.0	4.0	55.0	22.0	25.0	8.0	5.0
QGNH01000158.1	41.0	8.0	3.0	30.0	2.0	43.0	7.0	28.0	8.0	3.0
QGNH01000159.1	51.0	7.0	4.0	40.0	1.0	52.0	6.0	41.0	5.0	2.0
QGNH01000160.1	41.0	16.0	1.0	24.0	4.0	40.0	19.0	14.0	7.0	7.0
QGNH01000161.1	33.0	5.0	8.0	20.0	1.0	39.0	9.0	27.0	3.0	5.0
QGNH01000162.1	46.0	8.0	1.0	37.0	1.0	49.0	10.0	31.0	8.0	3.0
QGNH01000163.1	38.0	7.0	1.0	30.0	2.0	39.0	7.0	25.0	7.0	2.0
QGNH01000164.1	28.0	3.0	3.0	22.0	0.0	28.0	2.0	23.0	3.0	0.0
QGNH01000165.1	33.0	33.0	0.0	0.0	0.0	43.0	7.0	27.0	9.0	2.0
QGNH01000166.1	34.0	32.0	2.0	0.0	0.0	39.0	11.0	18.0	10.0	5.0
QGNH01000167.1	39.0	9.0	2.0	28.0	1.0	46.0	6.0	36.0	4.0	2.0
QGNH01000168.1	46.0	5.0	2.0	39.0	2.0	43.0	7.0	29.0	7.0	4.0
QGNH01000169.1	43.0	19.0	1.0	23.0	1.0	42.0	21.0	17.0	4.0	3.0
QGNH01000170.1	37.0	32.0	5.0	0.0	0.0	36.0	12.0	19.0	5.0	1.0
QGNH01000171.1	43.0	38.0	5.0	0.0	0.0	54.0	7.0	43.0	4.0	4.0
QGNH01000172.1	41.0	6.0	9.0	26.0	2.0	44.0	11.0	31.0	2.0	3.0
QGNH01000173.1	38.0	10.0	3.0	25.0	3.0	38.0	11.0	24.0	3.0	5.0
QGNH01000174.1	60.0	6.0	1.0	53.0	3.0	69.0	7.0	53.0	9.0	4.0
QGNH01000175.1	42.0	5.0	0.0	37.0	2.0	41.0	10.0	26.0	5.0	6.0
QGNH01000176.1	50.0	6.0	3.0	41.0	1.0	50.0	9.0	35.0	6.0	2.0
QGNH01000177.1	45.0	20.0	4.0	21.0	3.0	43.0	18.0	13.0	12.0	7.0
QGNH01000178.1	37.0	7.0	2.0	28.0	2.0	41.0	7.0	30.0	4.0	6.0
QGNH01000179.1	43.0	9.0	2.0	32.0	2.0	44.0	7.0	31.0	6.0	4.0
QGNH01000180.1	31.0	7.0	0.0	24.0	3.0	48.0	8.0	36.0	4.0	5.0
QGNH01000181.1	45.0	7.0	3.0	35.0	1.0	49.0	5.0	38.0	6.0	2.0
QGNH01000182.1	30.0	10.0	4.0	16.0	1.0	34.0	12.0	20.0	2.0	2.0
QGNH01000183.1	33.0	5.0	1.0	27.0	3.0	36.0	6.0	27.0	3.0	3.0
QGNH01000184.1	38.0	5.0	2.0	31.0	1.0	41.0	6.0	28.0	7.0	2.0
QGNH01000185.1	28.0	7.0	1.0	20.0	1.0	31.0	6.0	22.0	3.0	3.0
QGNH01000186.1	28.0	27.0	1.0	0.0	0.0	32.0	2.0	27.0	3.0	1.0
QGNH01000187.1	28.0	28.0	0.0	0.0	0.0	27.0	7.0	20.0	0.0	1.0
QGNH01000188.1	39.0	4.0	2.0	33.0	0.0	46.0	6.0	33.0	7.0	3.0
QGNH01000189.1	32.0	7.0	3.0	22.0	1.0	34.0	8.0	22.0	4.0	2.0
QGNH01000190.1	39.0	10.0	6.0	23.0	3.0	40.0	12.0	20.0	8.0	6.0
QGNH01000191.1	47.0	15.0	4.0	28.0	3.0	49.0	14.0	29.0	6.0	8.0
QGNH01000192.1	33.0	13.0	2.0	18.0	2.0	38.0	15.0	17.0	6.0	2.0
QGNH01000193.1	41.0	8.0	0.0	33.0	2.0	44.0	7.0	34.0	3.0	4.0
QGNH01000194.1	26.0	5.0	1.0	20.0	0.0	34.0	7.0	26.0	1.0	0.0
QGNH01000195.1	44.0	13.0	2.0	29.0	2.0	52.0	11.0	35.0	6.0	5.0
QGNH01000196.1	39.0	38.0	1.0	0.0	0.0	36.0	3.0	31.0	2.0	1.0
QGNH01000197.1	26.0	8.0	1.0	17.0	1.0	34.0	7.0	22.0	5.0	2.0
QGNH01000198.1	30.0	6.0	1.0	23.0	2.0	34.0	9.0	19.0	6.0	1.0
QGNH01000199.1	30.0	29.0	1.0	0.0	0.0	34.0	6.0	22.0	6.0	1.0
QGNH01000200.1	34.0	13.0	4.0	17.0	1.0	41.0	16.0	20.0	5.0	8.0
QGNH01000201.1	24.0	4.0	1.0	19.0	0.0	27.0	6.0	16.0	5.0	3.0
QGNH01000202.1	25.0	25.0	0.0	0.0	0.0	27.0	2.0	19.0	6.0	0.0
QGNH01000203.1	48.0	5.0	2.0	41.0	3.0	49.0	5.0	31.0	13.0	3.0
QGNH01000204.1	23.0	22.0	1.0	0.0	0.0	23.0	2.0	19.0	2.0	1.0
QGNH01000205.1	18.0	17.0	1.0	0.0	0.0	22.0	5.0	13.0	4.0	2.0
QGNH01000206.1						31.0	0.0	27.0	4.0	0.0
QGNH01000207.1	32.0	26.0	6.0	0.0	0.0	37.0	9.0	27.0	1.0	1.0
QGNH01000208.1	31.0	7.0	3.0	21.0	1.0	42.0	7.0	28.0	7.0	4.0
QGNH01000209.1	20.0	18.0	2.0	0.0	0.0	19.0	3.0	12.0	4.0	0.0
QGNH01000210.1	23.0	9.0	3.0	11.0	2.0	26.0	8.0	16.0	2.0	1.0
QGNH01000211.1	22.0	7.0	1.0	14.0	1.0	27.0	6.0	20.0	1.0	5.0
QGNH01000212.1	31.0	31.0	0.0	0.0	0.0	39.0	5.0	33.0	1.0	1.0
QGNH01000213.1	30.0	14.0	7.0	9.0	2.0	30.0	14.0	10.0	6.0	4.0
QGNH01000214.1	30.0	8.0	1.0	21.0	2.0	32.0	8.0	21.0	3.0	6.0
QGNH01000215.1	27.0	5.0	1.0	21.0	2.0	31.0	5.0	24.0	2.0	3.0
QGNH01000216.1	29.0	3.0	2.0	24.0	2.0	31.0	6.0	23.0	2.0	3.0
QGNH01000217.1	21.0	21.0	0.0	0.0	0.0	27.0	4.0	19.0	4.0	0.0
QGNH01000218.1	22.0	20.0	2.0	0.0	0.0	25.0	3.0	21.0	1.0	1.0
QGNH01000219.1	45.0	35.0	10.0	0.0	0.0	57.0	12.0	43.0	2.0	0.0
QGNH01000220.1	19.0	8.0	2.0	9.0	1.0	29.0	8.0	17.0	4.0	2.0
QGNH01000221.1	27.0	27.0	0.0	0.0	0.0	31.0	5.0	23.0	3.0	1.0
QGNH01000222.1	38.0	4.0	1.0	33.0	1.0	43.0	5.0	34.0	4.0	2.0
QGNH01000223.1	17.0	16.0	1.0	0.0	0.0	19.0	7.0	9.0	3.0	0.0
QGNH01000224.1	46.0	3.0	3.0	40.0	1.0	54.0	3.0	47.0	4.0	1.0
QGNH01000225.1	33.0	5.0	2.0	26.0	3.0	46.0	6.0	37.0	3.0	4.0
QGNH01000226.1	33.0	7.0	0.0	26.0	1.0	39.0	10.0	23.0	6.0	2.0
QGNH01000227.1	24.0	9.0	0.0	15.0	1.0	35.0	7.0	22.0	6.0	2.0
QGNH01000228.1						0.0	0.0	0.0	0.0	0.0
QGNH01000229.1	25.0	22.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000230.1	37.0	5.0	1.0	31.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000231.1	36.0	7.0	0.0	29.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000232.1	17.0	7.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000233.1	22.0	20.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000234.1	28.0	6.0	0.0	22.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000235.1	22.0	7.0	2.0	13.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000236.1	27.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000237.1	20.0	19.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000238.1	22.0	3.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000239.1	26.0	6.0	0.0	20.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000240.1	24.0	7.0	1.0	16.0	2.0	0.0	0.0	0.0	0.0	0.0
QGNH01000241.1	15.0	4.0	1.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000242.1	21.0	4.0	0.0	17.0	3.0	0.0	0.0	0.0	0.0	0.0
QGNH01000243.1	21.0	4.0	7.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000244.1	25.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000245.1	26.0	25.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000246.1	8.0	5.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000247.1	17.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000248.1	30.0	2.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000249.1	25.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000250.1	26.0	10.0	1.0	15.0	2.0	0.0	0.0	0.0	0.0	0.0
QGNH01000251.1	14.0	8.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0
QGNH01000252.1	15.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000253.1	15.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000254.1	27.0	4.0	0.0	23.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000255.1	26.0	2.0	2.0	22.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000256.1	30.0	6.0	0.0	24.0	2.0	0.0	0.0	0.0	0.0	0.0
QGNH01000257.1	23.0	2.0	0.0	21.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000258.1	27.0	9.0	1.0	17.0	2.0	0.0	0.0	0.0	0.0	0.0
QGNH01000259.1	14.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000260.1	22.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000261.1	24.0	1.0	0.0	23.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000262.1						0.0	0.0	0.0	0.0	0.0
QGNH01000263.1	14.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000264.1	16.0	8.0	1.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0
QGNH01000265.1	25.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000266.1	24.0	2.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000267.1	29.0	6.0	2.0	21.0	2.0	0.0	0.0	0.0	0.0	0.0
QGNH01000268.1	26.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000269.1	23.0	22.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000270.1	19.0	7.0	1.0	11.0	2.0	0.0	0.0	0.0	0.0	0.0
QGNH01000271.1	16.0	8.0	2.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0
QGNH01000272.1	21.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000273.1	22.0	21.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000274.1	20.0	5.0	1.0	14.0	2.0	0.0	0.0	0.0	0.0	0.0
QGNH01000275.1	22.0	21.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
QGNH01000276.1	20.0	2.0	1.0	17.0	1.0	0.0	0.0	0.0	0.0	0.0
QGNH01000277.1	13.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
