ID	Function	Source
DUF682	DUF682 domain-containing protein	PF05081.14
DUF702	DUF702 domain-containing protein	PF05142.14
DUF724	DUF724 domain-containing protein	PF05266.16
DUF728	DUF728 domain-containing protein	PF05304.14
DUF733	DUF733 domain-containing protein	PF05306.13
DUF730	DUF730 domain-containing protein	PF05325.13
DUF743	DUF743 domain-containing protein	PF05332.13
DUF719	DUF719 domain-containing protein	PF05334.15
DUF717	DUF717 domain-containing protein	PF05338.14
DUF740	DUF740 domain-containing protein	PF05340.14
DUF753	DUF753 domain-containing protein	PF05444.14
BASP1	brain acid soluble 1 family protein	PF05466.14
DUF755	DUF755 domain-containing protein	PF05501.13
DUF775	DUF775 domain-containing protein	PF05603.14
DUF776	DUF776 domain-containing protein	PF05604.13
DUF778	DUF778 domain-containing protein	PF05608.14
DUF780	DUF780 domain-containing protein	PF05611.13
DUF809	DUF809 domain-containing protein	PF05663.13
DUF812	DUF812 domain-containing protein	PF05667.13
DUF851	DUF851 domain-containing protein	PF05867.13
Trypan_PARP	procyclic acidic repetitive family protein	PF05887.13
DUF870	DUF870 domain-containing protein	PF05912.13
TMEM_230_134	transmembrane domain-containing protein	PF05915.14
DUF902	DUF902 domain-containing protein	PF06001.15
DUF908	DUF908 domain-containing protein	PF06012.14
TLP-20	TLP20 family protein	PF06088.13
DUF959	DUF959 domain-containing protein	PF06121.16
DUF999	DUF999 domain-containing protein	PF06198.13
DUF1011	DUF1011 domain-containing protein	PF06237.14
DUF1029	DUF1029 domain-containing protein	PF06269.14
DUF1030	DUF1030 domain-containing protein	PF06270.13
DUF1053	DUF1053 domain-containing protein	PF06327.16
Drf_FH1	formin homology domain-containing protein	PF06346.14
DUF1065	DUF1065 domain-containing protein	PF06358.13
DUF1068	DUF1068 domain-containing protein	PF06364.14
DUF1069	DUF1069 domain-containing protein	PF06370.13
DUF1072	DUF1072 domain-containing protein	PF06380.13
DUF1075	DUF1075 domain-containing protein	PF06388.13
DUF1077	DUF1077 domain-containing protein	PF06417.14
NADH_dehy_S2_C	NADH dehydrogenase subunit 2 C-terminus	PF06444.13
DUF1081	DUF1081 domain-containing protein	PF06448.13
DUF1084	DUF1084 domain-containing protein	PF06454.13
DUF1086	DUF1086 domain-containing protein	PF06461.13
DUF1087	DUF1087 domain-containing protein	PF06465.15
DUF1088	DUF1088 domain-containing protein	PF06469.13
DUF1091	DUF1091 domain-containing protein	PF06477.15
DUF1096	DUF1096 domain-containing protein	PF06493.13
DUF1098	DUF1098 domain-containing protein	PF06497.13
DUF1101	DUF1101 domain-containing protein	PF06503.13
DUF1115	DUF1115 domain-containing protein	PF06544.14
DUF1117	DUF1117 domain-containing protein	PF06547.14
DUF1118	DUF1118 domain-containing protein	PF06549.14
DUF1138	DUF1138 domain-containing protein	PF06592.15
DUF1143	DUF1143 domain-containing protein	PF06608.13
DUF1147	DUF1147 domain-containing protein	PF06615.13
DUF1148	DUF1148 domain-containing protein	PF06618.13
DUF1154	DUF1154 domain-containing protein	PF06631.13
DUF1155	DUF1155 domain-containing protein	PF06633.13
DUF1168	DUF1168 domain-containing protein	PF06658.14
DUF1179	DUF1179 domain-containing protein	PF06678.13
DUF1181	DUF1181 domain-containing protein	PF06680.13
DUF1182	DUF1182 domain-containing protein	PF06681.15
DUF1191	DUF1191 domain-containing protein	PF06697.14
DUF1195	DUF1195 domain-containing protein	PF06708.13
DUF1199	DUF1199 domain-containing protein	PF06712.13
DUF1213	DUF1213 domain-containing protein	PF06740.14
DUF1221	DUF1221 domain-containing protein	PF06760.13
DUF1231	DUF1231 domain-containing protein	PF06802.13
DUF1235	DUF1235 domain-containing protein	PF06822.14
DUF1242	DUF1242 domain-containing protein	PF06842.14
DUF1247	DUF1247 domain-containing protein	PF06851.13
DUF1258	DUF1258 domain-containing protein	PF06869.14
DUF1265	DUF1265 domain-containing protein	PF06887.16
DUF1280	DUF1280 domain-containing protein	PF06918.16
GIP1_N	GIP1 domain-containing protein	PF06972.13
DUF1299	DUF1299 domain-containing protein	PF06975.13
DUF1314	DUF1314 domain-containing protein	PF07013.13
DUF1319	DUF1319 domain-containing protein	PF07028.13
DUF1324	DUF1324 domain-containing protein	PF07038.13
DUF1325	SAGA-associated factor 29 family protein	PF07039.13
DUF1331	DUF1331 domain-containing protein	PF07048.13
DUF1335	DUF1335 domain-containing protein	PF07056.13
DUF1356	DUF1356 domain-containing protein	PF07092.14
DUF1363	DUF1363 domain-containing protein	PF07101.13
DUF1383	DUF1383 domain-containing protein	PF07134.13
DUF1386	DUF1386 domain-containing protein	PF07138.13
DUF1387	DUF1387 domain-containing protein	PF07139.13
DUF1390	DUF1390 domain-containing protein	PF07150.13
DUF1394	Rac1-binding domain-containing protein	PF07159.14
SKA1	spindle and kinetochore-associated protein 1	PF07160.14
DUF1409	DUF1409 domain-containing protein	PF07197.14
DUF1412	DUF1412 domain-containing protein	PF07203.13
DUF1431	DUF1431 domain-containing protein	PF07248.14
DUF1438	DUF1438 domain-containing protein	PF07270.13
BBL5	Bardet-Biedl syndrome 5 protein	PF07289.13
DUF1477	DUF1477 domain-containing protein	PF07346.13
DUF1478	DUF1478 domain-containing protein	PF07349.13
DUF1500	DUF1500 domain-containing protein	PF07389.14
DUF1505	DUF1505 domain-containing protein	PF07403.13
DUF1509	DUF1509 domain-containing protein	PF07420.13
DUF1518	DUF1518 domain-containing protein	PF07469.14
PRE_C2HC	Associated with zinc fingers	PF07530.13
DUF1604	DUF1604 domain-containing protein	PF07713.15
DUF1618	DUF1618 domain-containing protein	PF07762.16
DUF1619	DUF1619 domain-containing protein	PF07773.13
DUF1623	DUF1623 domain-containing protein	PF07785.13
DUF1633	DUF1633 domain-containing protein	PF07794.13
DUF1635	DUF1635 domain-containing protein	PF07795.13
DUF1639	DUF1639 domain-containing protein	PF07797.16
DUF1644	DUF1644 domain-containing protein	PF07800.14
DUF1645	DUF1645 domain-containing protein	PF07816.13
ATG101	autophagy-related protein 101	PF07855.14
DUF1666	DUF1666 domain-containing protein	PF07891.14
DUF1663	DUF1663 domain-containing protein	PF07909.13
DUF1677	DUF1677 domain-containing protein	PF07911.15
DUF1681	DUF1681 domain-containing protein	PF07933.16
DUF1685	DUF1685 domain-containing protein	PF07939.13
DUF1689	DUF1689 domain-containing protein	PF07954.13
DUF1690	DUF1690 domain-containing protein	PF07956.13
Ery_res_leader2	erythromycin resistance leader peptide	PF08057.13
DUF1719	DUF1719 domain-containing protein	PF08224.13
DUF1746	DUF1746 domain-containing protein	PF08508.12
FAM32A	FAM32A domain-containing protein	PF08555.12
Iwr1	transcription factor Iwr1	PF08574.12
DUF1764	DUF1764 domain-containing protein	PF08576.12
DUF1765	DUF1765 domain-containing protein	PF08578.12
DUF1769	DUF1769 domain-containing protein	PF08588.12
ATG43	ATG43 family protein	PF08589.12
GLTP	GLTP domain-containing protein	PF08718.13
DUF1908	DUF1908 domain-containing protein	PF08926.13
DUF1859	DUF1859 domain-containing protein	PF08948.12
DUF1860	DUF1860 domain-containing protein	PF08949.12
DUF1899	DUF1899 domain-containing protein	PF08953.13
DUF1856	DUF1856 domain-containing protein	PF08983.12
DUF1962	DUF1962 domain-containing protein	PF09227.12
DUF1965	DUF1965 domain-containing protein	PF09248.12
DUF1985	DUF1985 domain-containing protein	PF09331.13
DUF2009	DUF2009 domain-containing protein	PF09418.12
DUF2011	DUF2011 domain-containing protein	PF09428.12
DUF2462	DUF2462 domain-containing protein	PF09495.12
Dcc1	Dcc1 family protein	PF09724.11
DUF2045	DUF2045 domain-containing protein	PF09741.11
DUF2040	DUF2040 domain-containing protein	PF09745.11
DUF2052	coiled-coil domain-containing protein	PF09747.11
DENND11	DENN domain-containing protein	PF09804.11
Efg1	rRNA-processing protein Efg1	PF10153.11
Ints3_N	integrator complex subunit 3	PF10189.11
DUF2340	DUF2340 domain-containing protein	PF10209.11
DUF2039	DUF2039 domain-containing protein	PF10217.11
SPRING1	SPRING1 family protein	PF10218.11
Smg8_Smg9	Smg8/Smg9 family protein	PF10220.11
DUF2152	DUF2152 domain-containing protein	PF10222.11
NEMP	NEMP family protein	PF10225.11
DUF2405	DUF2405 domain-containing protein	PF10293.11
DUF2406	DUF2406 domain-containing protein	PF10295.11
NCBP3	nuclear cap-binding protein subunit 3	PF10309.11
DUF5427	maintenance of telomere capping protein 1	PF10310.11
DUF2415	DUF2415 domain-containing protein	PF10313.11
Aim19	altered inheritance of mitochondria protein 19	PF10315.11
DUF2418	DUF2418 domain-containing protein	PF10332.11
DUF2420	DUF2420 domain-containing protein	PF10336.11
DUF2423	DUF2423 domain-containing protein	PF10338.11
DUF2430	DUF2430 domain-containing protein	PF10353.11
DUF2434	DUF2434 domain-containing protein	PF10361.11
DUF2439	DUF2439 domain-containing protein	PF10382.11
DUF2456	DUF2456 domain-containing protein	PF10445.11
DUF2458	DUF2458 domain-containing protein	PF10454.11
DUF2451	DUF2451 domain-containing protein	PF10474.11
Tti2	Tti2 family protein	PF10521.11
DUF2475	DUF2475 domain-containing protein	PF10629.11
DUF2476	DUF2476 domain-containing protein	PF10630.11
DUF2733	DUF2733 domain-containing protein	PF10813.10
DUF2677	DUF2677 domain-containing protein	PF10838.10
DUF2647	DUF2647 domain-containing protein	PF10839.10
DUF2650	DUF2650 domain-containing protein	PF10853.10
DUF2678	DUF2678 domain-containing protein	PF10856.10
DUF2701	DUF2701 domain-containing protein	PF10857.10
NOP19	nucleolar protein 19	PF10863.10
DUF2729	DUF2729 domain-containing protein	PF10870.10
CYYR1	cysteine and tyrosine-rich protein 1	PF10873.10
Cyt_b-c1_8	cytochrome b-c1 complex subunit 8	PF10890.10
Mrx7	MIOREX complex component 7	PF10906.10
DUF2682	DUF2682 domain-containing protein	PF10909.10
DUF2718	DUF2718 domain-containing protein	PF10918.10
S36_mt	ribosomal protein S36	PF10937.10
DUF2632	DUF2632 domain-containing protein	PF10943.10
Epiplasmin	DUF2816 domain-containing protein	PF10992.10
DUF2838	DUF2838 domain-containing protein	PF10998.10
DUF2841	DUF2841 domain-containing protein	PF11001.10
CFAP298	DUF2870 domain-containing protein	PF11069.10
DUF2883	DUF2883 domain-containing protein	PF11097.10
DUF2830	DUF2830 domain-containing protein	PF11125.10
DUF2888	DUF2888 domain-containing protein	PF11135.10
DUF2921	DUF2921 domain-containing protein	PF11145.10
Tma16	translation machinery-associated protein 16	PF11176.10
DUF2967	DUF2967 domain-containing protein	PF11179.10
DUF2981	DUF2981 domain-containing protein	PF11200.10
DUF3020	DUF3020 domain-containing protein	PF11223.10
Focadhesin	focadhesin	PF11229.10
DUF3051	DUF3051 domain-containing protein	PF11252.10
DUF3074	DUF3074 domain-containing protein	PF11274.10
DUF3091	DUF3091 domain-containing protein	PF11291.10
DUF3123	DUF3123 domain-containing protein	PF11321.10
DUF3128	DUF3128 domain-containing protein	PF11326.10
30K_MP_C_Ter	DTG domain-containing protein	PF11330.10
DUF3161	DUF3161 domain-containing protein	PF11362.10
SOGA	protein SOGA	PF11365.10
bCoV_NS7B	NS7B family protein	PF11395.10
DUF2826	DUF2826 domain-containing protein	PF11442.10
Aim21	altered inheritance of mitochondria protein 21	PF11489.10
DUF3245	DUF3245 domain-containing protein	PF11595.10
DUF3246	DUF3246 domain-containing protein	PF11596.10
Caf4	CCR4-associated factor 4	PF11615.10
DUF3273	DUF3273 domain-containing protein	PF11677.10
DUF2990	DUF2990 domain-containing protein	PF11693.10
DUF3295	DUF3295 domain-containing protein	PF11702.10
Frtz	WD repeat-containing and planar cell polarity effector protein Fritz	PF11768.10
DUF3314	DUF3314 domain-containing protein	PF11771.10
SPT_ssu-like	serine palmitoyltransferase small subunit family protein	PF11779.10
UstYa	oxidase UstYa family protein	PF11807.10
DUF3337	DUF3337 domain-containing protein	PF11816.10
DUF3339	DUF3339 domain-containing protein	PF11820.10
DUF3342	DUF3342 domain-containing protein	PF11822.10
DUF3350	DUF3350 domain-containing protein	PF11830.10
DUF3357	DUF3357 domain-containing protein	PF11837.10
DUF3361	DUF3361 domain-containing protein	PF11841.10
DUF3381	DUF3381 domain-containing protein	PF11861.10
DUF3384	DUF3384 domain-containing protein	PF11864.10
DUF3398	DUF3398 domain-containing protein	PF11878.10
DUF3399	DUF3399 domain-containing protein	PF11879.10
DUF3403	DUF3403 domain-containing protein	PF11883.10
DUF3409	DUF3409 domain-containing protein	PF11889.10
Peroxidase_ext	peroxidase extension domain-containing protein	PF11895.10
DUF3420	DUF3420 domain-containing protein	PF11900.10
DUF3425	DUF3425 domain-containing protein	PF11905.10
DUF3430	DUF3430 domain-containing protein	PF11912.10
DUF3432	DUF3432 domain-containing protein	PF11914.10
DUF3437	DUF3437 domain-containing protein	PF11919.10
DUF3439	DUF3439 domain-containing protein	PF11921.10
DUF3447	DUF3447 domain-containing protein	PF11929.10
SF3a60_Prp9_C	zinc finger domain-containing protein	PF11931.10
DUF3452	DUF3452 domain-containing protein	PF11934.10
DUF3477	DUF3477 domain-containing protein	PF11963.10
DUF3490	DUF3490 domain-containing protein	PF11995.10
DUF3498	DUF3498 domain-containing protein	PF12004.10
NPH-II	RNA helicase NPH-II	PF12011.10
DUF3507	DUF3507 domain-containing protein	PF12015.10
DUF3510	DUF3510 domain-containing protein	PF12022.10
DUF3511	DUF3511 domain-containing protein	PF12023.10
BAF250_C	SWI/SNF-like complex subunit BAF250/Osa	PF12031.10
DUF3522	DUF3522 domain-containing protein	PF12036.10
DUF3523	DUF3523 domain-containing protein	PF12037.10
DUF3525	DUF3525 domain-containing protein	PF12039.10
DUF3527	DUF3527 domain-containing protein	PF12043.10
DUF3528	DUF3528 domain-containing protein	PF12045.10
DUF3537	DUF3537 domain-containing protein	PF12056.10
NB-LRR	late blight resistance protein R1	PF12061.10
DUF3543	DUF3543 domain-containing protein	PF12063.10
SERRATE_Ars2_N	DUF3546 domain-containing protein	PF12066.10
SCAI	protein SCAI	PF12070.10
DUF3557	DUF3557 domain-containing protein	PF12078.10
DUF3586	DUF3586 domain-containing protein	PF12131.10
DUF3587	DUF3587 domain-containing protein	PF12132.10
SLED	SLED domain-containing protein	PF12140.10
DUF3591	DUF3591 domain-containing protein	PF12157.10
DUF3614	DUF3614 domain-containing protein	PF12267.10
DUF3615	DUF3615 domain-containing protein	PF12274.10
DUF3621	DUF3621 domain-containing protein	PF12285.10
DUF3629	DUF3629 domain-containing protein	PF12302.10
DUF3636	DUF3636 domain-containing protein	PF12331.10
DUF3637	DUF3637 domain-containing protein	PF12337.10
DUF3640	DUF3640 domain-containing protein	PF12342.10
DUF3654	DUF3654 domain-containing protein	PF12376.10
bCoV_NSP3_N	DUF3655 domain-containing protein	PF12379.10
DUF3673	DUF3673 domain-containing protein	PF12425.10
DUF3675	DUF3675 domain-containing protein	PF12428.10
DUF3676	DUF3676 domain-containing protein	PF12429.10
DUF3677	DUF3677 domain-containing protein	PF12432.10
DUF3682	DUF3682 domain-containing protein	PF12446.10
DUF3689	DUF3689 domain-containing protein	PF12463.10
DUF3704	DUF3704 domain-containing protein	PF12488.10
DUF3715	DUF3715 domain-containing protein	PF12509.10
DUF3716	DUF3716 domain-containing protein	PF12511.10
DUF3719	DUF3719 domain-containing protein	PF12516.10
DUF3720	DUF3720 domain-containing protein	PF12517.10
DUF3724	DUF3724 domain-containing protein	PF12521.10
DUF3729	DUF3729 domain-containing protein	PF12526.10
DUF3730	DUF3730 domain-containing protein	PF12530.10
DUF3736	DUF3736 domain-containing protein	PF12540.10
DUF3752	DUF3752 domain-containing protein	PF12572.10
DUF3755	DUF3755 domain-containing protein	PF12579.10
DUF3756	DUF3756 domain-containing protein	PF12581.10
DUF3760	DUF3760 domain-containing protein	PF12586.10
DUF3762	DUF3762 domain-containing protein	PF12591.10
RELT	RELT-like protein	PF12606.10
DUF3774	DUF3774 domain-containing protein	PF12609.10
DUF3776	DUF3776 domain-containing protein	PF12618.10
DUF3778	DUF3778 domain-containing protein	PF12620.10
Apq12	Apq12 family protein	PF12716.9
DUF3807	DUF3807 domain-containing protein	PF12720.9
DUF3844	DUF3844 domain-containing protein	PF12955.9
DUF3860	DUF3860 domain-containing protein	PF12976.9
Fusion_F0	Isavirus-type fusion glycoprotein F0	PF13044.8
DUF3984	DUF3984 domain-containing protein	PF13136.8
Complex1_LYR_2	LYR motif-containing protein	PF13233.8
DUF4042	DUF4042 domain-containing protein	PF13251.8
DUF4045	DUF4045 domain-containing protein	PF13254.8
DUF4048	DUF4048 domain-containing protein	PF13257.8
DUF4061	DUF4061 domain-containing protein	PF13270.8
DUF4074	DUF4074 domain-containing protein	PF13293.8
DUF4078	DUF4078 domain-containing protein	PF13300.8
DUF4107	DUF4107 domain-containing protein	PF13389.8
DUF4108	DUF4108 domain-containing protein	PF13390.8
DUF4110	DUF4110 domain-containing protein	PF13422.8
zf-3CxxC	3CxxC-type zinc finger protein	PF13695.8
DUF4171	DUF4171 domain-containing protein	PF13775.8
DUF4187	DUF4187 domain-containing protein	PF13821.8
DUF4195	DUF4195 domain-containing protein	PF13836.8
Myb_DNA-bind_4	myb/SANT-like DNA-binding domain-containing protein	PF13837.8
DUF4196	DUF4196 domain-containing protein	PF13846.8
DUF4205	DUF4205 domain-containing protein	PF13898.8
DUF4207	DUF4207 domain-containing protein	PF13904.8
DUF4208	DUF4208 domain-containing protein	PF13907.8
DUF4210	DUF4210 domain-containing protein	PF13915.8
DUF4211	DUF4211 domain-containing protein	PF13926.8
DUF4220	DUF4220 domain-containing protein	PF13968.8
PADRE	PADRE domain-containing protein	PF14009.8
DUF4370	DUF4370 domain-containing protein	PF14290.8
DUF4378	DUF4378 domain-containing protein	PF14309.8
EphA2_TM	ephrin type-A receptor 2 transmembrane domain-containing protein	PF14575.8
hSH3	SH3 domain-containing protein	PF14603.8
Psg1	Psg1 family protein	PF14610.8
DUF4449	DUF4449 domain-containing protein	PF14613.8
DUF4451	DUF4451 domain-containing protein	PF14616.8
SPT6_acidic	SPT6 acidic N-terminal domain-containing protein	PF14632.8
DUF4456	DUF4456 domain-containing protein	PF14644.8
DUF4462	DUF4462 domain-containing protein	PF14692.8
DUF4464	DUF4464 domain-containing protein	PF14713.8
DUF4470	DUF4470 domain-containing protein	PF14737.8
DUF4471	DUF4471 domain-containing protein	PF14740.8
FAM221	FAM221A/B family protein	PF14753.8
SEEEED	serine-rich SEEEED domain-containing protein	PF14797.8
DUF4481	DUF4481 domain-containing protein	PF14800.8
DUF4483	DUF4483 domain-containing protein	PF14825.8
DUF4484	DUF4484 domain-containing protein	PF14831.8
DUF4485	DUF4485 domain-containing protein	PF14846.8
CFAP54_N	DUF4486 domain-containing protein	PF14858.8
DUF4487	DUF4487 domain-containing protein	PF14868.8
DUF4490	DUF4490 domain-containing protein	PF14892.8
DUF4495	DUF4495 domain-containing protein	PF14906.8
DUF4497	DUF4497 domain-containing protein	PF14924.8
DUF4498	DUF4498 domain-containing protein	PF14926.8
DUF4500	DUF4500 domain-containing protein	PF14937.8
DUF4501	DUF4501 domain-containing protein	PF14946.8
DUF4502	DUF4502 domain-containing protein	PF14950.8
DUF4503	DUF4503 domain-containing protein	PF14951.8
DUF4504	DUF4504 domain-containing protein	PF14953.8
DUF4506	DUF4506 domain-containing protein	PF14958.8
DUF4507	DUF4507 domain-containing protein	PF14964.8
DUF4508	DUF4508 domain-containing protein	PF14969.8
TEDC1	TEDC1 domain-containing protein	PF14970.8
DUF4512	DUF4512 domain-containing protein	PF14975.8
DUF4513	DUF4513 domain-containing protein	PF14983.8
DUF4514	DUF4514 domain-containing protein	PF14986.8
DUF4516	DUF4516 domain-containing protein	PF14990.8
DUF4517	DUF4517 domain-containing protein	PF15006.8
DUF4518	DUF4518 domain-containing protein	PF15008.8
DUF4520	DUF4520 domain-containing protein	PF15016.8
DUF4521	DUF4521 domain-containing protein	PF15021.8
DUF4522	DUF4522 domain-containing protein	PF15022.8
DUF4523	DUF4523 domain-containing protein	PF15023.8
DUF4524	DUF4524 domain-containing protein	PF15025.8
DUF4525	DUF4525 domain-containing protein	PF15027.8
DUF4527	DUF4527 domain-containing protein	PF15030.8
DUF4528	DUF4528 domain-containing protein	PF15031.8
DUF4529	DUF4529 domain-containing protein	PF15032.8
DUF4530	DUF4530 domain-containing protein	PF15039.8
DUF4531	DUF4531 domain-containing protein	PF15041.8
DUF4532	DUF4532 domain-containing protein	PF15046.8
DUF4534	DUF4534 domain-containing protein	PF15049.8
DUF4535	DUF4535 domain-containing protein	PF15054.8
DUF4536	DUF4536 domain-containing protein	PF15055.8
DUF4538	DUF4538 domain-containing protein	PF15061.8
HROB	OB-fold domain-containing protein	PF15072.8
DUF4541	DUF4541 domain-containing protein	PF15074.8
DUF4542	DUF4542 domain-containing protein	PF15075.8
DUF4543	DUF4543 domain-containing protein	PF15076.8
MAJIN	membrane-anchored junction protein	PF15077.8
DUF4545	DUF4545 domain-containing protein	PF15078.8
DUF4547	DUF4547 domain-containing protein	PF15080.8
DUF4548	DUF4548 domain-containing protein	PF15081.8
DUF4549	DUF4549 domain-containing protein	PF15082.8
DUF4550	DUF4550 domain-containing protein	PF15084.8
DUF4551	DUF4551 domain-containing protein	PF15087.8
DUF4552	DUF4552 domain-containing protein	PF15089.8
DUF4553	DUF4553 domain-containing protein	PF15090.8
DUF4554	DUF4554 domain-containing protein	PF15091.8
DUF4556	DUF4556 domain-containing protein	PF15094.8
TERB2	telomere-associated protein TERB2	PF15101.8
DUF4558	DUF4558 domain-containing protein	PF15104.8
DUF4560	DUF4560 domain-containing protein	PF15118.8
DUF4562	DUF4562 domain-containing protein	PF15123.8
FANCD2OS	FANCD2 opposite strand protein	PF15124.8
DUF4566	DUF4566 domain-containing protein	PF15130.8
DUF4567	DUF4567 domain-containing protein	PF15131.8
DUF4568	DUF4568 domain-containing protein	PF15132.8
TASL	DUF4569 domain-containing protein	PF15133.8
DUF4570	DUF4570 domain-containing protein	PF15134.8
DUF4571	DUF4571 domain-containing protein	PF15137.8
DUF4572	DUF4572 domain-containing protein	PF15139.8
DUF4575	DUF4575 domain-containing protein	PF15143.8
DUF4576	DUF4576 domain-containing protein	PF15144.8
DUF4577	DUF4577 domain-containing protein	PF15145.8
DUF4578	DUF4578 domain-containing protein	PF15147.8
DUF4579	DUF4579 domain-containing protein	PF15158.8
SCRE	DUF4580 domain-containing protein	PF15162.8
DUF4581	DUF4581 domain-containing protein	PF15167.8
MEIOC	meiosis-specific coiled-coil domain-containing protein MEIOC	PF15189.8
DUF4585	DUF4585 domain-containing protein	PF15232.8
DUF4586	DUF4586 domain-containing protein	PF15239.8
DUF4587	DUF4587 domain-containing protein	PF15248.8
DUF4588	DUF4588 domain-containing protein	PF15251.8
DUF4589	DUF4589 domain-containing protein	PF15252.8
DUF4590	DUF4590 domain-containing protein	PF15257.8
DUF4592	DUF4592 domain-containing protein	PF15262.8
DUF4594	DUF4594 domain-containing protein	PF15266.8
DUF4596	DUF4596 domain-containing protein	PF15363.8
DUF4597	DUF4597 domain-containing protein	PF15366.8
DUF4598	DUF4598 domain-containing protein	PF15370.8
DUF4599	DUF4599 domain-containing protein	PF15371.8
DUF4600	DUF4600 domain-containing protein	PF15372.8
DUF4601	DUF4601 domain-containing protein	PF15373.8
DUF4602	DUF4602 domain-containing protein	PF15375.8
DUF4603	DUF4603 domain-containing protein	PF15376.8
DUF4604	DUF4604 domain-containing protein	PF15377.8
