Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	InterProScan-ORF_count	InterProScan-Annotated	InterProScan-Hypothetical	InterProScan-Unknown	Metacerberus-ORF_count	Metacerberus-Annotated	Metacerberus-Hypothetical	Metacerberus-Unknown	Metacerberus_fgs-ORF_count	Metacerberus_fgs-Annotated	Metacerberus_fgs-Hypothetical	Metacerberus_fgs-Unknown	PROKKA-ORF_count	PROKKA-Annotated	PROKKA-Hypothetical	PROKKA-Unknown
MZ334497	115.0	115.0	0.0	0.0	7.0	5.0	0.0	2.0	115.0	63.0	52.0	0.0	101.0	53.0	48.0	0.0	118.0	4.0	114.0	0.0
MZ334498	115.0	115.0	0.0	0.0	7.0	5.0	0.0	2.0	114.0	63.0	51.0	0.0	100.0	53.0	47.0	0.0	117.0	4.0	113.0	0.0
MZ334499	116.0	116.0	0.0	0.0	7.0	5.0	0.0	2.0	120.0	62.0	58.0	0.0	105.0	52.0	53.0	0.0	119.0	4.0	115.0	0.0
MZ334500	119.0	119.0	0.0	0.0	6.0	4.0	0.0	2.0	121.0	64.0	57.0	0.0					122.0	4.0	118.0	0.0
MZ334501	109.0	109.0	0.0	0.0	7.0	5.0	0.0	2.0	108.0	67.0	41.0	0.0					111.0	2.0	109.0	0.0
MZ334502	108.0	108.0	0.0	0.0	8.0	6.0	0.0	2.0	109.0	50.0	59.0	0.0					112.0	4.0	108.0	0.0
MZ334503	108.0	108.0	0.0	0.0	8.0	6.0	0.0	2.0	109.0	50.0	59.0	0.0	98.0	44.0	54.0	0.0	112.0	4.0	108.0	0.0
MZ334504	108.0	108.0	0.0	0.0	8.0	6.0	0.0	2.0	109.0	50.0	59.0	0.0	97.0	44.0	53.0	0.0	112.0	4.0	108.0	0.0
MZ334505	109.0	109.0	0.0	0.0	8.0	6.0	0.0	2.0	110.0	49.0	61.0	0.0					111.0	3.0	108.0	0.0
MZ334506	107.0	107.0	0.0	0.0	8.0	5.0	0.0	3.0	106.0	46.0	60.0	0.0					110.0	3.0	107.0	0.0
MZ334507	106.0	106.0	0.0	0.0	8.0	6.0	0.0	2.0	106.0	49.0	57.0	0.0					110.0	4.0	106.0	0.0
MZ334508	105.0	105.0	0.0	0.0	8.0	6.0	0.0	2.0	105.0	48.0	57.0	0.0					109.0	4.0	105.0	0.0
MZ334509	112.0	112.0	0.0	0.0	8.0	5.0	0.0	3.0	113.0	58.0	55.0	0.0	102.0	50.0	52.0	0.0	115.0	4.0	111.0	0.0
MZ334510	108.0	108.0	0.0	0.0	8.0	5.0	0.0	3.0	112.0	47.0	65.0	0.0	99.0	42.0	57.0	0.0	111.0	3.0	108.0	0.0
MZ334511	108.0	108.0	0.0	0.0	7.0	5.0	0.0	2.0	108.0	46.0	62.0	0.0	98.0	43.0	55.0	0.0	111.0	3.0	108.0	0.0
MZ334512	114.0	114.0	0.0	0.0	7.0	4.0	0.0	3.0	110.0	68.0	42.0	0.0	105.0	65.0	40.0	0.0	115.0	2.0	113.0	0.0
MZ334513	117.0	117.0	0.0	0.0	7.0	4.0	0.0	3.0	118.0	72.0	46.0	0.0	107.0	67.0	40.0	0.0	119.0	2.0	117.0	0.0
MZ334514	112.0	112.0	0.0	0.0	8.0	5.0	0.0	3.0	109.0	68.0	41.0	0.0	101.0	63.0	38.0	0.0	114.0	2.0	112.0	0.0
MZ334515	114.0	114.0	0.0	0.0	7.0	5.0	0.0	2.0	114.0	71.0	43.0	0.0					116.0	2.0	114.0	0.0
MZ334516	114.0	114.0	0.0	0.0	7.0	5.0	0.0	2.0	115.0	71.0	44.0	0.0					115.0	3.0	112.0	0.0
MZ334517					5.0	3.0	0.0	2.0	101.0	32.0	69.0	0.0	90.0	30.0	60.0	0.0	102.0	1.0	101.0	0.0
MZ334518					5.0	3.0	0.0	2.0	106.0	34.0	72.0	0.0	90.0	32.0	58.0	0.0	100.0	1.0	99.0	0.0
MZ334519					5.0	3.0	0.0	2.0	100.0	34.0	66.0	0.0	89.0	32.0	57.0	0.0	98.0	2.0	96.0	0.0
MZ334520					5.0	3.0	0.0	2.0	100.0	34.0	66.0	0.0					98.0	2.0	96.0	0.0
MZ334521					8.0	3.0	0.0	5.0	95.0	56.0	39.0	0.0	82.0	49.0	33.0	0.0	97.0	1.0	96.0	0.0
MZ334522	95.0	95.0	0.0	0.0	7.0	1.0	0.0	6.0	104.0	55.0	49.0	0.0					93.0	1.0	92.0	0.0
MZ334523					6.0	5.0	0.0	1.0	166.0	65.0	101.0	0.0					163.0	1.0	162.0	0.0
MZ334524	155.0	155.0	0.0	0.0	8.0	6.0	0.0	2.0	156.0	80.0	76.0	0.0	133.0	73.0	60.0	0.0	155.0	2.0	153.0	0.0
MZ334525					7.0	4.0	0.0	3.0	112.0	31.0	81.0	0.0					105.0	3.0	102.0	0.0
MZ334526					7.0	2.0	0.0	5.0	61.0	44.0	17.0	0.0					67.0	0.0	67.0	0.0
MZ334527					7.0	4.0	0.0	3.0	76.0	23.0	53.0	0.0	64.0	23.0	41.0	0.0	71.0	1.0	70.0	0.0
MZ334528					6.0	2.0	0.0	4.0	70.0	27.0	43.0	0.0					68.0	0.0	68.0	0.0
