Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	DRAM-KO_count
QGNH01000390.1	125.0	17.0	7.0	101.0	3.0
QGNH01000391.1	167.0	18.0	4.0	145.0	3.0
QGNH01000392.1	27.0	6.0	0.0	21.0	2.0
QGNH01000393.1	33.0	5.0	1.0	27.0	1.0
QGNH01000394.1	14.0	4.0	1.0	9.0	1.0
QGNH01000395.1	31.0	7.0	1.0	23.0	2.0
QGNH01000396.1	35.0	6.0	1.0	28.0	1.0
QGNH01000397.1	19.0	5.0	0.0	14.0	1.0
QGNH01000398.1	27.0	6.0	0.0	21.0	3.0
QGNH01000399.1	23.0	7.0	0.0	16.0	1.0
QGNH01000400.1	19.0	4.0	0.0	15.0	1.0
QGNH01000401.1	23.0	23.0	0.0	0.0	0.0
QGNH01000402.1	9.0	3.0	0.0	6.0	1.0
QGNH01000403.1	17.0	16.0	1.0	0.0	0.0
QGNH01000404.1	25.0	5.0	0.0	20.0	1.0
QGNH01000405.1	17.0	17.0	0.0	0.0	0.0
QGNH01000406.1	19.0	17.0	2.0	0.0	0.0
QGNH01000407.1	16.0	16.0	0.0	0.0	0.0
QGNH01000408.1	16.0	7.0	2.0	7.0	1.0
QGNH01000409.1	18.0	4.0	0.0	14.0	1.0
QGNH01000410.1	13.0	5.0	1.0	7.0	2.0
QGNH01000411.1	84.0	28.0	6.0	50.0	6.0
QGNH01000412.1	62.0	59.0	3.0	0.0	7.0
QGNH01000413.1	26.0	16.0	4.0	6.0	0.0
QGNH01000414.1	34.0	10.0	3.0	21.0	4.0
QGNH01000415.1	20.0	8.0	2.0	10.0	2.0
QGNH01000416.1	32.0	9.0	1.0	22.0	2.0
QGNH01000417.1	33.0	15.0	3.0	15.0	4.0
QGNH01000418.1	19.0	14.0	5.0	0.0	0.0
QGNH01000419.1	19.0	12.0	1.0	6.0	1.0
QGNH01000420.1	16.0	7.0	4.0	5.0	1.0
QGNH01000421.1	21.0	7.0	2.0	12.0	3.0
QGNH01000422.1	11.0	6.0	1.0	4.0	3.0
QGNH01000423.1	8.0	5.0	0.0	3.0	1.0
QGNH01000424.1	8.0	5.0	0.0	3.0	4.0
QGNH01000425.1	14.0	7.0	0.0	7.0	1.0
QGNH01000426.1	11.0	10.0	1.0	0.0	0.0
QGNH01000427.1	12.0	10.0	2.0	0.0	0.0
QGNH01000428.1	6.0	3.0	3.0	0.0	0.0
QGNH01000429.1	12.0	7.0	0.0	5.0	1.0
QGNH01000430.1	12.0	4.0	0.0	8.0	1.0
QGNH01000431.1	16.0	2.0	0.0	14.0	1.0
QGNH01000432.1	7.0	4.0	0.0	3.0	2.0
QGNH01000433.1	89.0	24.0	7.0	58.0	5.0
QGNH01000434.1	64.0	11.0	2.0	51.0	4.0
QGNH01000435.1	55.0	55.0	0.0	0.0	0.0
QGNH01000436.1	74.0	7.0	1.0	66.0	1.0
QGNH01000437.1	14.0	2.0	1.0	11.0	1.0
QGNH01000438.1	58.0	16.0	2.0	40.0	2.0
QGNH01000439.1	65.0	6.0	1.0	58.0	1.0
QGNH01000440.1	60.0	9.0	1.0	50.0	2.0
QGNH01000441.1	15.0	5.0	0.0	10.0	1.0
QGNH01000442.1	11.0	6.0	0.0	5.0	3.0
QGNH01000443.1	87.0	10.0	2.0	75.0	3.0
QGNH01000444.1	57.0	57.0	0.0	0.0	0.0
QGNH01000445.1	70.0	14.0	3.0	53.0	1.0
QGNH01000446.1	43.0	4.0	1.0	38.0	1.0
QGNH01000447.1	18.0	5.0	3.0	10.0	0.0
QGNH01000448.1	102.0	5.0	1.0	96.0	0.0
QGNH01000449.1	72.0	16.0	6.0	50.0	5.0
QGNH01000450.1	69.0	26.0	5.0	38.0	6.0
QGNH01000451.1	83.0	11.0	6.0	66.0	1.0
QGNH01000452.1	65.0	9.0	5.0	51.0	4.0
QGNH01000453.1	60.0	10.0	1.0	49.0	3.0
QGNH01000454.1	99.0	12.0	6.0	81.0	1.0
QGNH01000455.1	66.0	10.0	2.0	54.0	2.0
QGNH01000456.1	95.0	16.0	11.0	68.0	2.0
QGNH01000457.1	59.0	8.0	3.0	48.0	3.0
QGNH01000458.1	62.0	11.0	5.0	46.0	2.0
QGNH01000459.1	25.0	25.0	0.0	0.0	0.0
QGNH01000460.1	62.0	16.0	5.0	41.0	7.0
QGNH01000461.1	60.0	15.0	6.0	39.0	4.0
QGNH01000462.1	30.0	30.0	0.0	0.0	0.0
QGNH01000463.1	9.0	4.0	0.0	5.0	2.0
QGNH01000464.1	62.0	12.0	4.0	46.0	0.0
QGNH01000465.1	66.0	8.0	1.0	57.0	4.0
QGNH01000466.1	60.0	21.0	3.0	36.0	4.0
QGNH01000467.1	61.0	16.0	3.0	42.0	6.0
QGNH01000468.1	87.0	9.0	1.0	77.0	1.0
QGNH01000469.1	103.0	13.0	6.0	84.0	4.0
QGNH01000470.1	67.0	24.0	2.0	41.0	6.0
QGNH01000471.1	47.0	7.0	1.0	39.0	3.0
QGNH01000472.1	99.0	18.0	6.0	75.0	7.0
QGNH01000473.1	4.0	4.0	0.0	0.0	0.0
QGNH01000474.1	89.0	9.0	6.0	74.0	1.0
QGNH01000475.1	4.0	4.0	0.0	0.0	0.0
