Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	DRAM-KO_count	InterProScan-ORF_count	InterProScan-Annotated	InterProScan-Hypothetical	InterProScan-Unknown	InterProScan_pro-ORF_count	InterProScan_pro-Annotated	InterProScan_pro-Hypothetical	InterProScan_pro-Unknown	Metacerberus-ORF_count	Metacerberus-Annotated	Metacerberus-Hypothetical	Metacerberus-Unknown	Metacerberus-KO_count	Metacerberus_fgs-ORF_count	Metacerberus_fgs-Annotated	Metacerberus_fgs-Hypothetical	Metacerberus_fgs-Unknown	Metacerberus_fgs-KO_count	PROKKA-ORF_count	PROKKA-Annotated	PROKKA-Hypothetical	PROKKA-Unknown
KC117376	99.0	22.0	73.0	4.0	1.0	6.0	2.0	0.0	4.0	50.0	13.0	0.0	37.0	103.0	33.0	70.0	0.0	6.0						99.0	1.0	98.0	0.0
KC117377	160.0	41.0	116.0	3.0	12.0	6.0	5.0	0.0	1.0	86.0	48.0	0.0	38.0	166.0	65.0	101.0	0.0	25.0	144.0	62.0	82.0	0.0	24.0	163.0	1.0	162.0	0.0
KC117378	49.0	10.0	39.0	0.0	2.0	8.0	6.0	0.0	2.0	23.0	9.0	0.0	14.0	50.0	17.0	33.0	0.0	4.0	44.0	18.0	26.0	0.0	5.0	49.0	0.0	49.0	0.0
KC292020	121.0	28.0	91.0	2.0	4.0	6.0	4.0	0.0	2.0	60.0	20.0	0.0	40.0	123.0	63.0	60.0	0.0	11.0	107.0	54.0	53.0	0.0	11.0	124.0	4.0	120.0	0.0
KC292021	102.0	24.0	75.0	3.0	1.0	6.0	3.0	0.0	3.0	50.0	14.0	0.0	36.0	105.0	31.0	74.0	0.0	8.0						103.0	1.0	102.0	0.0
KC292022	110.0	28.0	80.0	2.0	5.0	8.0	5.0	0.0	3.0	56.0	20.0	0.0	36.0	109.0	41.0	68.0	0.0	11.0	99.0	39.0	60.0	0.0	10.0	113.0	3.0	110.0	0.0
KC292023	67.0	8.0	58.0	1.0	1.0	7.0	3.0	0.0	4.0	25.0	7.0	0.0	18.0	63.0	41.0	22.0	0.0	4.0						66.0	0.0	66.0	0.0
KC292024	82.0	13.0	69.0	0.0	2.0	4.0	2.0	0.0	2.0	53.0	15.0	0.0	38.0	84.0	34.0	50.0	0.0	9.0	69.0	32.0	37.0	0.0	8.0	82.0	0.0	82.0	0.0
KC292025	61.0	8.0	53.0	0.0	1.0	6.0	2.0	0.0	4.0	41.0	10.0	0.0	31.0	67.0	23.0	44.0	0.0	3.0						61.0	0.0	61.0	0.0
KC292026	243.0	53.0	189.0	1.0	11.0	7.0	4.0	0.0	3.0	107.0	47.0	0.0	60.0	265.0	69.0	196.0	0.0	30.0						293.0	38.0	255.0	0.0
KC292027	156.0	51.0	104.0	1.0	12.0	6.0	5.0	0.0	1.0	94.0	53.0	0.0	41.0	156.0	64.0	92.0	0.0	32.0	137.0	54.0	83.0	0.0	28.0	152.0	1.0	151.0	0.0
KC292028	75.0	16.0	58.0	1.0	4.0	5.0	2.0	0.0	3.0	44.0	17.0	0.0	27.0	76.0	34.0	42.0	0.0	9.0	75.0	35.0	40.0	0.0	9.0	75.0	0.0	75.0	0.0
KC292029	147.0	32.0	115.0	0.0	14.0	8.0	6.0	0.0	2.0	82.0	41.0	0.0	41.0	155.0	78.0	77.0	0.0	26.0	131.0	70.0	61.0	0.0	25.0	149.0	1.0	148.0	0.0
MG550112	70.0	22.0	41.0	7.0	2.0	7.0	1.0	0.0	6.0	31.0	10.0	0.0	21.0	69.0	38.0	31.0	0.0	7.0						70.0	0.0	70.0	0.0
MH674343	39.0	13.0	26.0	0.0	2.0	7.0	6.0	0.0	1.0	22.0	14.0	0.0	8.0	42.0	17.0	25.0	0.0	5.0	39.0	17.0	22.0	0.0	5.0	39.0	0.0	39.0	0.0
MK002701	91.0	43.0	48.0	0.0	9.0	7.0	5.0	0.0	2.0	54.0	28.0	0.0	26.0	90.0	70.0	20.0	0.0	15.0						91.0	1.0	90.0	0.0
MK310226	82.0	64.0	16.0	2.0	4.0	8.0	3.0	0.0	5.0	51.0	21.0	0.0	30.0	84.0	50.0	34.0	0.0	12.0	74.0	48.0	26.0	0.0	11.0	82.0	1.0	81.0	0.0
MK450543	92.0	55.0	35.0	2.0	6.0	8.0	4.0	0.0	4.0	58.0	26.0	0.0	32.0	94.0	36.0	58.0	0.0	12.0	85.0	32.0	53.0	0.0	10.0	92.0	0.0	92.0	0.0
MN901520	114.0	32.0	81.0	1.0	5.0	7.0	3.0	0.0	4.0	60.0	20.0	0.0	40.0	117.0	43.0	74.0	0.0	13.0						118.0	4.0	114.0	0.0
MN901521	119.0	33.0	82.0	4.0	4.0	7.0	4.0	0.0	3.0	60.0	19.0	0.0	41.0	123.0	93.0	30.0	0.0	12.0						122.0	4.0	118.0	0.0
MZ334492	121.0	29.0	89.0	3.0	4.0	5.0	3.0	0.0	2.0	60.0	22.0	0.0	38.0	119.0	70.0	49.0	0.0	11.0						124.0	4.0	120.0	0.0
MZ334493	122.0	30.0	89.0	3.0	4.0	4.0	2.0	0.0	2.0	59.0	22.0	0.0	37.0	123.0	67.0	56.0	0.0	12.0						125.0	4.0	121.0	0.0
MZ334494	123.0	29.0	92.0	2.0	4.0	7.0	5.0	0.0	2.0	58.0	23.0	0.0	35.0	122.0	66.0	56.0	0.0	11.0						126.0	4.0	122.0	0.0
MZ334495	123.0	29.0	92.0	2.0	4.0	7.0	5.0	0.0	2.0	58.0	23.0	0.0	35.0	122.0	66.0	56.0	0.0	11.0						126.0	4.0	122.0	0.0
MZ334496	115.0	34.0	80.0	1.0	4.0	8.0	5.0	0.0	3.0	56.0	20.0	0.0	36.0	119.0	62.0	57.0	0.0	11.0						118.0	5.0	113.0	0.0
MZ334497	115.0	34.0	80.0	1.0	4.0	7.0	5.0	0.0	2.0	57.0	25.0	0.0	32.0	115.0	63.0	52.0	0.0	11.0	101.0	53.0	48.0	0.0	11.0	118.0	4.0	114.0	0.0
MZ334498	115.0	34.0	80.0	1.0	4.0	7.0	5.0	0.0	2.0	57.0	24.0	0.0	33.0	114.0	63.0	51.0	0.0	11.0	100.0	53.0	47.0	0.0	11.0	117.0	4.0	113.0	0.0
MZ334499	116.0	34.0	81.0	1.0	4.0	7.0	5.0	0.0	2.0	59.0	24.0	0.0	35.0	120.0	62.0	58.0	0.0	11.0	105.0	52.0	53.0	0.0	11.0	119.0	4.0	115.0	0.0
MZ334500	119.0	34.0	82.0	3.0	5.0	6.0	4.0	0.0	2.0	59.0	26.0	0.0	33.0	121.0	64.0	57.0	0.0	11.0						122.0	4.0	118.0	0.0
MZ334501	109.0	35.0	74.0	0.0	4.0	7.0	5.0	0.0	2.0	55.0	23.0	0.0	32.0	108.0	67.0	41.0	0.0	11.0						111.0	2.0	109.0	0.0
MZ334502	108.0	28.0	78.0	2.0	5.0	8.0	6.0	0.0	2.0	54.0	21.0	0.0	33.0	109.0	50.0	59.0	0.0	12.0						112.0	4.0	108.0	0.0
MZ334503	108.0	28.0	78.0	2.0	5.0	8.0	6.0	0.0	2.0	54.0	21.0	0.0	33.0	109.0	50.0	59.0	0.0	12.0	98.0	44.0	54.0	0.0	11.0	112.0	4.0	108.0	0.0
MZ334504	108.0	28.0	78.0	2.0	5.0	8.0	6.0	0.0	2.0	54.0	21.0	0.0	33.0	109.0	50.0	59.0	0.0	12.0	97.0	44.0	53.0	0.0	11.0	112.0	4.0	108.0	0.0
MZ334505	109.0	29.0	77.0	3.0	6.0	8.0	6.0	0.0	2.0	54.0	21.0	0.0	33.0	110.0	49.0	61.0	0.0	13.0						111.0	3.0	108.0	0.0
MZ334506	107.0	28.0	75.0	4.0	5.0	8.0	5.0	0.0	3.0	54.0	21.0	0.0	33.0	106.0	46.0	60.0	0.0	12.0						110.0	3.0	107.0	0.0
MZ334507	106.0	28.0	75.0	3.0	5.0	8.0	6.0	0.0	2.0	52.0	22.0	0.0	30.0	106.0	49.0	57.0	0.0	12.0						110.0	4.0	106.0	0.0
MZ334508	105.0	28.0	75.0	2.0	5.0	8.0	6.0	0.0	2.0	51.0	22.0	0.0	29.0	105.0	48.0	57.0	0.0	12.0						109.0	4.0	105.0	0.0
MZ334509	112.0	30.0	79.0	3.0	5.0	8.0	5.0	0.0	3.0	54.0	20.0	0.0	34.0	113.0	58.0	55.0	0.0	11.0	102.0	50.0	52.0	0.0	10.0	115.0	4.0	111.0	0.0
MZ334510	108.0	29.0	76.0	3.0	5.0	8.0	5.0	0.0	3.0	53.0	21.0	0.0	32.0	112.0	47.0	65.0	0.0	11.0	99.0	42.0	57.0	0.0	10.0	111.0	3.0	108.0	0.0
MZ334511	108.0	28.0	76.0	4.0	5.0	7.0	5.0	0.0	2.0	55.0	22.0	0.0	33.0	108.0	46.0	62.0	0.0	11.0	98.0	43.0	55.0	0.0	10.0	111.0	3.0	108.0	0.0
MZ334512	114.0	35.0	76.0	3.0	4.0	7.0	4.0	0.0	3.0	53.0	23.0	0.0	30.0	110.0	68.0	42.0	0.0	12.0	105.0	65.0	40.0	0.0	12.0	115.0	2.0	113.0	0.0
MZ334513	117.0	39.0	78.0	0.0	6.0	7.0	4.0	0.0	3.0	60.0	25.0	0.0	35.0	118.0	72.0	46.0	0.0	15.0	107.0	67.0	40.0	0.0	13.0	119.0	2.0	117.0	0.0
MZ334514	112.0	34.0	74.0	4.0	5.0	8.0	5.0	0.0	3.0	55.0	23.0	0.0	32.0	109.0	68.0	41.0	0.0	12.0	101.0	63.0	38.0	0.0	12.0	114.0	2.0	112.0	0.0
MZ334515	114.0	36.0	75.0	3.0	5.0	7.0	5.0	0.0	2.0	57.0	22.0	0.0	35.0	114.0	71.0	43.0	0.0	11.0						116.0	2.0	114.0	0.0
MZ334516	114.0	35.0	76.0	3.0	5.0	7.0	5.0	0.0	2.0	57.0	23.0	0.0	34.0	115.0	71.0	44.0	0.0	12.0						115.0	3.0	112.0	0.0
MZ334517	102.0	21.0	72.0	9.0	1.0	5.0	3.0	0.0	2.0	47.0	12.0	0.0	35.0	101.0	32.0	69.0	0.0	6.0	90.0	30.0	60.0	0.0	6.0	102.0	1.0	101.0	0.0
MZ334518	100.0	23.0	73.0	4.0	2.0	5.0	3.0	0.0	2.0	53.0	15.0	0.0	38.0	106.0	34.0	72.0	0.0	8.0	90.0	32.0	58.0	0.0	8.0	100.0	1.0	99.0	0.0
MZ334519	97.0	24.0	72.0	1.0	2.0	5.0	3.0	0.0	2.0	51.0	15.0	0.0	36.0	100.0	34.0	66.0	0.0	9.0	89.0	32.0	57.0	0.0	8.0	98.0	2.0	96.0	0.0
MZ334520	97.0	24.0	72.0	1.0	2.0	5.0	3.0	0.0	2.0	51.0	15.0	0.0	36.0	100.0	34.0	66.0	0.0	9.0						98.0	2.0	96.0	0.0
MZ334521	96.0	31.0	65.0	0.0	2.0	8.0	3.0	0.0	5.0	42.0	14.0	0.0	28.0	95.0	56.0	39.0	0.0	9.0	82.0	49.0	33.0	0.0	9.0	97.0	1.0	96.0	0.0
MZ334522	95.0	32.0	60.0	3.0	1.0	7.0	1.0	0.0	6.0	40.0	14.0	0.0	26.0	104.0	55.0	49.0	0.0	8.0						93.0	1.0	92.0	0.0
MZ334523	160.0	41.0	116.0	3.0	12.0	6.0	5.0	0.0	1.0	86.0	47.0	0.0	39.0	166.0	65.0	101.0	0.0	25.0						163.0	1.0	162.0	0.0
MZ334524	155.0	36.0	111.0	8.0	15.0	8.0	6.0	0.0	2.0	82.0	42.0	0.0	40.0	156.0	80.0	76.0	0.0	28.0	133.0	73.0	60.0	0.0	28.0	155.0	2.0	153.0	0.0
MZ334525	102.0	32.0	69.0	1.0	4.0	7.0	4.0	0.0	3.0	37.0	11.0	0.0	26.0	112.0	31.0	81.0	0.0	9.0						105.0	3.0	102.0	0.0
MZ334526	67.0	17.0	50.0	0.0	3.0	7.0	2.0	0.0	5.0	28.0	6.0	0.0	22.0	61.0	44.0	17.0	0.0	5.0						67.0	0.0	67.0	0.0
MZ334527	71.0	20.0	50.0	1.0	1.0	7.0	4.0	0.0	3.0	34.0	13.0	0.0	21.0	76.0	23.0	53.0	0.0	6.0	64.0	23.0	41.0	0.0	6.0	71.0	1.0	70.0	0.0
MZ334528	67.0	16.0	50.0	1.0	3.0	6.0	2.0	0.0	4.0	28.0	8.0	0.0	20.0	70.0	27.0	43.0	0.0	5.0						68.0	0.0	68.0	0.0
