Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	DRAM-KO_count	InterProScan-ORF_count	InterProScan-Annotated	InterProScan-Hypothetical	InterProScan-Unknown	InterProScan_pro-ORF_count	InterProScan_pro-Annotated	InterProScan_pro-Hypothetical	InterProScan_pro-Unknown	Metacerberus-ORF_count	Metacerberus-Annotated	Metacerberus-Hypothetical	Metacerberus-Unknown	Metacerberus-KO_count	PROKKA-ORF_count	PROKKA-Annotated	PROKKA-Hypothetical	PROKKA-Unknown
GCA_016703265.1	4059.0	3015.0	6.0	1038.0	1583.0	163.0	92.0	0.0	71.0	3557.0	3196.0	6.0	355.0	4051.0	2713.0	885.0	453.0	2561.0	4089.0	1751.0	2338.0	0.0
GCA_017306415.1	3532.0	2988.0	5.0	539.0	1701.0	104.0	51.0	0.0	53.0	3248.0	3066.0	0.0	182.0	3531.0	2763.0	571.0	197.0	2614.0	3577.0	1956.0	1621.0	0.0
GCA_017451685.1	1335.0	1045.0	10.0	280.0	681.0	302.0	278.0	0.0	24.0	1226.0	1122.0	2.0	102.0	1359.0	959.0	327.0	73.0	923.0	1370.0	734.0	636.0	0.0
GCA_017540265.1	1639.0	1338.0	3.0	298.0	841.0	413.0	382.0	0.0	31.0	1500.0	1395.0	0.0	105.0	1648.0	1239.0	297.0	112.0	1184.0	1619.0	890.0	729.0	0.0
GCA_018266085.1	1077.0	590.0	2.0	485.0	376.0	162.0	132.0	0.0	30.0	802.0	657.0	0.0	145.0	1078.0	557.0	435.0	86.0	535.0	1105.0	443.0	662.0	0.0
GCA_018660835.1	6018.0	4704.0	23.0	1291.0	2110.0	713.0	583.0	1.0	129.0	5387.0	4980.0	6.0	401.0	6020.0	4341.0	1096.0	583.0	4116.0	6036.0	2670.0	3366.0	0.0
GCA_019118725.1	2205.0	1785.0	14.0	406.0	1048.0	1620.0	1450.0	2.0	168.0	1965.0	1859.0	5.0	101.0	2209.0	1587.0	475.0	147.0	1508.0	2057.0	1068.0	989.0	0.0
GCA_019456225.1	3618.0	2522.0	2.0	1094.0	1330.0	875.0	710.0	1.0	164.0	3059.0	2744.0	3.0	312.0	3697.0	2345.0	1028.0	324.0	2211.0	3684.0	1499.0	2185.0	0.0
GCA_020432105.1	3140.0	2369.0	3.0	768.0	1154.0	2531.0	1242.0	0.0	1289.0	2993.0	2742.0	1.0	250.0	3442.0	2386.0	727.0	329.0	2244.0	3301.0	1459.0	1842.0	0.0
GCA_021814805.1	534.0	396.0	1.0	137.0	253.0	179.0	158.0	0.0	21.0	472.0	438.0	0.0	34.0	558.0	379.0	126.0	53.0	370.0	561.0	306.0	255.0	0.0
GCA_021818025.1	2086.0	1721.0	3.0	362.0	1046.0	1118.0	569.0	0.0	549.0	1882.0	1790.0	1.0	91.0	2094.0	1647.0	325.0	122.0	1584.0	2082.0	1245.0	837.0	0.0
GCA_022706865.1	1715.0	1434.0	6.0	275.0	961.0	863.0	824.0	0.0	39.0	1585.0	1524.0	1.0	60.0	1728.0	1384.0	260.0	84.0	1312.0	1640.0	985.0	655.0	0.0
GCA_022773825.1	1724.0	1451.0	7.0	266.0	910.0	677.0	614.0	0.0	63.0	1625.0	1538.0	2.0	85.0	1770.0	1329.0	345.0	96.0	1275.0	1753.0	977.0	776.0	0.0
GCA_022793875.1	1939.0	1242.0	6.0	691.0	693.0	366.0	334.0	0.0	32.0	1498.0	1312.0	7.0	179.0	1909.0	1118.0	586.0	205.0	1010.0	1917.0	731.0	1186.0	0.0
GCA_024347335.1	4869.0	4167.0	12.0	690.0	2848.0	16.0	16.0	0.0	0.0	4478.0	4299.0	10.0	169.0	4907.0	3827.0	862.0	218.0	3611.0	5081.0	3178.0	1903.0	0.0
GCA_024696245.1	2340.0	1768.0	5.0	567.0	1078.0	906.0	837.0	2.0	67.0	2088.0	1889.0	4.0	195.0	2346.0	1661.0	510.0	175.0	1589.0	2274.0	1130.0	1144.0	0.0
GCA_024998595.1	4061.0	2948.0	5.0	1108.0	1757.0	112.0	103.0	0.0	9.0	3432.0	3114.0	5.0	313.0	4037.0	2695.0	1035.0	307.0	2551.0	4061.0	1845.0	2216.0	0.0
GCA_900313335.1	1498.0	1182.0	5.0	311.0	682.0	936.0	829.0	0.0	107.0	1395.0	1296.0	2.0	97.0	1565.0	1095.0	358.0	112.0	1053.0	1477.0	747.0	730.0	0.0
GCA_900317585.1	2402.0	1894.0	7.0	501.0	1207.0	367.0	349.0	0.0	18.0	2085.0	1967.0	2.0	116.0	2385.0	1699.0	526.0	160.0	1595.0	2405.0	1233.0	1172.0	0.0
GCA_900540705.1	1592.0	1217.0	7.0	368.0	727.0	432.0	409.0	0.0	23.0	1384.0	1293.0	2.0	89.0	1585.0	1140.0	342.0	103.0	1078.0	1568.0	817.0	751.0	0.0
GCA_900545455.1	2604.0	2099.0	4.0	501.0	1222.0	1392.0	1301.0	0.0	91.0	2306.0	2160.0	1.0	145.0	2612.0	1919.0	502.0	191.0	1820.0	2409.0	1227.0	1182.0	0.0
GCA_900696545.1	2637.0	1865.0	4.0	768.0	1050.0	452.0	212.0	1.0	239.0	2317.0	2058.0	3.0	256.0	2640.0	1734.0	628.0	278.0	1650.0	2653.0	1116.0	1537.0	0.0
GCA_900753645.1	819.0	615.0	2.0	202.0	385.0	725.0	670.0	1.0	54.0	829.0	773.0	1.0	55.0	1002.0	699.0	223.0	80.0	652.0	834.0	453.0	381.0	0.0
GCA_900761615.1	1683.0	1426.0	2.0	255.0	901.0	1029.0	691.0	0.0	338.0	1550.0	1471.0	3.0	76.0	1666.0	1361.0	204.0	101.0	1306.0	1628.0	998.0	630.0	0.0
GCA_902553145.1	1405.0	1232.0	2.0	171.0	802.0	116.0	113.0	0.0	3.0	1335.0	1290.0	3.0	42.0	1425.0	1179.0	164.0	82.0	1147.0	1445.0	970.0	475.0	0.0
GCA_902784685.1	1565.0	1283.0	5.0	277.0	809.0	946.0	898.0	0.0	48.0	1474.0	1411.0	2.0	61.0	1656.0	1251.0	289.0	116.0	1172.0	1482.0	854.0	628.0	0.0
GCA_903834705.1	1383.0	1205.0	2.0	176.0	805.0	774.0	710.0	0.0	64.0	1344.0	1303.0	0.0	41.0	1426.0	1196.0	152.0	78.0	1166.0	1376.0	952.0	424.0	0.0
GCA_903868845.1	786.0	507.0	2.0	277.0	276.0	596.0	521.0	0.0	75.0	685.0	616.0	0.0	69.0	887.0	505.0	280.0	102.0	480.0	807.0	331.0	476.0	0.0
GCA_903895695.1	5023.0	3583.0	23.0	1417.0	1704.0	1699.0	1035.0	0.0	664.0	4377.0	3954.0	9.0	414.0	5170.0	3300.0	1323.0	547.0	3044.0	5108.0	1885.0	3223.0	0.0
GCA_903908265.1	3077.0	2644.0	8.0	425.0	1762.0	1206.0	965.0	0.0	241.0	2893.0	2775.0	7.0	111.0	3125.0	2563.0	401.0	161.0	2458.0	3086.0	1861.0	1225.0	0.0
GCA_903954045.1	4236.0	3497.0	6.0	733.0	2212.0	3130.0	2329.0	0.0	801.0	4190.0	3988.0	5.0	197.0	4650.0	3573.0	785.0	292.0	3400.0	4416.0	2211.0	2205.0	0.0
GCA_905221215.1	1841.0	1579.0	9.0	253.0	1122.0	329.0	205.0	2.0	122.0	1712.0	1645.0	9.0	58.0	1919.0	1489.0	361.0	69.0	1391.0	1857.0	1197.0	660.0	0.0
GCA_905480645.1	2877.0	2497.0	9.0	371.0	1701.0	465.0	442.0	2.0	21.0	2638.0	2567.0	8.0	63.0	2872.0	2416.0	353.0	103.0	2305.0	2871.0	1786.0	1085.0	0.0
GCA_910574915.1	5511.0	3999.0	7.0	1505.0	1960.0	1214.0	994.0	3.0	217.0	4707.0	4264.0	15.0	428.0	5661.0	3398.0	1747.0	516.0	3123.0	5534.0	2139.0	3395.0	0.0
GCA_910579215.1	1667.0	1225.0	8.0	434.0	739.0	156.0	143.0	0.0	13.0	1393.0	1295.0	1.0	97.0	1656.0	1128.0	412.0	116.0	1059.0	1688.0	847.0	841.0	0.0
GCA_934359835.1	2676.0	2237.0	10.0	429.0	1411.0	401.0	381.0	1.0	19.0	2443.0	2324.0	2.0	117.0	2635.0	2066.0	397.0	172.0	1935.0	2632.0	1489.0	1143.0	0.0
GCA_934394595.1	2677.0	2164.0	9.0	504.0	1304.0	1354.0	1220.0	3.0	131.0	2442.0	2288.0	6.0	148.0	2734.0	2013.0	536.0	185.0	1893.0	2562.0	1376.0	1186.0	0.0
GCF_000372445.1	2099.0	1699.0	1.0	399.0	1133.0	44.0	29.0	0.0	15.0	1904.0	1759.0	1.0	144.0	2123.0	1565.0	429.0	129.0	1473.0	2154.0	1238.0	916.0	0.0
GCF_000455205.1	6072.0	5146.0	9.0	917.0	2477.0	1366.0	699.0	1.0	666.0	5681.0	5320.0	9.0	352.0	6161.0	4537.0	1213.0	411.0	4263.0	6091.0	3390.0	2701.0	0.0
GCF_000688235.1	3924.0	3293.0	8.0	623.0	2225.0	465.0	432.0	1.0	32.0	3606.0	3410.0	4.0	192.0	3978.0	3145.0	620.0	213.0	2993.0	3952.0	2210.0	1742.0	0.0
GCF_000964005.1	4464.0	3716.0	3.0	745.0	2048.0	376.0	218.0	0.0	158.0	4114.0	3807.0	7.0	300.0	4464.0	3346.0	820.0	298.0	3157.0	4482.0	2373.0	2109.0	0.0
GCF_001028705.1	3828.0	3049.0	9.0	770.0	1930.0	23.0	22.0	0.0	1.0	3419.0	3174.0	7.0	238.0	3881.0	2834.0	801.0	246.0	2550.0	3924.0	1917.0	2007.0	0.0
GCF_001433855.1	2434.0	1996.0	4.0	434.0	1257.0	68.0	65.0	0.0	3.0	2158.0	2073.0	3.0	82.0	2439.0	1893.0	437.0	109.0	1736.0	2489.0	1483.0	1006.0	0.0
GCF_001767255.1	2123.0	1743.0	3.0	377.0	1180.0	7.0	7.0	0.0	0.0	1979.0	1834.0	2.0	143.0	2176.0	1615.0	436.0	125.0	1526.0	2222.0	1293.0	929.0	0.0
GCF_001968815.1	5181.0	4328.0	9.0	844.0	2872.0	464.0	383.0	0.0	81.0	4711.0	4492.0	7.0	212.0	5299.0	4037.0	999.0	263.0	3864.0	5297.0	2918.0	2379.0	0.0
GCF_001975825.1	7061.0	5134.0	19.0	1908.0	2613.0	1237.0	1075.0	1.0	161.0	6018.0	5515.0	8.0	495.0	7398.0	4630.0	2263.0	505.0	4325.0	7233.0	2763.0	4470.0	0.0
GCF_002154375.1	7564.0	5886.0	18.0	1660.0	2989.0	8632.0	2464.0	4.0	6164.0	7464.0	6635.0	6.0	823.0	8350.0	5617.0	2083.0	650.0	5242.0	7702.0	3337.0	4365.0	0.0
GCF_002746455.1	5828.0	4523.0	8.0	1297.0	2676.0	675.0	575.0	1.0	99.0	5057.0	4766.0	3.0	288.0	5904.0	4025.0	1537.0	342.0	3667.0	5889.0	3014.0	2875.0	0.0
GCF_003144535.1	3475.0	3026.0	8.0	441.0	2319.0	165.0	155.0	0.0	10.0	3201.0	3085.0	8.0	108.0	3421.0	2823.0	486.0	112.0	2649.0	3491.0	2485.0	1006.0	0.0
GCF_003207795.1	3510.0	2623.0	5.0	882.0	1725.0	624.0	414.0	2.0	208.0	3001.0	2731.0	11.0	259.0	3514.0	2522.0	809.0	183.0	2342.0	3539.0	1825.0	1714.0	0.0
GCF_003614925.1	4024.0	3397.0	7.0	620.0	1988.0	732.0	353.0	0.0	379.0	3734.0	3509.0	2.0	223.0	4045.0	3192.0	649.0	204.0	3018.0	4070.0	2276.0	1794.0	0.0
GCF_004307425.1	2223.0	1922.0	8.0	293.0	1139.0	44.0	42.0	0.0	2.0	2057.0	1972.0	5.0	80.0	2229.0	1721.0	378.0	130.0	1654.0	2266.0	1247.0	1019.0	0.0
GCF_004354555.1	1832.0	1518.0	5.0	309.0	1018.0	66.0	63.0	0.0	3.0	1617.0	1558.0	3.0	56.0	1802.0	1460.0	269.0	73.0	1351.0	1903.0	1219.0	684.0	0.0
GCF_007677725.1	4549.0	3930.0	17.0	602.0	2825.0	364.0	158.0	0.0	206.0	4223.0	4023.0	13.0	187.0	4579.0	3652.0	785.0	142.0	3439.0	4635.0	2821.0	1814.0	0.0
GCF_007954425.1	3037.0	2579.0	6.0	452.0	1634.0	8.0	7.0	0.0	1.0	2809.0	2657.0	6.0	146.0	3049.0	2436.0	468.0	145.0	2294.0	3091.0	1687.0	1404.0	0.0
GCF_013415425.1	1428.0	1152.0	6.0	270.0	802.0	673.0	560.0	0.0	113.0	1443.0	1367.0	2.0	74.0	1625.0	1221.0	293.0	111.0	1125.0	1483.0	930.0	553.0	0.0
GCF_014635985.1	2525.0	2173.0	11.0	341.0	1464.0	195.0	173.0	0.0	22.0	2298.0	2218.0	0.0	80.0	2478.0	2071.0	318.0	89.0	1913.0	2528.0	1596.0	932.0	0.0
GCF_014851765.1	5857.0	5116.0	20.0	721.0	3552.0	145.0	62.0	0.0	83.0	5477.0	5223.0	16.0	238.0	5860.0	4799.0	884.0	177.0	4565.0	5913.0	3651.0	2262.0	0.0
GCF_017877135.1	4803.0	4233.0	11.0	559.0	2787.0	128.0	102.0	0.0	26.0	4500.0	4316.0	10.0	174.0	4763.0	4081.0	522.0	160.0	3826.0	4808.0	2855.0	1953.0	0.0
GCF_020075545.1	3723.0	2941.0	8.0	774.0	1725.0	125.0	48.0	0.0	77.0	3361.0	3035.0	5.0	321.0	3697.0	2676.0	762.0	259.0	2522.0	3738.0	1876.0	1862.0	0.0
GCF_022267555.1	3346.0	2520.0	9.0	817.0	1413.0	8.0	8.0	0.0	0.0	2876.0	2637.0	2.0	237.0	3364.0	2167.0	933.0	264.0	2011.0	3400.0	1457.0	1943.0	0.0
GCF_022549495.1	3175.0	2497.0	9.0	669.0	1682.0	148.0	135.0	0.0	13.0	2758.0	2595.0	5.0	158.0	3149.0	2273.0	731.0	145.0	2134.0	3199.0	1783.0	1416.0	0.0
GCF_022919155.1	3295.0	2753.0	4.0	538.0	1581.0	8.0	2.0	0.0	6.0	3013.0	2815.0	1.0	197.0	3276.0	2635.0	480.0	161.0	2463.0	3334.0	1874.0	1460.0	0.0
GCF_900099645.1	4274.0	3684.0	17.0	573.0	2620.0	117.0	106.0	0.0	11.0	3953.0	3768.0	11.0	174.0	4274.0	3378.0	748.0	148.0	3194.0	4322.0	2516.0	1806.0	0.0
GCF_900108295.1	4016.0	3334.0	10.0	672.0	2014.0	39.0	29.0	0.0	10.0	3671.0	3468.0	8.0	195.0	4009.0	3136.0	650.0	223.0	2909.0	4060.0	2088.0	1972.0	0.0
