Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	DRAM-KO_count	InterProScan-ORF_count	InterProScan-Annotated	InterProScan-Hypothetical	InterProScan-Unknown	InterProScan_pro-ORF_count	InterProScan_pro-Annotated	InterProScan_pro-Hypothetical	InterProScan_pro-Unknown	Metacerberus-ORF_count	Metacerberus-Annotated	Metacerberus-Hypothetical	Metacerberus-Unknown	Metacerberus-KO_count	PROKKA-ORF_count	PROKKA-Annotated	PROKKA-Hypothetical	PROKKA-Unknown
NC_032616.1	1.0	1.0	0.0	0.0	0.0	3.0	1.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_032816.1	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_032825.1	2.0	0.0	2.0	0.0	0.0	4.0	2.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0
NC_032894.1	2.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0
NC_032950.1	2.0	1.0	1.0	0.0	0.0	3.0	1.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0
NC_032961.1	2.0	0.0	2.0	0.0	0.0	3.0	1.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0
NC_033128.1	2.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0
NC_033280.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
NC_033436.1	5.0	1.0	4.0	0.0	0.0	2.0	2.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0
NC_033469.1	6.0	3.0	3.0	0.0	0.0	5.0	3.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	6.0	0.0	6.0	0.0
NC_033709.1	4.0	0.0	4.0	0.0	0.0	4.0	1.0	0.0	3.0					0.0	0.0	0.0	0.0	0.0	4.0	1.0	3.0	0.0
NC_033745.1	6.0	6.0	0.0	0.0	1.0	6.0	4.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	6.0	5.0	1.0	0.0
NC_033750.1						2.0	2.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0
NC_034247.1	4.0	4.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	4.0	1.0	3.0	0.0
NC_034252.1	3.0	3.0	0.0	0.0	0.0	4.0	1.0	0.0	3.0					0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0
NC_034531.1	10.0	5.0	5.0	0.0	1.0	4.0	4.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	10.0	2.0	8.0	0.0
NC_034972.1	9.0	9.0	0.0	0.0	1.0	6.0	6.0	0.0	0.0	7.0	7.0	0.0	0.0	10.0	7.0	3.0	0.0	6.0	9.0	3.0	6.0	0.0
NC_035207.1	25.0	25.0	0.0	0.0	15.0	8.0	8.0	0.0	0.0	22.0	22.0	0.0	0.0	31.0	21.0	6.0	4.0	5.0	25.0	16.0	9.0	0.0
NC_035464.1	24.0	10.0	14.0	0.0	0.0	4.0	0.0	0.0	4.0					0.0	0.0	0.0	0.0	0.0	24.0	0.0	24.0	0.0
NC_038380.1	4.0	1.0	2.0	1.0	0.0	3.0	2.0	0.0	1.0					0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0
NC_038616.1						1.0	1.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
NC_038816.1						3.0	1.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
NC_038907.1						3.0	0.0	0.0	3.0					0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
NC_039014.1	6.0	6.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	6.0	3.0	3.0	0.0
NC_039020.1	5.0	5.0	0.0	0.0	1.0	7.0	4.0	0.0	3.0					0.0	0.0	0.0	0.0	0.0	5.0	3.0	2.0	0.0
NC_039206.1	5.0	5.0	0.0	0.0	2.0	6.0	4.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	0.0
NC_040542.1	4.0	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0
NC_042069.1	6.0	2.0	4.0	0.0	0.0	3.0	0.0	0.0	3.0					0.0	0.0	0.0	0.0	0.0	6.0	3.0	3.0	0.0
NC_042113.1	174.0	39.0	135.0	0.0	4.0	7.0	6.0	0.0	1.0	58.0	32.0	1.0	25.0	173.0	74.0	99.0	0.0	18.0	188.0	18.0	170.0	0.0
NC_042347.1	37.0	17.0	20.0	0.0	0.0	5.0	1.0	0.0	4.0	10.0	4.0	0.0	6.0	40.0	3.0	36.0	1.0	0.0	37.0	0.0	37.0	0.0
NC_043234.1						1.0	1.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
NC_043264.1	6.0	6.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	8.0	0.0	7.0	1.0	0.0	6.0	0.0	6.0	0.0
NC_043265.1						0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NC_043379.1						2.0	1.0	0.0	1.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NC_044941.1	165.0	135.0	22.0	8.0	11.0	8.0	5.0	0.0	3.0	104.0	86.0	0.0	18.0	164.0	149.0	12.0	3.0	39.0	162.0	47.0	115.0	0.0
NC_044946.1	164.0	152.0	6.0	6.0	10.0	8.0	5.0	0.0	3.0	106.0	87.0	0.0	19.0	162.0	147.0	10.0	5.0	36.0	160.0	48.0	112.0	0.0
NC_048136.1	50.0	35.0	15.0	0.0	8.0	6.0	5.0	0.0	1.0	30.0	28.0	0.0	2.0	45.0	34.0	11.0	0.0	9.0	50.0	22.0	28.0	0.0
NC_048672.1	54.0	24.0	30.0	0.0	3.0	7.0	4.0	0.0	3.0	25.0	14.0	0.0	11.0	54.0	39.0	14.0	1.0	7.0	54.0	3.0	51.0	0.0
NC_048778.1	55.0	13.0	40.0	2.0	5.0	6.0	1.0	0.0	5.0	26.0	8.0	0.0	18.0	52.0	43.0	7.0	2.0	7.0	55.0	0.0	55.0	0.0
NC_048877.1	55.0	15.0	38.0	2.0	3.0	6.0	1.0	0.0	5.0	29.0	9.0	0.0	20.0	55.0	48.0	6.0	1.0	6.0	54.0	0.0	54.0	0.0
NC_049446.1	55.0	30.0	25.0	0.0	5.0	8.0	8.0	0.0	0.0	26.0	22.0	0.0	4.0	55.0	32.0	23.0	0.0	6.0	56.0	14.0	42.0	0.0
NC_049833.1	79.0	40.0	39.0	0.0	3.0	8.0	8.0	0.0	0.0	35.0	30.0	0.0	5.0	77.0	49.0	28.0	0.0	9.0	79.0	3.0	76.0	0.0
NC_049965.1	25.0	18.0	7.0	0.0	2.0	8.0	7.0	0.0	1.0					0.0	0.0	0.0	0.0	0.0	25.0	18.0	7.0	0.0
NC_053514.1	141.0	47.0	94.0	0.0	9.0	7.0	3.0	0.0	4.0	48.0	28.0	0.0	20.0	148.0	93.0	54.0	1.0	13.0	160.0	23.0	137.0	0.0
NC_054681.1	72.0	29.0	42.0	1.0	5.0	7.0	3.0	0.0	4.0	34.0	21.0	0.0	13.0	72.0	35.0	36.0	1.0	10.0	72.0	1.0	71.0	0.0
NC_054791.1	92.0	44.0	46.0	2.0	3.0	6.0	2.0	0.0	4.0	51.0	33.0	0.0	18.0	92.0	66.0	23.0	3.0	14.0	91.0	7.0	84.0	0.0
NC_055130.1	4.0	4.0	0.0	0.0	0.0	8.0	6.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	4.0	1.0	3.0	0.0
NC_055285.1						6.0	1.0	0.0	5.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_055460.1	6.0	6.0	0.0	0.0	1.0	5.0	3.0	0.0	2.0					0.0	0.0	0.0	0.0	0.0	6.0	2.0	4.0	0.0
NC_055555.1	84.0	55.0	14.0	15.0	6.0	8.0	6.0	0.0	2.0	71.0	59.0	0.0	12.0	95.0	67.0	27.0	1.0	29.0	91.0	20.0	71.0	0.0
NC_055573.1	4.0	4.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	4.0	2.0	2.0	0.0
NC_055609.1						0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_055655.1	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NC_061433.1	59.0	31.0	27.0	1.0	2.0	6.0	6.0	0.0	0.0										58.0	9.0	49.0	0.0
