#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG00070	36	12	Xh	sp|Q9FN03|UVR8_ARATH Ultraviolet-B receptor UVR8
VOG00071	409	404	XpXrXs	sp|O48446|HCP16_BPSPP Head completion protein gp16
VOG00072	67	34	Xh	sp|Q5UP79|YR008_MIMIV Uncharacterized putative helicase R8
VOG00073	882	856	Xu	sp|P04536|EXOD_BPT4 Exodeoxyribonuclease
VOG00074	188	112	Xr	sp|P54992|YSNA_STRPR Putative RNA-guided DNA endonuclease
VOG00075	102	76	Xu	REFSEQ hypothetical protein
VOG00076	86	84	Xs	sp|P85991|IGLVP_BPSK9 Ig-like virion protein
VOG00077	528	527	XhXs	sp|O64333|TIPK_BPN15 Tail tip assembly protein K
VOG00078	212	206	XhXs	sp|Q7Y5D9|COLLR_BPT5 Collar protein p132
VOG00079	45	45	Xu	REFSEQ endolysin
VOG00080	91	14	Xu	REFSEQ hypothetical protein
VOG00081	113	109	Xh	sp|Q5UPZ9|GNA1_MIMIV Probable glucosamine 6-phosphate N-acetyltransferase
VOG00082	178	178	Xu	REFSEQ nucleotidyltransferase
VOG00083	56	55	Xh	sp|Q8R5N7|KPTA_FUSNN Probable RNA 2'-phosphotransferase
VOG00084	1361	1266	XhXr	sp|P22877|INTR_SACER Integrase
VOG00085	108	60	XhXs	sp|A0A7H0DND3|PG162_MONPV Protein OPG162
VOG00086	70	70	Xu	REFSEQ hypothetical protein
VOG00087	171	167	Xu	REFSEQ hypothetical protein
VOG00088	187	178	Xu	REFSEQ hypothetical protein
VOG00089	195	74	Xu	REFSEQ hypothetical protein
VOG00090	194	141	Xu	sp|P03756|EA22_LAMBD Protein ea22
VOG00091	93	70	Xu	REFSEQ hypothetical protein
VOG00092	66	13	Xh	sp|Q54AX5|LRRA_DICDI Leucine-rich repeat protein lrrA
VOG00093	102	88	Xh	sp|Q5UQC1|YL232_MIMIV Putative serine/threonine-protein kinase L232
VOG00094	505	473	Xh	sp|P04305|PG117_VACCW Uncoating factor OPG117
VOG00095	30	28	Xu	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245
VOG00096	179	175	Xu	sp|P03770|NING_LAMBD Protein ninG
VOG00097	171	171	XhXs	sp|Q9E785|MATRX_BEFVB Matrix protein
VOG00098	253	140	Xh	sp|Q9EQC1|3BHS7_MOUSE 3 beta-hydroxysteroid dehydrogenase type 7
VOG00099	81	16	Xu	sp|F5H9I4|US13_HCMVM Membrane protein US13
VOG00100	84	44	Xh	sp|P68636|CRMB_CAMPM Soluble TNF receptor II
VOG00101	113	113	Xs	sp|Q918W0|TGB3_ICRSV Movement protein TGBp3
VOG00102	343	339	XhXr	sp|Q07846|VE1_HPV04 Replication protein E1
VOG00103	283	282	Xu	REFSEQ head closure Hc1
VOG00104	1431	1085	XhXp	sp|P06855|KIPN_BPT4 Polynucleotide kinase
VOG00105	157	150	Xu	sp|P20319|V55_BPT3 Gene 5.5 protein
VOG00106	819	818	Xu	sp|O64216|VG22_BPMD2 Gene 22 protein
VOG00107	165	161	Xu	sp|P21290|ADPP_NPVAC Protein ADP-ribose pyrophosphatase ORF38
VOG00108	23	20	Xh	sp|P18708|NSF_CRIGR Vesicle-fusing ATPase
VOG00109	1154	1133	XhXpXrXs	sp|Q6QGD5|PORTL_BPT5 Portal protein
VOG00110	28	26	XhXpXs	sp|P51735|FIB31_BPHC1 Probable tail fiber protein
VOG00111	252	252	Xu	sp|P18679|RCRO_BPHK0 8.4 kDa cro protein
VOG00112	56	42	Xu	sp|O10293|Y030_NPVOP Uncharacterized 52.7 kDa protein
VOG00113	60	57	Xu	REFSEQ tail protein
VOG00114	56	21	Xu	REFSEQ hypothetical protein
VOG00115	124	73	Xu	sp|A4GZ95|ORF3_TTVG1 Uncharacterized ORF3 protein
VOG00116	36	35	XhXs	sp|P35986|L2MU_ADE12 Late L2 mu core protein
VOG00117	42	42	Xr	sp|D3WAC1|TERL_BPLP2 Terminase large subunit
VOG00118	72	60	Xu	REFSEQ replication initiation protein
VOG00119	58	51	Xu	REFSEQ hypothetical protein
VOG00120	41	6	Xu	sp|P16720|UL06_HCMVA Uncharacterized protein UL6
VOG00121	297	274	Xh	sp|P33658|RPSG_CLOAB RNA polymerase sigma-G factor
VOG00122	20	20	Xu	REFSEQ tail fiber protein
VOG00123	55	48	Xu	REFSEQ hypothetical protein
VOG00124	20	19	XpXs	sp|A0A0U3DL17|DPOL1_BPKIM Depolymerase 1, capsule K47-specific
VOG00125	615	507	XhXp	sp|P14243|MTC9_CITFR Type II methyltransferase M.Cfr9I
VOG00126	678	643	Xu	sp|P32276|Y12G_BPT4 Uncharacterized 17.1 kDa protein in Gp30-rIII intergenic region
VOG00127	258	248	Xu	sp|P10426|YIM2_BPPH1 Uncharacterized immunity region protein 2
VOG00128	4853	4724	XhXr	sp|P17312|TERL_BPT4 Terminase, large subunit
VOG00129	523	522	Xh	sp|A7IY64|ISAA_STAXY Probable transglycosylase IsaA
VOG00130	757	630	XhXr	sp|P04526|LOADL_BPT4 Sliding-clamp-loader large subunit
VOG00131	95	94	Xu	REFSEQ hypothetical protein
VOG00132	145	59	Xu	REFSEQ hypothetical protein
VOG00133	24	21	Xh	sp|P07072|TEV2_BPT4 Intron-associated endonuclease 2
VOG00134	38	8	Xu	REFSEQ hypothetical protein
VOG00135	33	33	Xu	REFSEQ hypothetical protein
VOG00136	47	43	Xu	REFSEQ tail protein
VOG00137	28	4	Xu	REFSEQ G protein-coupled receptor-6
VOG00138	88	83	Xu	REFSEQ hypothetical protein
VOG00139	546	198	Xu	sp|P39507|Y14D_BPT4 Uncharacterized 14.7 kDa protein in frd-Gp32 intergenic region
VOG00140	156	143	Xu	REFSEQ hypothetical protein
VOG00141	43	42	Xu	REFSEQ hypothetical protein
VOG00142	89	53	Xu	sp|P03049|RMNT_BPP22 Regulatory protein mnt
VOG00143	149	149	Xu	REFSEQ head scaffolding protein
VOG00144	133	128	Xu	sp|P14108|Y7K8_BPP22 Uncharacterized 7.8 kDa protein in ral-gp17 intergenic region
VOG00145	224	224	Xu	REFSEQ holin
VOG00146	80	80	Xu	REFSEQ hypothetical protein
VOG00147	23	23	XpXs	sp|P0DTN7|DEPOL_BPKB1 Depolymerase, capsule K2-specific
VOG00148	275	140	Xu	REFSEQ tail assembly chaperone
VOG00149	23	23	Xh	sp|P21542|CARE_STRTH 4''-mycarosyl isovaleryl-CoA transferase
VOG00150	218	213	Xu	sp|P32278|Y10B_BPT4 Uncharacterized 11.0 kDa protein in Gp24-hoc intergenic region
VOG00151	34	30	Xu	REFSEQ hypothetical protein
VOG00152	94	60	Xu	REFSEQ head maturation protease
VOG00153	77	35	Xu	sp|Q5UPM6|YR156_MIMIV Uncharacterized protein R156
VOG00154	298	295	Xs	sp|P03616|CAPSD_BPPRR Capsid protein
VOG00155	871	863	XhXp	sp|P04522|EXO2_BPT4 Exonuclease subunit 2
VOG00156	129	59	XhXpXs	sp|Q6SW98|UL33_HCMVM G-protein coupled receptor homolog UL33
VOG00157	22	22	XhXr	sp|P03690|VR2A_BPT4 Protein rIIA
VOG00158	250	250	Xu	REFSEQ Rz-like spanin
VOG00159	28	16	Xu	REFSEQ homing endonuclease
VOG00160	51	50	XhXr	sp|P03763|TARGB_BPMU ATP-dependent target DNA activator B
VOG00161	79	79	Xh	sp|Q605H3|CMOA_METCA Carboxy-S-adenosyl-L-methionine synthase
VOG00162	141	128	Xu	REFSEQ DNA primase
VOG00163	99	99	Xr	sp|Q00572|VSR_HELVS RNA silencing suppressor
VOG00164	50	49	Xu	REFSEQ hypothetical protein
VOG00165	25	23	Xp	sp|F5HGJ3|ARBH_HHV8P Apoptosis regulator Bcl-2 homolog
VOG00166	34	12	Xu	REFSEQ virion structural protein
VOG00167	42	42	XhXpXs	sp|P10930|FIB12_BPT4 Short tail fiber protein gp12
VOG00168	33	9	Xu	REFSEQ hypothetical protein
VOG00169	26	26	Xu	REFSEQ 3B
VOG00170	223	214	Xu	sp|Q87CA2|Y1186_XYLFT Uncharacterized protein PD_1186
VOG00171	186	171	Xu	REFSEQ hypothetical protein
VOG00172	29	4	Xu	REFSEQ hypothetical protein
VOG00173	23	21	Xu	REFSEQ HNH endonuclease
VOG00174	317	313	Xu	sp|Q8QL42|Y207_SIRV1 Uncharacterized protein 207
VOG00175	22	20	Xu	REFSEQ HNH endonuclease
VOG00176	493	491	Xu	REFSEQ hypothetical protein
VOG00177	24	22	Xu	REFSEQ pectate lyase
VOG00178	17	17	Xu	REFSEQ replication initiation protein
VOG00179	125	95	Xu	REFSEQ hypothetical protein
VOG00180	184	106	Xu	REFSEQ tail assembly chaperone
VOG00181	845	844	Xu	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44
VOG00182	55	51	XpXs	sp|A0A0A8J8S8|DPO13_BPK64 Depolymerase, capsule K21-specific
VOG00183	251	224	Xu	REFSEQ hypothetical protein
VOG00184	442	442	Xu	REFSEQ coat protein
VOG00185	18	17	Xu	REFSEQ tail length tape measure protein
VOG00186	15	15	Xu	REFSEQ maturation protein
VOG00187	15	15	Xu	sp|O64220|VG26_BPMD2 Minor tail protein Gp26
VOG00188	188	188	Xu	sp|P39251|Y16Q_BPT4 Uncharacterized 7.5 kDa protein in denB-rIIB intergenic region
VOG00189	228	227	XpXrXs	sp|P03724|GP14_BPT7 Internal virion protein gp14
VOG00190	24	6	Xu	REFSEQ hypothetical protein
VOG00191	178	151	XhXs	sp|P0DOL5|PG072_VAR67 Probable FAD-linked sulfhydryl oxidase OPG072
VOG00192	187	147	Xh	sp|O64252|PRXH_BPMD2 Putative non-heme haloperoxidase
VOG00193	108	101	Xh	sp|P55257|RMLA_YEREN Glucose-1-phosphate thymidylyltransferase
VOG00194	24	21	Xu	REFSEQ hypothetical protein
VOG00195	15	12	XhXr	sp|O64301|LOADL_BPR69 Sliding-clamp-loader large subunit
VOG00196	43	29	Xh	sp|P32839|BCS1_YEAST Mitochondrial chaperone BCS1
VOG00197	342	131	Xh	sp|P41436|IAP_GVCPM Apoptosis inhibitor IAP
VOG00198	622	241	Xu	sp|P13307|Y06B_BPT4 Uncharacterized 7.1 kDa protein in tk-vs intergenic region
VOG00199	75	69	XhXs	sp|Q5UQ50|COLL6_MIMIV Collagen-like protein 6
VOG00200	173	160	Xu	sp|Q5UQ73|YL509_MIMIV Uncharacterized protein L509
VOG00201	64	33	Xh	sp|Q6GZV6|019R_FRG3G Putative serine/threonine-protein kinase 019R
VOG00202	401	389	Xu	sp|P03720|VPIP_BPT4 Prehead core component PIP
VOG00203	25	7	Xu	REFSEQ hypothetical protein
VOG00204	35	11	Xu	sp|Q5UQH0|YR815_MIMIV Putative sel1-like repeat-containing protein R815
VOG00205	17	16	Xu	REFSEQ HNH endonuclease
VOG00206	107	107	Xu	REFSEQ membrane protein
VOG00207	64	62	Xu	REFSEQ hypothetical protein
VOG00208	42	38	Xu	REFSEQ hypothetical protein
VOG00209	75	75	Xu	REFSEQ hypothetical protein
VOG00210	22	22	Xu	REFSEQ hypothetical protein
VOG00211	35	11	Xu	REFSEQ hypothetical protein
VOG00212	47	11	Xu	sp|Q5UPE6|YR069_MIMIV Uncharacterized protein R69
VOG00213	16	16	XhXp	sp|P00476|MTBS_BPSPR Orphan methyltransferase M.SPRI
VOG00214	132	131	XpXs	sp|O56129|CAPSD_PCV2 Capsid protein
VOG00215	60	60	Xu	REFSEQ hypothetical protein
VOG00216	263	258	Xu	sp|Q05247|VG37_BPML5 Gene 37 protein
VOG00217	185	184	XhXr	sp|P14972|REP_CLVN Replication-associated protein
VOG00218	135	27	Xp	sp|P21070|A52_VACCC Protein A52
VOG00219	36	36	Xu	sp|P44193|Y1422_HAEIN Uncharacterized protein HI_1422
VOG00220	25	13	Xu	REFSEQ hypothetical protein
VOG00221	71	68	Xu	sp|A4VNI2|Y2887_STUS1 Uncharacterized protein PST_2887
VOG00222	17	17	XhXr	sp|P03692|HELIC_BPT7 DNA helicase/primase
VOG00223	1053	1052	XpXrXs	sp|O64207|PORTL_BPMD2 Portal protein
VOG00224	175	152	Xu	REFSEQ hypothetical protein
VOG00225	38	38	Xu	REFSEQ hypothetical protein
VOG00226	27	25	Xu	sp|P59193|YFDT_SHIFL Uncharacterized protein YfdT
VOG00227	67	67	Xu	REFSEQ hypothetical protein
VOG00228	38	38	Xu	REFSEQ hypothetical protein
VOG00229	116	116	Xu	REFSEQ hypothetical protein
VOG00230	13	12	Xu	sp|P45918|YQBB_BACSU Uncharacterized protein YqbB
VOG00231	23	23	XhXr	sp|P03690|VR2A_BPT4 Protein rIIA
VOG00232	105	105	Xu	REFSEQ hypothetical protein
VOG00233	14	13	Xu	REFSEQ hypothetical protein
VOG00234	27	8	Xu	REFSEQ hypothetical protein
VOG00235	32	17	Xu	sp|P20198|A45_SSV1 Uncharacterized protein A-45
VOG00236	29	17	XhXs	sp|Q5UQ90|YL532_MIMIV Cytochrome P450-like protein L532
VOG00237	135	132	Xu	sp|O31968|YOMP_BACSU SPbeta prophage-derived uncharacterized protein YomP
VOG00238	1405	603	XpXs	sp|P36278|CAPSD_TLCVA Capsid protein
VOG00239	43	39	Xu	REFSEQ hypothetical protein
VOG00240	766	761	Xu	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29
VOG00241	18	18	Xu	REFSEQ hypothetical protein
VOG00242	151	134	Xu	sp|O10310|Y053_NPVOP Uncharacterized 17.0 kDa protein
VOG00243	25	25	Xh	sp|Q00092|HELI_ICHVA Probable ATP-dependent helicase 25
VOG00244	233	233	Xu	sp|Q9P9T2|Y1581_XYLFA Uncharacterized protein XF_1581/XF_1686
VOG00245	63	22	XpXs	sp|P06725|PP65_HCMVA 65 kDa phosphoprotein
VOG00246	20	13	Xu	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245
VOG00247	133	128	XhXp	sp|Q6XQ99|HOLIN_BPT1 Holin
VOG00248	40	36	Xu	REFSEQ hypothetical protein
VOG00249	237	235	Xu	sp|O31977|YOMH_BACSU SPbeta prophage-derived uncharacterized protein YomH
VOG00250	72	70	Xu	sp|Q196V5|VF359_IIV3 Uncharacterized protein 105R
VOG00251	54	37	Xu	sp|O31940|YONU_BACSU SPbeta prophage-derived uncharacterized protein YonU
VOG00252	281	95	Xu	REFSEQ hypothetical protein
VOG00253	407	404	Xu	REFSEQ baseplate protein
VOG00254	219	214	XhXr	sp|P46850|RTCB_ECOLI RNA-splicing ligase RtcB
VOG00255	319	316	XhXp	sp|P10305|SPAN1_BPT3 Spanin, inner membrane subunit
VOG00256	89	81	Xu	REFSEQ hypothetical protein
VOG00257	487	458	XpXrXs	sp|P13332|TSP_BPT4 Tail sheath protein
VOG00258	52	51	XhXr	sp|P06225|DPOL_BPSP2 DNA polymerase
VOG00259	142	138	Xu	REFSEQ hypothetical protein
VOG00260	118	89	Xu	sp|Q8QL20|Y356_SIRV1 Uncharacterized protein 356
VOG00261	31	31	Xu	REFSEQ hypothetical protein
VOG00262	38	38	Xr	sp|P11621|P0_PLRVW Suppressor of silencing P0
VOG00263	194	193	XpXs	sp|P07626|VG36_BPK3 Tail fiber protein p36
VOG00264	1108	1106	XhXr	sp|P00970|DNLI_BPT4 DNA ligase
VOG00265	29	19	XhXp	sp|Q77MQ6|IL8H_GAHVM Viral interleukin-8 homolog
VOG00266	128	123	Xu	sp|Q06425|YO83_BPP2 Uncharacterized 10.2 kDa protein in GpA 5'region
VOG00267	60	56	Xu	REFSEQ hypothetical protein
VOG00268	1962	1806	XhXr	sp|O64235|DPOL_BPMD2 DNA polymerase
VOG00269	544	541	Xr	sp|P20313|SSB_BPT3 Single-stranded DNA-binding protein
VOG00270	19	19	Xu	REFSEQ hypothetical protein
VOG00271	147	147	XhXp	sp|P03706|ENLYS_LAMBD Endolysin
VOG00272	17	17	Xu	REFSEQ tail fiber protein
VOG00273	13	12	XpXs	sp|Q9G0B5|FIB37_BPAR1 Long tail fiber protein Gp37
VOG00274	301	285	Xu	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
VOG00275	28	26	Xu	REFSEQ tail fiber protein
VOG00276	608	426	Xh	sp|A0QTG3|WHIB2_MYCS2 Transcriptional regulator WhiB2
VOG00277	17	16	Xu	REFSEQ tail fiber protein
VOG00278	144	144	Xu	REFSEQ holin
VOG00279	80	76	Xu	REFSEQ hypothetical protein
VOG00280	70	70	Xu	REFSEQ hypothetical protein
VOG00281	47	45	Xu	REFSEQ hypothetical protein
VOG00282	280	280	Xu	REFSEQ virion structural protein
VOG00283	60	60	Xu	REFSEQ minor tail protein
VOG00284	124	120	Xu	REFSEQ hypothetical protein
VOG00285	82	64	Xu	sp|Q8QL40|Y59_SIRV1 Uncharacterized protein 59
VOG00286	37	23	Xu	REFSEQ radical SAM domain-containing protein
VOG00287	35	19	Xu	REFSEQ hypothetical protein
VOG00288	773	769	Xu	sp|O31948|YONJ_BACSU SPbeta prophage-derived uncharacterized protein YonJ
VOG00289	18	17	Xu	REFSEQ replication initiation protein
VOG00290	20	20	Xu	REFSEQ replication initiation protein
VOG00291	181	180	Xu	REFSEQ hypothetical protein
VOG00292	16	15	XhXpXs	sp|Q9XJP3|FIBER_BPSFV Tail spike protein
VOG00293	21	20	XhXr	sp|Q8X5V3|DNAB_ECO57 Replicative DNA helicase
VOG00294	71	71	Xu	sp|P59193|YFDT_SHIFL Uncharacterized protein YfdT
VOG00295	80	71	Xu	sp|Q51647|YISX_BURM1 Insertion element IS401 uncharacterized 12.4 kDa protein
VOG00296	693	682	Xu	sp|P45911|YQAN_BACSU Uncharacterized protein YqaN
VOG00297	18	18	Xu	REFSEQ terminase small subunit
VOG00298	17	17	Xu	REFSEQ tail spike protein
VOG00299	30	13	Xu	REFSEQ hypothetical protein
VOG00300	104	95	Xh	sp|P07693|ADOM_BPT3 S-Adenosylmethionine lyase
VOG00301	30	29	Xu	REFSEQ holin
VOG00302	16	9	Xu	REFSEQ virion structural protein
VOG00303	40	39	Xu	sp|P03798|Y53_BPT7 Protein 5.3
VOG00304	80	80	Xu	REFSEQ hypothetical protein
VOG00305	230	148	Xu	sp|P39240|Y05I_BPT4 Uncharacterized 21.1 kDa protein in mobD-ri intergenic region
VOG00306	27	25	Xu	REFSEQ minor tail protein
VOG00307	89	89	Xu	REFSEQ virion structural protein
VOG00308	254	252	Xu	REFSEQ tail protein
VOG00309	232	232	Xs	sp|O48448|COMPL_BPSPP Tail completion protein gp17
VOG00310	119	72	Xu	sp|Q197F3|007R_IIV3 Uncharacterized protein 007R
VOG00311	13	13	Xu	REFSEQ HNH endonuclease
VOG00312	924	866	XhXr	sp|Q38087|DPOL_BPR69 DNA-directed DNA polymerase
VOG00313	46	30	Xh	sp|Q5UQW4|YL373_MIMIV Uncharacterized glycosyltransferase L373
VOG00314	16	15	Xh	sp|Q641J8|RF12A_XENLA E3 ubiquitin-protein ligase RNF12-A
VOG00315	21	11	XhXp	sp|Q197D9|VF193_IIV3 Putative apoptosis inhibitor 021L
VOG00316	50	40	Xu	REFSEQ hypothetical protein
VOG00317	184	182	Xu	sp|Q05292|VG77_BPML5 Gene 77 protein
VOG00318	46	30	Xu	sp|Q5UPU2|YR252_MIMIV Uncharacterized protein R252
VOG00319	124	119	XhXr	sp|O57044|RDRP_HV19S Probable RNA-directed RNA polymerase
VOG00320	19	13	XhXp	sp|Q197D9|VF193_IIV3 Putative apoptosis inhibitor 021L
VOG00321	91	91	Xu	sp|P45925|YQBI_BACSU Uncharacterized protein YqbI
VOG00322	543	521	Xh	sp|P32277|RLIG2_BPT4 RNA ligase 2
VOG00323	48	30	Xh	sp|P0AGC9|QACE_ECOLX Quaternary ammonium compound-resistance protein QacE
VOG00324	126	107	Xr	sp|Q84513|PCNA1_PBCV1 Probable DNA polymerase sliding clamp 1
VOG00325	17	15	Xu	REFSEQ hypothetical protein
VOG00326	195	151	XhXr	sp|C5IY48|NS1_HBOC3 Initiator protein NS1
VOG00327	20	15	Xu	REFSEQ hypothetical protein
VOG00328	28	14	XhXr	sp|P05664|DPOL_ADE07 DNA polymerase
VOG00329	71	71	XhXrXs	sp|P0CJ94|MVP_BCMNN P3N-PIPO polyprotein
VOG00330	29	29	Xs	sp|P54635|CAPSD_LORDV Capsid protein
VOG00331	30	20	Xu	REFSEQ minor coat protein
VOG00332	240	240	Xu	REFSEQ DNA polymerase/primase
VOG00333	614	581	XpXrXs	sp|P03728|PORTL_BPT7 Portal protein
VOG00334	25	25	XhXr	sp|Q07048|RDRP_SCV23 RNA-directed RNA polymerase
VOG00335	23	21	XhXp	sp|P0C775|PG021_VACC8 Host range factor p28
VOG00336	34	34	XhXr	sp|P54634|POLG_LORDV Genome polyprotein
VOG00337	70	59	Xu	REFSEQ hypothetical protein
VOG00338	29	8	Xu	sp|Q5UQY7|YR898_MIMIV Uncharacterized protein R898
VOG00339	16	16	XpXs	sp|P07067|FIB37_BPT2 Long tail fiber protein Gp37
VOG00340	15	14	Xu	REFSEQ tail fiber protein
VOG00341	37	36	XhXr	sp|B0FIL5|DPOL_BPE32 DNA-directed DNA polymerase
VOG00342	44	17	Xu	REFSEQ hypothetical protein
VOG00343	85	85	Xu	REFSEQ minor tail protein
VOG00344	212	204	Xu	REFSEQ hypothetical protein
VOG00345	67	64	Xu	REFSEQ tail fiber protein
VOG00346	51	41	Xh	sp|Q8QL34|Y335_SIRV1 Uncharacterized glycosyltransferase 335
VOG00347	231	132	XhXpXs	sp|P04011|VP2_POVLY Minor capsid protein VP2
VOG00348	66	66	Xu	sp|Q03209|P78_NPVAC Protein P78/83
VOG00349	18	7	Xu	REFSEQ hypothetical protein
