Sample_ID	sample_type	tool	evalue
QGNH01000101.1	META_VIRAL	Metacerberus	1.6e-61
QGNH01000102.1	META_VIRAL	Metacerberus	1.5e-38
QGNH01000103.1	META_VIRAL	Metacerberus	6.1e-82
QGNH01000104.1	META_VIRAL	Metacerberus	8.5e-86
QGNH01000105.1	META_VIRAL	Metacerberus	4.1e-71
QGNH01000106.1	META_VIRAL	Metacerberus	8.5e-21
QGNH01000107.1	META_VIRAL	Metacerberus	1.2e-60
QGNH01000108.1	META_VIRAL	Metacerberus	1.5e-62
QGNH01000109.1	META_VIRAL	Metacerberus	7.8e-33
QGNH01000110.1	META_VIRAL	Metacerberus	8e-92
QGNH01000111.1	META_VIRAL	Metacerberus	2.5e-46
QGNH01000112.1	META_VIRAL	Metacerberus	6.2e-32
QGNH01000113.1	META_VIRAL	Metacerberus	1.8e-30
QGNH01000114.1	META_VIRAL	Metacerberus	1.7e-52
QGNH01000115.1	META_VIRAL	Metacerberus	4.9e-22
QGNH01000116.1	META_VIRAL	Metacerberus	1.4e-46
QGNH01000117.1	META_VIRAL	Metacerberus	3.9e-57
QGNH01000118.1	META_VIRAL	Metacerberus	1.4e-23
QGNH01000119.1	META_VIRAL	Metacerberus	3.8e-169
QGNH01000120.1	META_VIRAL	Metacerberus	1.2e-41
QGNH01000121.1	META_VIRAL	Metacerberus	2.8e-31
QGNH01000122.1	META_VIRAL	Metacerberus	3.9e-29
QGNH01000123.1	META_VIRAL	Metacerberus	9.2e-35
QGNH01000124.1	META_VIRAL	Metacerberus	2.9e-85
QGNH01000125.1	META_VIRAL	Metacerberus	3.9e-31
QGNH01000126.1	META_VIRAL	Metacerberus	3.1e-33
QGNH01000127.1	META_VIRAL	Metacerberus	9.9e-42
QGNH01000128.1	META_VIRAL	Metacerberus	1e-58
QGNH01000129.1	META_VIRAL	Metacerberus	5.4e-35
QGNH01000130.1	META_VIRAL	Metacerberus	6e-53
QGNH01000131.1	META_VIRAL	Metacerberus	7.1e-29
QGNH01000132.1	META_VIRAL	Metacerberus	4.8e-104
QGNH01000133.1	META_VIRAL	Metacerberus	6.4e-95
QGNH01000134.1	META_VIRAL	Metacerberus	7.6e-39
QGNH01000135.1	META_VIRAL	Metacerberus	1e-53
QGNH01000136.1	META_VIRAL	Metacerberus	1.3e-22
QGNH01000137.1	META_VIRAL	Metacerberus	1.9e-41
QGNH01000138.1	META_VIRAL	Metacerberus	2.6e-43
QGNH01000139.1	META_VIRAL	Metacerberus	5.7e-79
QGNH01000140.1	META_VIRAL	Metacerberus	7.1e-27
QGNH01000141.1	META_VIRAL	Metacerberus	5.6e-27
QGNH01000142.1	META_VIRAL	Metacerberus	6.1e-33
QGNH01000143.1	META_VIRAL	Metacerberus	8.6e-21
QGNH01000144.1	META_VIRAL	Metacerberus	6.6e-26
QGNH01000145.1	META_VIRAL	Metacerberus	6e-19
QGNH01000146.1	META_VIRAL	Metacerberus	5.2e-21
QGNH01000147.1	META_VIRAL	Metacerberus	3.4e-78
QGNH01000148.1	META_VIRAL	Metacerberus	1.3e-75
QGNH01000149.1	META_VIRAL	Metacerberus	5.7e-33
QGNH01000150.1	META_VIRAL	Metacerberus	2.4e-20
QGNH01000151.1	META_VIRAL	Metacerberus	8.7e-20
QGNH01000152.1	META_VIRAL	Metacerberus	6e-25
QGNH01000153.1	META_VIRAL	Metacerberus	1.2e-60
QGNH01000154.1	META_VIRAL	Metacerberus	4.8e-62
QGNH01000155.1	META_VIRAL	Metacerberus	4.6e-20
QGNH01000156.1	META_VIRAL	Metacerberus	1.1e-40
QGNH01000157.1	META_VIRAL	Metacerberus	1.4e-21
QGNH01000158.1	META_VIRAL	Metacerberus	1.3e-23
QGNH01000159.1	META_VIRAL	Metacerberus	2.8e-59
QGNH01000160.1	META_VIRAL	Metacerberus	2.9e-40
QGNH01000161.1	META_VIRAL	Metacerberus	4e-21
QGNH01000162.1	META_VIRAL	Metacerberus	3.3e-25
QGNH01000163.1	META_VIRAL	Metacerberus	2.8e-30
QGNH01000164.1	META_VIRAL	Metacerberus	5.3e-43
QGNH01000165.1	META_VIRAL	Metacerberus	1.1e-24
QGNH01000166.1	META_VIRAL	Metacerberus	4e-45
QGNH01000167.1	META_VIRAL	Metacerberus	5.9e-49
QGNH01000168.1	META_VIRAL	Metacerberus	9.4e-134
QGNH01000169.1	META_VIRAL	Metacerberus	2.3e-45
QGNH01000170.1	META_VIRAL	Metacerberus	1.2e-53
QGNH01000171.1	META_VIRAL	Metacerberus	7.3e-21
QGNH01000172.1	META_VIRAL	Metacerberus	6e-61
QGNH01000173.1	META_VIRAL	Metacerberus	2.6e-31
QGNH01000174.1	META_VIRAL	Metacerberus	1.2e-19
QGNH01000175.1	META_VIRAL	Metacerberus	7.3e-53
QGNH01000176.1	META_VIRAL	Metacerberus	2e-37
QGNH01000177.1	META_VIRAL	Metacerberus	1.9e-28
QGNH01000178.1	META_VIRAL	Metacerberus	6.5e-24
QGNH01000179.1	META_VIRAL	Metacerberus	4.5e-75
QGNH01000180.1	META_VIRAL	Metacerberus	4.4e-75
QGNH01000181.1	META_VIRAL	Metacerberus	8e-141
QGNH01000182.1	META_VIRAL	Metacerberus	2.8e-25
QGNH01000183.1	META_VIRAL	Metacerberus	3.3e-112
QGNH01000184.1	META_VIRAL	Metacerberus	3.9e-48
QGNH01000185.1	META_VIRAL	Metacerberus	9.5e-66
QGNH01000186.1	META_VIRAL	Metacerberus	3.4e-28
QGNH01000187.1	META_VIRAL	Metacerberus	8e-61
QGNH01000188.1	META_VIRAL	Metacerberus	2.3e-59
QGNH01000189.1	META_VIRAL	Metacerberus	8.6e-54
QGNH01000190.1	META_VIRAL	Metacerberus	7.1e-42
QGNH01000191.1	META_VIRAL	Metacerberus	8e-39
QGNH01000192.1	META_VIRAL	Metacerberus	1.2e-41
QGNH01000193.1	META_VIRAL	Metacerberus	1.2e-62
QGNH01000194.1	META_VIRAL	Metacerberus	7.9e-34
QGNH01000195.1	META_VIRAL	Metacerberus	2.2e-22
QGNH01000196.1	META_VIRAL	Metacerberus	7.9e-20
QGNH01000197.1	META_VIRAL	Metacerberus	1.6e-33
QGNH01000198.1	META_VIRAL	Metacerberus	9e-179
QGNH01000199.1	META_VIRAL	Metacerberus	1.8e-20
QGNH01000200.1	META_VIRAL	Metacerberus	2.3e-48
QGNH01000201.1	META_VIRAL	Metacerberus	4.1e-27
QGNH01000202.1	META_VIRAL	Metacerberus	9.9e-51
QGNH01000203.1	META_VIRAL	Metacerberus	4.8e-70
QGNH01000204.1	META_VIRAL	Metacerberus	1.6e-41
QGNH01000205.1	META_VIRAL	Metacerberus	2.9e-21
QGNH01000207.1	META_VIRAL	Metacerberus	3.6e-29
QGNH01000208.1	META_VIRAL	Metacerberus	5.4e-24
QGNH01000209.1	META_VIRAL	Metacerberus	4.9e-25
QGNH01000210.1	META_VIRAL	Metacerberus	4.6e-22
QGNH01000211.1	META_VIRAL	Metacerberus	1e-44
QGNH01000212.1	META_VIRAL	Metacerberus	5.3e-20
QGNH01000213.1	META_VIRAL	Metacerberus	3.6e-121
QGNH01000214.1	META_VIRAL	Metacerberus	6.5e-63
QGNH01000215.1	META_VIRAL	Metacerberus	5.9e-35
QGNH01000216.1	META_VIRAL	Metacerberus	1.1e-48
QGNH01000217.1	META_VIRAL	Metacerberus	2.1e-41
QGNH01000218.1	META_VIRAL	Metacerberus	2.6e-25
QGNH01000219.1	META_VIRAL	Metacerberus	3.7e-37
QGNH01000220.1	META_VIRAL	Metacerberus	1.6e-21
QGNH01000221.1	META_VIRAL	Metacerberus	4.8e-85
QGNH01000222.1	META_VIRAL	Metacerberus	3.7e-30
QGNH01000223.1	META_VIRAL	Metacerberus	1e-29
QGNH01000224.1	META_VIRAL	Metacerberus	6.9e-80
QGNH01000225.1	META_VIRAL	Metacerberus	8.7e-111
QGNH01000226.1	META_VIRAL	Metacerberus	1.7e-35
QGNH01000227.1	META_VIRAL	Metacerberus	1.3e-113
QGNH01000388.1	META_VIRAL	Metacerberus	1.2e-54
QGNH01000389.1	META_VIRAL	Metacerberus	8.7e-71
QGNH01000390.1	META_VIRAL	Metacerberus	2.2e-33
QGNH01000391.1	META_VIRAL	Metacerberus	2.3e-24
QGNH01000392.1	META_VIRAL	Metacerberus	1.7e-47
QGNH01000395.1	META_VIRAL	Metacerberus	3.6e-122
QGNH01000397.1	META_VIRAL	Metacerberus	9.6e-39
QGNH01000399.1	META_VIRAL	Metacerberus	1.7e-36
QGNH01000411.1	META_VIRAL	Metacerberus	7.4e-41
QGNH01000412.1	META_VIRAL	Metacerberus	4.8e-119
QGNH01000413.1	META_VIRAL	Metacerberus	1.2e-26
QGNH01000414.1	META_VIRAL	Metacerberus	3.1e-37
QGNH01000433.1	META_VIRAL	Metacerberus	3.6e-45
QGNH01000434.1	META_VIRAL	Metacerberus	2.6e-48
QGNH01000435.1	META_VIRAL	Metacerberus	1.1e-36
QGNH01000436.1	META_VIRAL	Metacerberus	1.3e-20
QGNH01000438.1	META_VIRAL	Metacerberus	4.3e-45
QGNH01000439.1	META_VIRAL	Metacerberus	1.5e-49
QGNH01000440.1	META_VIRAL	Metacerberus	1e-24
QGNH01000443.1	META_VIRAL	Metacerberus	1e-75
QGNH01000444.1	META_VIRAL	Metacerberus	5.5e-21
QGNH01000445.1	META_VIRAL	Metacerberus	2.8e-51
QGNH01000446.1	META_VIRAL	Metacerberus	5e-25
QGNH01000448.1	META_VIRAL	Metacerberus	9.8e-37
QGNH01000449.1	META_VIRAL	Metacerberus	6.5e-23
QGNH01000450.1	META_VIRAL	Metacerberus	7.3e-45
QGNH01000451.1	META_VIRAL	Metacerberus	3.3e-28
QGNH01000452.1	META_VIRAL	Metacerberus	1.2e-30
QGNH01000453.1	META_VIRAL	Metacerberus	2e-35
QGNH01000454.1	META_VIRAL	Metacerberus	5.1e-54
QGNH01000455.1	META_VIRAL	Metacerberus	8.3e-37
QGNH01000456.1	META_VIRAL	Metacerberus	1.8e-44
QGNH01000457.1	META_VIRAL	Metacerberus	1.6e-24
QGNH01000458.1	META_VIRAL	Metacerberus	1.2e-19
QGNH01000460.1	META_VIRAL	Metacerberus	5.3e-51
QGNH01000461.1	META_VIRAL	Metacerberus	8.4e-31
QGNH01000462.1	META_VIRAL	Metacerberus	5e-39
QGNH01000464.1	META_VIRAL	Metacerberus	5e-75
QGNH01000465.1	META_VIRAL	Metacerberus	3e-46
QGNH01000466.1	META_VIRAL	Metacerberus	3.5e-21
QGNH01000467.1	META_VIRAL	Metacerberus	6.5e-44
QGNH01000468.1	META_VIRAL	Metacerberus	1.3e-27
QGNH01000469.1	META_VIRAL	Metacerberus	5e-54
QGNH01000470.1	META_VIRAL	Metacerberus	7.8e-103
QGNH01000471.1	META_VIRAL	Metacerberus	1e-42
QGNH01000472.1	META_VIRAL	Metacerberus	2.1e-20
QGNH01000474.1	META_VIRAL	Metacerberus	4e-37
QGNH01000476.1	META_VIRAL	Metacerberus	5.1e-33
QGNH01000477.1	META_VIRAL	Metacerberus	5.8e-23
QGNH01000478.1	META_VIRAL	Metacerberus	5.9e-84
QGNH01000479.1	META_VIRAL	Metacerberus	2.4e-19
QGNH01000481.1	META_VIRAL	Metacerberus	6.7e-53
QGNH01000482.1	META_VIRAL	Metacerberus	5e-20
QGNH01000483.1	META_VIRAL	Metacerberus	5.3e-26
QGNH01000484.1	META_VIRAL	Metacerberus	2e-19
QGNH01000485.1	META_VIRAL	Metacerberus	5.5e-104
QGNH01000486.1	META_VIRAL	Metacerberus	3.7e-19
QGNH01000487.1	META_VIRAL	Metacerberus	3.2e-48
QGNH01000488.1	META_VIRAL	Metacerberus	3.6e-46
QGNH01000489.1	META_VIRAL	Metacerberus	8.9e-36
QGNH01000490.1	META_VIRAL	Metacerberus	7.3e-42
QGNH01000491.1	META_VIRAL	Metacerberus	9.2e-26
QGNH01000492.1	META_VIRAL	Metacerberus	3.1e-76
QGNH01000493.1	META_VIRAL	Metacerberus	1.2e-67
QGNH01000494.1	META_VIRAL	Metacerberus	7.2e-20
QGNH01000495.1	META_VIRAL	Metacerberus	1.4e-107
QGNH01000496.1	META_VIRAL	Metacerberus	1.9e-43
QGNH01000497.1	META_VIRAL	Metacerberus	9.5e-21
QGNH01000498.1	META_VIRAL	Metacerberus	1.6e-32
QGNH01000499.1	META_VIRAL	Metacerberus	4.3e-51
QGNH01000500.1	META_VIRAL	Metacerberus	1.8e-25
QGNH01000501.1	META_VIRAL	Metacerberus	2.5e-26
QGNH01000502.1	META_VIRAL	Metacerberus	8.5e-43
QGNH01000503.1	META_VIRAL	Metacerberus	6.3e-53
QGNH01000504.1	META_VIRAL	Metacerberus	2.6e-56
QGNH01000505.1	META_VIRAL	Metacerberus	9.9e-27
QGNH01000506.1	META_VIRAL	Metacerberus	4.7e-43
QGNH01000507.1	META_VIRAL	Metacerberus	3.1e-42
QGNH01000508.1	META_VIRAL	Metacerberus	2.1e-31
QGNH01000509.1	META_VIRAL	Metacerberus	2.3e-58
QGNH01000510.1	META_VIRAL	Metacerberus	2.8e-20
QGNH01000511.1	META_VIRAL	Metacerberus	6.4e-41
QGNH01000512.1	META_VIRAL	Metacerberus	2.8e-27
QGNH01000513.1	META_VIRAL	Metacerberus	2.6e-20
QGNH01000514.1	META_VIRAL	Metacerberus	7.3e-21
QGNH01000515.1	META_VIRAL	Metacerberus	2.1e-44
QGNH01000516.1	META_VIRAL	Metacerberus	1.3e-31
QGNH01000517.1	META_VIRAL	Metacerberus	2.7e-25
QGNH01000518.1	META_VIRAL	Metacerberus	4.6e-68
QGNH01000519.1	META_VIRAL	Metacerberus	3.2e-23
QGNH01000520.1	META_VIRAL	Metacerberus	3.5e-63
QGNH01000521.1	META_VIRAL	Metacerberus	6.6e-37
QGNH01000522.1	META_VIRAL	Metacerberus	7.7e-58
QGNH01000523.1	META_VIRAL	Metacerberus	1e-23
QGNH01000524.1	META_VIRAL	Metacerberus	2.8e-58
QGNH01000525.1	META_VIRAL	Metacerberus	4.2e-29
QGNH01000526.1	META_VIRAL	Metacerberus	8.6e-58
QGNH01000527.1	META_VIRAL	Metacerberus	1.5e-51
QGNH01000528.1	META_VIRAL	Metacerberus	5.7e-127
QGNH01000529.1	META_VIRAL	Metacerberus	1.4e-30
QGNH01000530.1	META_VIRAL	Metacerberus	4.1e-31
QGNH01000531.1	META_VIRAL	Metacerberus	2.8e-33
QGNH01000532.1	META_VIRAL	Metacerberus	1.6e-36
QGNH01000533.1	META_VIRAL	Metacerberus	8.6e-40
QGNH01000534.1	META_VIRAL	Metacerberus	1.4e-35
QGNH01000535.1	META_VIRAL	Metacerberus	3.7e-92
QGNH01000536.1	META_VIRAL	Metacerberus	2.2e-32
QGNH01000537.1	META_VIRAL	Metacerberus	8.6e-29
QGNH01000538.1	META_VIRAL	Metacerberus	6.8e-63
QGNH01000539.1	META_VIRAL	Metacerberus	1.9e-29
QGNH01000540.1	META_VIRAL	Metacerberus	1.3e-43
QGNH01000541.1	META_VIRAL	Metacerberus	4.4e-56
QGNH01000542.1	META_VIRAL	Metacerberus	4.4e-25
QGNH01000543.1	META_VIRAL	Metacerberus	1.8e-22
QGNH01000544.1	META_VIRAL	Metacerberus	7.2e-52
QGNH01000545.1	META_VIRAL	Metacerberus	6.3e-40
QGNH01000546.1	META_VIRAL	Metacerberus	3.9e-44
QGNH01000547.1	META_VIRAL	Metacerberus	2.3e-78
QGNH01000548.1	META_VIRAL	Metacerberus	3.2e-33
QGNH01000549.1	META_VIRAL	Metacerberus	2.7e-31
QGNH01000550.1	META_VIRAL	Metacerberus	1.5e-36
QGNH01000551.1	META_VIRAL	Metacerberus	2e-32
QGNH01000552.1	META_VIRAL	Metacerberus	1.4e-26
QGNH01000553.1	META_VIRAL	Metacerberus	3.3e-33
QGNH01000554.1	META_VIRAL	Metacerberus	1.6e-58
QGNH01000555.1	META_VIRAL	Metacerberus	5.1e-33
QGNH01000556.1	META_VIRAL	Metacerberus	3.4e-21
QGNH01000557.1	META_VIRAL	Metacerberus	2e-26
QGNH01000558.1	META_VIRAL	Metacerberus	4e-21
QGNH01000559.1	META_VIRAL	Metacerberus	2.1e-19
QGNH01000560.1	META_VIRAL	Metacerberus	1e-56
QGNH01000561.1	META_VIRAL	Metacerberus	1.2e-24
QGNH01000562.1	META_VIRAL	Metacerberus	4.9e-26
QGNH01000563.1	META_VIRAL	Metacerberus	5.6e-23
QGNH01000564.1	META_VIRAL	Metacerberus	4.6e-113
QGNH01000565.1	META_VIRAL	Metacerberus	2.3e-96
QGNH01000566.1	META_VIRAL	Metacerberus	4.8e-37
QGNH01000567.1	META_VIRAL	Metacerberus	8.4e-59
QGNH01000568.1	META_VIRAL	Metacerberus	5.3e-77
QGNH01000569.1	META_VIRAL	Metacerberus	2.2e-34
QGNH01000570.1	META_VIRAL	Metacerberus	2.5e-37
QGNH01000571.1	META_VIRAL	Metacerberus	7.3e-61
QGNH01000572.1	META_VIRAL	Metacerberus	3.2e-24
QGNH01000573.1	META_VIRAL	Metacerberus	3.7e-43
QGNH01000574.1	META_VIRAL	Metacerberus	3.3e-70
QGNH01000575.1	META_VIRAL	Metacerberus	2.6e-21
QGNH01000576.1	META_VIRAL	Metacerberus	1.7e-45
QGNH01000577.1	META_VIRAL	Metacerberus	8.7e-29
QGNH01000578.1	META_VIRAL	Metacerberus	1.2e-38
QGNH01000579.1	META_VIRAL	Metacerberus	6.8e-46
QGNH01000580.1	META_VIRAL	Metacerberus	3.2e-42
QGNH01000581.1	META_VIRAL	Metacerberus	6.1e-42
QGNH01000582.1	META_VIRAL	Metacerberus	3.5e-21
QGNH01000583.1	META_VIRAL	Metacerberus	2e-60
QGNH01000584.1	META_VIRAL	Metacerberus	8.1e-51
QGNH01000585.1	META_VIRAL	Metacerberus	1.1e-48
QGNH01000586.1	META_VIRAL	Metacerberus	1.3e-39
QGNH01000587.1	META_VIRAL	Metacerberus	1e-34
QGNH01000588.1	META_VIRAL	Metacerberus	1.6e-26
QGNH01000589.1	META_VIRAL	Metacerberus	6.7e-29
QGNH01000590.1	META_VIRAL	Metacerberus	3.6e-113
QGNH01000591.1	META_VIRAL	Metacerberus	5.5e-91
QGNH01000592.1	META_VIRAL	Metacerberus	7.9e-29
QGNH01000593.1	META_VIRAL	Metacerberus	9e-29
QGNH01000594.1	META_VIRAL	Metacerberus	4.7e-206
QGNH01000595.1	META_VIRAL	Metacerberus	1.6e-55
QGNH01000596.1	META_VIRAL	Metacerberus	9.7e-36
QGNH01000597.1	META_VIRAL	Metacerberus	7.7e-32
QGNH01000598.1	META_VIRAL	Metacerberus	2.8e-20
QGNH01000599.1	META_VIRAL	Metacerberus	2.7e-32
QGNH01000600.1	META_VIRAL	Metacerberus	1.2e-35
QGNH01000601.1	META_VIRAL	Metacerberus	8.5e-51
QGNH01000602.1	META_VIRAL	Metacerberus	6.8e-57
QGNH01000603.1	META_VIRAL	Metacerberus	6.6e-30
QGNH01000604.1	META_VIRAL	Metacerberus	9.4e-50
QGNH01000605.1	META_VIRAL	Metacerberus	5.4e-25
QGNH01000606.1	META_VIRAL	Metacerberus	3.4e-40
QGNH01000607.1	META_VIRAL	Metacerberus	5.3e-33
QGNH01000608.1	META_VIRAL	Metacerberus	3.3e-37
QGNH01000609.1	META_VIRAL	Metacerberus	2.5e-45
QGNH01000610.1	META_VIRAL	Metacerberus	4.4e-34
QGNH01000611.1	META_VIRAL	Metacerberus	8.5e-23
QGNH01000612.1	META_VIRAL	Metacerberus	1.9e-110
QGNH01000613.1	META_VIRAL	Metacerberus	3.6e-78
QGNH01000614.1	META_VIRAL	Metacerberus	1.5e-60
QGNH01000615.1	META_VIRAL	Metacerberus	3.2e-26
QGNH01000616.1	META_VIRAL	Metacerberus	3.7e-29
QGNH01000617.1	META_VIRAL	Metacerberus	3.1e-20
QGNH01000618.1	META_VIRAL	Metacerberus	2.1e-51
QGNH01000619.1	META_VIRAL	Metacerberus	1.6e-25
QGNH01000620.1	META_VIRAL	Metacerberus	6.2e-78
QGNH01000621.1	META_VIRAL	Metacerberus	7.9e-23
QGNH01000622.1	META_VIRAL	Metacerberus	2.1e-34
QGNH01000623.1	META_VIRAL	Metacerberus	2.4e-36
QGNH01000624.1	META_VIRAL	Metacerberus	3.4e-49
QGNH01000625.1	META_VIRAL	Metacerberus	9.2e-24
QGNH01000626.1	META_VIRAL	Metacerberus	5.8e-123
QGNH01000627.1	META_VIRAL	Metacerberus	3.4e-33
QGNH01000628.1	META_VIRAL	Metacerberus	1.7e-39
QGNH01000629.1	META_VIRAL	Metacerberus	3.2e-33
QGNH01000630.1	META_VIRAL	Metacerberus	2.4e-44
QGNH01000631.1	META_VIRAL	Metacerberus	1.1e-33
QGNH01000632.1	META_VIRAL	Metacerberus	5.2e-21
QGNH01000633.1	META_VIRAL	Metacerberus	2.3e-32
QGNH01000634.1	META_VIRAL	Metacerberus	4e-25
QGNH01000635.1	META_VIRAL	Metacerberus	2.1e-60
QGNH01000636.1	META_VIRAL	Metacerberus	1e-24
QGNH01000637.1	META_VIRAL	Metacerberus	1e-37
QGNH01000638.1	META_VIRAL	Metacerberus	4.4e-21
QGNH01000639.1	META_VIRAL	Metacerberus	8.3e-33
QGNH01000640.1	META_VIRAL	Metacerberus	4.4e-40
QGNH01000641.1	META_VIRAL	Metacerberus	1.1e-104
QGNH01000642.1	META_VIRAL	Metacerberus	1.9e-35
QGNH01000643.1	META_VIRAL	Metacerberus	8.9e-57
QGNH01000644.1	META_VIRAL	Metacerberus	6.4e-22
QGNH01000645.1	META_VIRAL	Metacerberus	3.4e-39
QGNH01000646.1	META_VIRAL	Metacerberus	6.8e-65
QGNH01000647.1	META_VIRAL	Metacerberus	1.9e-38
QGNH01000648.1	META_VIRAL	Metacerberus	2.4e-27
QGNH01000649.1	META_VIRAL	Metacerberus	2.3e-20
QGNH01000650.1	META_VIRAL	Metacerberus	5.6e-35
QGNH01000651.1	META_VIRAL	Metacerberus	5.2e-25
QGNH01000652.1	META_VIRAL	Metacerberus	8.1e-26
QGNH01000653.1	META_VIRAL	Metacerberus	3.8e-153
QGNH01000654.1	META_VIRAL	Metacerberus	2.9e-63
QGNH01000655.1	META_VIRAL	Metacerberus	1.5e-30
QGNH01000656.1	META_VIRAL	Metacerberus	5.3e-35
QGNH01000657.1	META_VIRAL	Metacerberus	9.7e-96
QGNH01000658.1	META_VIRAL	Metacerberus	1.1e-19
QGNH01000659.1	META_VIRAL	Metacerberus	1e-25
QGNH01000660.1	META_VIRAL	Metacerberus	3.5e-19
QGNH01000661.1	META_VIRAL	Metacerberus	2.8e-25
QGNH01000662.1	META_VIRAL	Metacerberus	6.4e-22
QGNH01000663.1	META_VIRAL	Metacerberus	2.4e-38
QGNH01000664.1	META_VIRAL	Metacerberus	6.2e-34
QGNH01000665.1	META_VIRAL	Metacerberus	4.4e-65
QGNH01000666.1	META_VIRAL	Metacerberus	3e-36
QGNH01000667.1	META_VIRAL	Metacerberus	4.7e-52
QGNH01000668.1	META_VIRAL	Metacerberus	5.4e-53
QGNH01000669.1	META_VIRAL	Metacerberus	4.9e-20
QGNH01000670.1	META_VIRAL	Metacerberus	2e-19
QGNH01000672.1	META_VIRAL	Metacerberus	1.3e-22
QGNH01000673.1	META_VIRAL	Metacerberus	1.3e-26
QGNH01000674.1	META_VIRAL	Metacerberus	1.1e-70
QGNH01000675.1	META_VIRAL	Metacerberus	8e-24
QGNH01000676.1	META_VIRAL	Metacerberus	9.3e-52
QGNH01000677.1	META_VIRAL	Metacerberus	9.8e-21
QGNH01000678.1	META_VIRAL	Metacerberus	6.4e-32
QGNH01000679.1	META_VIRAL	Metacerberus	6.1e-21
QGNH01000680.1	META_VIRAL	Metacerberus	4.8e-33
QGNH01000681.1	META_VIRAL	Metacerberus	3.7e-53
QGNH01000682.1	META_VIRAL	Metacerberus	1.4e-34
QGNH01000683.1	META_VIRAL	Metacerberus	5.9e-93
QGNH01000684.1	META_VIRAL	Metacerberus	1.2e-30
QGNH01000685.1	META_VIRAL	Metacerberus	1.2e-40
QGNH01000686.1	META_VIRAL	Metacerberus	3.6e-22
QGNH01000687.1	META_VIRAL	Metacerberus	2.4e-42
QGNH01000688.1	META_VIRAL	Metacerberus	4e-28
QGNH01000689.1	META_VIRAL	Metacerberus	3.1e-106
QGNH01000690.1	META_VIRAL	Metacerberus	2.1e-47
QGNH01000691.1	META_VIRAL	Metacerberus	4.8e-32
QGNH01000692.1	META_VIRAL	Metacerberus	2.7e-20
QGNH01000693.1	META_VIRAL	Metacerberus	8.3e-32
QGNH01000694.1	META_VIRAL	Metacerberus	6.6e-34
QGNH01000695.1	META_VIRAL	Metacerberus	6.8e-42
QGNH01000696.1	META_VIRAL	Metacerberus	7.8e-20
QGNH01000697.1	META_VIRAL	Metacerberus	1.8e-60
QGNH01000698.1	META_VIRAL	Metacerberus	9e-23
QGNH01000699.1	META_VIRAL	Metacerberus	3.1e-90
QGNH01000700.1	META_VIRAL	Metacerberus	3.4e-63
