L1	KO	Function	EC	Count
DNA, RNA and nucleotide metabolism	phrog_19	DnaB-like replicative helicase		1
DNA, RNA and nucleotide metabolism	phrog_19169	endonuclease		1
DNA, RNA and nucleotide metabolism	phrog_192	DNA polymerase exonuclease subunit		1
moron, auxiliary metabolic gene and host takeover	phrog_1936	MazF-like growth inhibitor		1
DNA, RNA and nucleotide metabolism	phrog_1967	DNA helicase		1
moron, auxiliary metabolic gene and host takeover	phrog_1975	superoxide dismutase precursor		1
other	phrog_200	lipoprotein		1
tail	phrog_2013	lytic tail protein		1
DNA, RNA and nucleotide metabolism	phrog_20214	clamp loader of DNA polymerase		1
other	phrog_2071	ATPase		1
moron, auxiliary metabolic gene and host takeover	phrog_2076	QueE-like  radical SAM domain		1
moron, auxiliary metabolic gene and host takeover	phrog_21469	ribosomal protein S21		1
moron, auxiliary metabolic gene and host takeover	phrog_21583	levanase		1
DNA, RNA and nucleotide metabolism	phrog_2162	Sir2 (NAD-dependent deacetylase)		1
moron, auxiliary metabolic gene and host takeover	phrog_2170	glycosyltransferase		1
DNA, RNA and nucleotide metabolism	phrog_21963	alkylated DNA repair		1
other	phrog_2197	GTP cyclohydrolase		1
integration and excision	phrog_2199	transposase		1
DNA, RNA and nucleotide metabolism	phrog_22	thioredoxin domain		1
tail	phrog_2234	tail spike protein		1
DNA, RNA and nucleotide metabolism	phrog_2244	tRNA nucleotidyltransferase		1
DNA, RNA and nucleotide metabolism	phrog_2249	DNA primase		1
other	phrog_22502	methyltransferase		1
moron, auxiliary metabolic gene and host takeover	phrog_2268	antitoxin from a toxin-antitoxin system		1
tail	phrog_23	tail sheath		1
DNA, RNA and nucleotide metabolism	phrog_2339	HTH DNA binding protein		1
DNA, RNA and nucleotide metabolism	phrog_23447	replication initiation protein		1
DNA, RNA and nucleotide metabolism	phrog_23565	ribonucleotide reductase		1
other	phrog_2361	serine-threonine kinase		1
other	phrog_23613	esterase/lipase		1
DNA, RNA and nucleotide metabolism	phrog_23875	DprA-like DNA recombination-mediator protein		1
moron, auxiliary metabolic gene and host takeover	phrog_2389	QueD-like  6-pyruvoyl-tetrahydropterin synthase		1
moron, auxiliary metabolic gene and host takeover	phrog_2392	ABC transporter		1
other	phrog_246	NinI-like serine-threonine phosphatase		1
DNA, RNA and nucleotide metabolism	phrog_2484	RecJ-like ssDNA exonuclease		1
DNA, RNA and nucleotide metabolism	phrog_2488	DNA helicase		1
moron, auxiliary metabolic gene and host takeover	phrog_2520	gamma-glutamyl cyclotransferase		1
other	phrog_25833	dehydrogenase		1
moron, auxiliary metabolic gene and host takeover	phrog_2599	ribosomal protein S6 glutaminyl transferase		1
other	phrog_2640	zinc containing alcohol dehydrogenase superfamily		1
transcription regulation	phrog_2657	transcriptional regulator		1
head and packaging	phrog_2666	terminase large subunit		1
other	phrog_26699	DNA methyltransferase		1
other	phrog_2685	partition protein ATPase		1
other	phrog_27142	Fe-S-cluster redox domain-containing		1
other	phrog_2736	aminotransferase		1
other	phrog_27368	ATP-dependent protease		1
tail	phrog_27398	tail protein		1
other	phrog_2765	PhoH-like phosphate starvation-inducible		1
tail	phrog_28	tail length tape measure protein		1
moron, auxiliary metabolic gene and host takeover	phrog_2835	glucosyltransferase		1
DNA, RNA and nucleotide metabolism	phrog_28877	DNA topoisomerase II		1
other	phrog_2890	peptide deformylase		1
moron, auxiliary metabolic gene and host takeover	phrog_293	ABC transporter		1
integration and excision	phrog_296	DNA transposition protein		1
other	phrog_29662	ATP-dependent protease		1
transcription regulation	phrog_2967	transcriptional regulator		1
transcription regulation	phrog_3	transcriptional repressor		1
moron, auxiliary metabolic gene and host takeover	phrog_3066	toxin of TA system		1
other	phrog_3125	S-adenosylmethionine decarboxylase		1
other	phrog_3139	aminotransferase		1
moron, auxiliary metabolic gene and host takeover	phrog_3142	FabG-like 3-oxoacyl-(acyl-carrier-protein) reductase		1
DNA, RNA and nucleotide metabolism	phrog_316	dihydrofolate reductase		1
other	phrog_3188	co-chaperonin GroES		1
DNA, RNA and nucleotide metabolism	phrog_325	Dda-like helicase		1
DNA, RNA and nucleotide metabolism	phrog_3264	ParB-like partition protein		1
tail	phrog_327	tail protein		1
transcription regulation	phrog_3282	sigma factor		1
tail	phrog_329	minor tail protein		1
other	phrog_3301	pyrophosphatase		1
other	phrog_3333	O-acetyltransferase		1
other	phrog_3341	esterase		1
moron, auxiliary metabolic gene and host takeover	phrog_3347	Galactose-3-O-sulfotransferase		1
moron, auxiliary metabolic gene and host takeover	phrog_3408	glycosyltransferase		1
lysis	phrog_3427	holin		1
moron, auxiliary metabolic gene and host takeover	phrog_3445	toxin		1
other	phrog_34906	DNA methyltransferase		1
transcription regulation	phrog_351	RNA polymerase sigma factor		1
lysis	phrog_3513	endolysin		1
moron, auxiliary metabolic gene and host takeover	phrog_3551	FtsK/SpoIIIE-like protein		1
integration and excision	phrog_3598	transposase		1
DNA, RNA and nucleotide metabolism	phrog_3636	DNA binding protein		1
other	phrog_3677	protease		1
other	phrog_36784	NAD synthetase		1
DNA, RNA and nucleotide metabolism	phrog_3767	nucleoid associated protein		1
DNA, RNA and nucleotide metabolism	phrog_379	DNA binding protein		1
lysis	phrog_380	endolysin		1
transcription regulation	phrog_38161	Arc-like transcriptional regulator		1
moron, auxiliary metabolic gene and host takeover	phrog_38199	membrane associated protein		1
tail	phrog_382	minor tail protein with lysin activity		1
transcription regulation	phrog_38620	transcriptional regulator		1
DNA, RNA and nucleotide metabolism	phrog_3869	NAD-dependent DNA ligase		1
transcription regulation	phrog_4	transcriptional repressor		1
DNA, RNA and nucleotide metabolism	phrog_405	DNA polymerase		1
tail	phrog_4226	baseplate protein		1
moron, auxiliary metabolic gene and host takeover	phrog_424	phosphoadenosine phosphosulfate reductase		1
transcription regulation	phrog_4268	transcriptional repressor		1
tail	phrog_43	baseplate wedge subunit		1
other	phrog_432	Hsp20 heat shock protein		1
lysis	phrog_435	endolysin		1
moron, auxiliary metabolic gene and host takeover	phrog_4399	ribonuclease toxin of AT system		1
DNA, RNA and nucleotide metabolism	phrog_44	single strand DNA binding protein		1
other	phrog_440	transaldolase		1
DNA, RNA and nucleotide metabolism	phrog_4412	exonuclease V		1
other	phrog_448	nicotinamide phosphoribosyl transferase		1
tail	phrog_46	baseplate hub		1
moron, auxiliary metabolic gene and host takeover	phrog_4692	antitoxin from a toxin-antitoxin system		1
integration and excision	phrog_4716	transposase		1
other	phrog_4752	tRNA methyltransferase		1
tail	phrog_48	tail protein		1
moron, auxiliary metabolic gene and host takeover	phrog_487	NrdD-like anaerobic ribonucleotide reductase large subunit		1
other	phrog_4871	ATP-dependent protease		1
other	phrog_4901	hydrolase		1
DNA, RNA and nucleotide metabolism	phrog_491	Mu Gam-like end protection		1
other	phrog_4941	dehydrogenase		1
DNA, RNA and nucleotide metabolism	phrog_50	DnaC-like helicase loader		1
moron, auxiliary metabolic gene and host takeover	phrog_5045	phospho-2-dehydro-3-deoxyheptonate aldolase		1
integration and excision	phrog_506	transposase		1
tail	phrog_52	tail protein		1
transcription regulation	phrog_524	anti-repressor Ant		1
head and packaging	phrog_53	head maturation protease		1
other	phrog_5304	peptidase		1
DNA, RNA and nucleotide metabolism	phrog_531	Rnase H		1
moron, auxiliary metabolic gene and host takeover	phrog_5385	phosphate transporter subunit		1
other	phrog_54	DksA-like zinc-finger protein		1
DNA, RNA and nucleotide metabolism	phrog_540	nucleotide-sugar epimerase		1
DNA, RNA and nucleotide metabolism	phrog_543	DNA topoisomerase II large subunit		1
connector	phrog_55	head closure		1
DNA, RNA and nucleotide metabolism	phrog_551	DNA topoisomerase II		1
other	phrog_5529	transfer protein		1
other	phrog_5725	chaperonin groEL		1
integration and excision	phrog_5749	transposase		1
head and packaging	phrog_5751	terminase large subunit		1
transcription regulation	phrog_5817	anti-repressor Ant		1
DNA, RNA and nucleotide metabolism	phrog_5846	clamp loader of DNA polymerase		1
head and packaging	phrog_5909	terminase large subunit		1
moron, auxiliary metabolic gene and host takeover	phrog_5934	acyl carrier protein		1
other	phrog_5949	GTP cyclohydrolase		1
transcription regulation	phrog_603	transcriptional regulator		1
moron, auxiliary metabolic gene and host takeover	phrog_61	2OG-Fe(II) oxygenase		1
moron, auxiliary metabolic gene and host takeover	phrog_6102	lipase		1
other	phrog_619	ribose-phosphate pyrophosphokinase		1
DNA, RNA and nucleotide metabolism	phrog_62	DNA helicase		1
transcription regulation	phrog_6386	transcription antiterminator		1
DNA, RNA and nucleotide metabolism	phrog_6397	ribonucleotide reductase large subunit		1
tail	phrog_6416	tail protein		1
DNA, RNA and nucleotide metabolism	phrog_6444	DNA primase		1
unknown function	phrog_646	unknown function		1
connector	phrog_65	tail terminator		1
integration and excision	phrog_66	excisionase and transcriptional regulator		1
lysis	phrog_669	endolysin		1
other	phrog_67	DNA methyltransferase		1
lysis	phrog_6700	endolysin		1
moron, auxiliary metabolic gene and host takeover	phrog_6705	O-antigen acetylase		1
head and packaging	phrog_68	portal protein		1
other	phrog_6880	translation elongation factor		1
other	phrog_6929	universal stress protein		1
head and packaging	phrog_70	major head protein		1
connector	phrog_71	head-tail adaptor Ad1		1
moron, auxiliary metabolic gene and host takeover	phrog_7162	glycosyltransferase		1
moron, auxiliary metabolic gene and host takeover	phrog_7180	membrane protein		1
moron, auxiliary metabolic gene and host takeover	phrog_7218	glutamine amidotransferase		1
DNA, RNA and nucleotide metabolism	phrog_724	exonuclease recombination-associated		1
moron, auxiliary metabolic gene and host takeover	phrog_7251	RelE-like toxin		1
other	phrog_729	cold shock protein		1
head and packaging	phrog_73	head scaffolding protein		1
moron, auxiliary metabolic gene and host takeover	phrog_7308	cation efflux protein		1
other	phrog_7320	tetrahydrofolate dehydrogenase and cyclohydrolase		1
head and packaging	phrog_74	terminase small subunit		1
tail	phrog_76	tail protein		1
other	phrog_761	thymidylate kinase		1
transcription regulation	phrog_7620	transcriptional regulator		1
DNA, RNA and nucleotide metabolism	phrog_77	SbcC-like subunit of palindrome specific endonuclease		1
other	phrog_7767	metallo-endopeptidase		1
moron, auxiliary metabolic gene and host takeover	phrog_7800	dimethyl sulfoxide reductase DmsA		1
other	phrog_7878	bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase		1
other	phrog_789	esterase/lipase		1
other	phrog_7930	lipoprotein precursor		1
other	phrog_795	partition protein ATPase		1
DNA, RNA and nucleotide metabolism	phrog_7995	nucleoside deoxyribosyltransferase		1
transcription regulation	phrog_8	transcriptional regulator		1
DNA, RNA and nucleotide metabolism	phrog_811	UmuD-like protein		1
DNA, RNA and nucleotide metabolism	phrog_84	ribonucleoside-diphosphate reductase large subunit		1
moron, auxiliary metabolic gene and host takeover	phrog_841	GtrB-like O-antigen conversion		1
moron, auxiliary metabolic gene and host takeover	phrog_8429	NifU-like Fe-S cluster assembly protein		1
moron, auxiliary metabolic gene and host takeover	phrog_844	ferredoxin		1
integration and excision	phrog_8463	transposase		1
other	phrog_8468	HAD-superfamily hydrolase		1
other	phrog_8480	lysophospholipase L1-like esterase		1
DNA, RNA and nucleotide metabolism	phrog_86	ribonucleoside diphosphate reductase small subunit		1
DNA, RNA and nucleotide metabolism	phrog_867	DNA binding domain		1
moron, auxiliary metabolic gene and host takeover	phrog_8784	dTDP-4-dehydrorhamnose 3,5-epimerase		1
moron, auxiliary metabolic gene and host takeover	phrog_883	flavodoxin		1
lysis	phrog_89	Rz-like spanin		1
moron, auxiliary metabolic gene and host takeover	phrog_8945	stringent starvation protein Sspb-like		1
other	phrog_8990	sigma 54 modulation protein/ribosomal protein S30EA		1
other	phrog_9148	UDP-glucose dehydrogenase		1
moron, auxiliary metabolic gene and host takeover	phrog_9151	HicB-like antitoxin		1
moron, auxiliary metabolic gene and host takeover	phrog_9240	cyanobacterial phosphoribosylglycinamide formyltransferase		1
DNA, RNA and nucleotide metabolism	phrog_9270	tyrosyl-tRNA synthetase		1
DNA, RNA and nucleotide metabolism	phrog_93	endonuclease		1
head and packaging	phrog_94	head maturation protease		1
DNA, RNA and nucleotide metabolism	phrog_9454	exonuclease		1
DNA, RNA and nucleotide metabolism	phrog_947	DNA polymerase processivity factor		1
integration and excision	phrog_95	integrase		1
transcription regulation	phrog_9500	CsrA-like regulator		1
integration and excision	phrog_956	transposase		1
other	phrog_9582	dehydrogenase		1
lysis	phrog_9611	endolysin		1
other	phrog_97	UvsX-like recombinase		1
other	phrog_9787	translation initiation factor		1
other	phrog_990	metal-dependent phosphohydrolase		1
other	phrog_9968	methyltransferase		1
tail	phrog_9992	baseplate assembly protein		1
