	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
NC_028837_NC_028837_55	NC_028837	NC_028837	55	34920	35477	1	C	K01159	crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]								Crossover junction endodeoxyribonuclease RuvC [PF02075.20]	0
NC_028837_NC_028837_56	NC_028837	NC_028837	56	35636	36094	1	E											0
NC_028837_NC_028837_57	NC_028837	NC_028837	57	36145	36603	1	E											0
NC_028837_NC_028837_58	NC_028837	NC_028837	58	36615	36896	1	E											0
NC_028837_NC_028837_59	NC_028837	NC_028837	59	36835	38397	1	C	K06400	site-specific DNA recombinase								Resolvase, N terminal domain [PF00239.24]; Recombinase [PF07508.16]; Recombinase zinc beta ribbon domain [PF13408.9]	0
NC_028837_NC_028837_60	NC_028837	NC_028837	60	38609	38812	1	E											0
NC_028837_NC_028837_61	NC_028837	NC_028837	61	38841	39251	-1	C	K18843	antitoxin HicB								HicB_like antitoxin of bacterial toxin-antitoxin system [PF15919.8]; HicB_like antitoxin of bacterial toxin-antitoxin system [PF15970.8]	0
NC_028837_NC_028837_62	NC_028837	NC_028837	62	39282	39485	-1	C	K07339	mRNA interferase HicA [EC:3.1.-.-]								HicA toxin of bacterial toxin-antitoxin, [PF07927.15]	0
NC_028837_NC_028837_63	NC_028837	NC_028837	63	40494	40760	1	E											0
NC_028837_NC_028837_64	NC_028837	NC_028837	64	40757	41095	1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]								HNH endonuclease [PF01844.26]	1
