index	L1	L2	L3	KO	Function	EC	Count
856	Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	4
12833	Environmental Information Processing	Signal transduction	HIF-1 signaling pathway [PATH:ko04066]	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	4
19945	Organismal Systems	Endocrine system	Glucagon signaling pathway [PATH:ko04922]	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	4
25273	Human Diseases	Cancer: overview	Central carbon metabolism in cancer [PATH:ko05230]	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	4
33033	Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy [PATH:ko05415]	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	4
17444	Cellular Processes	Cellular community - prokaryotes	Quorum sensing [PATH:ko02024]	K02031	ddpD; peptide/nickel transport system ATP-binding protein		10
46070	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K02031	ddpD; peptide/nickel transport system ATP-binding protein		10
17445	Cellular Processes	Cellular community - prokaryotes	Quorum sensing [PATH:ko02024]	K02032	ddpF; peptide/nickel transport system ATP-binding protein		9
46071	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K02032	ddpF; peptide/nickel transport system ATP-binding protein		9
10737	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	2.7.13.3	27
34652	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	2.7.13.3	27
48156	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	2.7.13.3	27
48354	Brite Hierarchies	Protein families: signaling and cellular processes	Bacterial motility proteins [BR:ko02035]	K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	2.7.13.3	27
10718	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
34649	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
48150	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	9
10734	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K10125	dctB; two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB	2.7.13.3	16
34655	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K10125	dctB; two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB	2.7.13.3	16
48162	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K10125	dctB; two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB	2.7.13.3	16
10721	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K07709	zraS, hydH; two-component system, NtrC family, sensor histidine kinase HydH	2.7.13.3	24
34650	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K07709	zraS, hydH; two-component system, NtrC family, sensor histidine kinase HydH	2.7.13.3	24
48152	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K07709	zraS, hydH; two-component system, NtrC family, sensor histidine kinase HydH	2.7.13.3	24
9798	Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K02010	afuC, fbpC; iron(III) transport system ATP-binding protein	7.2.2.7	4
45726	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K02010	afuC, fbpC; iron(III) transport system ATP-binding protein	7.2.2.7	4
104	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K02791	malX; maltose/glucose PTS system EIICB component	2.7.1.199 2.7.1.208	21
663	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:ko00500]	K02791	malX; maltose/glucose PTS system EIICB component	2.7.1.199 2.7.1.208	21
786	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K02791	malX; maltose/glucose PTS system EIICB component	2.7.1.199 2.7.1.208	21
10279	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	K02791	malX; maltose/glucose PTS system EIICB component	2.7.1.199 2.7.1.208	21
46700	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K02791	malX; maltose/glucose PTS system EIICB component	2.7.1.199 2.7.1.208	21
36525	Brite Hierarchies	Protein families: metabolism	Lipopolysaccharide biosynthesis proteins [BR:ko01005]	K13004	wbtD; galacturonosyltransferase WbtD	2.4.1.-	1
706	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K11192	murP; N-acetylmuramic acid PTS system EIICB component	2.7.1.192	12
10287	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	K11192	murP; N-acetylmuramic acid PTS system EIICB component	2.7.1.192	12
46708	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K11192	murP; N-acetylmuramic acid PTS system EIICB component	2.7.1.192	12
45939	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K02056	ABC.SS.A; simple sugar transport system ATP-binding protein	7.5.2.-	44
43	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	3
120	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	3
858	Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	3
1039	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	3
1088	Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	3
3321	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	3
3502	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	3
3640	Metabolism	Amino acid metabolism	Lysine degradation [PATH:ko00310]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	3
4115	Metabolism	Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	3
49241	Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	3
3346	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00314	SARDH; sarcosine dehydrogenase	1.5.8.3	2
10097	Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K09817	znuC; zinc transport system ATP-binding protein	7.2.2.20	2
46120	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K09817	znuC; zinc transport system ATP-binding protein	7.2.2.20	2
2104	Metabolism	Energy metabolism	Nitrogen metabolism [PATH:ko00910]	K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	4
3256	Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	4
35211	Brite Hierarchies	Protein families: metabolism	Peptidases and inhibitors [BR:ko01002]	K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	4
46105	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K02013	ABC.FEV.A; iron complex transport system ATP-binding protein	7.2.2.-	2
10273	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	K08483	ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	2.7.3.9	20
46687	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K08483	ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	2.7.3.9	20
2264	Metabolism	Lipid metabolism	Fatty acid biosynthesis [PATH:ko00061]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
2313	Metabolism	Lipid metabolism	Fatty acid degradation [PATH:ko00071]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
15440	Cellular Processes	Transport and catabolism	Peroxisome [PATH:ko04146]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
16447	Cellular Processes	Cell growth and death	Ferroptosis [PATH:ko04216]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
17372	Cellular Processes	Cellular community - prokaryotes	Quorum sensing [PATH:ko02024]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
20015	Organismal Systems	Endocrine system	Adipocytokine signaling pathway [PATH:ko04920]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
20079	Organismal Systems	Endocrine system	PPAR signaling pathway [PATH:ko03320]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
23745	Organismal Systems	Environmental adaptation	Thermogenesis [PATH:ko04714]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
36735	Brite Hierarchies	Protein families: metabolism	Lipid biosynthesis proteins [BR:ko01004]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
49026	Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
2065	Metabolism	Energy metabolism	Nitrogen metabolism [PATH:ko00910]	K00360	nasB; assimilatory nitrate reductase electron transfer subunit	1.7.99.-	4
53554	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2)	1.3.1.34	2
1095	Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
1192	Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
2306	Metabolism	Lipid metabolism	Fatty acid degradation [PATH:ko00071]	K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
3507	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
4290	Metabolism	Metabolism of other amino acids	beta-Alanine metabolism [PATH:ko00410]	K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
429	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	K02768	fruB; fructose PTS system EIIA component	2.7.1.202	43
10339	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	K02768	fruB; fructose PTS system EIIA component	2.7.1.202	43
46710	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K02768	fruB; fructose PTS system EIIA component	2.7.1.202	43
10335	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) [PATH:ko02060]	K11183	fruB, fpr; multiphosphoryl transfer protein	2.7.1.202	10
46692	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K11183	fruB, fpr; multiphosphoryl transfer protein	2.7.1.202	10
347	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	K01840	manB; phosphomannomutase	5.4.2.8	8
817	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K01840	manB; phosphomannomutase	5.4.2.8	8
4960	Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K01840	manB; phosphomannomutase	5.4.2.8	8
9805	Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K11072	potA; spermidine/putrescine transport system ATP-binding protein	7.6.2.11	5
45733	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K11072	potA; spermidine/putrescine transport system ATP-binding protein	7.6.2.11	5
3597	Metabolism	Amino acid metabolism	Lysine biosynthesis [PATH:ko00300]	K01586	lysA; diaminopimelate decarboxylase	4.1.1.20	3
101	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K01223	E3.2.1.86B, bglA; 6-phospho-beta-glucosidase	3.2.1.86	1
628	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:ko00500]	K01223	E3.2.1.86B, bglA; 6-phospho-beta-glucosidase	3.2.1.86	1
45059	Brite Hierarchies	Protein families: genetic information processing	DNA repair and recombination proteins [BR:ko03400]	K03574	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase	3.6.1.55	4
2100	Metabolism	Energy metabolism	Nitrogen metabolism [PATH:ko00910]	K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	1.4.1.3	1
3260	Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	1.4.1.3	1
3747	Metabolism	Amino acid metabolism	Arginine biosynthesis [PATH:ko00220]	K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	1.4.1.3	1
4432	Metabolism	Metabolism of other amino acids	D-Glutamine and D-glutamate metabolism [PATH:ko00471]	K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	1.4.1.3	1
16496	Cellular Processes	Cell growth and death	Necroptosis [PATH:ko04217]	K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	1.4.1.3	1
22076	Organismal Systems	Excretory system	Proximal tubule bicarbonate reclamation [PATH:ko04964]	K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	1.4.1.3	1
49243	Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	1.4.1.3	1
514	Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:ko00052]	K12047	MGAM; maltase-glucoamylase	3.2.1.20 3.2.1.3	1
595	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:ko00500]	K12047	MGAM; maltase-glucoamylase	3.2.1.20 3.2.1.3	1
21752	Organismal Systems	Digestive system	Carbohydrate digestion and absorption [PATH:ko04973]	K12047	MGAM; maltase-glucoamylase	3.2.1.20 3.2.1.3	1
3830	Metabolism	Amino acid metabolism	Arginine and proline metabolism [PATH:ko00330]	K01426	E3.5.1.4, amiE; amidase	3.5.1.4	6
4081	Metabolism	Amino acid metabolism	Phenylalanine metabolism [PATH:ko00360]	K01426	E3.5.1.4, amiE; amidase	3.5.1.4	6
4166	Metabolism	Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	K01426	E3.5.1.4, amiE; amidase	3.5.1.4	6
7536	Metabolism	Xenobiotics biodegradation and metabolism	Aminobenzoate degradation [PATH:ko00627]	K01426	E3.5.1.4, amiE; amidase	3.5.1.4	6
7846	Metabolism	Xenobiotics biodegradation and metabolism	Styrene degradation [PATH:ko00643]	K01426	E3.5.1.4, amiE; amidase	3.5.1.4	6
4475	Metabolism	Metabolism of other amino acids	Glutathione metabolism [PATH:ko00480]	K01270	pepD; dipeptidase D	3.4.13.-	2
35474	Brite Hierarchies	Protein families: metabolism	Peptidases and inhibitors [BR:ko01002]	K01270	pepD; dipeptidase D	3.4.13.-	2
73	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
565	Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:ko00053]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
899	Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
2344	Metabolism	Lipid metabolism	Fatty acid degradation [PATH:ko00071]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
2486	Metabolism	Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
3542	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
3713	Metabolism	Amino acid metabolism	Lysine degradation [PATH:ko00310]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
3816	Metabolism	Amino acid metabolism	Arginine and proline metabolism [PATH:ko00330]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
3923	Metabolism	Amino acid metabolism	Histidine metabolism [PATH:ko00340]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
4134	Metabolism	Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
4267	Metabolism	Metabolism of other amino acids	beta-Alanine metabolism [PATH:ko00410]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
5367	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
6077	Metabolism	Metabolism of terpenoids and polyketides	Insect hormone biosynthesis [PATH:ko00981]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
6108	Metabolism	Metabolism of terpenoids and polyketides	Limonene and pinene degradation [PATH:ko00903]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
7638	Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane and chloroalkene degradation [PATH:ko00625]	K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
644	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:ko00500]	K01200	pulA; pullulanase	3.2.1.41	3
3594	Metabolism	Amino acid metabolism	Lysine biosynthesis [PATH:ko00300]	K01439	dapE; succinyl-diaminopimelate desuccinylase	3.5.1.18	1
35469	Brite Hierarchies	Protein families: metabolism	Peptidases and inhibitors [BR:ko01002]	K01439	dapE; succinyl-diaminopimelate desuccinylase	3.5.1.18	1
4139	Metabolism	Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	K00669	AANAT; arylalkylamine N-acetyltransferase	2.3.1.87	1
4202	Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	K01658	trpG; anthranilate synthase component II	4.1.3.27	28
7266	Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis [PATH:ko00405]	K01658	trpG; anthranilate synthase component II	4.1.3.27	28
17269	Cellular Processes	Cellular community - prokaryotes	Quorum sensing [PATH:ko02024]	K01658	trpG; anthranilate synthase component II	4.1.3.27	28
17654	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	K01658	trpG; anthranilate synthase component II	4.1.3.27	28
515	Metabolism	Carbohydrate metabolism	Galactose metabolism [PATH:ko00052]	K01187	malZ; alpha-glucosidase	3.2.1.20	2
596	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism [PATH:ko00500]	K01187	malZ; alpha-glucosidase	3.2.1.20	2
34459	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K04757	rsbW; serine/threonine-protein kinase RsbW	2.7.11.1	10
39282	Brite Hierarchies	Protein families: genetic information processing	Transcription machinery [BR:ko03021]	K04757	rsbW; serine/threonine-protein kinase RsbW	2.7.11.1	10
74	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
566	Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:ko00053]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
900	Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
2345	Metabolism	Lipid metabolism	Fatty acid degradation [PATH:ko00071]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
2487	Metabolism	Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
3336	Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
3543	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
3636	Metabolism	Amino acid metabolism	Lysine degradation [PATH:ko00310]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
3817	Metabolism	Amino acid metabolism	Arginine and proline metabolism [PATH:ko00330]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
3924	Metabolism	Amino acid metabolism	Histidine metabolism [PATH:ko00340]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
4135	Metabolism	Amino acid metabolism	Tryptophan metabolism [PATH:ko00380]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
4268	Metabolism	Metabolism of other amino acids	beta-Alanine metabolism [PATH:ko00410]	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
53538	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00155	LNAA, LNBA; L-tyrosine reductase	1.2.1.101	5
10762	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
17794	Cellular Processes	Cell motility	Bacterial chemotaxis [PATH:ko02030]	K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
34659	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
48171	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
48251	Brite Hierarchies	Protein families: signaling and cellular processes	Bacterial motility proteins [BR:ko02035]	K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
34460	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K08884	K08884; serine/threonine protein kinase, bacterial	2.7.11.1	24
34658	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K02482	flgS; two-component system, NtrC family, sensor kinase	2.7.13.3	33
48169	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K02482	flgS; two-component system, NtrC family, sensor kinase	2.7.13.3	33
10811	Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS	2.7.13.3	26
34671	Brite Hierarchies	Protein families: metabolism	Protein kinases [BR:ko01001]	K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS	2.7.13.3	26
48203	Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS	2.7.13.3	26
