L1	L2	L3	L4	KO	Function	EC	Count
01_Fermentation	Acetoin biosynthesis	Superpathway of 2,3-butanediol biosynthesis		K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	1.1.1.4 1.1.1.- 1.1.1.303	1
20_Hydrolysis of polymers	Starch			K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
20_Hydrolysis of polymers	Xylose			K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00013	hisD; histidinol dehydrogenase	1.1.1.23	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00013	hisD; histidinol dehydrogenase	1.1.1.23	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00014	aroE; shikimate dehydrogenase	1.1.1.25	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K00014	aroE; shikimate dehydrogenase	1.1.1.25	1
06_Amino acid utilization biosynthesis metabolism	Histidine degradation			K00020	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	1.1.1.31	1
01_Fermentation	Succinate fermentation to butyrate			K00023	phbB; acetoacetyl-CoA reductase	1.1.1.36	1
08_Hydrocarbon degradation	Aromatic carboxylic acid degradation			K00023	phbB; acetoacetyl-CoA reductase	1.1.1.36	1
01_Fermentation	Mixed acid fermentation			K00024	mdh; malate dehydrogenase	1.1.1.37	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to lactate		K00024	mdh; malate dehydrogenase	1.1.1.37	1
10_TCA cycle	Replenishment of TCA cycle intermediates (necessary because some intermediates serve as precursors for biosysnthesis)			K00024	mdh; malate dehydrogenase	1.1.1.37	1
10_TCA cycle	Incomplete TCA fork			K00024	mdh; malate dehydrogenase	1.1.1.37	1
15_Methylotrophy	Serine pathway for formaldehyde fixation			K00024	mdh; malate dehydrogenase	1.1.1.37	1
01_Fermentation	Mixed acid fermentation			K00031	IDH1, IDH2, icd; isocitrate dehydrogenase	1.1.1.42	1
10_TCA cycle	TCA cycle			K00031	IDH1, IDH2, icd; isocitrate dehydrogenase	1.1.1.42	1
10_TCA cycle	Reductive TCA cycle			K00031	IDH1, IDH2, icd; isocitrate dehydrogenase	1.1.1.42	1
01_Fermentation	Heterolactic fermentation			K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	1
21_Cellular response to stress	Cellular response to stress			K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	1
20_Hydrolysis of polymers	Galactose			K00035	gal; D-galactose 1-dehydrogenase	1.1.1.48	1
01_Fermentation	Heterolactic fermentation			K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363	1
15_Methylotrophy	RuMP pathway for formaldehyde fixation (first two steps are common to both RuMP pathway variants)			K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363	1
21_Cellular response to stress	Cellular response to stress			K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363	1
20_Hydrolysis of polymers	Xylose			K00039	rbtD; ribitol 2-dehydrogenase	1.1.1.56	1
20_Hydrolysis of polymers	Xylose			K00040	uxuB; fructuronate reductase	1.1.1.57	1
01_Fermentation	Homolactic fermentation			K00043	gbd; 4-hydroxybutyrate dehydrogenase	1.1.1.61	1
06_Amino acid utilization biosynthesis metabolism	Histidine biosynthesis, pRpp => histidine			K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase	1.1.1.85	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00053	ilvC; ketol-acid reductoisomerase	1.1.1.86	1
08_Hydrocarbon degradation	Other aromatics degradation			K00055	E1.1.1.90; aryl-alcohol dehydrogenase	1.1.1.90	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	1.1.1.95 1.1.1.399	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00060	tdh; threonine 3-dehydrogenase	1.1.1.103	1
20_Hydrolysis of polymers	Xylose			K00065	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	1.1.1.127	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Peptidoglycan biosynthesis		K00075	murB; UDP-N-acetylmuramate dehydrogenase	1.3.1.98	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Murein		K00075	murB; UDP-N-acetylmuramate dehydrogenase	1.3.1.98	1
07_Nucleic acid metabolism	Purine metabolism			K00088	IMPDH, guaB; IMP dehydrogenase	1.1.1.205	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00108	betA, CHDH; choline dehydrogenase	1.1.99.1	1
21_Cellular response to stress	Response to osmotic stress			K00108	betA, CHDH; choline dehydrogenase	1.1.99.1	1
01_Fermentation	Acetylene degradation			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Mixed acid fermentation			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol II		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
15_Methylotrophy	Formaldehyde oxidation (glutathione-dependent)			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
21_Cellular response to stress	Response to osmotic stress			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
14_Methanogenesis	From formate			K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit	1.17.1.9	1
15_Methylotrophy	Methane oxidation to cO2			K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit	1.17.1.9	1
15_Methylotrophy	Formaldehyde oxidation (tetrahydrofolate pathway)			K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit	1.17.1.9	1
15_Methylotrophy	Formaldehyde oxidation (glutathione-dependent)			K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit	1.17.1.9	1
14_Methanogenesis	From formate			K00126	fdsD; formate dehydrogenase subunit delta	1.17.1.9	1
15_Methylotrophy	Methane oxidation to cO2			K00126	fdsD; formate dehydrogenase subunit delta	1.17.1.9	1
15_Methylotrophy	Formaldehyde oxidation (tetrahydrofolate pathway)			K00126	fdsD; formate dehydrogenase subunit delta	1.17.1.9	1
15_Methylotrophy	Formaldehyde oxidation (glutathione-dependent)			K00126	fdsD; formate dehydrogenase subunit delta	1.17.1.9	1
14_Methanogenesis	From formate			K00127	fdoI, fdsG; formate dehydrogenase subunit gamma		1
15_Methylotrophy	Methane oxidation to cO2			K00127	fdoI, fdsG; formate dehydrogenase subunit gamma		1
05_Fatty acid oxidation	Fatty acid alpha-oxidation			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	1
05_Fatty acid oxidation	Fatty acid omega-oxidation			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	1
08_Hydrocarbon degradation	Hydrocarbon degradation			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	1
20_Hydrolysis of polymers	Xylose			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00130	betB, gbsA; betaine-aldehyde dehydrogenase	1.2.1.8	1
21_Cellular response to stress	Response to osmotic stress			K00130	betB, gbsA; betaine-aldehyde dehydrogenase	1.2.1.8	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Methionine biosynthesis			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
01_Fermentation	Bifidobacterium shunt			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
01_Fermentation	Heterolactic fermentation			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
01_Fermentation	Homolactic fermentation			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
02_Homoacetogenesis	Glycolysis			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
16_Embden Meyerhof-Parnos (EMP)	EMP			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
16_Embden Meyerhof-Parnos (EMP)	Glycolysis III (EMP)			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
17_Gluconeogenesis	Gluconeogenesis in archea			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
21_Cellular response to stress	Regulation of stress-activated protein kinase signaling cascade			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
06_Amino acid utilization biosynthesis metabolism	Lysine degradation VIII			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
06_Amino acid utilization biosynthesis metabolism	Methionine degradation			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
21_Cellular response to stress	Cellular response to stress			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00137	prr; aminobutyraldehyde dehydrogenase	1.2.1.19	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K00138	aldB; aldehyde dehydrogenase	1.2.1.-	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K00138	aldB; aldehyde dehydrogenase	1.2.1.-	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K00138	aldB; aldehyde dehydrogenase	1.2.1.-	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00138	aldB; aldehyde dehydrogenase	1.2.1.-	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	1.2.1.18 1.2.1.27	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VII		K00146	feaB; phenylacetaldehyde dehydrogenase	1.2.1.39	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00146	feaB; phenylacetaldehyde dehydrogenase	1.2.1.39	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00147	proA; glutamate-5-semialdehyde dehydrogenase	1.2.1.41	1
15_Methylotrophy	Methane oxidation to cO2			K00148	fdhA; glutathione-independent formaldehyde dehydrogenase	1.2.1.46	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00163	aceE; pyruvate dehydrogenase E1 component	1.2.4.1	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	1.2.4.2	1
10_TCA cycle	TCA cycle			K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	1.2.4.2	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit	1.2.4.4	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit	1.2.4.4	1
05_Fatty acid oxidation	Fatty acid activation			K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase	1.17.1.8	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase	1.17.1.8	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K00220	tyrC; cyclohexadieny/prephenate dehydrogenase	1.3.1.43 1.3.1.12	1
10_TCA cycle	TCA cycle			K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4	1
10_TCA cycle	Incomplete TCA fork			K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4	1
10_TCA cycle	Reductive TCA cycle			K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4	1
10_TCA cycle	TCA cycle			K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit		1
10_TCA cycle	Incomplete TCA fork			K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit		1
10_TCA cycle	Reductive TCA cycle			K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit		1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to propionate II (acrylate pathway)		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
05_Fatty acid oxidation	Fatty acid beta-oxidation I			K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase	1.3.8.6	1
08_Hydrocarbon degradation	Aromatic carboxylic acid degradation			K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase	1.3.8.6	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00253	IVD, ivd; isovaleryl-CoA dehydrogenase	1.3.8.4	1
06_Amino acid utilization biosynthesis metabolism	Oxydation deamination			K00259	ald; alanine dehydrogenase	1.4.1.1	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00259	ald; alanine dehydrogenase	1.4.1.1	1
06_Amino acid utilization biosynthesis metabolism	Oxydation deamination			K00260	gudB, rocG; glutamate dehydrogenase	1.4.1.2	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00260	gudB, rocG; glutamate dehydrogenase	1.4.1.2	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00260	gudB, rocG; glutamate dehydrogenase	1.4.1.2	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K00260	gudB, rocG; glutamate dehydrogenase	1.4.1.2	1
11_Nitrogen cycle	Ammonia assimilation			K00260	gudB, rocG; glutamate dehydrogenase	1.4.1.2	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	1
11_Nitrogen cycle	Ammonia assimilation			K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00266	gltD; glutamate synthase (NADPH) small chain	1.4.1.13	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00266	gltD; glutamate synthase (NADPH) small chain	1.4.1.13	1
11_Nitrogen cycle	Ammonia assimilation			K00266	gltD; glutamate synthase (NADPH) small chain	1.4.1.13	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00276	AOC3, AOC2, tynA; primary-amine oxidase	1.4.3.21	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00276	AOC3, AOC2, tynA; primary-amine oxidase	1.4.3.21	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00276	AOC3, AOC2, tynA; primary-amine oxidase	1.4.3.21	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00278	nadB; L-aspartate oxidase	1.4.3.16	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00281	GLDC, gcvP; glycine dehydrogenase	1.4.4.2	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00285	dadA; D-amino-acid dehydrogenase	1.4.5.1	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00286	proC; pyrroline-5-carboxylate reductase	1.5.1.2	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00301	E1.5.3.1; sarcosine oxidase	1.5.3.1	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00302	soxA; sarcosine oxidase, subunit alpha	1.5.3.1	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00303	soxB; sarcosine oxidase, subunit beta	1.5.3.1	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00304	soxD; sarcosine oxidase, subunit delta	1.5.3.1	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00305	soxG; sarcosine oxidase, subunit gamma	1.5.3.1	1
14_Methanogenesis	From formate			K00320	mer; 5,10-methylenetetrahydromethanopterin reductase	1.5.98.2	1
14_Methanogenesis	From CO2			K00320	mer; 5,10-methylenetetrahydromethanopterin reductase	1.5.98.2	1
21_Cellular response to stress	Response to osmotic stress			K00330	nuoA; NADH-quinone oxidoreductase subunit A	7.1.1.2	1
21_Cellular response to stress	Response to osmotic stress			K00331	nuoB; NADH-quinone oxidoreductase subunit B	7.1.1.2	1
21_Cellular response to stress	Response to osmotic stress			K00332	nuoC; NADH-quinone oxidoreductase subunit C	7.1.1.2	1
21_Cellular response to stress	Response to osmotic stress			K00333	nuoD; NADH-quinone oxidoreductase subunit D	7.1.1.2	1
