L1	KO	Function	EC
Function unknown	VOG00097	sp|G3XCY4|AMRZ_PSEAE Transcription factor AmrZ	
Virus protein with function beneficial for the host	VOG00098	sp|Q5UQC1|YL232_MIMIV Putative serine/threonine-protein kinase L232	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00099	sp|A0A7H0DN78|DUSP_MONPV Dual specificity protein phosphatase OPG106	
Function unknown	VOG00100	REFSEQ homing endonuclease	
Function unknown	VOG00101	REFSEQ AAA family ATPase	
Function unknown	VOG00102	REFSEQ homing endonuclease	
Virus protein with function beneficial for the virus | Virus structure	VOG00103	sp|P07626|VG36_BPK3 Tail fiber protein p36	
Virus protein with function beneficial for the virus | Virus structure	VOG00104	sp|Q6XQB2|FIBER_BPT1 Probable tail fiber protein	
Function unknown	VOG00105	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00106	sp|Q07G10|ALKB8_XENTR Alkylated DNA repair protein alkB homolog 8	
Virus protein with function beneficial for the host	VOG00107	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW	
Function unknown	VOG00108	REFSEQ hypothetical protein	
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00109	sp|Q05220|PORTL_BPML5 Portal protein	
Function unknown	VOG00110	sp|Q8QL40|Y59_SIRV1 Uncharacterized protein 59	
Virus protein with function beneficial for the host | Virus replication	VOG00111	sp|P32270|DDA_BPT4 ATP-dependent DNA helicase dda	
Function unknown	VOG00112	sp|P20319|V55_BPT3 Gene 5.5 protein	
Function unknown	VOG00113	REFSEQ hypothetical protein	
Function unknown	VOG00114	sp|O10293|Y030_NPVOP Uncharacterized 52.7 kDa protein	
Function unknown	VOG00115	sp|Q6SWB9|UL11P_HCMVM Protein UL11	
Function unknown	VOG00116	sp|Q5UQ10|YL192_MIMIV Uncharacterized protein L192	
Function unknown	VOG00117	REFSEQ HNH endonuclease	
Function unknown	VOG00118	REFSEQ HNH endonuclease	
Function unknown	VOG00119	REFSEQ replication initiation protein	
Function unknown	VOG00120	REFSEQ tail protein	
Virus protein with function beneficial for the host	VOG00121	sp|P21542|CARE_STRTH 4''-mycarosyl isovaleryl-CoA transferase	
Virus protein with function beneficial for the host	VOG00122	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha	
Virus protein with function beneficial for the host	VOG00123	sp|C7IZ16|GNA2_ORYSJ Probable glucosamine 6-phosphate N-acetyltransferase 2	
Function unknown	VOG00124	sp|P32278|Y10B_BPT4 Uncharacterized 11.0 kDa protein in Gp24-hoc intergenic region	
Function unknown	VOG00125	REFSEQ head closure Hc1	
Function unknown	VOG00126	REFSEQ hypothetical protein	
Function unknown	VOG00127	REFSEQ radical SAM domain-containing protein	
Function unknown	VOG00128	sp|P14108|Y7K8_BPP22 Uncharacterized 7.8 kDa protein in ral-gp17 intergenic region	
Function unknown	VOG00129	sp|Q196U9|VF414_IIV3 Putative hydrolase 111R	
Function unknown	VOG00130	REFSEQ tail completion or Neck1 protein	
Function unknown	VOG00131	REFSEQ HNH endonuclease	
Function unknown	VOG00132	REFSEQ head maturation protease	
Function unknown	VOG00133	REFSEQ hypothetical protein	
Virus structure	VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17	
Virus structure	VOG00135	sp|Q05229|VG23_BPML5 Major tail protein Gp23	
Function unknown	VOG00136	sp|P03049|RMNT_BPP22 Regulatory protein mnt	
Function unknown	VOG00137	REFSEQ peptidase	
Virus protein with function beneficial for the host	VOG00138	sp|Q5UQ22|YL207_MIMIV Putative helicase L207/L206	
Function unknown	VOG00139	REFSEQ hypothetical protein	
Function unknown	VOG00140	REFSEQ hypothetical protein	
Function unknown	VOG00141	sp|P03756|EA22_LAMBD Protein ea22	
Virus protein with function beneficial for the host | Virus structure	VOG00142	sp|Q5UQF0|YL484_MIMIV Putative ankyrin repeat protein L484	
Function unknown	VOG00143	REFSEQ replication initiation protein	
Virus protein with function beneficial for the host | Virus replication	VOG00144	sp|P36279|REP_TLCVA Replication-associated protein	
Virus protein with function beneficial for the host | Virus structure	VOG00145	sp|P35986|L2MU_ADE12 Late L2 mu core protein	
Function unknown	VOG00146	sp|Q5UPE6|YR069_MIMIV Uncharacterized protein R69	
Function unknown	VOG00147	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG00148	sp|P03690|VR2A_BPT4 Protein rIIA	
Function unknown	VOG00149	REFSEQ hypothetical protein	
Function unknown	VOG00150	REFSEQ Rz-like spanin	
Function unknown	VOG00151	REFSEQ tail length tape measure protein	
Function unknown	VOG00152	sp|P39251|Y16Q_BPT4 Uncharacterized 7.5 kDa protein in denB-rIIB intergenic region	
Virus protein with function beneficial for the host | Virus replication	VOG00153	sp|P03763|TARGB_BPMU ATP-dependent target DNA activator B	
Function unknown	VOG00154	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00155	sp|P34081|HMUI_BPSP1 DNA endonuclease I-HmuI	
Function unknown	VOG00156	REFSEQ tail fiber assembly	
Function unknown	VOG00157	REFSEQ tail protein	
Virus protein with function beneficial for the host	VOG00158	sp|P33658|RPSG_CLOAB RNA polymerase sigma-G factor	
Function unknown	VOG00159	REFSEQ head closure Hc1	
Function unknown	VOG00160	REFSEQ hypothetical protein	
Function unknown	VOG00161	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245	
Function unknown	VOG00162	REFSEQ hypothetical protein	
Function unknown	VOG00163	REFSEQ hypothetical protein	
Function unknown	VOG00164	sp|Q8QL20|Y356_SIRV1 Uncharacterized protein 356	
Function unknown	VOG00165	sp|P18305|443R_IIV6 Uncharacterized protein 443R	
Function unknown	VOG00166	sp|P13309|Y06D_BPT4 Uncharacterized 17.5 kDa protein in tk-vs intergenic region	
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00167	sp|P03724|GP14_BPT7 Internal virion protein gp14	
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00168	sp|P13332|TSP_BPT4 Tail sheath protein	
Function unknown	VOG00169	sp|Q06425|YO83_BPP2 Uncharacterized 10.2 kDa protein in GpA 5'region	
Function unknown	VOG00170	REFSEQ pectate lyase	
Function unknown	VOG00171	sp|Q5UQL9|YR423_MIMIV Uncharacterized protein R423	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00172	sp|Q38156|DAM_BPT1 DNA N-6-adenine-methyltransferase	
Function unknown	VOG00173	REFSEQ minor tail protein	
Virus protein with function beneficial for the host	VOG00174	sp|Q5UQV3|YL371_MIMIV Putative ankyrin repeat protein L371	
Function unknown	VOG00175	REFSEQ hypothetical protein	
Function unknown	VOG00176	sp|Q197F3|007R_IIV3 Uncharacterized protein 007R	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00177	sp|P16849|UL33_HCMVA G-protein coupled receptor homolog UL33	
Virus protein with function beneficial for the virus	VOG00178	sp|F5HGJ3|ARBH_HHV8P Apoptosis regulator Bcl-2 homolog	
Function unknown	VOG00179	REFSEQ hypothetical protein	
Function unknown	VOG00180	REFSEQ 3B	
Function unknown	VOG00181	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG00182	sp|P03690|VR2A_BPT4 Protein rIIA	
Function unknown	VOG00183	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246	
Virus protein with function beneficial for the host | Virus replication	VOG00184	sp|P46850|RTCB_ECOLI RNA-splicing ligase RtcB	
Function unknown	VOG00185	sp|O64206|VG13_BPMD2 Gene 13 protein	
Function unknown	VOG00186	REFSEQ hypothetical protein	
Function unknown	VOG00187	sp|O31968|YOMP_BACSU SPbeta prophage-derived uncharacterized protein YomP	
Function unknown	VOG00188	REFSEQ hypothetical protein	
Function unknown	VOG00189	REFSEQ terminase small subunit	
Function unknown	VOG00190	REFSEQ tail assembly chaperone	
Function unknown	VOG00191	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00192	sp|P51735|FIB31_BPHC1 Probable tail fiber protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00193	sp|Q3T4L9|HOLIN_BPPRD Holin	
Function unknown	VOG00194	sp|P18679|RCRO_BPHK0 8.4 kDa cro protein	
Function unknown	VOG00195	REFSEQ hypothetical protein	
Function unknown	VOG00196	sp|O64253|VG61_BPMD2 Gene 61 protein	
Function unknown	VOG00197	sp|O64220|VG26_BPMD2 Minor tail protein Gp26	
Function unknown	VOG00198	REFSEQ structural protein	
Function unknown	VOG00199	REFSEQ hypothetical protein	
Function unknown	VOG00200	sp|Q05247|VG37_BPML5 Gene 37 protein	
Function unknown	VOG00201	REFSEQ head-tail adaptor Ad1	
Function unknown	VOG00202	REFSEQ tail assembly chaperone	
Virus protein with function beneficial for the host	VOG00203	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW	
Function unknown	VOG00204	REFSEQ hypothetical protein	
Function unknown	VOG00205	sp|Q9T1Q7|VP41_BPAPS Putative protein p41	
Function unknown	VOG00206	REFSEQ hypothetical protein	
Function unknown	VOG00207	REFSEQ baseplate protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00208	sp|A0A7H0DNE4|PG176_MONPV Protein OPG176	
Function unknown	VOG00209	sp|P03720|VPIP_BPT4 Prehead core component PIP	
Function unknown	VOG00210	REFSEQ tail fiber protein	
Function unknown	VOG00211	sp|Q5UQ73|YL509_MIMIV Uncharacterized protein L509	
Function unknown	VOG00212	sp|P59193|YFDT_SHIFL Uncharacterized protein YfdT	
Function unknown	VOG00213	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00214	sp|A7IY64|ISAA_STAXY Probable transglycosylase IsaA	
Function unknown	VOG00215	REFSEQ hypothetical protein	
Function unknown	VOG00216	REFSEQ hypothetical protein	
Function unknown	VOG00217	REFSEQ hypothetical protein	
Function unknown	VOG00218	REFSEQ hypothetical protein	
Function unknown	VOG00219	REFSEQ hypothetical protein	
Virus replication	VOG00220	sp|Q7T6Y0|PCNA_MIMIV Probable DNA polymerase sliding clamp	
Virus protein with function beneficial for the host	VOG00221	sp|Q5UQ62|YR655_MIMIV Putative glycosyltransferase R655	
Virus protein with function beneficial for the host | Virus replication	VOG00222	sp|Q07846|VE1_HPV04 Replication protein E1	
Function unknown	VOG00223	REFSEQ F-box containing protein	
Virus protein with function beneficial for the host | Virus structure	VOG00224	sp|Q9E785|MATRX_BEFVB Matrix protein	
Virus protein with function beneficial for the host	VOG00225	sp|Q5UQC9|UBC1_MIMIV Probable ubiquitin-conjugating enzyme E2 L460	
Function unknown	VOG00226	REFSEQ hypothetical protein	
Function unknown	VOG00227	REFSEQ hypothetical protein	
Function unknown	VOG00228	sp|O31896|YORR_BACSU SPbeta prophage-derived uncharacterized protein YorR	
Virus protein with function beneficial for the host | Virus replication	VOG00229	sp|P04520|PRIM_BPT4 DNA primase	
Function unknown	VOG00230	sp|O31952|YONF_BACSU SPbeta prophage-derived uncharacterized protein YonF	
Function unknown	VOG00231	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44	
Function unknown	VOG00232	sp|Q03547|VEAE_BPP22 Eae protein	
Function unknown	VOG00233	REFSEQ HNH endonuclease	
Function unknown	VOG00234	REFSEQ replication initiation protein	
Function unknown	VOG00235	sp|P18057|Y02D_BPT4 Uncharacterized 14.1 kDa protein in imm-Gp43 intergenic region	
Virus protein with function beneficial for the host | Virus replication	VOG00236	sp|P03692|HELIC_BPT7 DNA helicase/primase	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00237	sp|P39503|SPAN2_BPT4 Spanin, outer lipoprotein subunit	
Function unknown	VOG00238	REFSEQ minor tail protein	
Function unknown	VOG00239	REFSEQ tail spike protein	
Function unknown	VOG00240	REFSEQ hypothetical protein	
Function unknown	VOG00241	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG00242	sp|P00970|DNLI_BPT4 DNA ligase	
Function unknown	VOG00243	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00244	sp|P07693|ADOM_BPT3 S-Adenosylmethionine lyase	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00245	sp|P51771|ENLYS_BPP2 Endolysin	
Function unknown	VOG00246	sp|Q03182|RINA_BPPHA Transcriptional activator rinA	
Function unknown	VOG00247	REFSEQ hypothetical protein	
Function unknown	VOG00248	sp|Q5UQE7|YL479_MIMIV Uncharacterized protein L479	
Virus protein with function beneficial for the host | Virus structure	VOG00249	sp|B0FII2|FIB20_BPE32 Putative tail tip fiber protein	
Function unknown	VOG00250	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00251	sp|Q5UQ09|YL193_MIMIV Uncharacterized glycosyltransferase L193	
Function unknown	VOG00252	REFSEQ holin	
Function unknown	VOG00253	REFSEQ virion structural protein	
Virus protein with function beneficial for the host	VOG00254	sp|B2J384|SYK_NOSP7 Lysine--tRNA ligase	
Function unknown	VOG00255	sp|P03798|Y53_BPT7 Protein 5.3	
Function unknown	VOG00256	REFSEQ hypothetical protein	
Function unknown	VOG00257	REFSEQ hypothetical protein	
Function unknown	VOG00258	REFSEQ virion structural protein	
Function unknown	VOG00259	sp|Q51647|YISX_BURM1 Insertion element IS401 uncharacterized 12.4 kDa protein	
Function unknown	VOG00260	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00261	sp|O64252|PRXH_BPMD2 Putative non-heme haloperoxidase	
Virus replication	VOG00262	sp|P20313|SSB_BPT3 Single-stranded DNA-binding protein	
Function unknown	VOG00263	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00264	sp|P04522|EXO2_BPT4 Exonuclease subunit 2	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00265	sp|P10930|FIB12_BPT4 Short tail fiber protein gp12	
Function unknown	VOG00266	sp|P39240|Y05I_BPT4 Uncharacterized 21.1 kDa protein in mobD-ri intergenic region	
Function unknown	VOG00267	REFSEQ hypothetical protein	
Function unknown	VOG00268	REFSEQ hypothetical protein	
Function unknown	VOG00269	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus structure	VOG00270	sp|A0A7H0DND3|PG162_MONPV Protein OPG162	
Virus structure	VOG00271	sp|Q5UQN7|CAPS3_MIMIV Probable capsid protein 3	
Virus protein with function beneficial for the host	VOG00272	sp|I1S2K2|CHITO_GIBZE Chitooligosaccharide oxidase	
Function unknown	VOG00273	REFSEQ hypothetical protein	
Function unknown	VOG00274	sp|A4GZ95|ORF3_TTVG1 Uncharacterized ORF3 protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00275	sp|Q77MQ6|IL8H_GAHVM Viral interleukin-8 homolog	
Function unknown	VOG00276	REFSEQ virion structural protein	
Function unknown	VOG00277	REFSEQ hypothetical protein	
Function unknown	VOG00278	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus structure	VOG00279	sp|P17313|VG31_BPT4 Capsid assembly protein Gp31	
Function unknown	VOG00280	sp|Q91G76|VF019_IIV6 Uncharacterized protein 019R	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00281	sp|P34877|MTSA_LACLC Type II methyltransferase M1.ScrFI	
Virus protein with function beneficial for the host | Virus replication	VOG00282	sp|O64301|LOADL_BPR69 Sliding-clamp-loader large subunit	
Function unknown	VOG00283	REFSEQ hypothetical protein	
Function unknown	VOG00284	REFSEQ HNH endonuclease	
Virus protein with function beneficial for the host | Virus replication	VOG00285	sp|C5IY43|NS1_HBOC4 Initiator protein NS1	
Function unknown	VOG00286	REFSEQ tail fiber protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication	VOG00287	sp|P12427|DMA_BPT2 DNA adenine methylase	
Virus protein with function beneficial for the host	VOG00288	sp|Q7T6X6|GFAT_MIMIV Probable glutamine--fructose-6-phosphate aminotransferase [isomerizing]	
Virus structure	VOG00289	sp|P03740|TFA_LAMBD Tail fiber assembly protein	
Function unknown	VOG00290	REFSEQ hypothetical protein	
Function unknown	VOG00291	sp|P44193|Y1422_HAEIN Uncharacterized protein HI_1422	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00292	sp|Q9XJP3|FIBER_BPSFV Tail spike protein	
Function unknown	VOG00293	REFSEQ hypothetical protein	
Function unknown	VOG00294	REFSEQ hypothetical protein	
Function unknown	VOG00295	REFSEQ hypothetical protein	
Function unknown	VOG00296	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG00297	sp|Q8X5V3|DNAB_ECO57 Replicative DNA helicase	
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00298	sp|O48459|DIT_BPSPP Distal tail protein	
Function unknown	VOG00299	REFSEQ hypothetical protein	
Function unknown	VOG00300	REFSEQ virion structural protein	
Function unknown	VOG00301	REFSEQ peptidase HslV family	
Function unknown	VOG00302	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245	
Virus replication	VOG00303	sp|P03014|PINE_ECOLI Serine recombinase PinE	
Virus protein with function beneficial for the host	VOG00304	sp|B6UL32|SAV_BPLP2 SaV protein	
Function unknown	VOG00305	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00306	sp|P14243|MTC9_CITFR Type II methyltransferase M.Cfr9I	
Function unknown	VOG00307	REFSEQ minor tail protein	
Virus protein with function beneficial for the host | Virus structure	VOG00308	sp|Q5UQ50|COLL6_MIMIV Collagen-like protein 6	
Function unknown	VOG00309	sp|O31951|YONG_BACSU SPbeta prophage-derived uncharacterized protein YonG	
Function unknown	VOG00310	sp|B8HPS9|RNH_CYAP4 Ribonuclease H	
Virus protein with function beneficial for the host | Virus structure	VOG00311	sp|Q5UQ13|COLL2_MIMIV Collagen-like protein 2	
Function unknown	VOG00312	REFSEQ holin	
Virus protein with function beneficial for the host	VOG00313	sp|Q8QL34|Y335_SIRV1 Uncharacterized glycosyltransferase 335	
Function unknown	VOG00314	sp|P39254|Y04O_BPT4 Uncharacterized 36.3 kDa protein in nrdC-mobD intergenic region	
Function unknown	VOG00315	REFSEQ minor tail protein	
Function unknown	VOG00316	REFSEQ methyltransferase	
Function unknown	VOG00317	REFSEQ hypothetical protein	
Function unknown	VOG00318	sp|P45918|YQBB_BACSU Uncharacterized protein YqbB	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00319	sp|Q38134|HOLIN_BPR1T Holin	
