#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG00070	276	205	Xh	sp|Q6QGH9|OBP_BPT5 Putative replication origin binding protein
VOG00071	85	22	Xh	sp|Q03307|US20_HCMVT Transmembrane protein HWLF3
VOG00072	222	124	Xr	sp|P54992|YSNA_STRPR Putative RNA-guided DNA endonuclease
VOG00073	27	24	Xu	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246
VOG00074	130	121	Xu	REFSEQ hypothetical protein
VOG00075	1830	1666	XhXr	sp|O64235|DPOL_BPMD2 DNA polymerase
VOG00076	77	13	Xu	REFSEQ hypothetical protein
VOG00077	195	74	Xu	REFSEQ hypothetical protein
VOG00078	62	52	Xu	sp|O55709|069L_IIV6 Putative Bro-N domain-containing protein 069L
VOG00079	59	57	Xs	sp|P85991|IGLVP_BPSK9 Ig-like virion protein
VOG00080	385	381	XpXrXs	sp|O48446|HCP16_BPSPP Head completion protein gp16
VOG00081	100	25	Xu	sp|Q5UP86|YL012_MIMIV Uncharacterized protein L12
VOG00082	971	945	XhXr	sp|O48500|DUT_BPT5 Deoxyuridine 5'-triphosphate nucleotidohydrolase
VOG00083	105	19	Xh	sp|Q5UPR0|YL768_MIMIV Putative ankyrin repeat protein L768
VOG00084	294	248	XhXrXs	sp|P03271|PKG1_ADE05 Packaging protein 1
VOG00085	74	66	Xu	REFSEQ hypothetical protein
VOG00086	444	431	Xu	sp|P15075|HDNUC_BPT4 Head completion nuclease
VOG00087	21	20	Xu	REFSEQ tail fiber protein
VOG00088	866	841	Xu	sp|P04536|EXOD_BPT4 Exodeoxyribonuclease
VOG00089	74	72	XhXp	sp|A0A0S0MX59|AT_BPPAM 5-NmdU N-acetyltransferase
VOG00090	217	217	Xu	REFSEQ holin
VOG00091	192	184	Xu	REFSEQ tail assembly chaperone
VOG00092	48	47	Xu	REFSEQ hypothetical protein
VOG00093	166	162	Xu	sp|P69175|NING_BPVT2 Protein ninG
VOG00094	462	462	XhXpXrXs	sp|P03726|EXLYS_BPT7 Peptidoglycan transglycosylase gp16
VOG00095	175	175	Xu	REFSEQ nucleotidyltransferase
VOG00096	889	888	Xu	sp|O64216|VG22_BPMD2 Gene 22 protein
VOG00097	38	38	Xu	sp|G3XCY4|AMRZ_PSEAE Transcription factor AmrZ
VOG00098	55	35	Xh	sp|Q5UQC1|YL232_MIMIV Putative serine/threonine-protein kinase L232
VOG00099	224	166	XhXpXs	sp|A0A7H0DN78|DUSP_MONPV Dual specificity protein phosphatase OPG106
VOG00100	27	23	Xu	REFSEQ homing endonuclease
VOG00101	44	31	Xu	REFSEQ AAA family ATPase
VOG00102	31	18	Xu	REFSEQ homing endonuclease
VOG00103	200	199	XpXs	sp|P07626|VG36_BPK3 Tail fiber protein p36
VOG00104	29	29	XpXs	sp|Q6XQB2|FIBER_BPT1 Probable tail fiber protein
VOG00105	266	239	Xu	REFSEQ hypothetical protein
VOG00106	94	84	Xh	sp|Q07G10|ALKB8_XENTR Alkylated DNA repair protein alkB homolog 8
VOG00107	2695	2088	Xh	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW
VOG00108	58	51	Xu	REFSEQ hypothetical protein
VOG00109	1288	1287	XpXrXs	sp|Q05220|PORTL_BPML5 Portal protein
VOG00110	100	81	Xu	sp|Q8QL40|Y59_SIRV1 Uncharacterized protein 59
VOG00111	666	653	XhXr	sp|P32270|DDA_BPT4 ATP-dependent DNA helicase dda
VOG00112	154	148	Xu	sp|P20319|V55_BPT3 Gene 5.5 protein
VOG00113	55	21	Xu	REFSEQ hypothetical protein
VOG00114	54	40	Xu	sp|O10293|Y030_NPVOP Uncharacterized 52.7 kDa protein
VOG00115	41	6	Xu	sp|Q6SWB9|UL11P_HCMVM Protein UL11
VOG00116	34	24	Xu	sp|Q5UQ10|YL192_MIMIV Uncharacterized protein L192
VOG00117	39	38	Xu	REFSEQ HNH endonuclease
VOG00118	25	23	Xu	REFSEQ HNH endonuclease
VOG00119	18	18	Xu	REFSEQ replication initiation protein
VOG00120	46	42	Xu	REFSEQ tail protein
VOG00121	23	23	Xh	sp|P21542|CARE_STRTH 4''-mycarosyl isovaleryl-CoA transferase
VOG00122	1494	1429	Xh	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha
VOG00123	85	83	Xh	sp|C7IZ16|GNA2_ORYSJ Probable glucosamine 6-phosphate N-acetyltransferase 2
VOG00124	234	229	Xu	sp|P32278|Y10B_BPT4 Uncharacterized 11.0 kDa protein in Gp24-hoc intergenic region
VOG00125	213	212	Xu	REFSEQ head closure Hc1
VOG00126	34	32	Xu	REFSEQ hypothetical protein
VOG00127	57	23	Xu	REFSEQ radical SAM domain-containing protein
VOG00128	98	91	Xu	sp|P14108|Y7K8_BPP22 Uncharacterized 7.8 kDa protein in ral-gp17 intergenic region
VOG00129	23	22	Xu	sp|Q196U9|VF414_IIV3 Putative hydrolase 111R
VOG00130	721	718	Xu	REFSEQ tail completion or Neck1 protein
VOG00131	53	31	Xu	REFSEQ HNH endonuclease
VOG00132	96	62	Xu	REFSEQ head maturation protease
VOG00133	88	82	Xu	REFSEQ hypothetical protein
VOG00134	1205	1198	Xs	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17
VOG00135	1051	1050	Xs	sp|Q05229|VG23_BPML5 Major tail protein Gp23
VOG00136	89	53	Xu	sp|P03049|RMNT_BPP22 Regulatory protein mnt
VOG00137	26	26	Xu	REFSEQ peptidase
VOG00138	482	454	Xh	sp|Q5UQ22|YL207_MIMIV Putative helicase L207/L206
VOG00139	164	65	Xu	REFSEQ hypothetical protein
VOG00140	148	146	Xu	REFSEQ hypothetical protein
VOG00141	190	137	Xu	sp|P03756|EA22_LAMBD Protein ea22
VOG00142	95	25	XhXs	sp|Q5UQF0|YL484_MIMIV Putative ankyrin repeat protein L484
VOG00143	69	57	Xu	REFSEQ replication initiation protein
VOG00144	1241	1145	XhXr	sp|P36279|REP_TLCVA Replication-associated protein
VOG00145	33	33	XhXs	sp|P35986|L2MU_ADE12 Late L2 mu core protein
VOG00146	109	21	Xu	sp|Q5UPE6|YR069_MIMIV Uncharacterized protein R69
VOG00147	29	10	Xu	REFSEQ hypothetical protein
VOG00148	25	25	XhXr	sp|P03690|VR2A_BPT4 Protein rIIA
VOG00149	37	37	Xu	REFSEQ hypothetical protein
VOG00150	122	122	Xu	REFSEQ Rz-like spanin
VOG00151	18	17	Xu	REFSEQ tail length tape measure protein
VOG00152	189	189	Xu	sp|P39251|Y16Q_BPT4 Uncharacterized 7.5 kDa protein in denB-rIIB intergenic region
VOG00153	51	50	XhXr	sp|P03763|TARGB_BPMU ATP-dependent target DNA activator B
VOG00154	183	168	Xu	REFSEQ hypothetical protein
VOG00155	53	53	Xh	sp|P34081|HMUI_BPSP1 DNA endonuclease I-HmuI
VOG00156	53	44	Xu	REFSEQ tail fiber assembly
VOG00157	59	53	Xu	REFSEQ tail protein
VOG00158	251	228	Xh	sp|P33658|RPSG_CLOAB RNA polymerase sigma-G factor
VOG00159	273	273	Xu	REFSEQ head closure Hc1
VOG00160	92	90	Xu	REFSEQ hypothetical protein
VOG00161	21	21	Xu	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245
VOG00162	48	15	Xu	REFSEQ hypothetical protein
VOG00163	43	42	Xu	REFSEQ hypothetical protein
VOG00164	111	81	Xu	sp|Q8QL20|Y356_SIRV1 Uncharacterized protein 356
VOG00165	19	19	Xu	sp|P18305|443R_IIV6 Uncharacterized protein 443R
VOG00166	683	609	Xu	sp|P13309|Y06D_BPT4 Uncharacterized 17.5 kDa protein in tk-vs intergenic region
VOG00167	225	225	XpXrXs	sp|P03724|GP14_BPT7 Internal virion protein gp14
VOG00168	496	461	XpXrXs	sp|P13332|TSP_BPT4 Tail sheath protein
VOG00169	124	121	Xu	sp|Q06425|YO83_BPP2 Uncharacterized 10.2 kDa protein in GpA 5'region
VOG00170	24	22	Xu	REFSEQ pectate lyase
VOG00171	29	21	Xu	sp|Q5UQL9|YR423_MIMIV Uncharacterized protein R423
VOG00172	513	489	XhXp	sp|Q38156|DAM_BPT1 DNA N-6-adenine-methyltransferase
VOG00173	31	29	Xu	REFSEQ minor tail protein
VOG00174	31	24	Xh	sp|Q5UQV3|YL371_MIMIV Putative ankyrin repeat protein L371
VOG00175	64	12	Xu	REFSEQ hypothetical protein
VOG00176	189	85	Xu	sp|Q197F3|007R_IIV3 Uncharacterized protein 007R
VOG00177	126	70	XhXpXs	sp|P16849|UL33_HCMVA G-protein coupled receptor homolog UL33
VOG00178	30	28	Xp	sp|F5HGJ3|ARBH_HHV8P Apoptosis regulator Bcl-2 homolog
VOG00179	67	12	Xu	REFSEQ hypothetical protein
VOG00180	25	25	Xu	REFSEQ 3B
VOG00181	24	6	Xu	REFSEQ hypothetical protein
VOG00182	23	23	XhXr	sp|P03690|VR2A_BPT4 Protein rIIA
VOG00183	22	21	Xu	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246
VOG00184	259	251	XhXr	sp|P46850|RTCB_ECOLI RNA-splicing ligase RtcB
VOG00185	33	33	Xu	sp|O64206|VG13_BPMD2 Gene 13 protein
VOG00186	78	78	Xu	REFSEQ hypothetical protein
VOG00187	135	133	Xu	sp|O31968|YOMP_BACSU SPbeta prophage-derived uncharacterized protein YomP
VOG00188	105	105	Xu	REFSEQ hypothetical protein
VOG00189	20	20	Xu	REFSEQ terminase small subunit
VOG00190	97	88	Xu	REFSEQ tail assembly chaperone
VOG00191	41	41	Xu	REFSEQ hypothetical protein
VOG00192	24	23	XhXpXs	sp|P51735|FIB31_BPHC1 Probable tail fiber protein
VOG00193	90	83	XhXp	sp|Q3T4L9|HOLIN_BPPRD Holin
VOG00194	205	205	Xu	sp|P18679|RCRO_BPHK0 8.4 kDa cro protein
VOG00195	50	45	Xu	REFSEQ hypothetical protein
VOG00196	740	727	Xu	sp|O64253|VG61_BPMD2 Gene 61 protein
VOG00197	14	14	Xu	sp|O64220|VG26_BPMD2 Minor tail protein Gp26
VOG00198	16	14	Xu	REFSEQ structural protein
VOG00199	14	13	Xu	REFSEQ hypothetical protein
VOG00200	245	242	Xu	sp|Q05247|VG37_BPML5 Gene 37 protein
VOG00201	274	272	Xu	REFSEQ head-tail adaptor Ad1
VOG00202	272	138	Xu	REFSEQ tail assembly chaperone
VOG00203	22	22	Xh	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW
VOG00204	203	196	Xu	REFSEQ hypothetical protein
VOG00205	29	29	Xu	sp|Q9T1Q7|VP41_BPAPS Putative protein p41
VOG00206	88	88	Xu	REFSEQ hypothetical protein
VOG00207	356	353	Xu	REFSEQ baseplate protein
VOG00208	145	28	XhXp	sp|A0A7H0DNE4|PG176_MONPV Protein OPG176
VOG00209	408	392	Xu	sp|P03720|VPIP_BPT4 Prehead core component PIP
VOG00210	15	15	Xu	REFSEQ tail fiber protein
VOG00211	186	178	Xu	sp|Q5UQ73|YL509_MIMIV Uncharacterized protein L509
VOG00212	22	20	Xu	sp|P59193|YFDT_SHIFL Uncharacterized protein YfdT
VOG00213	27	8	Xu	REFSEQ hypothetical protein
VOG00214	446	445	Xh	sp|A7IY64|ISAA_STAXY Probable transglycosylase IsaA
VOG00215	32	25	Xu	REFSEQ hypothetical protein
VOG00216	64	58	Xu	REFSEQ hypothetical protein
VOG00217	25	13	Xu	REFSEQ hypothetical protein
VOG00218	65	64	Xu	REFSEQ hypothetical protein
VOG00219	42	38	Xu	REFSEQ hypothetical protein
VOG00220	152	119	Xr	sp|Q7T6Y0|PCNA_MIMIV Probable DNA polymerase sliding clamp
VOG00221	31	27	Xh	sp|Q5UQ62|YR655_MIMIV Putative glycosyltransferase R655
VOG00222	335	331	XhXr	sp|Q07846|VE1_HPV04 Replication protein E1
VOG00223	64	12	Xu	REFSEQ F-box containing protein
VOG00224	119	119	XhXs	sp|Q9E785|MATRX_BEFVB Matrix protein
VOG00225	112	38	Xh	sp|Q5UQC9|UBC1_MIMIV Probable ubiquitin-conjugating enzyme E2 L460
VOG00226	21	11	Xu	REFSEQ hypothetical protein
VOG00227	105	104	Xu	REFSEQ hypothetical protein
VOG00228	122	122	Xu	sp|O31896|YORR_BACSU SPbeta prophage-derived uncharacterized protein YorR
VOG00229	1540	1469	XhXr	sp|P04520|PRIM_BPT4 DNA primase
VOG00230	29	29	Xu	sp|O31952|YONF_BACSU SPbeta prophage-derived uncharacterized protein YonF
VOG00231	631	630	Xu	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44
VOG00232	108	101	Xu	sp|Q03547|VEAE_BPP22 Eae protein
VOG00233	15	15	Xu	REFSEQ HNH endonuclease
VOG00234	20	20	Xu	REFSEQ replication initiation protein
VOG00235	162	162	Xu	sp|P18057|Y02D_BPT4 Uncharacterized 14.1 kDa protein in imm-Gp43 intergenic region
VOG00236	58	58	XhXr	sp|P03692|HELIC_BPT7 DNA helicase/primase
VOG00237	310	310	XhXp	sp|P39503|SPAN2_BPT4 Spanin, outer lipoprotein subunit
VOG00238	89	89	Xu	REFSEQ minor tail protein
VOG00239	17	17	Xu	REFSEQ tail spike protein
VOG00240	144	139	Xu	REFSEQ hypothetical protein
VOG00241	29	29	Xu	REFSEQ hypothetical protein
VOG00242	1031	1029	XhXr	sp|P00970|DNLI_BPT4 DNA ligase
VOG00243	30	13	Xu	REFSEQ hypothetical protein
VOG00244	103	94	Xh	sp|P07693|ADOM_BPT3 S-Adenosylmethionine lyase
VOG00245	131	131	XhXp	sp|P51771|ENLYS_BPP2 Endolysin
VOG00246	293	277	Xu	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
VOG00247	144	78	Xu	REFSEQ hypothetical protein
VOG00248	505	490	Xu	sp|Q5UQE7|YL479_MIMIV Uncharacterized protein L479
VOG00249	84	78	XhXs	sp|B0FII2|FIB20_BPE32 Putative tail tip fiber protein
VOG00250	181	179	Xu	REFSEQ hypothetical protein
VOG00251	45	40	Xh	sp|Q5UQ09|YL193_MIMIV Uncharacterized glycosyltransferase L193
VOG00252	30	29	Xu	REFSEQ holin
VOG00253	16	9	Xu	REFSEQ virion structural protein
VOG00254	70	68	Xh	sp|B2J384|SYK_NOSP7 Lysine--tRNA ligase
VOG00255	40	39	Xu	sp|P03798|Y53_BPT7 Protein 5.3
VOG00256	80	80	Xu	REFSEQ hypothetical protein
VOG00257	185	101	Xu	REFSEQ hypothetical protein
VOG00258	241	241	Xu	REFSEQ virion structural protein
VOG00259	79	70	Xu	sp|Q51647|YISX_BURM1 Insertion element IS401 uncharacterized 12.4 kDa protein
VOG00260	79	75	Xu	REFSEQ hypothetical protein
VOG00261	187	153	Xh	sp|O64252|PRXH_BPMD2 Putative non-heme haloperoxidase
VOG00262	439	438	Xr	sp|P20313|SSB_BPT3 Single-stranded DNA-binding protein
VOG00263	82	82	Xu	REFSEQ hypothetical protein
VOG00264	897	886	XhXp	sp|P04522|EXO2_BPT4 Exonuclease subunit 2
VOG00265	14	14	XhXpXs	sp|P10930|FIB12_BPT4 Short tail fiber protein gp12
VOG00266	231	149	Xu	sp|P39240|Y05I_BPT4 Uncharacterized 21.1 kDa protein in mobD-ri intergenic region
VOG00267	89	81	Xu	REFSEQ hypothetical protein
VOG00268	37	36	Xu	REFSEQ hypothetical protein
VOG00269	78	56	Xu	REFSEQ hypothetical protein
VOG00270	102	58	XhXs	sp|A0A7H0DND3|PG162_MONPV Protein OPG162
VOG00271	30	24	Xs	sp|Q5UQN7|CAPS3_MIMIV Probable capsid protein 3
VOG00272	21	13	Xh	sp|I1S2K2|CHITO_GIBZE Chitooligosaccharide oxidase
VOG00273	29	29	Xu	REFSEQ hypothetical protein
VOG00274	118	70	Xu	sp|A4GZ95|ORF3_TTVG1 Uncharacterized ORF3 protein
VOG00275	35	19	XhXp	sp|Q77MQ6|IL8H_GAHVM Viral interleukin-8 homolog
VOG00276	89	89	Xu	REFSEQ virion structural protein
VOG00277	18	3	Xu	REFSEQ hypothetical protein
VOG00278	17	3	Xu	REFSEQ hypothetical protein
VOG00279	287	276	XhXs	sp|P17313|VG31_BPT4 Capsid assembly protein Gp31
VOG00280	16	8	Xu	sp|Q91G76|VF019_IIV6 Uncharacterized protein 019R
VOG00281	648	531	XhXp	sp|P34877|MTSA_LACLC Type II methyltransferase M1.ScrFI
VOG00282	1259	757	XhXr	sp|O64301|LOADL_BPR69 Sliding-clamp-loader large subunit
VOG00283	21	13	Xu	REFSEQ hypothetical protein
VOG00284	15	14	Xu	REFSEQ HNH endonuclease
VOG00285	159	153	XhXr	sp|C5IY43|NS1_HBOC4 Initiator protein NS1
VOG00286	23	23	Xu	REFSEQ tail fiber protein
VOG00287	386	353	XhXpXr	sp|P12427|DMA_BPT2 DNA adenine methylase
VOG00288	94	93	Xh	sp|Q7T6X6|GFAT_MIMIV Probable glutamine--fructose-6-phosphate aminotransferase [isomerizing]
VOG00289	329	294	Xs	sp|P03740|TFA_LAMBD Tail fiber assembly protein
VOG00290	29	29	Xu	REFSEQ hypothetical protein
VOG00291	33	33	Xu	sp|P44193|Y1422_HAEIN Uncharacterized protein HI_1422
VOG00292	15	15	XhXpXs	sp|Q9XJP3|FIBER_BPSFV Tail spike protein
VOG00293	294	88	Xu	REFSEQ hypothetical protein
VOG00294	98	98	Xu	REFSEQ hypothetical protein
VOG00295	54	54	Xu	REFSEQ hypothetical protein
VOG00296	87	83	Xu	REFSEQ hypothetical protein
VOG00297	19	18	XhXr	sp|Q8X5V3|DNAB_ECO57 Replicative DNA helicase
VOG00298	381	377	XpXrXs	sp|O48459|DIT_BPSPP Distal tail protein
VOG00299	54	47	Xu	REFSEQ hypothetical protein
VOG00300	32	12	Xu	REFSEQ virion structural protein
VOG00301	130	124	Xu	REFSEQ peptidase HslV family
VOG00302	16	15	Xu	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245
VOG00303	468	464	Xr	sp|P03014|PINE_ECOLI Serine recombinase PinE
VOG00304	1504	1405	Xh	sp|B6UL32|SAV_BPLP2 SaV protein
VOG00305	28	26	Xu	REFSEQ hypothetical protein
VOG00306	631	523	XhXp	sp|P14243|MTC9_CITFR Type II methyltransferase M.Cfr9I
VOG00307	17	17	Xu	REFSEQ minor tail protein
VOG00308	88	81	XhXs	sp|Q5UQ50|COLL6_MIMIV Collagen-like protein 6
VOG00309	83	83	Xu	sp|O31951|YONG_BACSU SPbeta prophage-derived uncharacterized protein YonG
VOG00310	394	366	Xu	sp|B8HPS9|RNH_CYAP4 Ribonuclease H
VOG00311	23	18	XhXs	sp|Q5UQ13|COLL2_MIMIV Collagen-like protein 2
VOG00312	128	128	Xu	REFSEQ holin
VOG00313	46	37	Xh	sp|Q8QL34|Y335_SIRV1 Uncharacterized glycosyltransferase 335
VOG00314	347	148	Xu	sp|P39254|Y04O_BPT4 Uncharacterized 36.3 kDa protein in nrdC-mobD intergenic region
VOG00315	79	40	Xu	REFSEQ minor tail protein
VOG00316	66	58	Xu	REFSEQ methyltransferase
VOG00317	120	119	Xu	REFSEQ hypothetical protein
VOG00318	11	10	Xu	sp|P45918|YQBB_BACSU Uncharacterized protein YqbB
VOG00319	382	382	XhXp	sp|Q38134|HOLIN_BPR1T Holin
VOG00320	22	21	Xu	REFSEQ hypothetical protein
VOG00321	131	131	Xu	REFSEQ outer membrane protein
VOG00322	206	206	XhXs	sp|P51772|BPX_BPP2 Baseplate protein X
VOG00323	56	33	Xu	REFSEQ hypothetical protein
VOG00324	397	396	XhXpXs	sp|P31340|SPIKE_BPP2 Spike protein
VOG00325	157	155	Xu	sp|Q05292|VG77_BPML5 Gene 77 protein
VOG00326	15	14	Xu	REFSEQ hypothetical protein
VOG00327	372	372	Xs	sp|P20324|SCAF_BPT3 Capsid assembly scaffolding protein
VOG00328	33	33	Xu	sp|P59193|YFDT_SHIFL Uncharacterized protein YfdT
VOG00329	13	13	XpXs	sp|Q6XQB2|FIBER_BPT1 Probable tail fiber protein
VOG00330	28	25	Xu	REFSEQ tail assembly chaperone
VOG00331	975	962	XhXr	sp|P10310|TERL_BPT3 Terminase, large subunit
VOG00332	193	192	Xu	sp|Q8QL42|Y207_SIRV1 Uncharacterized protein 207
VOG00333	255	252	Xh	sp|Q8ZNY9|PRP1_SALTY Serine/threonine-protein phosphatase 1
VOG00334	24	24	Xu	REFSEQ DnaA protein
VOG00335	171	171	Xu	REFSEQ tail terminator
VOG00336	103	101	Xu	REFSEQ baseplate hub assembly catalyst
VOG00337	77	76	Xu	REFSEQ hypothetical protein
VOG00338	18	15	Xu	REFSEQ DUF1642 domain-containing protein
VOG00339	224	222	Xu	REFSEQ hypothetical protein
VOG00340	63	45	Xu	sp|Q5UNY3|YL729_MIMIV Uncharacterized protein L729
VOG00341	37	30	Xu	REFSEQ hypothetical protein
VOG00342	114	101	Xu	REFSEQ hypothetical protein
VOG00343	130	129	Xu	REFSEQ hypothetical protein
VOG00344	1055	1039	XhXpXrXs	sp|Q6QGD5|PORTL_BPT5 Portal protein
VOG00345	913	850	XhXr	sp|Q38087|DPOL_BPR69 DNA-directed DNA polymerase
VOG00346	557	550	Xh	sp|P04382|DYR_BPT4 Dihydrofolate reductase
VOG00347	66	61	Xu	REFSEQ hypothetical protein
VOG00348	31	9	Xu	REFSEQ hypothetical protein
VOG00349	123	118	XhXr	sp|O57044|RDRP_HV19S Probable RNA-directed RNA polymerase
VOG00350	22	11	Xu	REFSEQ ORF14
