	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000746.1_26	QGNH01000746.1	QGNH01000746.1	26	10945	11445	-1	D	YP_009056262.1	YP_009056262.1 DNA polymerase [Vibrio phage ICP2_2013_A_Haiti]	False	0.327	87.0	5.781e-19								3'-5' exonuclease [PF01612.23]				0	False	
QGNH01000746.1_27	QGNH01000746.1	QGNH01000746.1	27	11442	11621	-1	E																		0	False	
QGNH01000746.1_28	QGNH01000746.1	QGNH01000746.1	28	11648	11812	-1	E																		0	False	
QGNH01000746.1_29	QGNH01000746.1	QGNH01000746.1	29	11809	13008	-1	D	YP_004251220.1	YP_004251220.1 AAA family ATPase [Vibrio phage ICP2]	False	0.283	170.0	5.292e-44								DnaB-like helicase C terminal domain [PF03796.18]	VOG04360	sp|P04530|HELIC_BPT4 DnaB-like replicative helicase; XhXr	Xh;Xr	0	False	V
QGNH01000746.1_30	QGNH01000746.1	QGNH01000746.1	30	13029	13256	-1	E																		0	False	
QGNH01000746.1_31	QGNH01000746.1	QGNH01000746.1	31	13320	13544	-1	E																		0	False	
QGNH01000746.1_32	QGNH01000746.1	QGNH01000746.1	32	13516	14289	-1	E	YP_009596160.1	YP_009596160.1 DNA primase [Pseudomonas phage VSW-3]	False	0.278	96.0	9.491e-21									VOG00694	REFSEQ DNA primase; Xu	Xu	0	False	
QGNH01000746.1_33	QGNH01000746.1	QGNH01000746.1	33	14273	14470	-1	E																		0	False	
QGNH01000746.1_34	QGNH01000746.1	QGNH01000746.1	34	14510	14659	-1	E																		0	False	
QGNH01000746.1_35	QGNH01000746.1	QGNH01000746.1	35	14661	15329	-1	E																		0	False	
QGNH01000746.1_36	QGNH01000746.1	QGNH01000746.1	36	15358	16071	-1	E																		0	False	
QGNH01000746.1_37	QGNH01000746.1	QGNH01000746.1	37	16061	16783	-1	D														RimK-like ATP-grasp domain [PF08443.14]	VOG01461	sp|A0KFE0|RIMK_AERHH Probable alpha-L-glutamate ligase; Xh	Xh	0	False	
QGNH01000746.1_38	QGNH01000746.1	QGNH01000746.1	38	16803	18125	-1	D	YP_010672231.1	YP_010672231.1 glutamine amidotransferase [Proteus phage Vb_PmiP-P59]	False	0.378	170.0	1.463e-43	MER0425111	C44	MER0425111 - family C44 unassigned peptidases () [C44.UPW]#C44#{peptidase unit: 79-205}~source YP_004782477~	False	0.543	123.0	6.211e-28	Glutamine amidotransferase domain [PF13522.9]; Glutamine amidotransferase domain [PF13537.9]	VOG00288	sp|Q7T6X6|GFAT_MIMIV Probable glutamine--fructose-6-phosphate aminotransferase [isomerizing]; Xh	Xh	0	False	P
QGNH01000746.1_39	QGNH01000746.1	QGNH01000746.1	39	18076	19392	-1	D	YP_009833396.1	YP_009833396.1 hypothetical protein HWB19_gp017 [Cronobacter phage vB_CsaP_009]	False	0.316	107.0	7.212e-23								Putative amidoligase enzyme [PF12224.11]	VOG09364	REFSEQ amidoligase enzyme; Xu	Xu	0	False	F
QGNH01000746.1_40	QGNH01000746.1	QGNH01000746.1	40	19414	19926	-1	E																		0	False	F
QGNH01000746.1_41	QGNH01000746.1	QGNH01000746.1	41	19901	20089	-1	E																		0	False	F
QGNH01000746.1_42	QGNH01000746.1	QGNH01000746.1	42	20086	20862	-1	D	YP_001671889.1	YP_001671889.1 COOH.NH2 ligase [Bruynoghevirus LUZ24]	False	0.402	180.0	2.612e-49								Phage phiEco32-like COOH.NH2 ligase-type 2 [PF14395.9]	VOG09361	REFSEQ COOH.NH2 ligase; Xu	Xu	0	False	F
QGNH01000746.1_43	QGNH01000746.1	QGNH01000746.1	43	20893	21474	-1	D	YP_010111167.1	YP_010111167.1 glutamine amidotransferase [uncultured phage cr108_1]	False	0.309	85.0	1.229e-17	MER0446212	C26	MER0446212 - family C26 unassigned peptidases (Leuconostoc kimchii) [C26.UPW]#C26#{peptidase unit: 30-234}~source YP_003621936~	False	0.303	74.0	7.029e-14	Peptidase C26 [PF07722.16]; Glutamine amidotransferase class-I [PF00117.31]	VOG12366	REFSEQ glutamine amidotransferase; Xu	Xu	0	False	PF
QGNH01000746.1_44	QGNH01000746.1	QGNH01000746.1	44	21474	21596	-1	E																		0	False	F
QGNH01000746.1_45	QGNH01000746.1	QGNH01000746.1	45	21593	21796	-1	E																		0	False	F
QGNH01000746.1_46	QGNH01000746.1	QGNH01000746.1	46	21786	22061	-1	E																		0	False	F
QGNH01000746.1_47	QGNH01000746.1	QGNH01000746.1	47	22039	22410	-1	D														Phage tail baseplate hub (GPD) [PF05954.14]				0	False	F
QGNH01000746.1_48	QGNH01000746.1	QGNH01000746.1	48	22729	22959	-1	E																		0	False	F
QGNH01000746.1_49	QGNH01000746.1	QGNH01000746.1	49	23055	23231	-1	E																		0	False	F
QGNH01000746.1_50	QGNH01000746.1	QGNH01000746.1	50	23517	24149	-1	E																		0	False	F
