L1	L2	L3	L4	KO	Function	EC	Count
10_TCA cycle	Reductive TCA cycle			K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	1.3.5.1 1.3.5.4	1
10_TCA cycle	TCA cycle			K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit		1
10_TCA cycle	Incomplete TCA fork			K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit		1
10_TCA cycle	Reductive TCA cycle			K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit		1
10_TCA cycle	TCA cycle			K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit		1
10_TCA cycle	Incomplete TCA fork			K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit		1
10_TCA cycle	Reductive TCA cycle			K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit		1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase	1.3.8.6	1
08_Hydrocarbon degradation	Aromatic carboxylic acid degradation			K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase	1.3.8.6	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
08_Hydrocarbon degradation	Other aromatics degradation			K00446	dmpB, xylE; catechol 2,3-dioxygenase	1.13.11.2	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K00758	deoA, TYMP; thymidine phosphorylase	2.4.2.4	1
07_Nucleic acid metabolism	Degradation of pyrimidine bases			K00758	deoA, TYMP; thymidine phosphorylase	2.4.2.4	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00794	ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase	2.5.1.78	1
21_Cellular response to stress	Response to nitrosative stress			K00794	ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase	2.5.1.78	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase	2.6.1.42	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase	2.6.1.42	1
20_Hydrolysis of polymers	Starch			K00847	E2.7.1.4, scrK; fructokinase	2.7.1.4	1
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	Hexose			K00857	tdk, TK; thymidine kinase	2.7.1.21	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K00857	tdk, TK; thymidine kinase	2.7.1.21	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00925	ackA; acetate kinase	2.7.2.1	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00925	ackA; acetate kinase	2.7.2.1	1
14_Methanogenesis	From acetate			K00925	ackA; acetate kinase	2.7.2.1	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K00928	lysC; aspartate kinase	2.7.2.4	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K00928	lysC; aspartate kinase	2.7.2.4	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00928	lysC; aspartate kinase	2.7.2.4	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00928	lysC; aspartate kinase	2.7.2.4	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00928	lysC; aspartate kinase	2.7.2.4	1
06_Amino acid utilization biosynthesis metabolism	Methionine biosynthesis			K00928	lysC; aspartate kinase	2.7.2.4	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K00943	tmk, DTYMK; dTMP kinase	2.7.4.9	1
07_Nucleic acid metabolism	Purine metabolism			K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase	2.7.6.1	1
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)				K00971	manC, cpsB; mannose-1-phosphate guanylyltransferase	2.7.7.13	1
20_Hydrolysis of polymers	Mannose			K00971	manC, cpsB; mannose-1-phosphate guanylyltransferase	2.7.7.13	1
06_Amino acid utilization biosynthesis metabolism	Methionine degradation			K01251	E3.3.1.1, ahcY; adenosylhomocysteinase	3.3.1.1	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K01251	E3.3.1.1, ahcY; adenosylhomocysteinase	3.3.1.1	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01259	pip; proline iminopeptidase	3.4.11.5	1
07_Nucleic acid metabolism	Purine metabolism			K01488	add, ADA; adenosine deaminase	3.5.4.4	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K01489	cdd, CDA; cytidine deaminase	3.5.4.5	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K01501	E3.5.5.1; nitrilase	3.5.5.1	1
08_Hydrocarbon degradation	Other aromatics degradation			K01501	E3.5.5.1; nitrilase	3.5.5.1	1
07_Nucleic acid metabolism	Purine metabolism			K01588	purE; 5-(carboxyamino)imidazole ribonucleotide mutase	5.4.99.18	1
07_Nucleic acid metabolism	Purine metabolism			K01589	purK; 5-(carboxyamino)imidazole ribonucleotide synthase	6.3.4.18	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K01621	xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase	4.1.2.9 4.1.2.22	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2.2.1.6	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2.2.1.6	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K01653	E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit	2.2.1.6	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K01653	E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit	2.2.1.6	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K01687	ilvD; dihydroxy-acid dehydratase	4.2.1.9	1
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase			K01687	ilvD; dihydroxy-acid dehydratase	4.2.1.9	1
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase			K01687	ilvD; dihydroxy-acid dehydratase	4.2.1.9	1
05_Fatty acid oxidation	Fatty acid beta-oxidation I			K01689	ENO, eno; enolase	4.2.1.11	1
05_Fatty acid oxidation	Fatty acid beta-oxidation II (core pathway)			K01689	ENO, eno; enolase	4.2.1.11	1
05_Fatty acid oxidation	Fatty acid beta-oxidation IV (unsaturated)			K01689	ENO, eno; enolase	4.2.1.11	1
05_Fatty acid oxidation	Fatty acid activation			K01689	ENO, eno; enolase	4.2.1.11	1
15_Methylotrophy	Serine pathway for formaldehyde fixation			K01689	ENO, eno; enolase	4.2.1.11	1
16_Embden Meyerhof-Parnos (EMP)	EMP			K01689	ENO, eno; enolase	4.2.1.11	1
16_Embden Meyerhof-Parnos (EMP)	Glycolysis III (EMP)			K01689	ENO, eno; enolase	4.2.1.11	1
16_Embden Meyerhof-Parnos (EMP)	EMP  in archea			K01689	ENO, eno; enolase	4.2.1.11	1
17_Gluconeogenesis	Gluconeogenesis in archea			K01689	ENO, eno; enolase	4.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Methionine degradation			K01697	CBS; cystathionine beta-synthase	4.2.1.22	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K01697	CBS; cystathionine beta-synthase	4.2.1.22	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K01697	CBS; cystathionine beta-synthase	4.2.1.22	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Pyruvate to leucine		K01697	CBS; cystathionine beta-synthase	4.2.1.22	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K01738	cysK; cysteine synthase	2.5.1.47	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K01738	cysK; cysteine synthase	2.5.1.47	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K01754	E4.3.1.19, ilvA, tdcB; threonine dehydratase	4.3.1.19	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K01754	E4.3.1.19, ilvA, tdcB; threonine dehydratase	4.3.1.19	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K01758	CTH; cystathionine gamma-lyase	4.4.1.1	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K01758	CTH; cystathionine gamma-lyase	4.4.1.1	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K01758	CTH; cystathionine gamma-lyase	4.4.1.1	1
01_Fermentation	Succinate fermentation to butyrate			K01809	manA, MPI; mannose-6-phosphate isomerase	5.3.1.8	1
20_Hydrolysis of polymers	Mannose			K01809	manA, MPI; mannose-6-phosphate isomerase	5.3.1.8	1
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01840	manB; phosphomannomutase	5.4.2.8	1
20_Hydrolysis of polymers	Mannose			K01840	manB; phosphomannomutase	5.4.2.8	1
14_Methanogenesis	From acetate			K01895	ACSS1_2, acs; acetyl-CoA synthetase	6.2.1.1	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K01966	PCCB, pccB; propionyl-CoA carboxylase beta chain	6.4.1.3 2.1.3.15	1
12_Transporters	ABC transporters, prokaryotic type	PEPtide and nickel transporters	PEPtides/nickel transporter [mD:m00239]	K02034	ABC.PE.P1; peptide/nickel transport system permease protein		1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K02204	thrB2; homoserine kinase type II	2.7.1.39	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K02341	holB; DNA polymerase III subunit delta'	2.7.7.7	1
07_Nucleic acid metabolism	Purine metabolism			K02341	holB; DNA polymerase III subunit delta'	2.7.7.7	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K02343	dnaX; DNA polymerase III subunit gamma/tau	2.7.7.7	1
07_Nucleic acid metabolism	Purine metabolism			K02343	dnaX; DNA polymerase III subunit gamma/tau	2.7.7.7	1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
01_Fermentation	Pyruvate fermentation to butanol			K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
20_Hydrolysis of polymers	Xylose			K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K02510	hpaI, hpcH; 4-hydroxy-2-oxoheptanedioate aldolase	4.1.2.52	1
12_Transporters	Phosphotransferase system (pts)	Enzyme I and hpr	Ascorbate-specific II component [mD:m00283]	K02821	ulaC, sgaA; ascorbate PTS system EIIA or EIIAB component	2.7.1.194	1
19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Lactose		K02821	ulaC, sgaA; ascorbate PTS system EIIA or EIIAB component	2.7.1.194	1
19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Sucrose		K02821	ulaC, sgaA; ascorbate PTS system EIIA or EIIAB component	2.7.1.194	1
19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Maltose		K02821	ulaC, sgaA; ascorbate PTS system EIIA or EIIAB component	2.7.1.194	1
20_Hydrolysis of polymers	Starch			K02821	ulaC, sgaA; ascorbate PTS system EIIA or EIIAB component	2.7.1.194	1
20_Hydrolysis of polymers	Mannose			K02821	ulaC, sgaA; ascorbate PTS system EIIA or EIIAB component	2.7.1.194	1
20_Hydrolysis of polymers	Galactose			K02821	ulaC, sgaA; ascorbate PTS system EIIA or EIIAB component	2.7.1.194	1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K03212	rumB; 23S rRNA (uracil747-C5)-methyltransferase	2.1.1.189	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03212	rumB; 23S rRNA (uracil747-C5)-methyltransferase	2.1.1.189	1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K03215	rumA; 23S rRNA (uracil1939-C5)-methyltransferase	2.1.1.190	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03215	rumA; 23S rRNA (uracil1939-C5)-methyltransferase	2.1.1.190	1
21_Cellular response to stress	Cellular response to stress			K03564	BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin	1.11.1.24	1
21_Cellular response to stress	Response to nitrosative stress			K03564	BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin	1.11.1.24	1
12_Transporters	Major Facilitator superfamily (MFS)	Organic acid transporters	Metabolite:h+ symporter (mhs) family [tc:2.A.1.6]	K03762	proP; MFS transporter, MHS family, proline/betaine transporter		1
07_Nucleic acid metabolism	Pyrimidine metabolism			K03783	punA, PNP; purine-nucleoside phosphorylase	2.4.2.1	1
07_Nucleic acid metabolism	Purine metabolism			K03783	punA, PNP; purine-nucleoside phosphorylase	2.4.2.1	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K03787	surE; 5'-nucleotidase	3.1.3.5	1
07_Nucleic acid metabolism	Purine metabolism			K03787	surE; 5'-nucleotidase	3.1.3.5	1
21_Cellular response to stress	Response to osmotic stress			K03885	ndh; NADH:ubiquinone reductase (H+-translocating)	7.1.1.2	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Murein		K04042	glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase	2.7.7.23 2.3.1.157	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K04765	mazG; nucleoside triphosphate diphosphatase	3.6.1.9	1
07_Nucleic acid metabolism	Purine metabolism			K04765	mazG; nucleoside triphosphate diphosphatase	3.6.1.9	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K05366	mrcA; penicillin-binding protein 1A	2.4.1.129 3.4.16.4	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Mucin type O-glycan biosynthesis		K05366	mrcA; penicillin-binding protein 1A	2.4.1.129 3.4.16.4	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	N-glycan biosynthesis		K05366	mrcA; penicillin-binding protein 1A	2.4.1.129 3.4.16.4	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Peptidoglycan biosynthesis		K05366	mrcA; penicillin-binding protein 1A	2.4.1.129 3.4.16.4	1
20_Hydrolysis of polymers	Mannose			K05366	mrcA; penicillin-binding protein 1A	2.4.1.129 3.4.16.4	1
21_Cellular response to stress	Response to osmotic stress			K05366	mrcA; penicillin-binding protein 1A	2.4.1.129 3.4.16.4	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K05712	mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase	1.14.13.127	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K05712	mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase	1.14.13.127	1
08_Hydrocarbon degradation	Aromatic carboxylic acid degradation			K05712	mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase	1.14.13.127	1
21_Cellular response to stress	Cellular response to stress			K05712	mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase	1.14.13.127	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K05714	mhpC; 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase	3.7.1.14	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K07272	rgpF; rhamnosyltransferase	2.4.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Mucin type O-glycan biosynthesis		K07272	rgpF; rhamnosyltransferase	2.4.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	N-glycan biosynthesis		K07272	rgpF; rhamnosyltransferase	2.4.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Peptidoglycan biosynthesis		K07272	rgpF; rhamnosyltransferase	2.4.1.-	1
20_Hydrolysis of polymers	Mannose			K07272	rgpF; rhamnosyltransferase	2.4.1.-	1
21_Cellular response to stress	Response to osmotic stress			K07272	rgpF; rhamnosyltransferase	2.4.1.-	1
21_Cellular response to stress	Cellular response to stress			K07451	mcrA; 5-methylcytosine-specific restriction enzyme A	3.1.21.-	1
12_Transporters	Major Facilitator superfamily (MFS)	Drug transporters	Drug:h+ antiporter-1 (12 spanner) (DhA1) family [tc:2.A.1.2]	K07552	bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein		1
21_Cellular response to stress	Cellular response to osmotic stress			K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR	2.7.13.3	1
21_Cellular response to stress	Regulation of response to osmotic stress			K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR	2.7.13.3	1
21_Cellular response to stress	Response to osmotic stress			K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR	2.7.13.3	1
21_Cellular response to stress	Cellular response to osmotic stress			K07656	trcS; two-component system, OmpR family, sensor histidine kinase TrcS	2.7.13.3	1
21_Cellular response to stress	Regulation of response to osmotic stress			K07656	trcS; two-component system, OmpR family, sensor histidine kinase TrcS	2.7.13.3	1
21_Cellular response to stress	Response to osmotic stress			K07656	trcS; two-component system, OmpR family, sensor histidine kinase TrcS	2.7.13.3	1
12_Transporters	Major Facilitator superfamily (MFS)	Drug transporters	Drug:h+ antiporter-2 (14 spanner) (DhA2) family [tc:2.A.1.3]	K08167	smvA, qacA, lfrA; MFS transporter, DHA2 family, multidrug resistance protein		1
12_Transporters	Major Facilitator superfamily (MFS)	Organic acid transporters	Metabolite:h+ symporter (mhs) family [tc:2.A.1.6]	K08172	shiA; MFS transporter, MHS family, shikimate and dehydroshikimate transport protein		1
12_Transporters	Major Facilitator superfamily (MFS)	Organic acid transporters	Metabolite:h+ symporter (mhs) family [tc:2.A.1.6]	K08173	ydfJ; MFS transporter, MHS family, metabolite:H+ symporter		1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to aspartate and asparagine		K08281	pncA; nicotinamidase/pyrazinamidase	3.5.1.19 3.5.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K08281	pncA; nicotinamidase/pyrazinamidase	3.5.1.19 3.5.1.-	1
12_Transporters	Major Facilitator superfamily (MFS)	Unknown transporters	Others	K08369	ydjE; MFS transporter, putative metabolite:H+ symporter		1
12_Transporters	Phosphotransferase system (pts)	Enzyme I and hpr	Enzyme I	K08483	ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	2.7.3.9	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K09471	puuB, ordL; gamma-glutamylputrescine oxidase	1.4.3.-	1
12_Transporters	ABC transporters, prokaryotic type	ABC-2 type and other transporters	Lipopolysaccharide transporter [mD:m00250]	K09690	ABC-2.LPSE.P; lipopolysaccharide transport system permease protein		1
12_Transporters	ABC transporters, prokaryotic type	ABC-2 type and other transporters	Lipopolysaccharide transporter [mD:m00250]	K09691	ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein		1
12_Transporters	ABC transporters, prokaryotic type	ABC-2 type and other transporters	Lipooligosaccharide transporter [mD:m00252]	K09694	nodJ; lipooligosaccharide transport system permease protein		1
12_Transporters	ABC transporters, prokaryotic type	ABC-2 type and other transporters	Lipooligosaccharide transporter [mD:m00252]	K09695	nodI; lipooligosaccharide transport system ATP-binding protein		1
12_Transporters	ABC transporters, prokaryotic type	Monosaccharide transporters	Putative multiple sugar transporter [mD:m00216]	K10546	ABC.GGU.S, chvE; putative multiple sugar transport system substrate-binding protein		1
12_Transporters	ABC transporters, prokaryotic type	Monosaccharide transporters	Putative multiple sugar transporter [mD:m00216]	K10547	ABC.GGU.P, gguB; putative multiple sugar transport system permease protein		1
12_Transporters	ABC transporters, prokaryotic type	Monosaccharide transporters	Putative multiple sugar transporter [mD:m00216]	K10548	ABC.GGU.A, gguA; putative multiple sugar transport system ATP-binding protein	7.5.2.-	1
21_Cellular response to stress	Cellular response to osmotic stress			K11354	cph1; two-component system, chemotaxis family, sensor kinase Cph1	2.7.13.3	1
21_Cellular response to stress	Regulation of response to osmotic stress			K11354	cph1; two-component system, chemotaxis family, sensor kinase Cph1	2.7.13.3	1
21_Cellular response to stress	Response to osmotic stress			K11354	cph1; two-component system, chemotaxis family, sensor kinase Cph1	2.7.13.3	1
12_Transporters	ABC transporters, prokaryotic type	PEPtide and nickel transporters	DiPEPtide transporter [mD:m00324]	K12368	dppA; dipeptide transport system substrate-binding protein		1
