L1	KO	Function	EC	Count
Function unknown	VOG00211	sp|Q5UQ73|YL509_MIMIV Uncharacterized protein L509		1
Function unknown	VOG00248	sp|Q5UQE7|YL479_MIMIV Uncharacterized protein L479		1
Function unknown	VOG00259	sp|Q51647|YISX_BURM1 Insertion element IS401 uncharacterized 12.4 kDa protein		1
Virus protein with function beneficial for the host	VOG00261	sp|O64252|PRXH_BPMD2 Putative non-heme haloperoxidase		1
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00264	sp|P04522|EXO2_BPT4 Exonuclease subunit 2		1
Virus protein with function beneficial for the host	VOG00272	sp|I1S2K2|CHITO_GIBZE Chitooligosaccharide oxidase		1
Virus protein with function beneficial for the host | Virus structure	VOG00279	sp|P17313|VG31_BPT4 Capsid assembly protein Gp31		1
Virus protein with function beneficial for the host | Virus replication	VOG00282	sp|O64301|LOADL_BPR69 Sliding-clamp-loader large subunit		1
Virus protein with function beneficial for the host	VOG00288	sp|Q7T6X6|GFAT_MIMIV Probable glutamine--fructose-6-phosphate aminotransferase [isomerizing]		1
Virus protein with function beneficial for the host | Virus replication	VOG00297	sp|Q8X5V3|DNAB_ECO57 Replicative DNA helicase		1
Function unknown	VOG00301	REFSEQ peptidase HslV family		1
Virus replication	VOG00303	sp|P03014|PINE_ECOLI Serine recombinase PinE		1
Virus protein with function beneficial for the host | Virus structure	VOG00311	sp|Q5UQ13|COLL2_MIMIV Collagen-like protein 2		1
Virus protein with function beneficial for the host	VOG00313	sp|Q8QL34|Y335_SIRV1 Uncharacterized glycosyltransferase 335		1
Virus protein with function beneficial for the host	VOG00333	sp|Q8ZNY9|PRP1_SALTY Serine/threonine-protein phosphatase 1		1
Function unknown	VOG00334	REFSEQ DnaA protein		1
Virus protein with function beneficial for the host	VOG00346	sp|P04382|DYR_BPT4 Dihydrofolate reductase		1
Virus protein with function beneficial for the host	VOG00352	sp|Q9C5U0|AHK4_ARATH Histidine kinase 4		1
Virus protein with function beneficial for the host | Virus replication	VOG00359	sp|P30876|RPB2_HUMAN DNA-directed RNA polymerase II subunit RPB2		1
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00375	sp|P06855|KIPN_BPT4 Polynucleotide kinase		1
Virus replication	VOG00376	sp|P16942|T629_SHISO Transposase for insertion sequence element IS629		1
Function unknown	VOG00378	REFSEQ transcriptional repressor		1
Virus protein with function beneficial for the host	VOG00380	sp|Q4JBY3|QUEC_SULAC 7-cyano-7-deazaguanine synthase		1
Virus protein with function beneficial for the host	VOG00390	sp|P28903|NRDD_ECOLI Anaerobic ribonucleoside-triphosphate reductase		1
Virus protein with function beneficial for the host | Virus replication	VOG00409	sp|Q9F417|RECA_MYCCI Protein RecA (Fragment)		1
Virus protein with function beneficial for the virus	VOG00413	sp|P04521|EXO1_BPT4 Exonuclease subunit 1		1
Virus replication	VOG00416	sp|P00471|TYSY_BPT4 Thymidylate synthase		1
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00433	sp|P39504|SPAN1_BPT4 Spanin, inner membrane subunit		1
Function unknown	VOG00454	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG00458	sp|Q5UPT0|LONH_MIMIV Lon protease homolog		1
Virus structure	VOG00461	sp|Q5UQ83|YR526_MIMIV Putative alpha/beta hydrolase R526		1
Virus protein with function beneficial for the host	VOG00465	sp|P0AGC9|QACE_ECOLX Quaternary ammonium compound-resistance protein QacE		1
Function unknown	VOG00510	sp|O64262|VG69_BPMD2 Gene 69 protein		1
Virus protein with function beneficial for the host | Virus replication	VOG00520	sp|Q9L7L6|DPO3B_MYCPA Beta sliding clamp		1
Virus protein with function beneficial for the host	VOG00527	sp|P69924|RIR2_ECOLI Ribonucleoside-diphosphate reductase 1 subunit beta		1
Virus protein with function beneficial for the host | Virus replication	VOG00557	sp|P24425|KITH_EHV4 Thymidine kinase		1
Function unknown	VOG00581	sp|Q5UPH8|YR106_MIMIV Uncharacterized protein R106		1
Virus protein with function beneficial for the host | Virus replication	VOG00592	sp|P43138|APEX1_RAT DNA-(apurinic or apyrimidinic site) endonuclease		1
Function unknown	VOG00697	REFSEQ HNH endonuclease		1
Function unknown	VOG00709	sp|O31907|YORG_BACSU SPbeta prophage-derived uncharacterized protein YorG		1
Function unknown	VOG00716	REFSEQ lipase		1
Function unknown	VOG00720	sp|P54464|YQEY_BACSU Uncharacterized protein YqeY		1
Function unknown	VOG00733	sp|Q5UP23|YR260_MIMIV DnaJ-like protein R260		1
Virus protein with function beneficial for the host	VOG00739	sp|A0A0H3JNB0|TARP_STAAN Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarP		1
Function unknown	VOG00754	sp|O10332|Y079_NPVOP UPF0213 protein ORF82		1
Function unknown	VOG00761	sp|A0A868BQY3|ACB1_BPFBB Anti-CBASS protein Acb1		1
Function unknown	VOG00781	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG00785	sp|P55257|RMLA_YEREN Glucose-1-phosphate thymidylyltransferase		1
Virus protein with function beneficial for the host	VOG00801	sp|Q99KQ4|NAMPT_MOUSE Nicotinamide phosphoribosyltransferase		1
Function unknown	VOG00821	REFSEQ hypothetical protein		1
Function unknown	VOG00890	REFSEQ exonuclease		1
Virus protein with function beneficial for the host | Virus structure	VOG00905	sp|Q84568|KCV_PBCV1 Potassium channel protein kcv		1
Virus protein with function beneficial for the host	VOG00906	sp|O21902|SSB_BPLSK SSB protein		1
Function unknown	VOG00910	REFSEQ HTH DNA binding domain protein		1
Function unknown	VOG00917	sp|Q91FB1|VF414_IIV6 Putative hydrolase 414L		1
Function unknown	VOG00922	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG00925	sp|O87331|RELA_CORGL GTP pyrophosphokinase		1
Function unknown	VOG00933	REFSEQ hydrolase		1
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG01017	sp|A0A7H0DN77|RP147_MONPV DNA-directed RNA polymerase 147 kDa polypeptide		1
Function unknown	VOG01019	sp|G3FFN4|DATPH_BPVC8 dATP triphosphohydrolase		1
Function unknown	VOG01034	REFSEQ lysM motif protein		1
Virus protein with function beneficial for the host	VOG01051	sp|P37619|QPTR_ECOLI Queuosine precursor transporter		1
Virus protein with function beneficial for the host	VOG01061	sp|Q55928|NADM_SYNY3 Bifunctional NMN adenylyltransferase/Nudix hydrolase		1
Virus protein with function beneficial for the host	VOG01067	sp|P44662|Y361_HAEIN Probable iron transport system ATP-binding protein HI_0361		1
Virus protein with function beneficial for the host	VOG01099	sp|P10908|UGPQ_ECOLI Glycerophosphodiester phosphodiesterase, cytoplasmic		1
Function unknown	VOG01109	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG01129	sp|P15170|ERF3A_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A		1
Function unknown	VOG01133	sp|P20222|F93_SSV1 Protein F-93		1
Virus protein with function beneficial for the host | Virus structure	VOG01191	sp|Q5UQK1|YR407_MIMIV Putative RNA methyltransferase R407		1
Function unknown	VOG01215	REFSEQ RF-1 domain peptide chain release factor		1
Virus protein with function beneficial for the host	VOG01276	sp|P13299|TEV1_BPT4 Intron-associated endonuclease 1		1
Virus protein with function beneficial for the host	VOG01293	sp|P07065|TOP5_BPT4 DNA topoisomerase medium subunit		1
Function unknown	VOG01329	sp|P13303|Y05O_BPT4 Uncharacterized 14.6 kDa protein in mobD-ri intergenic region		1
Function unknown	VOG01350	REFSEQ ParB-like partition protein		1
Virus protein with function beneficial for the host | Virus replication	VOG01355	sp|P39787|DNAD_BACSU DNA replication protein DnaD		1
Function unknown	VOG01424	sp|P03766|Y290_LAMBD Uncharacterized nin region protein ORF290		1
Virus protein with function beneficial for the host	VOG01428	sp|P07620|PARA_ECOLX Plasmid partition protein A		1
Function unknown	VOG01455	REFSEQ tail protein		1
Virus protein with function beneficial for the host	VOG01461	sp|A0KFE0|RIMK_AERHH Probable alpha-L-glutamate ligase		1
Virus protein with function beneficial for the host	VOG01465	sp|O67899|PPSA_AQUAE Phosphoenolpyruvate synthase		1
Virus protein with function beneficial for the host	VOG01479	sp|B7J950|ARREH_ACIF2 NADPH-dependent FMN reductase ArsH		1
Virus protein with function beneficial for the host	VOG01488	sp|Q5JJY4|P2C04_ORYSJ Protein kinase and PP2C-like domain-containing protein		1
Function unknown	VOG01532	sp|Q9K0V1|Y459_NEIMB Uncharacterized protein NMB0459		1
Virus protein with function beneficial for the virus	VOG01544	sp|E1XT70|HMUD1_BPSAV 5-hmdU DNA kinase 1		1
Virus protein with function beneficial for the host	VOG01568	sp|Q7V558|SPEH_PROMM S-adenosylmethionine decarboxylase proenzyme		1
Function unknown	VOG01663	sp|C0SP91|YYCJ_BACSU Putative metallo-hydrolase YycJ		1
Function unknown	VOG01698	sp|Q5UPL1|YL136_MIMIV Uncharacterized protein L136		1
Virus structure	VOG01756	sp|Q5URB2|YR188_MIMIV Uncharacterized protein R188		1
Virus protein with function beneficial for the host	VOG01791	sp|P34205|PHR_CARAU Deoxyribodipyrimidine photo-lyase		1
Virus protein with function beneficial for the host | Virus structure	VOG01815	sp|Q5UQ90|YL532_MIMIV Cytochrome P450-like protein L532		1
Function unknown	VOG01819	sp|Q5UQ52|YR708_MIMIV Uncharacterized phosphoglycerate mutase family protein R708		1
Function unknown	VOG01917	REFSEQ transcriptional regulator		1
Virus protein with function beneficial for the host	VOG01945	sp|P07874|ALGA_PSEAE Alginate biosynthesis protein AlgA		1
Function unknown	VOG01970	REFSEQ lysin A		1
Function unknown	VOG01978	REFSEQ hypothetical protein		1
Function unknown	VOG02002	REFSEQ protease		1
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG02005	sp|A0A0S0MX59|AT_BPPAM 5-NmdU N-acetyltransferase		1
Virus protein with function beneficial for the host	VOG02058	sp|Q753M0|PCKA_ASHGO Phosphoenolpyruvate carboxykinase (ATP)		1
Virus protein with function beneficial for the host	VOG02106	sp|P0ABH9|CLPA_ECOLI ATP-dependent Clp protease ATP-binding subunit ClpA		1
Function unknown	VOG02135	REFSEQ transcriptional regulator		1
Function unknown	VOG02165	REFSEQ peptidase		1
Virus protein with function beneficial for the host	VOG02261	sp|Q4JC00|HELS_SULAC ATP-dependent DNA helicase Hel308		1
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG02266	sp|Q7T6Y4|DPOLX_MIMIV Probable DNA polymerase family X		1
Virus protein with function beneficial for the host	VOG02276	sp|P18780|TERC_ALCSP Tellurium resistance protein TerC		1
Virus protein with function beneficial for the host | Virus replication	VOG02285	sp|A8H161|CCA_SHEPA Multifunctional CCA protein		1
Virus protein with function beneficial for the host | Virus replication	VOG02296	sp|Q7DF83|DRA2A_DEIRA ISDra2 transposase TnpA		1
Virus protein with function beneficial for the host	VOG02317	sp|P45078|HPRT_HAEIN Hypoxanthine phosphoribosyltransferase		1
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG02356	sp|P13559|ENLYS_BPPRD Endolysin		1
Function unknown	VOG02416	REFSEQ DNA primase		1
Virus protein with function beneficial for the host	VOG02430	sp|A4J5D0|GCH1_DESRM GTP cyclohydrolase 1		1
Function unknown	VOG02441	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host | Virus replication	VOG02489	sp|P04526|LOADL_BPT4 Sliding-clamp-loader large subunit		1
Virus protein with function beneficial for the host | Virus replication	VOG02490	sp|Q58294|RFCL_METJA Replication factor C large subunit		1
Virus protein with function beneficial for the host	VOG02516	sp|F8SJR0|PHUZ_BPPA3 Phage tubulin-like protein		1
Virus replication	VOG02563	sp|P0A3H0|DBH_GEOSE DNA-binding protein HU		1
Virus protein with function beneficial for the host	VOG02569	sp|P46343|PHOL_BACSU PhoH-like protein		1
Virus protein with function beneficial for the host	VOG02638	sp|P19891|ASNS_CRIGR Asparagine synthetase [glutamine-hydrolyzing]		1
Virus protein with function beneficial for the host	VOG02674	sp|P07075|NRDG_BPT4 Anaerobic ribonucleoside-triphosphate reductase-activating protein		1
Virus protein with function beneficial for the host | Virus replication	VOG02675	sp|P0AEF0|DNAC_ECOLI DNA replication protein DnaC		1
Virus protein with function beneficial for the host	VOG02682	sp|Q1RHI6|QUED_RICBR 6-carboxy-5,6,7,8-tetrahydropterin synthase		1
Function unknown	VOG02706	REFSEQ acyl carrier protein		1
Virus protein with function beneficial for the host	VOG02878	sp|Q5UNY2|CFXQ_MIMIV Putative cfxQ-like protein R730		1
Function unknown	VOG02923	sp|Q5UR59|YL803_MIMIV Uncharacterized protein L803		1
Virus protein with function beneficial for the host	VOG02932	sp|Q8BU30|SYIC_MOUSE Isoleucine--tRNA ligase, cytoplasmic		1
Virus protein with function beneficial for the host	VOG02966	sp|Q5UQ00|FPG_MIMIV Probable formamidopyrimidine-DNA glycosylase		1
Virus protein with function beneficial for the host	VOG02981	sp|O81983|SYS_HELAN Serine--tRNA ligase		1
Virus protein with function beneficial for the host	VOG02983	sp|Q8I5R7|SYP_PLAF7 Proline--tRNA ligase		1
Virus protein with function beneficial for the host	VOG02990	sp|Q0TKS1|TAUB_ECOL5 Taurine import ATP-binding protein TauB		1
Virus protein with function beneficial for the host	VOG02992	sp|Q5UNZ1|YL733_MIMIV Uncharacterized ABC transporter ATP-binding protein/permease L733		1
Virus protein with function beneficial for the host	VOG03042	sp|A4XIX0|HSLU_CALS8 ATP-dependent protease ATPase subunit HslU		1
Virus protein with function beneficial for the host	VOG03103	sp|Q0SQ51|SYN_CLOPS Asparagine--tRNA ligase		1
Function unknown	VOG03104	sp|Q5UR11|YL142_MIMIV Uncharacterized protein L142		1
Virus protein with function beneficial for the host	VOG03107	sp|Q5UPU0|HSP7L_MIMIV Heat shock protein 70 homolog		1
Virus protein with function beneficial for the host	VOG03131	sp|F4HWL4|SYYC2_ARATH Tyrosine--tRNA ligase 2, cytoplasmic		1
Virus protein with function beneficial for the host	VOG03147	sp|Q5HH12|PUR3_STAAC Phosphoribosylglycinamide formyltransferase		1
Function unknown	VOG03160	sp|Q5UQT7|RNC_MIMIV Probable ribonuclease 3		1
Virus protein with function beneficial for the host	VOG03172	sp|Q5UPX9|YL233_MIMIV Putative zinc protease L233		1
Function unknown	VOG03230	REFSEQ diguanylate-cyclase GGDEF domain protein		1
Virus protein with function beneficial for the host	VOG03495	sp|Q16774|KGUA_HUMAN Guanylate kinase		1
Virus protein with function beneficial for the host	VOG03652	sp|O31942|YONS_BACSU SPbeta prophage-derived uncharacterized lipoprotein YonS		1
Virus protein with function beneficial for the host	VOG03661	sp|Q5UQU6|MUTSL_MIMIV Putative DNA mismatch repair protein mutS homolog L359		1
Function unknown	VOG03671	sp|Q4L7V3|MAZF_STAHJ Endoribonuclease MazF		1
Function unknown	VOG03711	sp|Q65JA6|NRDI_BACLD Protein NrdI		1
Function unknown	VOG03739	sp|O31991|YOLD_BACSU SPbeta prophage-derived uncharacterized protein YolD		1
Virus protein with function beneficial for the host	VOG03747	sp|P0AG11|UMUD_ECOLI Protein UmuD		1
Function unknown	VOG03820	REFSEQ Methyltransferase 11		1
Virus protein with function beneficial for the host	VOG03885	sp|Q9USU3|FBH1_SCHPO F-box DNA helicase protein 1		1
Virus protein with function beneficial for the host	VOG03918	sp|Q01075|VG14_BPP22 Protein gp14		1
Function unknown	VOG04035	REFSEQ transcriptional regulator		1
Function unknown	VOG04139	REFSEQ TetR family transcriptional regulator		1
Function unknown	VOG04159	REFSEQ HNH endonuclease		1
Virus protein with function beneficial for the host	VOG04183	sp|P39695|COMEC_BACSU ComE operon protein 3		1
Virus protein with function beneficial for the host	VOG04195	sp|P0ADT5|YGIC_ECOLI Putative acid--amine ligase YgiC		1
Function unknown	VOG04255	sp|P0DTL2|ACPY1_PAEHA Anti-Pycsar protein Apyc1		1
Virus protein with function beneficial for the host	VOG04348	sp|P13316|GRCA_BPT4 Autonomous glycyl radical cofactor		1
Virus protein with function beneficial for the host	VOG04349	sp|B3DVR2|NADD_METI4 Probable nicotinate-nucleotide adenylyltransferase		1
Virus protein with function beneficial for the host | Virus replication	VOG04360	sp|P04530|HELIC_BPT4 DnaB-like replicative helicase		1
Virus replication	VOG04372	sp|A4THT0|RS21_YERPP 30S ribosomal protein S21		1
Virus protein with function beneficial for the host	VOG04373	sp|Q5UNV4|UNAP_MIMIV Probable UDP-N-acetylglucosamine pyrophosphorylase		1
Virus protein with function beneficial for the host	VOG04410	sp|O27392|ARGD_METTH Acetylornithine aminotransferase		1
Virus protein with function beneficial for the host	VOG04419	sp|Q4JC68|XPD_SULAC ATP-dependent DNA helicase Saci_0192		1
Function unknown	VOG04431	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG04453	sp|Q4A0G5|ISAA_STAS1 Probable transglycosylase IsaA		1
Function unknown	VOG04463	REFSEQ transcriptional regulator		1
Virus protein with function beneficial for the host | Virus replication	VOG04494	sp|P16006|DCTD_BPT4 Deoxycytidylate deaminase		1
Function unknown	VOG04522	REFSEQ hypothetical protein		1
Function unknown	VOG04552	REFSEQ peptidase		1
Virus protein with function beneficial for the host	VOG04576	sp|P52780|SYQ_LUPLU Glutamine--tRNA ligase		1
Virus replication	VOG04594	sp|C4K832|CSRA_HAMD5 Translational regulator CsrA		1
Function unknown	VOG04616	REFSEQ exonuclease		1
Virus protein with function beneficial for the host	VOG04645	sp|D4GST8|6PGD_HALVD 6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating		1
Function unknown	VOG04698	REFSEQ endolysin		1
Function unknown	VOG04716	sp|P39262|VG56_BPT4 dCTP pyrophosphatase		1
Function unknown	VOG04831	REFSEQ FtsK/SpoIIIE-like protein		1
Virus protein with function beneficial for the host	VOG04898	sp|D2XNR2|FLOT6_MEDTR Flotillin-like protein 6		1
Function unknown	VOG04920	REFSEQ minor tail protein with lysin activity		1
Virus protein with function beneficial for the host	VOG04931	sp|P44660|Y359_HAEIN Probable iron transport system membrane protein HI_0359		1
Function unknown	VOG04943	REFSEQ PIG-L family deacetylase		1
Virus protein with function beneficial for the host | Virus replication	VOG05125	sp|A6TE46|TSAD_KLEP7 tRNA N6-adenosine threonylcarbamoyltransferase		1
Virus protein with function beneficial for the host	VOG05127	sp|T2KMG4|PLH14_FORAG Sulfatase		1
Function unknown	VOG05245	sp|Q9KSW4|CSPD_VIBCH Cold shock-like protein CspD		1
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG05285	sp|P17766|POLG_PPVNA Genome polyprotein		1
Virus protein with function beneficial for the host	VOG05286	sp|Q6LZC4|WECB_METMP UDP-N-acetylglucosamine 2-epimerase		1
Virus protein with function beneficial for the host	VOG05430	sp|O81884|GALDH_ARATH L-galactose dehydrogenase		1
Function unknown	VOG05499	sp|Q9I3T5|APAH1_PSEAE Acetylpolyamine amidohydrolase 1		1
Virus structure	VOG05614	sp|Q9QR70|ORF75_HHV8P Protein ORF75		1
Function unknown	VOG05640	REFSEQ helix-hairpin-helix repeat-containing competence protein ComEA		1
Virus protein with function beneficial for the host	VOG05697	sp|Q61176|ARGI1_MOUSE Arginase-1		1
Function unknown	VOG05885	REFSEQ Orotate phosphoribosyltransferase		1
Virus protein with function beneficial for the host	VOG06047	sp|G0SEV9|RLI1_CHATD Translation initiation factor RLI1		1
Virus protein with function beneficial for the host	VOG06129	sp|Q55842|PURS_SYNY3 Phosphoribosylformylglycinamidine synthase subunit PurS		1
Function unknown	VOG06448	REFSEQ helix-turn-helix DNA-binding protein		1
Function unknown	VOG06583	sp|P63203|GADW_SHIFL HTH-type transcriptional regulator GadW		1
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG07198	sp|P06855|KIPN_BPT4 Polynucleotide kinase		1
Virus replication	VOG07202	sp|P13319|RNH_BPT4 Ribonuclease H		1
Virus protein with function beneficial for the host | Virus replication	VOG07355	sp|Q0C5A1|KPRS_HYPNA Ribose-phosphate pyrophosphokinase		1
Virus protein with function beneficial for the host | Virus replication	VOG07446	sp|O67125|DPO3A_AQUAE DNA polymerase III subunit alpha		1
Virus protein with function beneficial for the host | Virus structure	VOG07465	sp|P03711|SCAF_LAMBD Capsid assembly protease C		1
Function unknown	VOG07582	sp|Q91UM2|UNG_VACCA Uracil-DNA glycosylase		1
Virus protein with function beneficial for the host	VOG07653	sp|O70325|GPX4_MOUSE Phospholipid hydroperoxide glutathione peroxidase		1
Virus protein with function beneficial for the host	VOG07665	sp|P94063|HAL3B_ARATH Probable phosphopantothenoylcysteine decarboxylase		1
Function unknown	VOG07695	sp|P36265|NUSG_SYNY3 Transcription termination/antitermination protein NusG		1
Virus protein with function beneficial for the host | Virus replication	VOG07820	sp|A6LN55|DNLJ_THEM4 DNA ligase		1
Function unknown	VOG07969	REFSEQ RNA polymerase beta subunit		1
Virus protein with function beneficial for the host	VOG08160	sp|P9WIQ1|GLF_MYCTU UDP-galactopyranose mutase		1
Function unknown	VOG08163	REFSEQ amidase		1
Virus protein with function beneficial for the host	VOG08280	sp|Q52118|YMO3_PANSE Uncharacterized protein in mobD 3'region		1
Virus protein with function beneficial for the host	VOG08445	sp|B3QQZ0|PURA_CHLP8 Adenylosuccinate synthetase		1
Function unknown	VOG08828	REFSEQ hypothetical protein		1
Virus protein with function beneficial for the host	VOG08837	sp|B8H6D3|TAL_CAUVN Probable transaldolase		1
Virus protein with function beneficial for the host	VOG08908	sp|P0A9T3|SERA_SHIFL D-3-phosphoglycerate dehydrogenase		1
Virus protein with function beneficial for the host	VOG08941	sp|P49077|PYRB_ARATH Aspartate carbamoyltransferase, chloroplastic		1
Virus protein with function beneficial for the host	VOG08948	sp|A4VWG9|RQCH_STRSY Rqc2 homolog RqcH		1
Virus protein with function beneficial for the host	VOG08956	sp|P27117|DCOR_BOVIN Ornithine decarboxylase		1
Function unknown	VOG08974	sp|Q5UPL7|YL153_MIMIV Uncharacterized protein L153		1
Function unknown	VOG08979	sp|P54966|Y284L_PBCV1 Uncharacterized protein A284L		1
Virus protein with function beneficial for the host	VOG09082	sp|Q7DBF9|UDG_ECO57 UDP-glucose 6-dehydrogenase		1
Virus protein with function beneficial for the host	VOG09718	sp|Q54KR1|SYCC_DICDI Cysteine--tRNA ligase, cytoplasmic		1
Virus protein with function beneficial for the host | Virus structure	VOG09738	sp|Q5UQB5|TOP1P_MIMIV DNA topoisomerase 1 type prokaryotic		1
Virus protein with function beneficial for the host	VOG09781	sp|B0G107|SAMH1_DICDI Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 homolog		1
Virus protein with function beneficial for the host | Virus replication	VOG09787	sp|P9WJH7|NDK_MYCTU Nucleoside diphosphate kinase		1
Virus protein with function beneficial for the host	VOG09790	sp|Q5UQM3|YR419_MIMIV Uncharacterized short-chain type dehydrogenase/reductase R419		1
Virus protein with function beneficial for the host | Virus structure	VOG09811	sp|Q5UQG2|YL498_MIMIV Probable zinc-type alcohol dehydrogenase-like protein L498		1
Virus protein with function beneficial for the host	VOG09835	sp|P38561|GLNA3_MAIZE Glutamine synthetase root isozyme 3		1
Virus structure	VOG09842	sp|Q5UP71|PPIL_MIMIV Structural PPIase-like protein L605		1
Virus protein with function beneficial for the host	VOG09864	sp|Q5UQ59|SYR_MIMIV Arginine--tRNA ligase		1
Function unknown	VOG09875	sp|Q5UNU9|MGMT_MIMIV Probable methylated-DNA--protein-cysteine methyltransferase		1
Virus protein with function beneficial for the host	VOG09884	sp|Q5UNX1|YL716_MIMIV Putative glutamine amidotransferase-like protein L716		1
Virus protein with function beneficial for the host	VOG09901	sp|Q5UP06|YR756_MIMIV Uncharacterized protein R756		1
Function unknown	VOG09918	sp|Q5UQI9|YR836_MIMIV Uncharacterized protein R836		1
Virus protein with function beneficial for the host	VOG09920	sp|A9CH39|PHRB_AGRFC (6-4) photolyase		1
Function unknown	VOG09938	sp|P94252|YHIT_BORBU Uncharacterized HIT-like protein BB_0379		1
Virus protein with function beneficial for the host	VOG09963	sp|Q7V0C7|PUR7_PROMP Phosphoribosylaminoimidazole-succinocarboxamide synthase		1
Virus protein with function beneficial for the host	VOG09964	sp|Q3AMJ2|PUR5_SYNSC Phosphoribosylformylglycinamidine cyclo-ligase		1
Virus protein with function beneficial for the host	VOG09969	sp|P44758|PRX5_HAEIN Hybrid peroxiredoxin hyPrx5		1
Function unknown	VOG10314	sp|Q8FQP1|EX7L_COREF Exodeoxyribonuclease 7 large subunit		1
Virus replication	VOG10668	sp|C5D324|RECU_GEOSW Holliday junction resolvase RecU		1
Virus protein with function beneficial for the host	VOG10769	sp|A8Z640|CH60_SULMW Chaperonin GroEL		1
Virus protein with function beneficial for the host	VOG11022	sp|A6Q478|GLYA_NITSB Serine hydroxymethyltransferase		1
