L1	L2	L3	L4	KO	Function	EC	Count
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Peptidoglycan biosynthesis		K00075	murB; UDP-N-acetylmuramate dehydrogenase	1.3.1.98	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Murein		K00075	murB; UDP-N-acetylmuramate dehydrogenase	1.3.1.98	1
20_Hydrolysis of polymers	Xylose			K00078	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)	1.3.1.20 1.1.1.179	1
07_Nucleic acid metabolism	Purine metabolism			K00088	IMPDH, guaB; IMP dehydrogenase	1.1.1.205	1
01_Fermentation	Acetylene degradation			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Mixed acid fermentation			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol II		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
15_Methylotrophy	Formaldehyde oxidation (glutathione-dependent)			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
21_Cellular response to stress	Response to osmotic stress			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Methionine biosynthesis			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
01_Fermentation	Bifidobacterium shunt			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
01_Fermentation	Heterolactic fermentation			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
01_Fermentation	Homolactic fermentation			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
02_Homoacetogenesis	Glycolysis			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
16_Embden Meyerhof-Parnos (EMP)	EMP			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
16_Embden Meyerhof-Parnos (EMP)	Glycolysis III (EMP)			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
17_Gluconeogenesis	Gluconeogenesis in archea			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
21_Cellular response to stress	Regulation of stress-activated protein kinase signaling cascade			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
06_Amino acid utilization biosynthesis metabolism	Lysine degradation VIII			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
06_Amino acid utilization biosynthesis metabolism	Methionine degradation			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
21_Cellular response to stress	Cellular response to stress			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K00138	aldB; aldehyde dehydrogenase	1.2.1.-	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K00138	aldB; aldehyde dehydrogenase	1.2.1.-	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K00138	aldB; aldehyde dehydrogenase	1.2.1.-	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00138	aldB; aldehyde dehydrogenase	1.2.1.-	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	1.2.1.18 1.2.1.27	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00147	proA; glutamate-5-semialdehyde dehydrogenase	1.2.1.41	1
15_Methylotrophy	Methane oxidation to cO2			K00148	fdhA; glutathione-independent formaldehyde dehydrogenase	1.2.1.46	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00163	aceE; pyruvate dehydrogenase E1 component	1.2.4.1	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	1.2.4.2	1
10_TCA cycle	TCA cycle			K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	1.2.4.2	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit	1.2.4.4	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit	1.2.4.4	1
13_Hydrogen metabolism	Hydrogen production			K00198	cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit	1.2.7.4	1
05_Fatty acid oxidation	Fatty acid activation			K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase	1.17.1.8	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase	1.17.1.8	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K00226	pyrD; dihydroorotate dehydrogenase (fumarate)	1.3.98.1	1
10_TCA cycle	TCA cycle			K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit		1
10_TCA cycle	Incomplete TCA fork			K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit		1
10_TCA cycle	Reductive TCA cycle			K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit		1
10_TCA cycle	TCA cycle			K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit		1
10_TCA cycle	Incomplete TCA fork			K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit		1
10_TCA cycle	Reductive TCA cycle			K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit		1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to propionate II (acrylate pathway)		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
05_Fatty acid oxidation	Fatty acid beta-oxidation I			K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase	1.3.8.6	1
08_Hydrocarbon degradation	Aromatic carboxylic acid degradation			K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase	1.3.8.6	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00253	IVD, ivd; isovaleryl-CoA dehydrogenase	1.3.8.4	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K00254	DHODH, pyrD; dihydroorotate dehydrogenase	1.3.5.2	1
06_Amino acid utilization biosynthesis metabolism	Oxydation deamination			K00259	ald; alanine dehydrogenase	1.4.1.1	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00259	ald; alanine dehydrogenase	1.4.1.1	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00263	E1.4.1.9; leucine dehydrogenase	1.4.1.9	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00263	E1.4.1.9; leucine dehydrogenase	1.4.1.9	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	1
11_Nitrogen cycle	Ammonia assimilation			K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00266	gltD; glutamate synthase (NADPH) small chain	1.4.1.13	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00266	gltD; glutamate synthase (NADPH) small chain	1.4.1.13	1
11_Nitrogen cycle	Ammonia assimilation			K00266	gltD; glutamate synthase (NADPH) small chain	1.4.1.13	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00278	nadB; L-aspartate oxidase	1.4.3.16	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00281	GLDC, gcvP; glycine dehydrogenase	1.4.4.2	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00285	dadA; D-amino-acid dehydrogenase	1.4.5.1	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00286	proC; pyrroline-5-carboxylate reductase	1.5.1.2	1
14_Methanogenesis	From formate			K00320	mer; 5,10-methylenetetrahydromethanopterin reductase	1.5.98.2	1
14_Methanogenesis	From CO2			K00320	mer; 5,10-methylenetetrahydromethanopterin reductase	1.5.98.2	1
21_Cellular response to stress	Response to osmotic stress			K00330	nuoA; NADH-quinone oxidoreductase subunit A	7.1.1.2	1
21_Cellular response to stress	Response to osmotic stress			K00331	nuoB; NADH-quinone oxidoreductase subunit B	7.1.1.2	1
13_Hydrogen metabolism	Hydrogen production VII (chlorophyta, cyanobacteria)			K00355	NQO1; NAD(P)H dehydrogenase (quinone)	1.6.5.2	1
11_Nitrogen cycle	Nitrogenated compounds Reduction	Assimilatory nitrate reduction	Nitrate to ammonia	K00362	nirB; nitrite reductase (NADH) large subunit	1.7.1.15	1
11_Nitrogen cycle	Nitrogenated compounds Reduction	Denitrification	Nitrate to nitrite	K00372	nasA; assimilatory nitrate reductase catalytic subunit	1.7.99.-	1
11_Nitrogen cycle	Nitrogenated compounds Reduction	Denitrification	Nitrate to nitrite	K00372	nasA; assimilatory nitrate reductase catalytic subunit	1.7.99.-	1
18_Sulfur compounds metabolism	Sulfur compounds cycle	Sulfate reduction (assimilatory)		K00380	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component	1.8.1.2	1
18_Sulfur compounds metabolism	Sulfur compounds cycle	Sulfate reduction (assimilatory)		K00381	cysI; sulfite reductase (NADPH) hemoprotein beta-component	1.8.1.2	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
21_Cellular response to stress	Cellular response to stress			K00383	GSR, gor; glutathione reductase (NADPH)	1.8.1.7	1
21_Cellular response to stress	Cellular response to stress			K00428	E1.11.1.5; cytochrome c peroxidase	1.11.1.5	1
21_Cellular response to stress	Response to oxidative stress			K00428	E1.11.1.5; cytochrome c peroxidase	1.11.1.5	1
21_Cellular response to stress	Cellular response to stress			K00432	gpx, btuE, bsaA; glutathione peroxidase	1.11.1.9	1
21_Cellular response to stress	Response to osmotic stress			K00432	gpx, btuE, bsaA; glutathione peroxidase	1.11.1.9	1
21_Cellular response to stress	Response to oxidative stress			K00432	gpx, btuE, bsaA; glutathione peroxidase	1.11.1.9	1
08_Hydrocarbon degradation	Other aromatics degradation			K00446	dmpB, xylE; catechol 2,3-dioxygenase	1.13.11.2	1
08_Hydrocarbon degradation	Polycyclic aromatic hydrocarbon degradation			K00448	pcaG; protocatechuate 3,4-dioxygenase, alpha subunit	1.13.11.3	1
08_Hydrocarbon degradation	Other aromatics degradation			K00448	pcaG; protocatechuate 3,4-dioxygenase, alpha subunit	1.13.11.3	1
08_Hydrocarbon degradation	Polycyclic aromatic hydrocarbon degradation			K00449	pcaH; protocatechuate 3,4-dioxygenase, beta subunit	1.13.11.3	1
06_Amino acid utilization biosynthesis metabolism	Methionine degradation			K00451	HGD, hmgA; homogentisate 1,2-dioxygenase	1.13.11.5	1
08_Hydrocarbon degradation	Aromatic carboxylic acid degradation			K00451	HGD, hmgA; homogentisate 1,2-dioxygenase	1.13.11.5	1
06_Amino acid utilization biosynthesis metabolism	Methionine degradation			K00457	HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase	1.13.11.27	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00457	HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase	1.13.11.27	1
08_Hydrocarbon degradation	Aromatic carboxylic acid degradation			K00481	pobA; p-hydroxybenzoate 3-monooxygenase	1.14.13.2	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00500	phhA, PAH; phenylalanine-4-hydroxylase	1.14.16.1	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K00500	phhA, PAH; phenylalanine-4-hydroxylase	1.14.16.1	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K00500	phhA, PAH; phenylalanine-4-hydroxylase	1.14.16.1	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K00525	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain	1.17.4.1	1
07_Nucleic acid metabolism	Purine metabolism			K00525	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain	1.17.4.1	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K00526	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain	1.17.4.1	1
07_Nucleic acid metabolism	Purine metabolism			K00526	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain	1.17.4.1	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00529	hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component	1.18.1.3	1
11_Nitrogen cycle	Nitrogen Fixation			K00531	anfG; nitrogenase delta subunit	1.18.6.1	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase	2.1.1.13	1
06_Amino acid utilization biosynthesis metabolism	Methionine biosynthesis			K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase	2.1.1.13	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase	2.1.1.13	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00549	metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	2.1.1.14	1
06_Amino acid utilization biosynthesis metabolism	Methionine biosynthesis			K00549	metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	2.1.1.14	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K00560	thyA, TYMS; thymidylate synthase	2.1.1.45	1
21_Cellular response to stress	Cellular response to stress			K00567	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase	2.1.1.63	1
21_Cellular response to stress	Response to nitrosative stress			K00567	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase	2.1.1.63	1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase	2.1.1.222 2.1.1.64	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase	2.1.1.222 2.1.1.64	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00588	E2.1.1.104; caffeoyl-CoA O-methyltransferase	2.1.1.104	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00588	E2.1.1.104; caffeoyl-CoA O-methyltransferase	2.1.1.104	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to lactate		K00600	glyA, SHMT; glycine hydroxymethyltransferase	2.1.2.1	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00600	glyA, SHMT; glycine hydroxymethyltransferase	2.1.2.1	1
15_Methylotrophy	Serine pathway for formaldehyde fixation			K00600	glyA, SHMT; glycine hydroxymethyltransferase	2.1.2.1	1
07_Nucleic acid metabolism	Purine metabolism			K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	2.1.2.3 3.5.4.10	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00605	gcvT, AMT; aminomethyltransferase	2.1.2.10	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00609	pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit	2.1.3.2	1
