L1	L2	L3	KO	Function	EC	Count
Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism [PATH:ko00660]	K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase	1.1.1.85	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase	1.1.1.85	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K00053	ilvC; ketol-acid reductoisomerase	1.1.1.86	1
Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	K00053	ilvC; ketol-acid reductoisomerase	1.1.1.86	1
Metabolism	Lipid metabolism	Glycerophospholipid metabolism [PATH:ko00564]	K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+)	1.1.1.94	1
Metabolism	Energy metabolism	Methane metabolism [PATH:ko00680]	K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	1.1.1.95 1.1.1.399	1
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	1.1.1.95 1.1.1.399	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	1.1.1.95 1.1.1.399	1
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	1.1.1.95 1.1.1.399	1
Metabolism	Lipid metabolism	Fatty acid biosynthesis [PATH:ko00061]	K00059	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase	1.1.1.100	1
Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism [PATH:ko00780]	K00059	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase	1.1.1.100	1
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis [PATH:ko00333]	K00059	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase	1.1.1.100	1
Brite Hierarchies	Protein families: metabolism	Lipid biosynthesis proteins [BR:ko01004]	K00059	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase	1.1.1.100	1
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase	1.1.1.122	1
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:ko00053]	K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase	1.1.1.122	1
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	K00066	algD; GDP-mannose 6-dehydrogenase	1.1.1.132	1
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K00066	algD; GDP-mannose 6-dehydrogenase	1.1.1.132	1
Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K00066	algD; GDP-mannose 6-dehydrogenase	1.1.1.132	1
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase	1.1.1.133	1
Metabolism	Metabolism of terpenoids and polyketides	Polyketide sugar unit biosynthesis [PATH:ko00523]	K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase	1.1.1.133	1
Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis [PATH:ko00521]	K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase	1.1.1.133	1
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase	1.1.1.157	1
Metabolism	Amino acid metabolism	Phenylalanine metabolism [PATH:ko00360]	K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase	1.1.1.157	1
Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation [PATH:ko00362]	K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase	1.1.1.157	1
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K00075	murB; UDP-N-acetylmuramate dehydrogenase	1.3.1.98	1
Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis [PATH:ko00550]	K00075	murB; UDP-N-acetylmuramate dehydrogenase	1.3.1.98	1
Brite Hierarchies	Protein families: metabolism	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	K00075	murB; UDP-N-acetylmuramate dehydrogenase	1.3.1.98	1
Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	K00077	panE, apbA; 2-dehydropantoate 2-reductase	1.1.1.169	1
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:ko00040]	K00078	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)	1.3.1.20 1.1.1.179	1
Metabolism	Xenobiotics biodegradation and metabolism	Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	K00078	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)	1.3.1.20 1.1.1.179	1
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00086	dhaT; 1,3-propanediol dehydrogenase	1.1.1.202	1
Metabolism	Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	K00086	dhaT; 1,3-propanediol dehydrogenase	1.1.1.202	1
Metabolism	Nucleotide metabolism	Purine metabolism [PATH:ko00230]	K00088	IMPDH, guaB; IMP dehydrogenase	1.1.1.205	1
Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes [PATH:ko00983]	K00088	IMPDH, guaB; IMP dehydrogenase	1.1.1.205	1
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00088	IMPDH, guaB; IMP dehydrogenase	1.1.1.205	1
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00091	E1.1.1.219; dihydroflavonol-4-reductase	1.1.1.219	1
Metabolism	Metabolism of cofactors and vitamins	Vitamin B6 metabolism [PATH:ko00750]	K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase	1.1.1.262	1
Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis [PATH:ko00900]	K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267	1
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00104	glcD; glycolate oxidase	1.1.3.15	1
Metabolism	Lipid metabolism	Glycerophospholipid metabolism [PATH:ko00564]	K00113	glpC; glycerol-3-phosphate dehydrogenase subunit C		1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00116	mqo; malate dehydrogenase (quinone)	1.1.5.4	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00116	mqo; malate dehydrogenase (quinone)	1.1.5.4	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
Metabolism	Energy metabolism	Methane metabolism [PATH:ko00680]	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
Metabolism	Lipid metabolism	Fatty acid degradation [PATH:ko00071]	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
Metabolism	Amino acid metabolism	Tyrosine metabolism [PATH:ko00350]	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
Metabolism	Metabolism of cofactors and vitamins	Retinol metabolism [PATH:ko00830]	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane and chloroalkene degradation [PATH:ko00625]	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
Metabolism	Xenobiotics biodegradation and metabolism	Naphthalene degradation [PATH:ko00626]	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
Metabolism	Xenobiotics biodegradation and metabolism	Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - cytochrome P450 [PATH:ko00982]	K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+)	1.2.1.9	1
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+)	1.2.1.9	1
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
Metabolism	Amino acid metabolism	Lysine biosynthesis [PATH:ko00300]	K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis [PATH:ko00261]	K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
Metabolism	Energy metabolism	Carbon fixation in photosynthetic organisms [PATH:ko00710]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway [PATH:ko04066]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
Human Diseases	Infectious disease: bacterial	Pathogenic Escherichia coli infection [PATH:ko05130]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
Human Diseases	Infectious disease: bacterial	Salmonella infection [PATH:ko05132]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
Human Diseases	Neurodegenerative disease	Alzheimer disease [PATH:ko05010]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy [PATH:ko05415]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
Brite Hierarchies	Protein families: genetic information processing	Membrane trafficking [BR:ko04131]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism [PATH:ko00250]	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
Metabolism	Amino acid metabolism	Lysine degradation [PATH:ko00310]	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
Metabolism	Amino acid metabolism	Tyrosine metabolism [PATH:ko00350]	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism [PATH:ko00760]	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00138	aldB; aldehyde dehydrogenase	1.2.1.-	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00138	aldB; aldehyde dehydrogenase	1.2.1.-	1
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	1.2.1.18 1.2.1.27	1
Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism [PATH:ko00562]	K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	1.2.1.18 1.2.1.27	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	1.2.1.18 1.2.1.27	1
Metabolism	Metabolism of other amino acids	beta-Alanine metabolism [PATH:ko00410]	K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	1.2.1.18 1.2.1.27	1
Metabolism	Amino acid metabolism	Arginine biosynthesis [PATH:ko00220]	K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
Metabolism	Amino acid metabolism	Arginine and proline metabolism [PATH:ko00330]	K00147	proA; glutamate-5-semialdehyde dehydrogenase	1.2.1.41	1
Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis [PATH:ko00332]	K00147	proA; glutamate-5-semialdehyde dehydrogenase	1.2.1.41	1
Metabolism	Energy metabolism	Methane metabolism [PATH:ko00680]	K00148	fdhA; glutathione-independent formaldehyde dehydrogenase	1.2.1.46	1
Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane and chloroalkene degradation [PATH:ko00625]	K00148	fdhA; glutathione-independent formaldehyde dehydrogenase	1.2.1.46	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00156	poxB; pyruvate dehydrogenase (quinone)	1.2.5.1	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	1
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway [PATH:ko04066]	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	1
Organismal Systems	Endocrine system	Glucagon signaling pathway [PATH:ko04922]	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	1
Human Diseases	Cancer: overview	Central carbon metabolism in cancer [PATH:ko05230]	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	1
Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy [PATH:ko05415]	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	1
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway [PATH:ko04066]	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	1
Organismal Systems	Endocrine system	Glucagon signaling pathway [PATH:ko04922]	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	1
Human Diseases	Cancer: overview	Central carbon metabolism in cancer [PATH:ko05230]	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	1
Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy [PATH:ko05415]	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00163	aceE; pyruvate dehydrogenase E1 component	1.2.4.1	1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00163	aceE; pyruvate dehydrogenase E1 component	1.2.4.1	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00163	aceE; pyruvate dehydrogenase E1 component	1.2.4.1	1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	1.2.4.2	1
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit	1.2.4.4	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit	1.2.4.4	1
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit	1.2.4.4	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit	1.2.4.4	1
Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	K00196	cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit		1
Metabolism	Energy metabolism	Methane metabolism [PATH:ko00680]	K00196	cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit		1
Metabolism	Xenobiotics biodegradation and metabolism	Nitrotoluene degradation [PATH:ko00633]	K00196	cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit		1
Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	K00198	cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit	1.2.7.4	1
Metabolism	Energy metabolism	Methane metabolism [PATH:ko00680]	K00198	cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit	1.2.7.4	1
Metabolism	Xenobiotics biodegradation and metabolism	Nitrotoluene degradation [PATH:ko00633]	K00198	cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit	1.2.7.4	1
Metabolism	Lipid metabolism	Fatty acid biosynthesis [PATH:ko00061]	K00208	fabI; enoyl-[acyl-carrier protein] reductase I	1.3.1.9 1.3.1.10	1
Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism [PATH:ko00780]	K00208	fabI; enoyl-[acyl-carrier protein] reductase I	1.3.1.9 1.3.1.10	1
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis [PATH:ko00333]	K00208	fabI; enoyl-[acyl-carrier protein] reductase I	1.3.1.9 1.3.1.10	1
Brite Hierarchies	Protein families: metabolism	Lipid biosynthesis proteins [BR:ko01004]	K00208	fabI; enoyl-[acyl-carrier protein] reductase I	1.3.1.9 1.3.1.10	1
Metabolism	Amino acid metabolism	Lysine biosynthesis [PATH:ko00300]	K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase	1.17.1.8	1
