	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_021062_NC_021062_25	NC_021062	NC_021062	25	14619	15059	1	E								0
NC_021062_NC_021062_26	NC_021062	NC_021062	26	15046	17184	1	C	K21238	Escherichia phage DNA-directed DNA polymerase [EC:2.7.7.7]	DNA polymerase family A [PF00476.23]					0
NC_021062_NC_021062_27	NC_021062	NC_021062	27	17184	17543	1	D			Bacteriophage T7, gene 5.5 [PF11247.11]					0
NC_021062_NC_021062_28	NC_021062	NC_021062	28	17546	17755	1	E								0
NC_021062_NC_021062_29	NC_021062	NC_021062	29	17752	18663	1	C	K21526	Escherichia phage exonuclease [EC:3.1.11.3]	5'-3' exonuclease, N-terminal resolvase-like domain [PF02739.19]					0
NC_021062_NC_021062_30	NC_021062	NC_021062	30	18772	19038	1	D			Bacteriophage T7-like gene 6.5 [PF10911.11]					0
NC_021062_NC_021062_31	NC_021062	NC_021062	31	19025	19315	1	D			Bacteriophage T7-like, protein 6.7 [PF17570.5]					0
NC_021062_NC_021062_32	NC_021062	NC_021062	32	19325	19645	1	D			Bacteriophage T7 virion assembly protein [PF11653.11]					0
NC_021062_NC_021062_33	NC_021062	NC_021062	33	19658	21265	1	D			Bacteriophage head to tail connecting protein [PF12236.11]					0
NC_021062_NC_021062_34	NC_021062	NC_021062	34	21330	22241	1	D			Phage T7 capsid assembly protein [PF05396.14]					0
NC_021062_NC_021062_35	NC_021062	NC_021062	35	22331	23356	1	D			Phage capsid protein [PF19821.2]; P22 coat protein - gene protein 5 [PF11651.11]					0
NC_021062_NC_021062_36	NC_021062	NC_021062	36	23399	24772	1	D			Bacterial Ig-like domain (group 2) [PF02368.21]					0
NC_021062_NC_021062_37	NC_021062	NC_021062	37	24839	25426	1	D			Tail tubular protein [PF17212.6]					0
NC_021062_NC_021062_38	NC_021062	NC_021062	38	25438	27861	1	E								0
NC_021062_NC_021062_39	NC_021062	NC_021062	39	27892	28329	1	D			Bacteriophage T7, probable scaffold protein Gp13 [PF11090.11]					0
NC_021062_NC_021062_40	NC_021062	NC_021062	40	28341	28898	1	E								0
NC_021062_NC_021062_41	NC_021062	NC_021062	41	28907	31102	1	E								0
NC_021062_NC_021062_42	NC_021062	NC_021062	42	31124	35119	1	D			Transglycosylase SLT domain [PF01464.23]	GH23	GH23 lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14)	3.2.1.17,3.2.1.17_or_4.2.2.n1,4.2.2.n1	GH23.hmm	0
NC_021062_NC_021062_43	NC_021062	NC_021062	43	35177	36964	1	D			Phage T7 tail fibre protein [PF03906.17]					0
NC_021062_NC_021062_44	NC_021062	NC_021062	44	36975	37166	1	D			Phage holin T7 family, holin superfamily II [PF10746.12]					0
NC_021062_NC_021062_45	NC_021062	NC_021062	45	37171	37425	1	D			DNA packaging protein [PF11123.11]					0
NC_021062_NC_021062_46	NC_021062	NC_021062	46	37425	37862	1	E								0
NC_021062_NC_021062_47	NC_021062	NC_021062	47	37859	39616	1	E								0
NC_021062_NC_021062_48	NC_021062	NC_021062	48	39837	40010	1	E								0
