	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000140.1_20	QGNH01000140.1	QGNH01000140.1	20	18699	20393	1	D	YP_009778458.1	YP_009778458.1 hypothetical protein HOQ62_gp018 [Synechococcus phage ACG-2014f_Syn7803C8]	False	0.494	177.0	7.869e-45								Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]; ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF08242.15]	GT4	GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342); [retaining] UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-)	2.4.1.131,2.4.1.13,2.4.1.14,2.4.1.157,2.4.1.198,2.4.1.208,2.4.1.21,2.4.1.231,2.4.1.241,2.4.1.245,2.4.1.252,2.4.1.257,2.4.1.270,2.4.1.283,2.4.1.285,2.4.1.290,2.4.1.342,2.4.1.57,2.4.1.-,2.4.2.-,2.4.1.132	GT4.hmm	VOG17757	REFSEQ glycosyltransferase; Xu	Xu	0	False	MK
QGNH01000140.1_21	QGNH01000140.1	QGNH01000140.1	21	20390	20716	1	E																						0	False	
QGNH01000140.1_22	QGNH01000140.1	QGNH01000140.1	22	20722	21009	1	E																						0	False	
QGNH01000140.1_23	QGNH01000140.1	QGNH01000140.1	23	21020	21418	1	E																						0	False	
QGNH01000140.1_24	QGNH01000140.1	QGNH01000140.1	24	21611	22285	1	E																						0	False	
QGNH01000140.1_25	QGNH01000140.1	QGNH01000140.1	25	22285	22485	1	E																						0	False	
QGNH01000140.1_26	QGNH01000140.1	QGNH01000140.1	26	22613	22921	-1	E																						0	False	
QGNH01000140.1_27	QGNH01000140.1	QGNH01000140.1	27	23210	23386	1	E																						0	False	
QGNH01000140.1_28	QGNH01000140.1	QGNH01000140.1	28	23383	23610	1	E																						0	False	
QGNH01000140.1_29	QGNH01000140.1	QGNH01000140.1	29	23611	23880	1	E																						0	False	
QGNH01000140.1_30	QGNH01000140.1	QGNH01000140.1	30	24074	24655	1	E																						0	False	
QGNH01000140.1_31	QGNH01000140.1	QGNH01000140.1	31	24705	24872	1	E																						0	False	
QGNH01000140.1_32	QGNH01000140.1	QGNH01000140.1	32	24884	25129	1	E																						0	False	
QGNH01000140.1_33	QGNH01000140.1	QGNH01000140.1	33	25200	25700	1	E																						0	False	
QGNH01000140.1_34	QGNH01000140.1	QGNH01000140.1	34	26015	26389	1	E																						0	False	
QGNH01000140.1_35	QGNH01000140.1	QGNH01000140.1	35	26418	27080	1	E																						0	False	
QGNH01000140.1_36	QGNH01000140.1	QGNH01000140.1	36	27089	27754	1	E																						0	False	
QGNH01000140.1_37	QGNH01000140.1	QGNH01000140.1	37	27775	28770	1	E																						0	False	
QGNH01000140.1_38	QGNH01000140.1	QGNH01000140.1	38	28806	28982	1	E																						0	False	
QGNH01000140.1_39	QGNH01000140.1	QGNH01000140.1	39	28982	29386	1	E																						0	False	
QGNH01000140.1_40	QGNH01000140.1	QGNH01000140.1	40	29383	29559	1	E																						0	False	
QGNH01000140.1_41	QGNH01000140.1	QGNH01000140.1	41	29630	29872	1	E																						0	False	
QGNH01000140.1_42	QGNH01000140.1	QGNH01000140.1	42	29869	30093	1	E																						0	False	
QGNH01000140.1_43	QGNH01000140.1	QGNH01000140.1	43	30083	30547	1	E																						0	False	
QGNH01000140.1_44	QGNH01000140.1	QGNH01000140.1	44	30612	32942	1	D	YP_010002479.1	YP_010002479.1 exonuclease [Gordonia phage Ali17]	False	0.26	196.0	9.841e-50	MER0295512	N09	MER0295512 - family N9 unassigned peptide lyases () [N09.UPW]#N09#{peptidase unit: 34-380}~source YP_001110806~	False	99.0	1.614e-19	0.281	Homing endonuclease [PF05204.17]; Hom_end-associated Hint [PF05203.19]; LAGLIDADG-like domain [PF14528.9]					VOG04252	REFSEQ DarB-like antirestriction; Xu	Xu	0	False	P
QGNH01000140.1_45	QGNH01000140.1	QGNH01000140.1	45	32973	35084	1	D														Protein of unknown function (DUF935) [PF06074.15]					VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
QGNH01000140.1_46	QGNH01000140.1	QGNH01000140.1	46	35084	35794	1	D	YP_024703.1	YP_024703.1 minor head protein and DNA pilot [Burkholderia phage BcepMu]	False	0.349	108.0	3.825e-25								Phage Mu protein F like protein [PF04233.17]					VOG10177	sp|P44226|VPF_HAEIN Mu-like prophage FluMu F protein; Xu	Xu	0	False	F
QGNH01000140.1_47	QGNH01000140.1	QGNH01000140.1	47	35798	36070	1	E																						0	False	F
QGNH01000140.1_48	QGNH01000140.1	QGNH01000140.1	48	36075	36983	1	E																						0	False	F
QGNH01000140.1_49	QGNH01000140.1	QGNH01000140.1	49	36980	37162	1	E																						0	False	F
QGNH01000140.1_50	QGNH01000140.1	QGNH01000140.1	50	37159	37440	1	E																						0	False	F
QGNH01000140.1_51	QGNH01000140.1	QGNH01000140.1	51	37437	38648	1	D	YP_009196080.1	YP_009196080.1 head maturation protease [Mannheimia phage vB_MhM_3927AP2]	False	0.312	62.0	5.952e-09								Mu-like prophage I protein [PF10123.12]					VOG01958	sp|Q01267|PRO_BPMU Protease I; XhXs	Xs;Xh	0	False	VF
QGNH01000140.1_52	QGNH01000140.1	QGNH01000140.1	52	38683	39405	1	E	YP_007676420.1	YP_007676420.1 virion structural protein [Rhodovulum phage RS1]	False	0.301	62.0	1.286e-09													VOG03879	REFSEQ virion structural protein; Xu	Xu	0	False	F
