NC_007638.1_orf14	904282e492e041a1a586496077f9bdde	260	Gene3D	G3DSA:2.60.120.20	-	75	252	1.1E-20	T	24-06-2023	IPR029053	Viral coat protein subunit
NC_007638.1_orf14	904282e492e041a1a586496077f9bdde	260	PRINTS	PR00224	Geminivirus AR1 coat protein signature	136	152	3.5E-84	T	24-06-2023	IPR000650	Geminivirus AR1 coat protein
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	FunFam	G3DSA:3.40.1310.20:FF:000001	Replication-associated protein	9	125	8.5E-58	T	24-06-2023	-	-
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	Gene3D	G3DSA:3.40.1310.20	-	8	125	4.0E-48	T	24-06-2023	-	-
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	PRINTS	PR00228	Geminivirus CLV AL1 coat protein signature	47	63	2.9E-94	T	24-06-2023	IPR001301	Geminivirus AL1 replication-associated protein, CLV type
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	PRINTS	PR00228	Geminivirus CLV AL1 coat protein signature	11	25	2.9E-94	T	24-06-2023	IPR001301	Geminivirus AL1 replication-associated protein, CLV type
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	PRINTS	PR00228	Geminivirus CLV AL1 coat protein signature	246	266	2.9E-94	T	24-06-2023	IPR001301	Geminivirus AL1 replication-associated protein, CLV type
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	PRINTS	PR00228	Geminivirus CLV AL1 coat protein signature	290	308	2.9E-94	T	24-06-2023	IPR001301	Geminivirus AL1 replication-associated protein, CLV type
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	PRINTS	PR00228	Geminivirus CLV AL1 coat protein signature	25	47	2.9E-94	T	24-06-2023	IPR001301	Geminivirus AL1 replication-associated protein, CLV type
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	PRINTS	PR00228	Geminivirus CLV AL1 coat protein signature	63	82	2.9E-94	T	24-06-2023	IPR001301	Geminivirus AL1 replication-associated protein, CLV type
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	PRINTS	PR00228	Geminivirus CLV AL1 coat protein signature	214	236	2.9E-94	T	24-06-2023	IPR001301	Geminivirus AL1 replication-associated protein, CLV type
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	PRINTS	PR00228	Geminivirus CLV AL1 coat protein signature	91	110	2.9E-94	T	24-06-2023	IPR001301	Geminivirus AL1 replication-associated protein, CLV type
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	Pfam	PF00799	Geminivirus Rep catalytic domain	11	123	2.3E-52	T	24-06-2023	IPR022690	Geminivirus AL1 replication-associated protein, catalytic domain
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	PRINTS	PR00227	Geminivirus AL1 coat protein signature	17	32	6.8E-36	T	24-06-2023	IPR001191	Geminivirus AL1, replication-associated protein
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	PRINTS	PR00227	Geminivirus AL1 coat protein signature	143	162	6.8E-36	T	24-06-2023	IPR001191	Geminivirus AL1, replication-associated protein
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	PRINTS	PR00227	Geminivirus AL1 coat protein signature	91	110	6.8E-36	T	24-06-2023	IPR001191	Geminivirus AL1, replication-associated protein
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	PRINTS	PR00227	Geminivirus AL1 coat protein signature	52	69	6.8E-36	T	24-06-2023	IPR001191	Geminivirus AL1, replication-associated protein
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	Pfam	PF08283	Geminivirus rep protein central domain	130	234	2.2E-32	T	24-06-2023	IPR022692	Geminivirus AL1 replication-associated protein, central domain
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	SUPERFAMILY	SSF55464	Origin of replication-binding domain, RBD-like	9	125	1.19E-56	T	24-06-2023	-	-
NC_007638.1_orf53	acc5bec40f27235c0c7ecf3f4e670232	368	MobiDBLite	mobidb-lite	consensus disorder prediction	348	368	-	T	24-06-2023	-	-
NC_007638.1_orf55	e82571b5729f9c3d07d57c21457d20ca	145	Pfam	PF01440	Geminivirus AL2 protein	2	129	4.7E-31	T	24-06-2023	IPR000942	Geminivirus AL2 coat protein, MSV type
NC_007638.1_orf55	e82571b5729f9c3d07d57c21457d20ca	145	PRINTS	PR00230	Geminivirus AL2 coat protein signature	119	133	3.0E-27	T	24-06-2023	IPR000942	Geminivirus AL2 coat protein, MSV type
NC_007638.1_orf55	e82571b5729f9c3d07d57c21457d20ca	145	PRINTS	PR00230	Geminivirus AL2 coat protein signature	30	48	3.0E-27	T	24-06-2023	IPR000942	Geminivirus AL2 coat protein, MSV type
NC_007638.1_orf55	e82571b5729f9c3d07d57c21457d20ca	145	PRINTS	PR00230	Geminivirus AL2 coat protein signature	52	71	3.0E-27	T	24-06-2023	IPR000942	Geminivirus AL2 coat protein, MSV type
NC_007638.1_orf55	e82571b5729f9c3d07d57c21457d20ca	145	PRINTS	PR00230	Geminivirus AL2 coat protein signature	71	83	3.0E-27	T	24-06-2023	IPR000942	Geminivirus AL2 coat protein, MSV type
NC_007638.1_orf55	e82571b5729f9c3d07d57c21457d20ca	145	MobiDBLite	mobidb-lite	consensus disorder prediction	78	118	-	T	24-06-2023	-	-
NC_007638.1_orf8	9d0e1d6e13e053c4f3f3215570ce5856	120	Pfam	PF01524	Geminivirus V2 protein	6	83	7.6E-37	T	24-06-2023	IPR002511	Geminivirus V2 protein
NC_007638.1_orf8	9d0e1d6e13e053c4f3f3215570ce5856	120	Pfam	PF03716	WCCH motif	88	107	3.2E-8	T	24-06-2023	IPR005159	WCCH motif
NC_007638.1_orf46	673ba2b41ebe329a953656e28686d27d	117	MobiDBLite	mobidb-lite	consensus disorder prediction	1	105	-	T	24-06-2023	-	-
NC_007638.1_orf46	673ba2b41ebe329a953656e28686d27d	117	Pfam	PF01492	Geminivirus C4 protein	18	100	7.8E-32	T	24-06-2023	IPR002488	Geminivirus C4 protein
NC_007638.1_orf46	673ba2b41ebe329a953656e28686d27d	117	MobiDBLite	mobidb-lite	consensus disorder prediction	90	105	-	T	24-06-2023	-	-
NC_007638.1_orf46	673ba2b41ebe329a953656e28686d27d	117	MobiDBLite	mobidb-lite	consensus disorder prediction	1	83	-	T	24-06-2023	-	-
NC_007638.1_orf56	3bbc3360c901e05862ce73c6bc9aeb67	160	Pfam	PF01407	Geminivirus AL3 protein	28	141	2.4E-39	T	24-06-2023	IPR000657	Geminivirus AL3 coat protein
NC_007638.1_orf56	3bbc3360c901e05862ce73c6bc9aeb67	160	PRINTS	PR00231	Geminivirus AL3 coat protein signature	90	106	2.7E-41	T	24-06-2023	IPR000657	Geminivirus AL3 coat protein
NC_007638.1_orf56	3bbc3360c901e05862ce73c6bc9aeb67	160	PRINTS	PR00231	Geminivirus AL3 coat protein signature	51	68	2.7E-41	T	24-06-2023	IPR000657	Geminivirus AL3 coat protein
NC_007638.1_orf56	3bbc3360c901e05862ce73c6bc9aeb67	160	PRINTS	PR00231	Geminivirus AL3 coat protein signature	118	133	2.7E-41	T	24-06-2023	IPR000657	Geminivirus AL3 coat protein
NC_007638.1_orf56	3bbc3360c901e05862ce73c6bc9aeb67	160	PRINTS	PR00231	Geminivirus AL3 coat protein signature	72	90	2.7E-41	T	24-06-2023	IPR000657	Geminivirus AL3 coat protein
NC_007638.1_orf56	3bbc3360c901e05862ce73c6bc9aeb67	160	PRINTS	PR00231	Geminivirus AL3 coat protein signature	30	45	2.7E-41	T	24-06-2023	IPR000657	Geminivirus AL3 coat protein
