NC_034247.1_orf8	a49a9a702c71eb4cc3661d6e2c171a35	283	Pfam	PF04662	Luteovirus P0 protein	60	249	2.4E-13	T	24-06-2023	IPR006755	Suppressor of silencing P0
NC_034247.1_orf23	f5bd4de451cb293a2b96e45db8c5d12e	662	PRINTS	PR00913	Luteovirus ORF2 putative replicase 1 signature	253	274	3.6E-33	T	24-06-2023	IPR018019	Luteovirus Orf2 putative replicase 1
NC_034247.1_orf23	f5bd4de451cb293a2b96e45db8c5d12e	662	PRINTS	PR00913	Luteovirus ORF2 putative replicase 1 signature	634	654	3.6E-33	T	24-06-2023	IPR018019	Luteovirus Orf2 putative replicase 1
NC_034247.1_orf23	f5bd4de451cb293a2b96e45db8c5d12e	662	PRINTS	PR00913	Luteovirus ORF2 putative replicase 1 signature	380	402	3.6E-33	T	24-06-2023	IPR018019	Luteovirus Orf2 putative replicase 1
NC_034247.1_orf23	f5bd4de451cb293a2b96e45db8c5d12e	662	MobiDBLite	mobidb-lite	consensus disorder prediction	617	640	-	T	24-06-2023	-	-
NC_034247.1_orf23	f5bd4de451cb293a2b96e45db8c5d12e	662	Gene3D	G3DSA:2.40.10.10	-	243	324	1.2E-5	T	24-06-2023	IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold
NC_034247.1_orf23	f5bd4de451cb293a2b96e45db8c5d12e	662	SUPERFAMILY	SSF50494	Trypsin-like serine proteases	245	448	1.85E-9	T	24-06-2023	IPR009003	Peptidase S1, PA clan
NC_034247.1_orf23	f5bd4de451cb293a2b96e45db8c5d12e	662	MobiDBLite	mobidb-lite	consensus disorder prediction	561	662	-	T	24-06-2023	-	-
NC_034247.1_orf60	cf0c27a4da3c14277ad358d76dc81148	501	MobiDBLite	mobidb-lite	consensus disorder prediction	443	458	-	T	24-06-2023	-	-
NC_034247.1_orf60	cf0c27a4da3c14277ad358d76dc81148	501	MobiDBLite	mobidb-lite	consensus disorder prediction	1	25	-	T	24-06-2023	-	-
NC_034247.1_orf60	cf0c27a4da3c14277ad358d76dc81148	501	PRINTS	PR00910	Luteovirus ORF6 protein signature	151	168	4.3E-18	T	24-06-2023	-	-
NC_034247.1_orf60	cf0c27a4da3c14277ad358d76dc81148	501	PRINTS	PR00910	Luteovirus ORF6 protein signature	26	44	4.3E-18	T	24-06-2023	-	-
NC_034247.1_orf60	cf0c27a4da3c14277ad358d76dc81148	501	PRINTS	PR00910	Luteovirus ORF6 protein signature	212	231	4.3E-18	T	24-06-2023	-	-
NC_034247.1_orf60	cf0c27a4da3c14277ad358d76dc81148	501	PRINTS	PR00910	Luteovirus ORF6 protein signature	12	24	4.3E-18	T	24-06-2023	-	-
NC_034247.1_orf60	cf0c27a4da3c14277ad358d76dc81148	501	PRINTS	PR00910	Luteovirus ORF6 protein signature	193	212	4.3E-18	T	24-06-2023	-	-
NC_034247.1_orf60	cf0c27a4da3c14277ad358d76dc81148	501	PRINTS	PR00910	Luteovirus ORF6 protein signature	88	105	4.3E-18	T	24-06-2023	-	-
NC_034247.1_orf60	cf0c27a4da3c14277ad358d76dc81148	501	PRINTS	PR00910	Luteovirus ORF6 protein signature	168	184	4.3E-18	T	24-06-2023	-	-
NC_034247.1_orf60	cf0c27a4da3c14277ad358d76dc81148	501	Pfam	PF01690	Potato leaf roll virus readthrough protein	12	492	6.0E-46	T	24-06-2023	IPR002929	Potato leaf roll virus readthrough protein
NC_034247.1_orf60	cf0c27a4da3c14277ad358d76dc81148	501	MobiDBLite	mobidb-lite	consensus disorder prediction	414	463	-	T	24-06-2023	-	-
NC_034247.1_orf45	0d3b745e586e1be2e99080788c345e37	197	Pfam	PF01659	Luteovirus putative VPg genome linked protein	55	144	3.7E-21	T	24-06-2023	IPR001964	Luteovirus VPG protein
NC_034247.1_orf45	0d3b745e586e1be2e99080788c345e37	197	MobiDBLite	mobidb-lite	consensus disorder prediction	154	168	-	T	24-06-2023	-	-
NC_034247.1_orf45	0d3b745e586e1be2e99080788c345e37	197	MobiDBLite	mobidb-lite	consensus disorder prediction	153	197	-	T	24-06-2023	-	-
NC_034247.1_orf45	0d3b745e586e1be2e99080788c345e37	197	PRINTS	PR00912	Luteovirus ORF5 VPG protein signature	17	32	6.3E-28	T	24-06-2023	IPR001964	Luteovirus VPG protein
NC_034247.1_orf45	0d3b745e586e1be2e99080788c345e37	197	PRINTS	PR00912	Luteovirus ORF5 VPG protein signature	96	111	6.3E-28	T	24-06-2023	IPR001964	Luteovirus VPG protein
NC_034247.1_orf45	0d3b745e586e1be2e99080788c345e37	197	PRINTS	PR00912	Luteovirus ORF5 VPG protein signature	65	80	6.3E-28	T	24-06-2023	IPR001964	Luteovirus VPG protein
NC_034247.1_orf45	0d3b745e586e1be2e99080788c345e37	197	PRINTS	PR00912	Luteovirus ORF5 VPG protein signature	111	127	6.3E-28	T	24-06-2023	IPR001964	Luteovirus VPG protein
NC_034247.1_orf45	0d3b745e586e1be2e99080788c345e37	197	PRINTS	PR00912	Luteovirus ORF5 VPG protein signature	80	96	6.3E-28	T	24-06-2023	IPR001964	Luteovirus VPG protein
NC_034247.1_orf38	36ba779a891e7024ff362bb794305bd3	593	Pfam	PF02123	Viral RNA-directed RNA-polymerase	143	517	8.7E-66	T	24-06-2023	IPR001795	RNA-directed RNA polymerase, luteovirus
NC_034247.1_orf38	36ba779a891e7024ff362bb794305bd3	593	ProSiteProfiles	PS50507	RdRp of positive ssRNA viruses catalytic domain profile.	389	504	9.246857	T	24-06-2023	IPR007094	RNA-directed RNA polymerase,  catalytic domain
NC_034247.1_orf38	36ba779a891e7024ff362bb794305bd3	593	MobiDBLite	mobidb-lite	consensus disorder prediction	1	85	-	T	24-06-2023	-	-
NC_034247.1_orf38	36ba779a891e7024ff362bb794305bd3	593	MobiDBLite	mobidb-lite	consensus disorder prediction	1	31	-	T	24-06-2023	-	-
NC_034247.1_orf38	36ba779a891e7024ff362bb794305bd3	593	MobiDBLite	mobidb-lite	consensus disorder prediction	65	85	-	T	24-06-2023	-	-
NC_034247.1_orf38	36ba779a891e7024ff362bb794305bd3	593	PRINTS	PR00914	Luteovirus (ORF3) RNA-directed RNA-polymerase signature	313	332	4.3E-74	T	24-06-2023	IPR001795	RNA-directed RNA polymerase, luteovirus
NC_034247.1_orf38	36ba779a891e7024ff362bb794305bd3	593	PRINTS	PR00914	Luteovirus (ORF3) RNA-directed RNA-polymerase signature	439	459	4.3E-74	T	24-06-2023	IPR001795	RNA-directed RNA polymerase, luteovirus
NC_034247.1_orf38	36ba779a891e7024ff362bb794305bd3	593	PRINTS	PR00914	Luteovirus (ORF3) RNA-directed RNA-polymerase signature	484	496	4.3E-74	T	24-06-2023	IPR001795	RNA-directed RNA polymerase, luteovirus
NC_034247.1_orf38	36ba779a891e7024ff362bb794305bd3	593	PRINTS	PR00914	Luteovirus (ORF3) RNA-directed RNA-polymerase signature	395	415	4.3E-74	T	24-06-2023	IPR001795	RNA-directed RNA polymerase, luteovirus
NC_034247.1_orf38	36ba779a891e7024ff362bb794305bd3	593	PRINTS	PR00914	Luteovirus (ORF3) RNA-directed RNA-polymerase signature	516	531	4.3E-74	T	24-06-2023	IPR001795	RNA-directed RNA polymerase, luteovirus
NC_034247.1_orf38	36ba779a891e7024ff362bb794305bd3	593	PRINTS	PR00914	Luteovirus (ORF3) RNA-directed RNA-polymerase signature	467	484	4.3E-74	T	24-06-2023	IPR001795	RNA-directed RNA polymerase, luteovirus
NC_034247.1_orf38	36ba779a891e7024ff362bb794305bd3	593	PRINTS	PR00914	Luteovirus (ORF3) RNA-directed RNA-polymerase signature	334	358	4.3E-74	T	24-06-2023	IPR001795	RNA-directed RNA polymerase, luteovirus
NC_034247.1_orf38	36ba779a891e7024ff362bb794305bd3	593	PRINTS	PR00914	Luteovirus (ORF3) RNA-directed RNA-polymerase signature	290	309	4.3E-74	T	24-06-2023	IPR001795	RNA-directed RNA polymerase, luteovirus
NC_034247.1_orf38	36ba779a891e7024ff362bb794305bd3	593	SUPERFAMILY	SSF56672	DNA/RNA polymerases	117	579	3.07E-68	T	24-06-2023	IPR043502	DNA/RNA polymerase superfamily
