ID	Function	Gene
TIGR00203	cytochrome d ubiquinol oxidase, subunit II	cydB
TIGR00204	1-deoxy-D-xylulose-5-phosphate synthase	dxs
TIGR00205	flagellar hook-basal body complex protein FliE	fliE
TIGR00206	flagellar M-ring protein FliF	fliF
TIGR00207	flagellar motor switch protein FliG	fliG
TIGR00208	flagellar protein FliS	fliS
TIGR00209	galactose-1-phosphate uridylyltransferase	galT
TIGR00210	sodium/glutamate symporter	gltS
TIGR00211	glycine--tRNA ligase, beta subunit	glyS
TIGR00212	hydroxymethylbilane synthase	hemC
TIGR00213	D,D-heptose 1,7-bisphosphate phosphatase	gmhB
TIGR00214	lipoyl(octanoyl) transferase	lipB
TIGR00215	lipid-A-disaccharide synthase	lpxB
TIGR00216	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH
TIGR00217	4-alpha-glucanotransferase	malQ
TIGR00218	mannose-6-phosphate isomerase, class I	manA
TIGR00219	rod shape-determining protein MreC	mreC
TIGR00220	large conductance mechanosensitive channel protein	mscL
TIGR00221	N-acetylglucosamine-6-phosphate deacetylase	nagA
TIGR00222	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB
TIGR00223	aspartate 1-decarboxylase	panD
TIGR00224	phosphoenolpyruvate carboxykinase (ATP)	pckA
TIGR00225	C-terminal processing peptidase	
TIGR00227	riboflavin-specific deaminase C-terminal domain	
TIGR00228	crossover junction endodeoxyribonuclease RuvC	ruvC
TIGR00229	PAS domain S-box protein	
TIGR00230	sugar fermentation stimulation protein	sfsA
TIGR00231	small GTP-binding protein domain	
TIGR00232	transketolase	tkt
TIGR00233	tryptophan--tRNA ligase	trpS
TIGR00234	tyrosine--tRNA ligase	tyrS
TIGR00235	uridine kinase	udk
TIGR00236	UDP-N-acetylglucosamine 2-epimerase	
TIGR00237	exodeoxyribonuclease VII, large subunit	xseA
TIGR00238	KamA family protein	
TIGR00239	oxoglutarate dehydrogenase (succinyl-transferring), E1 component	sucA
TIGR00240	aspartate carbamoyltransferase, regulatory subunit	pyrI
TIGR00241	putative CoA-substrate-specific enzyme activase	
TIGR00242	division/cell wall cluster transcriptional repressor MraZ	mraZ
TIGR00243	1-deoxy-D-xylulose 5-phosphate reductoisomerase	dxr
TIGR00244	transcriptional regulator NrdR	nrdR
TIGR00245	TIGR00245 family protein	
TIGR00246	rRNA large subunit m3Psi methyltransferase RlmH	rlmH
TIGR00247	conserved hypothetical protein, YceG family	
TIGR00249	phosphohistidine phosphatase SixA	sixA
TIGR00250	putative transcription antitermination factor YqgF	
TIGR00251	TIGR00251 family protein	
TIGR00252	TIGR00252 family protein	
TIGR00253	putative RNA-binding protein, YhbY family	
TIGR00254	diguanylate cyclase (GGDEF) domain	
TIGR00255	TIGR00255 family protein	
TIGR00256	D-tyrosyl-tRNA(Tyr) deacylase	dtd
TIGR00257	uncharacterized protein, YigZ family	
TIGR00258	inosine/xanthosine triphosphatase	
TIGR00259	membrane complex biogenesis protein, BtpA family	
TIGR00260	threonine synthase	thrC
TIGR00261	TraB family protein	
TIGR00262	tryptophan synthase, alpha subunit	trpA
TIGR00263	tryptophan synthase, beta subunit	trpB
TIGR00264	alpha-NAC homolog	
TIGR00266	TIGR00266 family protein	
TIGR00267	TIGR00267 family protein	
TIGR00268	TIGR00268 family protein	
TIGR00269	TIGR00269 family protein	
TIGR00270	TIGR00270 family protein	
TIGR00271	uncharacterized hydrophobic domain	
TIGR00272	diphthamide biosynthesis protein 2	
TIGR00273	iron-sulfur cluster-binding protein	
TIGR00274	N-acetylmuramic acid 6-phosphate etherase	murQ
TIGR00275	flavoprotein, HI0933 family	
TIGR00276	epoxyqueuosine reductase	queG
TIGR00277	HDIG domain	
TIGR00278	putative membrane protein insertion efficiency factor	yidD
TIGR00279	ribosomal protein uL16	rplJ
TIGR00280	ribosomal protein eL43	rpl37A
TIGR00281	segregation and condensation protein B	scpB
TIGR00282	metallophosphoesterase, MG_246/BB_0505 family	
TIGR00283	peptidyl-tRNA hydrolase	pth2
TIGR00284	dihydropteroate synthase-related protein	
TIGR00285	DNA-binding protein Alba	albA
TIGR00286	arginine decarboxylase, pyruvoyl-dependent	
TIGR00287	CRISPR-associated endonuclease Cas1	cas1
TIGR00288	TIGR00288 family protein	
TIGR00289	TIGR00289 family protein	
TIGR00290	MJ0570-related uncharacterized domain	
TIGR00291	rRNA metabolism protein, SBDS family	
TIGR00292	thiazole biosynthesis enzyme	
TIGR00293	prefoldin, alpha subunit	pfdA
TIGR00294	GTP cyclohydrolase	
TIGR00295	TIGR00295 family protein	
TIGR00296	uncharacterized protein, PH0010 family	
TIGR00297	TIGR00297 family protein	
TIGR00298	2-phosphosulfolactate phosphatase	comB
TIGR00299	TIGR00299 family protein	
TIGR00300	TIGR00300 family protein	
TIGR00302	phosphoribosylformylglycinamidine synthase, purS protein	purS
TIGR00303	TIGR00303 family protein	
TIGR00304	TIGR00304 family protein	
TIGR00305	putative toxin-antitoxin system toxin component, PIN family	
TIGR00306	phosphoglycerate mutase (2,3-diphosphoglycerate-independent), archaeal form	apgM
TIGR00307	ribosomal protein eS8	
TIGR00308	N2,N2-dimethylguanosine tRNA methyltransferase	
TIGR00309	V-type ATPase, D subunit	
TIGR00310	ZPR1 zinc finger domain	
TIGR00311	putative translation initiation factor aIF-2, beta subunit	
TIGR00312	cobalamin biosynthesis protein CbiD	cbiD
TIGR00313	cobyric acid synthase CobQ	cobQ
TIGR00314	CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit	cdhA
TIGR00315	CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit	cdhB
TIGR00316	CO dehydrogenase/CO-methylating acetyl-CoA synthase complex, beta subunit	cdhC
TIGR00317	cobalamin 5'-phosphate synthase	cobS
TIGR00318	putative adenylyl cyclase CyaB	cyaB
TIGR00319	desulfoferrodoxin FeS4 iron-binding domain	
TIGR00320	desulfoferrodoxin	
TIGR00321	deoxyhypusine synthase	
TIGR00322	diphthamide biosynthesis enzyme Dph1/Dph2 domain	
TIGR00323	putative translation initiation factor eIF-6	
TIGR00324	tRNA-intron lyase	endA
TIGR00325	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	lpxC
TIGR00326	riboflavin biosynthesis protein RibD	ribD
TIGR00327	protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic	
TIGR00328	flagellar biosynthetic protein FlhB	flhB
TIGR00329	metallohydrolase, glycoprotease/Kae1 family	
TIGR00330	fructose-1,6-bisphosphatase, class II	glpX
TIGR00331	heat-inducible transcription repressor HrcA	hrcA
TIGR00332	desulfoferrodoxin ferrous iron-binding domain	
TIGR00333	nrdI protein	nrdI
TIGR00334	ribonuclease M5	rnmV
TIGR00335	putative DNA primase, eukaryotic-type, small subunit	
TIGR00336	orotate phosphoribosyltransferase	pyrE
TIGR00337	CTP synthase	pyrG
TIGR00338	phosphoserine phosphatase SerB	serB
TIGR00339	sulfate adenylyltransferase	sat
TIGR00340	zinc finger protein ZPR1 homolog	
TIGR00341	TIGR00341 family protein	
TIGR00342	tRNA sulfurtransferase ThiI	thiI
TIGR00343	pyridoxal 5'-phosphate synthase, synthase subunit Pdx1	
TIGR00344	alanine--tRNA ligase	alaS
TIGR00345	transport-energizing ATPase, TRC40/GET3/ArsA family	
TIGR00346	azaleucine resistance protein AzlC	azlC
TIGR00347	dethiobiotin synthase	bioD
TIGR00348	type I site-specific deoxyribonuclease, HsdR family	hsdR
TIGR00350	cell envelope-related function transcriptional attenuator common domain	
TIGR00351	respiratory nitrate reductase, gamma subunit	narI
TIGR00353	cytochrome c-type biogenesis protein CcmF	ccmF
TIGR00354	DNA polymerase II, large subunit DP2	polC
TIGR00355	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH
TIGR00357	methionine-R-sulfoxide reductase	msrB
TIGR00358	VacB and RNase II family 3'-5' exoribonucleases	
TIGR00359	PTS system, cellobiose-specific IIC component	celB
TIGR00360	ComEC/Rec2-related protein	
TIGR00361	DNA internalization-related competence protein ComEC/Rec2	
TIGR00362	chromosomal replication initiator protein DnaA	dnaA
TIGR00363	lipoprotein, YaeC family	
TIGR00364	queuosine biosynthesis protein QueC	queC
TIGR00365	monothiol glutaredoxin, Grx4 family	grxD
TIGR00366	TIGR00366 family protein	
TIGR00367	K+-dependent Na+/Ca+ exchanger homolog	
TIGR00368	Mg chelatase-like protein	
TIGR00369	uncharacterized domain 1	
TIGR00370	sensor histidine kinase inhibitor, KipI family	
TIGR00372	CRISPR-associated protein Cas4	cas4
TIGR00373	transcription factor E	tfe
TIGR00374	TIGR00374 family protein	
TIGR00375	TIGR00375 family protein	
TIGR00376	putative DNA helicase	
TIGR00377	anti-anti-sigma factor	
TIGR00378	calcium/proton exchanger	cax
TIGR00379	cobyrinic acid a,c-diamide synthase	cobB
TIGR00380	cobalamin biosynthesis protein CobD	cobD
TIGR00381	CO dehydrogenase/acetyl-CoA synthase, delta subunit	cdhD
TIGR00382	ATP-dependent Clp protease, ATP-binding subunit ClpX	clpX
TIGR00383	magnesium and cobalt transport protein CorA	corA
TIGR00384	succinate dehydrogenase and fumarate reductase iron-sulfur protein	
TIGR00385	periplasmic protein thiol:disulfide oxidoreductases, DsbE subfamily	dsbE
TIGR00387	glycolate oxidase, subunit GlcD	glcD
TIGR00388	glycine--tRNA ligase, alpha subunit	glyQ
TIGR00389	glycine--tRNA ligase	glyS
TIGR00390	ATP-dependent protease HslVU, ATPase subunit	hslU
TIGR00391	hydrogenase (NiFe) small subunit (hydA)	
TIGR00392	isoleucine--tRNA ligase	ileS
TIGR00393	sugar isomerase, KpsF/GutQ family	
TIGR00394	PTS system, lactose-specific IIC component	
TIGR00395	leucine--tRNA ligase	leuS
TIGR00396	leucine--tRNA ligase	leuS
TIGR00397	MauM/NapG family ferredoxin-type protein	
TIGR00398	methionine--tRNA ligase	metG
TIGR00399	methionine--tRNA ligase, beta subunit	metG
TIGR00400	magnesium transporter	mgtE
TIGR00401	peptide-methionine (S)-S-oxide reductase	msrA
TIGR00402	ferredoxin-type protein NapF	napF
TIGR00403	NADH-plastoquinone oxidoreductase, I subunit	ndhI
TIGR00405	transcription elongation factor Spt5	
TIGR00406	ribosomal protein L11 methyltransferase	prmA
TIGR00407	glutamate-5-semialdehyde dehydrogenase	proA
TIGR00408	proline--tRNA ligase	proS
TIGR00409	proline--tRNA ligase	proS
TIGR00410	PTS system, lactose/cellobiose family IIC component	
TIGR00411	redox-active disulfide protein 1	
TIGR00412	redox-active disulfide protein 2	
TIGR00413	rare lipoprotein A	rlpA
TIGR00414	serine--tRNA ligase	serS
TIGR00415	serine--tRNA ligase	serS
TIGR00416	DNA repair protein RadA	radA
TIGR00417	spermidine synthase	speE
TIGR00418	threonine--tRNA ligase	thrS
TIGR00419	triose-phosphate isomerase	tpiA
TIGR00420	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	trmU
TIGR00421	polyprenyl P-hydroxybenzoate and phenylacrylic acid decarboxylases	
TIGR00422	valine--tRNA ligase	valS
TIGR00423	radical SAM domain protein, CofH subfamily	
TIGR00424	5'-adenylylsulfate reductase, thioredoxin-independent	
TIGR00425	putative rRNA pseudouridine synthase	
TIGR00426	competence protein ComEA helix-hairpin-helix repeat region	
TIGR00427	membrane protein, MarC family	
TIGR00430	tRNA-guanine transglycosylase	tgt
TIGR00431	tRNA pseudouridine(55) synthase	truB
TIGR00432	tRNA-guanine(15) transglycosylase	tgtA
TIGR00433	biotin synthase	bioB
TIGR00434	phosophoadenylyl-sulfate reductase	cysH
TIGR00435	cysteine--tRNA ligase	cysS
TIGR00436	GTP-binding protein Era	era
TIGR00437	ferrous iron transport protein B	feoB
TIGR00438	ribosomal RNA large subunit methyltransferase J	rrmJ
TIGR00439	putative protein insertion permease FtsX	ftsX
TIGR00440	glutamine--tRNA ligase	glnS
TIGR00441	phosphoheptose isomerase	gmhA
TIGR00442	histidine--tRNA ligase	hisS
TIGR00443	ATP phosphoribosyltransferase, regulatory subunit	hisZ
TIGR00444	MazG family protein	
TIGR00445	phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY
TIGR00446	NOL1/NOP2/sun family putative RNA methylase	
TIGR00447	aminoacyl-tRNA hydrolase	pth
TIGR00448	DNA-directed RNA polymerase	rpoE
TIGR00449	tRNA-guanine family transglycosylase	
TIGR00450	tRNA modification GTPase TrmE	trmE
TIGR00451	uncharacterized domain 2	
TIGR00452	tRNA (mo5U34)-methyltransferase	cmoB
TIGR00453	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	ispD
TIGR00454	TIGR00454 family protein	
TIGR00455	adenylyl-sulfate kinase	cysC
TIGR00456	arginine--tRNA ligase	argS
TIGR00457	asparagine--tRNA ligase	asnS
TIGR00458	aspartate--tRNA(Asn) ligase	aspS
TIGR00459	aspartate--tRNA ligase	aspS
TIGR00460	methionyl-tRNA formyltransferase	fmt
TIGR00461	glycine dehydrogenase	gcvP
TIGR00462	EF-P lysine aminoacylase GenX	
TIGR00463	glutamate--tRNA ligase	gltX
TIGR00464	glutamate--tRNA ligase	gltX
TIGR00465	ketol-acid reductoisomerase	ilvC
TIGR00466	3-deoxy-D-manno-octulosonate cytidylyltransferase	kdsB
TIGR00467	lysine--tRNA ligase	lysS
TIGR00468	phenylalanine--tRNA ligase, alpha subunit	pheS
TIGR00469	phenylalanine--tRNA ligase	pheS
TIGR00470	O-phosphoserine--tRNA ligase	sepS
TIGR00471	phenylalanine--tRNA ligase, beta subunit	pheT
TIGR00472	phenylalanine--tRNA ligase, beta subunit	pheT
TIGR00473	CDP-diacylglycerol-serine O-phosphatidyltransferase	pssA
TIGR00474	L-seryl-tRNA(Sec) selenium transferase	selA
TIGR00475	selenocysteine-specific translation elongation factor	selB
TIGR00476	selenide, water dikinase	selD
TIGR00477	tellurite resistance protein TehB	tehB
TIGR00478	TlyA family rRNA methyltransferase/putative hemolysin	
TIGR00479	23S rRNA (uracil-5-)-methyltransferase RumA	rumA
TIGR00481	Raf kinase inhibitor-like protein, YbhB/YbcL family	
TIGR00482	nicotinate (nicotinamide) nucleotide adenylyltransferase	nadD
TIGR00483	translation elongation factor EF-1, subunit alpha	tuf
TIGR00484	translation elongation factor G	fusA
TIGR00485	translation elongation factor Tu	tuf
TIGR00486	dinuclear metal center protein, YbgI/SA1388 family	
TIGR00487	translation initiation factor IF-2	infB
TIGR00488	putative HD superfamily hydrolase	
TIGR00489	translation elongation factor aEF-1 beta	
TIGR00490	translation elongation factor aEF-2	
TIGR00491	translation initiation factor aIF-2	infB
TIGR00492	alanine racemase	alr
TIGR00493	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP	clpP
TIGR00494	protein CrcB	crcB
TIGR00495	DNA-binding protein, 42 kDa	
TIGR00496	ribosome recycling factor	frr
TIGR00497	type I restriction-modification system, M subunit	hsdM
TIGR00498	repressor LexA	lexA
TIGR00499	lysine--tRNA ligase	lysS
TIGR00500	methionine aminopeptidase, type I	map
TIGR00501	methionine aminopeptidase, type II	map
TIGR00502	glucosamine-6-phosphate deaminase	nagB
TIGR00503	peptide chain release factor 3	prfC
TIGR00504	pyroglutamyl-peptidase I	pcp
TIGR00505	GTP cyclohydrolase II	ribA
TIGR00506	3,4-dihydroxy-2-butanone-4-phosphate synthase	ribB
TIGR00507	shikimate dehydrogenase	aroE
TIGR00508	adenosylmethionine-8-amino-7-oxononanoate transaminase	bioA
TIGR00509	molybdopterin guanine dinucleotide-containing S/N-oxide reductases	
TIGR00510	lipoyl synthase	lipA
TIGR00511	ribose-1,5-bisphosphate isomerase, e2b2 family	
TIGR00512	S-methyl-5-thioribose-1-phosphate isomerase	mtnA
TIGR00513	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit	accA
TIGR00514	acetyl-CoA carboxylase, biotin carboxylase subunit	accC
TIGR00515	acetyl-CoA carboxylase, carboxyl transferase, beta subunit	accD
TIGR00516	holo-[acyl-carrier-protein] synthase	acpS
TIGR00517	acyl carrier protein	acpP
TIGR00518	alanine dehydrogenase	ald
TIGR00519	L-asparaginase, type I	
TIGR00520	L-asparaginase, type II	
TIGR00521	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase	coaBC
TIGR00522	diphthine synthase	dph5
TIGR00523	translation initiation factor eIF-1A	eif1A
TIGR00524	eIF-2B alpha/beta/delta-related uncharacterized proteins	
TIGR00525	dihydroneopterin aldolase	folB
TIGR00526	FolB domain	
TIGR00527	glycine cleavage system H protein	gcvH
TIGR00528	glycine cleavage system T protein	gcvT
TIGR00529	integral membrane protein, TIGR00529 family	
TIGR00530	1-acylglycerol-3-phosphate O-acyltransferases	
TIGR00531	acetyl-CoA carboxylase, biotin carboxyl carrier protein	accB
TIGR00532	hydroxymethylglutaryl-CoA reductase, degradative	
TIGR00533	hydroxymethylglutaryl-CoA reductase (NADPH)	hmgA
TIGR00534	glucose-6-phosphate dehydrogenase assembly protein OpcA	opcA
TIGR00535	S-adenosylmethionine decarboxylase proenzyme	
TIGR00536	methyltransferase, HemK family	
TIGR00537	putative methylase	
TIGR00538	oxygen-independent coproporphyrinogen III oxidase	hemN
TIGR00539	putative oxygen-independent coproporphyrinogen III oxidase	
TIGR00540	heme biosynthesis-associated TPR protein	hemY
