	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
NC_008617_NC_008617_16	NC_008617	NC_008617	16	7831	8091	1	D										Protein of unknown function (DUF1108) [PF06531.14]	0
NC_008617_NC_008617_17	NC_008617	NC_008617	17	8100	8363	1	E											0
NC_008617_NC_008617_18	NC_008617	NC_008617	18	8372	10315	1	D										AAA domain [PF13514.9]; AAA domain [PF13476.9]; RecF/RecN/SMC N terminal domain [PF02463.22]; AAA ATPase domain [PF13175.9]	0
NC_008617_NC_008617_19	NC_008617	NC_008617	19	10317	11237	1	C	K07455	recombination protein RecT								RecT family [PF03837.17]	0
NC_008617_NC_008617_20	NC_008617	NC_008617	20	11450	11935	1	E											0
NC_008617_NC_008617_21	NC_008617	NC_008617	21	11936	12406	1	C	K03111	single-strand DNA-binding protein								Single-strand binding protein family [PF00436.28]	0
NC_008617_NC_008617_22	NC_008617	NC_008617	22	12436	13320	1	D										Replication initiation and membrane attachment [PF07261.14]	0
NC_008617_NC_008617_23	NC_008617	NC_008617	23	13327	13545	1	E											0
NC_008617_NC_008617_24	NC_008617	NC_008617	24	13554	13958	1	C	K01160	crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10]								Endodeoxyribonuclease RusA [PF05866.14]	0
NC_008617_NC_008617_25	NC_008617	NC_008617	25	13971	14333	1	D										PVL ORF-50-like family [PF07768.14]	0
NC_008617_NC_008617_26	NC_008617	NC_008617	26	14344	14586	1	D										Phage Conserved Open Reading Frame 51 [PF06194.14]	0
NC_008617_NC_008617_27	NC_008617	NC_008617	27	14598	14765	1	E											0
NC_008617_NC_008617_28	NC_008617	NC_008617	28	14758	15009	1	D										Protein of unknown function (DUF1024) [PF06260.15]	0
NC_008617_NC_008617_29	NC_008617	NC_008617	29	14999	15181	1	E											0
NC_008617_NC_008617_30	NC_008617	NC_008617	30	15174	15716	1	C	K01520	dUTP diphosphatase [EC:3.6.1.23]								dUTPase [PF00692.22]	0
NC_008617_NC_008617_31	NC_008617	NC_008617	31	15753	15959	1	D										Protein of unknown function (DUF1381) [PF07129.14]	0
NC_008617_NC_008617_32	NC_008617	NC_008617	32	15956	16342	1	D										Protein of unknown function (DUF1523) [PF07509.14]	0
NC_008617_NC_008617_33	NC_008617	NC_008617	33	16339	16488	1	D										Transcriptional activator RinB [PF06116.15]	0
NC_008617_NC_008617_34	NC_008617	NC_008617	34	16488	16688	1	D										Protein of unknown function (DUF1514) [PF07438.14]	0
NC_008617_NC_008617_35	NC_008617	NC_008617	35	16716	17132	1	E											0
NC_008617_NC_008617_36	NC_008617	NC_008617	36	17364	17663	1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]								HNH endonuclease [PF01844.26]	1
NC_008617_NC_008617_37	NC_008617	NC_008617	37	17793	18137	1	E											0
NC_008617_NC_008617_38	NC_008617	NC_008617	38	18134	19795	1	D										Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]	0
NC_008617_NC_008617_39	NC_008617	NC_008617	39	19811	20998	1	D										Phage portal protein [PF04860.15]	0
NC_008617_NC_008617_40	NC_008617	NC_008617	40	20976	21719	1	C	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	MER0398857	S14	MER0398857 - family S14 non-peptidase homologues () [S14.UNW]#S14#{peptidase unit: 31-168}~source NP_835555~	False	0.916	267.0	3.1300000000000003e-79	Clp protease [PF00574.26]; Serine dehydrogenase proteinase [PF01972.19]	0
NC_008617_NC_008617_41	NC_008617	NC_008617	41	21743	22888	1	D										Phage capsid family [PF05065.16]	0
NC_008617_NC_008617_42	NC_008617	NC_008617	42	22908	23192	1	E											0
NC_008617_NC_008617_43	NC_008617	NC_008617	43	23170	23466	1	E											0
NC_008617_NC_008617_44	NC_008617	NC_008617	44	23450	23812	1	E											0
NC_008617_NC_008617_45	NC_008617	NC_008617	45	23809	24213	1	E											0
NC_008617_NC_008617_46	NC_008617	NC_008617	46	24210	24617	1	E											0
NC_008617_NC_008617_47	NC_008617	NC_008617	47	24618	25262	1	D										Phage tail tube protein [PF04630.15]	0
NC_008617_NC_008617_48	NC_008617	NC_008617	48	25578	25928	1	E											0
NC_008617_NC_008617_49	NC_008617	NC_008617	49	25979	26116	1	E											0
NC_008617_NC_008617_50	NC_008617	NC_008617	50	26173	30702	1	D			MER0045709	M23B	MER0045709 - subfamily M23B unassigned peptidases () [M23.UPB]#M23B#{peptidase unit: 1066-1250}~source AAR87873~	True	1.0	394.0	3.315000000000001e-109	Peptidase family M23 [PF01551.25]	0
NC_008617_NC_008617_51	NC_008617	NC_008617	51	30699	32183	1	D										Phage tail protein [PF05709.14]	0
NC_008617_NC_008617_52	NC_008617	NC_008617	52	32199	35984	1	D										Prophage endopeptidase tail [PF06605.14]	0
NC_008617_NC_008617_53	NC_008617	NC_008617	53	35974	36126	1	E											0
NC_008617_NC_008617_54	NC_008617	NC_008617	54	36173	36460	1	E											0
NC_008617_NC_008617_55	NC_008617	NC_008617	55	36516	36890	1	E											0
NC_008617_NC_008617_56	NC_008617	NC_008617	56	37311	38084	1	C	K11040	staphylococcal enterotoxin								Staphylococcal/Streptococcal toxin, beta-grasp domain [PF02876.20]; Staphylococcal/Streptococcal toxin, OB-fold domain [PF01123.23]	0
NC_008617_NC_008617_57	NC_008617	NC_008617	57	38581	38835	1	D										Bacteriophage holin [PF04531.16]	0
NC_008617_NC_008617_58	NC_008617	NC_008617	58	38847	39602	1	D			MER0237782	C51	MER0237782 - family C51 unassigned peptidases () [C51.UPW]#C51#{peptidase unit: 1-123}~source ADL66957~	False	1.0	271.0	1.5969999999999999e-80	CHAP domain [PF05257.19]	0
NC_008617_NC_008617_59	NC_008617	NC_008617	59	39793	40284	1	C	K14198	staphylokinase	MER0001782	SPE	MER0001782 - staphylokinase (Staphylococcus aureus) [X46.001]#SPE#{peptidase unit: 28-163}~source SAK_STAAM~	False	0.975	282.0	4.537e-86	Staphylokinase/Streptokinase family [PF02821.19]	0
NC_008617_NC_008617_60	NC_008617	NC_008617	60	40973	41269	1	D										Bacterial SH3 domain [PF08460.13]	0
NC_008617_NC_008617_61	NC_008617	NC_008617	61	41364	41813	-1	D										Chemotaxis-inhibiting protein CHIPS [PF11434.11]	0
NC_008617_NC_008617_62	NC_008617	NC_008617	62	42498	42848	1	C	K14199	staphylococcal complement inhibitor								Staphylococcal complement inhibitor SCIN [PF11546.11]	0
