L1	L2	L3	KO	Function	EC	Count
Defense mechanisms	ABC-type multidrug transport system, permease component		COG0842	YadH:		1
General function prediction only	BioD-like N-terminal domain of phosphotransacetylase		COG0857	PtaN:		1
Cell wall/membrane/envelope biogenesis	UDP-glucose 6-dehydrogenase		COG1004	Ugd:		1
Lipid transport and metabolism	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase		COG1012	AdhE:Proline degradation		1
Energy production and conversion	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit		COG1053	SdhA:TCA cycle		1
Amino acid transport and metabolism	Threonine dehydrogenase or related Zn-dependent dehydrogenase		COG1063	Tdh:Non-phosphorylated Entner-Doudoroff pathway		1
General function prediction only	Threonine dehydrogenase or related Zn-dependent dehydrogenase		COG1063	Tdh:Non-phosphorylated Entner-Doudoroff pathway		1
Carbohydrate transport and metabolism	D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family		COG1064	AdhP:		1
Nucleotide transport and metabolism	ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ		COG1079	NupQ:		1
Carbohydrate transport and metabolism	Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)		COG1080	PtsA:		1
Carbohydrate transport and metabolism	Sugar phosphate isomerase/epimerase		COG1082	YcjR:		1
Cell wall/membrane/envelope biogenesis	dTDP-D-glucose 4,6-dehydratase		COG1088	RfbB:		1
Cell wall/membrane/envelope biogenesis	dTDP-4-dehydrorhamnose reductase		COG1091	RfbD:		1
Carbohydrate transport and metabolism	1-phosphofructokinase or 6-phosphofructokinase II		COG1105	FruK:		1
Carbohydrate transport and metabolism	Phosphomannomutase		COG1109	ManB:		1
Posttranslational modification, protein turnover, chaperones	ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain		COG1123	GsiA:		1
Carbohydrate transport and metabolism	ABC-type sugar transport system, ATPase component		COG1129	MglA:		1
Defense mechanisms	ABC-type multidrug transport system, ATPase component		COG1131	CcmA:		1
Defense mechanisms	ABC-type multidrug transport system, ATPase and permease component		COG1132	MdlB:		1
Carbohydrate transport and metabolism	ABC-type polysaccharide/polyol phosphate transport system, ATPase component		COG1134	TagH:		1
Amino acid transport and metabolism	Threonine deaminase		COG1171	IlvA:Isoleucine, leucine, valine biosynthesis		1
Amino acid transport and metabolism	ABC-type dipeptide/oligopeptide/nickel transport system, permease component		COG1173	DppC:		1
Inorganic ion transport and metabolism	ABC-type dipeptide/oligopeptide/nickel transport system, permease component		COG1173	DppC:		1
Replication, recombination and repair	Transcription-repair coupling factor (superfamily II helicase)		COG1197	Mfd:		1
Transcription	Transcription-repair coupling factor (superfamily II helicase)		COG1197	Mfd:		1
Cell wall/membrane/envelope biogenesis	Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase		COG1207	GlmU:		1
Cell wall/membrane/envelope biogenesis	dTDP-glucose pyrophosphorylase		COG1209	RmlA1:		1
Carbohydrate transport and metabolism	Glycosyltransferase, GT2 family		COG1216	WcaE:		1
Secondary metabolites biosynthesis, transport and catabolism	Imidazolonepropionase or related amidohydrolase		COG1228	HutI:		1
Energy production and conversion	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase		COG1249	Lpd:Glycine cleavagePyruvate oxidation		1
Energy production and conversion	NADH dehydrogenase, FAD-containing subunit		COG1252	Ndh:		1
Cell motility	Flagellar basal body P-ring formation protein FlgA		COG1261	FlgA:		1
Function unknown	Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)		COG1295	BrkB:		1
Cell wall/membrane/envelope biogenesis	Anionic cell wall polymer biosynthesis enzyme TagV/TagU,  LytR-Cps2A-Psr (LCP) family (peptidoglycan teichoic acid transferase)		COG1316	Cps2a:		1
Coenzyme transport and metabolism	Nicotinamidase-related amidase		COG1335	PncA:Pyrimidine degradation		1
General function prediction only	Nicotinamidase-related amidase		COG1335	PncA:Pyrimidine degradation		1
Defense mechanisms	5-methylcytosine-specific restriction endonuclease McrA		COG1403	McrA:		1
General function prediction only	Predicted phosphohydrolase, MPP superfamily		COG1408	YaeI:		1
General function prediction only	HEAT repeat		COG1413	HEAT:		1
Nucleotide transport and metabolism	Thymidine kinase		COG1435	Tdk:Pyrimidine salvage		1
Carbohydrate transport and metabolism	Mannose-6-phosphate isomerase, class I		COG1482	ManA:		1
Function unknown	Uncharacterized conserved protein, DUF501 family		COG1507	:		1
Function unknown	Uncharacterized membrane protein YhgE, phage infection protein (PIP) family		COG1511	YhgE:		1
Translation, ribosomal structure and biogenesis	Protein N-acetyltransferase, RimJ/RimL family		COG1670	RimL:		1
Posttranslational modification, protein turnover, chaperones	Protein N-acetyltransferase, RimJ/RimL family		COG1670	RimL:		1
Carbohydrate transport and metabolism	ABC-type polysaccharide/teichoic acid/polyol phosphate export permease		COG1682	TagG:		1
Cell wall/membrane/envelope biogenesis	Magnetosome formation protein MamQ, lipoprotein antigen LemA family		COG1704	LemA:		1
Signal transduction mechanisms	Lipoprotein Med, regulator of KinD/Spo0A, PBP1-ABC superfamily, includes NupN		COG1744	Med:		1
Function unknown	Uncharacterized C-terminal domain of topoisomerase IA		COG1754	:		1
Carbohydrate transport and metabolism	Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)		COG1762	PtsN:		1
Signal transduction mechanisms	Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)		COG1762	PtsN:		1
Transcription	DNA-binding transcriptional regulator, GntR family		COG1802	GntR:		1
Nucleotide transport and metabolism	Adenosine deaminase		COG1816	Add:Menaquinone biosynthesis		1
Translation, ribosomal structure and biogenesis	Ribosomal protein L25 (general stress protein Ctc)		COG1825	RplY:Ribosome 50S subunit		1
Cell wall/membrane/envelope biogenesis	Peptidoglycan/LPS O-acetylase OafA/YrhL, contains acyltransferase and SGNH-hydrolase domains		COG1835	OafA:		1
Transcription	DNA-binding transcriptional regulator, MarR family		COG1846	MarR:		1
Carbohydrate transport and metabolism	Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain		COG1940	NagC:		1
Transcription	Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain		COG1940	NagC:		1
Transcription	DNA-binding transcriptional regulator, IscR family		COG1959	IscR:		1
Coenzyme transport and metabolism	Pyrimidine reductase, riboflavin biosynthesis		COG1985	RibD:Riboflavin/FAD biosynthesis		1
Energy production and conversion	Succinate dehydrogenase/fumarate reductase, cytochrome b subunit		COG2009	SdhC:		1
Extracellular structures	Flp pilus assembly protein TadC		COG2064	TadC:		1
General function prediction only	NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family		COG2070	YrpB:		1
Posttranslational modification, protein turnover, chaperones	Peroxiredoxin		COG2077	Tpx:		1
Lipid transport and metabolism	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase		COG2084	MmsB:		1
Carbohydrate transport and metabolism	N-acetylglucosaminyl deacetylase, LmbE family		COG2120	LmbE:		1
Coenzyme transport and metabolism	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)		COG2141	SsuD:Pyrimidine degradation		1
General function prediction only	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)		COG2141	SsuD:Pyrimidine degradation		1
Energy production and conversion	Succinate dehydrogenase, hydrophobic anchor subunit		COG2142	SdhD:		1
Inorganic ion transport and metabolism	K+ transport ATPase, ATPase subunit KdpB		COG2216	KdpB:		1
Cell wall/membrane/envelope biogenesis	Membrane protein involved in the export of O-antigen and teichoic acid		COG2244	RfbX:		1
Cell wall/membrane/envelope biogenesis	Putative cell wall-binding domain (amidase enhancer), LytB superfamily		COG2247	LytB:		1
Translation, ribosomal structure and biogenesis	tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family		COG2265	TrmA:tRNA modification		1
Lipid transport and metabolism	Lysophospholipase, alpha-beta hydrolase superfamily		COG2267	PldB:		1
Carbohydrate transport and metabolism	Sugar phosphate permease		COG2271	UhpC:		1
Secondary metabolites biosynthesis, transport and catabolism	Bacillithiol/mycothiol S-transferase BstA/DinB, DinB/YfiT family (unrelated to E. coli DinB)		COG2318	DinB:		1
Signal transduction mechanisms	Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist		COG2334	SrkA:Threonine biosynthesis		1
General function prediction only	Predicted lipid transporter YdfJ, MMPL/SSD domain, RND superfamily		COG2409	YdfJ:		1
Function unknown	Uncharacterized conserved protein, DUF2304 domain		COG2456	:		1
Secondary metabolites biosynthesis, transport and catabolism	Catechol-2,3-dioxygenase		COG2514	CatE:		1
Carbohydrate transport and metabolism	H+/gluconate symporter GntT or related permease, GntP/DsdX family		COG2610	GntT:		1
Transcription	DNA-binding transcriptional regulator, CsgD family		COG2771	CsgD:		1
Mobilome: prophages, transposons	Transposase InsO and inactivated derivatives		COG2801	Tra5:		1
Replication, recombination and repair	DNA polymerase III, gamma/tau subunits		COG2812	DnaX:		1
Cell cycle control, cell division, chromosome partitioning	Cell division protein FtsB		COG2919	FtsB:		1
Mobilome: prophages, transposons	Transposase InsE and inactivated derivatives		COG2963	InsE:		1
Replication, recombination and repair	DNA glycosylase YcaQ, repair of DNA interstrand crosslinks		COG3214	YcaQ:		1
Transcription	DNA-binding transcriptional regulator YbjK		COG3226	YbjK:		1
Carbohydrate transport and metabolism	Gluconate kinase		COG3265	GntK:Non-phosphorylated Entner-Doudoroff pathway		1
Cell wall/membrane/envelope biogenesis	O-antigen ligase		COG3307	RfaL:		1
Transcription	DNA-binding transcriptional regulator AlpA		COG3311	AlpA:		1
Mobilome: prophages, transposons	DNA-binding transcriptional regulator AlpA		COG3311	AlpA:		1
General function prediction only	Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family		COG3324	VOC:		1
Function unknown	Uncharacterized membrane protein YdbT, contains bPH2 (bacterial pleckstrin homology) domain		COG3428	YdbT:		1
Replication, recombination and repair	DNA topoisomerase IB		COG3569	Top1:		1
General function prediction only	Predicted GTPase		COG3596	YeeP:		1
Amino acid transport and metabolism	D-serine deaminase, pyridoxal phosphate-dependent		COG3616	Dsd1:		1
Transcription	Alkylated DNA nucleotide flippase Atl1, participates in nucleotide excision repair, Ada-like DNA-binding domain		COG3695	Atl1:		1
Signal transduction mechanisms	Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain		COG3706	PleD:		1
Transcription	Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain		COG3706	PleD:		1
Cell wall/membrane/envelope biogenesis	Lipopolysaccharide biosynthesis protein		COG3754	RgpF:		1
Function unknown	Uncharacterized membrane protein		COG3759	:		1
Lipid transport and metabolism	Chalcone/flavanone-binding protein YndB, AHSA1/START/SRPBCC domain		COG3832	YndB:		1
Carbohydrate transport and metabolism	2-keto-3-deoxy-L-rhamnonate aldolase RhmA		COG3836	HpcH:		1
Nucleotide transport and metabolism	ABC-type guanosine uptake system NupNOPQ, ATPase component NupO		COG3845	NupO:		1
Signal transduction mechanisms	Two-component sensor histidine kinase, HisKA and HATPase domains		COG3920	:		1
General function prediction only	Uncharacterized conserved protein YabN, contains tetrapyrrole methylase and MazG-like pyrophosphatase domain		COG3956	YabN:		1
Carbohydrate transport and metabolism	Phosphoketolase		COG3957	XFP:		1
Secondary metabolites biosynthesis, transport and catabolism	2-keto-4-pentenoate hydratase		COG3971	MhpD:		1
Defense mechanisms	Antitoxin component of toxin-antitoxin stability system, DNA-binding transcriptional repressor		COG4118	Phd:		1
Carbohydrate transport and metabolism	ABC-type xylose transport system, periplasmic component		COG4213	XylF:		1
Carbohydrate transport and metabolism	ABC-type xylose transport system, permease component		COG4214	XylH:		1
Energy production and conversion	NADP-dependent 3-hydroxy acid dehydrogenase YdfG		COG4221	YdfG:Pyrimidine degradation		1
Signal transduction mechanisms	Bacteriophytochrome (light-regulated signal transduction histidine kinase)		COG4251	:		1
Function unknown	Uncharacterized membrane protein		COG4270	:		1
Function unknown	Uncharacterized conserved protein, DUF2332 domain		COG4427	:		1
Function unknown	Uncharacterized conserved protein YcnI, contains cohesin/reeler-like domain		COG4549	YcnI:		1
Nucleotide transport and metabolism	ABC-type guanosine uptake system NupNOPQ, permease component NupP		COG4603	NupP:		1
Cell cycle control, cell division, chromosome partitioning	Spore maturation protein CgeB		COG4641	:		1
Function unknown	Uncharacterized conserved protein YaeQ, suppresses RfaH defect		COG4681	YaeQ:		1
Lipid transport and metabolism	Acetyl/propionyl-CoA carboxylase, alpha subunit		COG4770	PccA:		1
Lipid transport and metabolism	Acetyl-CoA carboxylase, carboxyltransferase component		COG4799	MmdA:		1
Posttranslational modification, protein turnover, chaperones	Regulatory P domain of the subtilisin-like proprotein convertases and other proteases		COG4935	:		1
Intracellular trafficking, secretion, and vesicular transport	Pilus assembly protein, ATPase of CpaF family		COG4962	CpaF:		1
Extracellular structures	Pilus assembly protein, ATPase of CpaF family		COG4962	CpaF:		1
Intracellular trafficking, secretion, and vesicular transport	Flp pilus assembly ATPase CpaE/TadZ, contains N-terminal REC/TadZ_N domain		COG4963	CpaE:		1
Extracellular structures	Flp pilus assembly ATPase CpaE/TadZ, contains N-terminal REC/TadZ_N domain		COG4963	CpaE:		1
Intracellular trafficking, secretion, and vesicular transport	Flp pilus assembly protein TadB		COG4965	TadB:		1
Extracellular structures	Flp pilus assembly protein TadB		COG4965	TadB:		1
Replication, recombination and repair	Site-specific recombinase XerC		COG4973	XerC:		1
Signal transduction mechanisms	Sensor histidine kinase WalK		COG5002	WalK:		1
Energy production and conversion	Cytochrome b involved in lipid metabolism		COG5274	CYB5:		1
Lipid transport and metabolism	Cytochrome b involved in lipid metabolism		COG5274	CYB5:		1
General function prediction only	Predicted protein tyrosine phosphatase		COG5350	:		1
Mobilome: prophages, transposons	Phage-related protein, predicted endonuclease		COG5377	:		1
Cell cycle control, cell division, chromosome partitioning	Uncharacterized sporulation protein YqfX, contains DUF308 domain		COG5921	YqfX:		1
