L1	L2	L3	L4	ID	Function	EC
01_Fermentation	Bifidobacterium shunt			K13830	ARO1; pentafunctional AROM polypeptide	4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19
01_Fermentation	Bifidobacterium shunt			K01776	murI; glutamate racemase	5.1.1.3
01_Fermentation	Bifidobacterium shunt			K13831	hps-phi; 3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase	4.1.2.43 5.3.1.27
01_Fermentation	Bifidobacterium shunt			K01808	rpiB; ribose 5-phosphate isomerase B	5.3.1.6
01_Fermentation	Bifidobacterium shunt			K07514	EHHADH; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase	4.2.1.17 1.1.1.35 5.3.3.8
01_Fermentation	Bifidobacterium shunt			K01805	xylA; xylose isomerase	5.3.1.5
01_Fermentation	Bifidobacterium shunt			K01825	fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase	1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8
01_Fermentation	Acetylene degradation			K00001	E1.1.1.1, adh; alcohol dehydrogenase	1.1.1.1
01_Fermentation	Acetylene degradation			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1
01_Fermentation	Acetylene degradation			K04072	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase	1.2.1.10 1.1.1.1
01_Fermentation	Acetylene degradation			K11440	gbsB; choline dehydrogenase	1.1.1.1
01_Fermentation	Acetylene degradation			K13951	ADH1_7; alcohol dehydrogenase 1/7	1.1.1.1
01_Fermentation	Acetylene degradation			K13952	ADH6; alcohol dehydrogenase 6	1.1.1.1
01_Fermentation	Acetylene degradation			K13953	adhP; alcohol dehydrogenase, propanol-preferring	1.1.1.1
01_Fermentation	Acetylene degradation			K13954	yiaY; alcohol dehydrogenase	1.1.1.1
01_Fermentation	Acetylene degradation			K13980	ADH4; alcohol dehydrogenase 4	1.1.1.1
01_Fermentation	Acetylene degradation			K04073	mhpF; acetaldehyde dehydrogenase	1.2.1.10
01_Fermentation	Acetylene degradation			K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10
01_Fermentation	Acetylene degradation			K00640	cysE; serine O-acetyltransferase	2.3.1.30
01_Fermentation	Acetylene degradation			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K00109	L2HGDH; 2-hydroxyglutarate dehydrogenase	1.1.99.2
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K00232	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase	1.3.3.6
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K03340	dapdh; diaminopimelate dehydrogenase	1.4.1.16
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01039	gctA; glutaconate CoA-transferase, subunit A	2.8.3.12
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K14472	smtB; succinyl-CoA:(S)-malate CoA-transferase subunit B	2.8.3.22
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01040	gctB; glutaconate CoA-transferase, subunit B	2.8.3.12
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01026	pct; propionate CoA-transferase	2.8.3.1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13497	trpGD; anthranilate synthase/phosphoribosyltransferase	4.1.3.27 2.4.2.18
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13501	TRP1; anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase	4.1.3.27 4.1.1.48 5.3.1.24
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13503	trpEG; anthranilate synthase	4.1.3.27
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase	4.2.1.59
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K05554	actVII; aromatase	4.2.1.-
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K07534	badK; cyclohex-1-ene-1-carboxyl-CoA hydratase	4.2.1.-
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K07546	bbsH; E-phenylitaconyl-CoA hydratase	4.2.1.-
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K08299	caiD; crotonobetainyl-CoA hydratase	4.2.1.149
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K09483	quiC; 3-dehydroshikimate dehydratase	4.2.1.118
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K10703	HACD, PHS1, PAS2; very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase	4.2.1.134
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K11336	bchF; 3-vinyl bacteriochlorophyllide hydratase	4.2.1.165
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K04072	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase	1.2.1.10 1.1.1.1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K11440	gbsB; choline dehydrogenase	1.1.1.1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13951	ADH1_7; alcohol dehydrogenase 1/7	1.1.1.1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13952	ADH6; alcohol dehydrogenase 6	1.1.1.1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13953	adhP; alcohol dehydrogenase, propanol-preferring	1.1.1.1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13954	yiaY; alcohol dehydrogenase	1.1.1.1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13980	ADH4; alcohol dehydrogenase 4	1.1.1.1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K03778	ldhA; D-lactate dehydrogenase	1.1.1.28
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01610	E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP)	4.1.1.49
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01658	trpG; anthranilate synthase component II	4.1.3.27
01_Fermentation	Heterolactic fermentation			K00001	E1.1.1.1, adh; alcohol dehydrogenase	1.1.1.1
01_Fermentation	Heterolactic fermentation			K03778	ldhA; D-lactate dehydrogenase	1.1.1.28
01_Fermentation	Heterolactic fermentation			K04073	mhpF; acetaldehyde dehydrogenase	1.2.1.10
01_Fermentation	Heterolactic fermentation			K04072	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase	1.2.1.10 1.1.1.1
01_Fermentation	Heterolactic fermentation			K08074	ADPGK; ADP-dependent glucokinase	2.7.1.147
01_Fermentation	Heterolactic fermentation			K02203	thrH; phosphoserine / homoserine phosphotransferase	3.1.3.3 2.7.1.39
01_Fermentation	Heterolactic fermentation			K14075	PNLIPRP2, PLRP2; pancreatic lipase-related protein 2	3.1.1.3
01_Fermentation	Heterolactic fermentation			K01807	rpiA; ribose 5-phosphate isomerase A	5.3.1.6
01_Fermentation	Heterolactic fermentation			K07514	EHHADH; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase	4.2.1.17 1.1.1.35 5.3.3.8
01_Fermentation	Heterolactic fermentation			K14076	PNLIPRP3, PLRP3; pancreatic lipase-related protein 3	3.1.1.3
01_Fermentation	Heterolactic fermentation			K01808	rpiB; ribose 5-phosphate isomerase B	5.3.1.6
01_Fermentation	Heterolactic fermentation			K10705	GAPDHS; glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	1.2.1.12
01_Fermentation	Heterolactic fermentation			K00016	LDH, ldh; L-lactate dehydrogenase	1.1.1.27
01_Fermentation	Heterolactic fermentation			K03777	dld; D-lactate dehydrogenase (quinone)	1.1.5.12
01_Fermentation	Heterolactic fermentation			K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343
01_Fermentation	Heterolactic fermentation			K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363
01_Fermentation	Heterolactic fermentation			K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10
01_Fermentation	Heterolactic fermentation			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12
01_Fermentation	Heterolactic fermentation			K00640	cysE; serine O-acetyltransferase	2.3.1.30
01_Fermentation	Heterolactic fermentation			K00918	pfkC; ADP-dependent phosphofructokinase/glucokinase	2.7.1.146 2.7.1.147
01_Fermentation	Heterolactic fermentation			K00865	glxK, garK; glycerate 2-kinase	2.7.1.165
01_Fermentation	Heterolactic fermentation			K00872	thrB; homoserine kinase	2.7.1.39
01_Fermentation	Heterolactic fermentation			K05715	2PGK; 2-phosphoglycerate kinase	2.7.2.16
01_Fermentation	Heterolactic fermentation			K14074	PNLIPRP1, PLRP1; pancreatic lipase-related protein 1	3.1.1.3
01_Fermentation	Heterolactic fermentation			K08302	gatY-kbaY; tagatose 1,6-diphosphate aldolase GatY/KbaY	4.1.2.40
01_Fermentation	Heterolactic fermentation			K13830	ARO1; pentafunctional AROM polypeptide	4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19
01_Fermentation	Heterolactic fermentation			K01776	murI; glutamate racemase	5.1.1.3
01_Fermentation	Heterolactic fermentation			K01805	xylA; xylose isomerase	5.3.1.5
01_Fermentation	Heterolactic fermentation			K01825	fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase	1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8
01_Fermentation	Heterolactic fermentation			K00232	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase	1.3.3.6
01_Fermentation	Lysine fermentation to acetate and butyrate			K00640	cysE; serine O-acetyltransferase	2.3.1.30
01_Fermentation	Lysine fermentation to acetate and butyrate			K00625	E2.3.1.8, pta; phosphate acetyltransferase	2.3.1.8
01_Fermentation	Lysine fermentation to acetate and butyrate			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3
01_Fermentation	Lysine fermentation to acetate and butyrate			K01039	gctA; glutaconate CoA-transferase, subunit A	2.8.3.12
01_Fermentation	Lysine fermentation to acetate and butyrate			K03431	glmM; phosphoglucosamine mutase	5.4.2.10
01_Fermentation	Lysine fermentation to acetate and butyrate			K01835	pgm; phosphoglucomutase	5.4.2.2
01_Fermentation	Lysine fermentation to acetate and butyrate			K00001	E1.1.1.1, adh; alcohol dehydrogenase	1.1.1.1
01_Fermentation	Mixed acid fermentation			K03777	dld; D-lactate dehydrogenase (quinone)	1.1.5.12
01_Fermentation	Mixed acid fermentation			K00024	mdh; malate dehydrogenase	1.1.1.37
01_Fermentation	Mixed acid fermentation			K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1
01_Fermentation	Mixed acid fermentation			K03778	ldhA; D-lactate dehydrogenase	1.1.1.28
01_Fermentation	Mixed acid fermentation			K00025	MDH1; malate dehydrogenase	1.1.1.37
01_Fermentation	Mixed acid fermentation			K00026	MDH2; malate dehydrogenase	1.1.1.37
01_Fermentation	Mixed acid fermentation			K11440	gbsB; choline dehydrogenase	1.1.1.1
01_Fermentation	Mixed acid fermentation			K13951	ADH1_7; alcohol dehydrogenase 1/7	1.1.1.1
01_Fermentation	Mixed acid fermentation			K13952	ADH6; alcohol dehydrogenase 6	1.1.1.1
01_Fermentation	Mixed acid fermentation			K13953	adhP; alcohol dehydrogenase, propanol-preferring	1.1.1.1
01_Fermentation	Mixed acid fermentation			K13954	yiaY; alcohol dehydrogenase	1.1.1.1
01_Fermentation	Mixed acid fermentation			K13980	ADH4; alcohol dehydrogenase 4	1.1.1.1
01_Fermentation	Mixed acid fermentation			K00031	IDH1, IDH2, icd; isocitrate dehydrogenase	1.1.1.42
01_Fermentation	Mixed acid fermentation			K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10
01_Fermentation	Mixed acid fermentation			K04072	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase	1.2.1.10 1.1.1.1
01_Fermentation	Mixed acid fermentation			K04073	mhpF; acetaldehyde dehydrogenase	1.2.1.10
01_Fermentation	Mixed acid fermentation			K02203	thrH; phosphoserine / homoserine phosphotransferase	3.1.3.3 2.7.1.39
01_Fermentation	Mixed acid fermentation			K02472	wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	1.1.1.336
01_Fermentation	Mixed acid fermentation			K02474	wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase	1.1.1.136 1.1.1.-
01_Fermentation	Mixed acid fermentation			K05556	actVI1, RED1; ketoreductase RED1	1.1.1.-
01_Fermentation	Mixed acid fermentation			K06607	iolS; myo-inositol catabolism protein IolS	1.1.1.-
01_Fermentation	Mixed acid fermentation			K07535	badH; 2-hydroxycyclohexanecarboxyl-CoA dehydrogenase	1.1.1.-
01_Fermentation	Mixed acid fermentation			K07538	had; 6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase	1.1.1.368
01_Fermentation	Mixed acid fermentation			K08322	rspB; L-gulonate 5-dehydrogenase	1.1.1.380
01_Fermentation	Mixed acid fermentation			K10251	HSD17B12, KAR, IFA38; 17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase	1.1.1.62 1.1.1.330
01_Fermentation	Mixed acid fermentation			K10978	aksF; methanogen homoisocitrate dehydrogenase	1.1.1.87 1.1.1.-
01_Fermentation	Mixed acid fermentation			K11150	RDH8; retinol dehydrogenase 8	1.1.1.-
01_Fermentation	Mixed acid fermentation			K11151	RDH10; retinol dehydrogenase 10	1.1.1.-
01_Fermentation	Mixed acid fermentation			K11152	RDH11; retinol dehydrogenase 11	1.1.1.300
01_Fermentation	Mixed acid fermentation			K11153	RDH12; retinol dehydrogenase 12	1.1.1.300
01_Fermentation	Mixed acid fermentation			K11154	RDH16; retinol dehydrogenase 16	1.1.1.-
01_Fermentation	Mixed acid fermentation			K11161	RDH13; retinol dehydrogenase 13	1.1.1.300
01_Fermentation	Mixed acid fermentation			K11162	RDH14; retinol dehydrogenase 14	1.1.1.-
01_Fermentation	Mixed acid fermentation			K11539	CBR4; carbonyl reductase 4 / 3-oxoacyl-[acyl-carrier protein] reductase beta subunit	1.1.1.-
01_Fermentation	Mixed acid fermentation			K12420	actIII, oxyJ, snoaD, aknA; ketoreductase	1.1.1.-
01_Fermentation	Mixed acid fermentation			K12451	UER1; 3,5-epimerase/4-reductase	5.1.3.- 1.1.1.-
01_Fermentation	Mixed acid fermentation			K13015	wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase	1.1.1.136
01_Fermentation	Mixed acid fermentation			K13016	wbpB; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase	1.1.1.335
01_Fermentation	Mixed acid fermentation			K13020	wlbA, bplA; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase	1.1.1.335
01_Fermentation	Mixed acid fermentation			K13548	neoA, kanK; 2-deoxy-scyllo-inosamine dehydrogenase	1.1.1.329
01_Fermentation	Mixed acid fermentation			K13574	hcxB; hydroxycarboxylate dehydrogenase B	1.1.1.237 1.1.1.-
01_Fermentation	Mixed acid fermentation			K14248		
01_Fermentation	Mixed acid fermentation			K14465	K14465; succinate semialdehyde reductase (NADPH)	1.1.1.-
01_Fermentation	Mixed acid fermentation			K14633	gra6, RED2; ketoreductase RED2	1.1.1.-
01_Fermentation	Mixed acid fermentation			K13767	fadB; enoyl-CoA hydratase	4.2.1.17
01_Fermentation	Mixed acid fermentation			K06001	trpB; tryptophan synthase beta chain	4.2.1.20
01_Fermentation	Mixed acid fermentation			K06001	trpB; tryptophan synthase beta chain	4.2.1.20
01_Fermentation	Mixed acid fermentation			K01089	hisB; imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase	4.2.1.19 3.1.3.15
01_Fermentation	Mixed acid fermentation			K01693	hisB; imidazoleglycerol-phosphate dehydratase	4.2.1.19
01_Fermentation	Mixed acid fermentation			K00634	ptb; phosphate butyryltransferase	2.3.1.19
01_Fermentation	Mixed acid fermentation			K00640	cysE; serine O-acetyltransferase	2.3.1.30
01_Fermentation	Mixed acid fermentation			K00872	thrB; homoserine kinase	2.7.1.39
01_Fermentation	Mixed acid fermentation			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3
01_Fermentation	Mixed acid fermentation			K01593	DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase	4.1.1.28 4.1.1.105
01_Fermentation	Mixed acid fermentation			K10527	MFP2; enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase	4.2.1.17 1.1.1.35 1.1.1.211
01_Fermentation	Mixed acid fermentation			K01696	trpB; tryptophan synthase beta chain	4.2.1.20
01_Fermentation	Mixed acid fermentation			K01696	trpB; tryptophan synthase beta chain	4.2.1.20
01_Fermentation	Mixed acid fermentation			K00061	RDH5; 11-cis-retinol dehydrogenase	1.1.1.315
01_Fermentation	Pyruvate fermentation to butanol			K00061	RDH5; 11-cis-retinol dehydrogenase	1.1.1.315
01_Fermentation	Pyruvate fermentation to butanol			K02472	wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	1.1.1.336
01_Fermentation	Pyruvate fermentation to butanol			K02474	wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase	1.1.1.136 1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K05556	actVI1, RED1; ketoreductase RED1	1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K06607	iolS; myo-inositol catabolism protein IolS	1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K07535	badH; 2-hydroxycyclohexanecarboxyl-CoA dehydrogenase	1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K07538	had; 6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase	1.1.1.368
01_Fermentation	Pyruvate fermentation to butanol			K08322	rspB; L-gulonate 5-dehydrogenase	1.1.1.380
01_Fermentation	Pyruvate fermentation to butanol			K10251	HSD17B12, KAR, IFA38; 17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase	1.1.1.62 1.1.1.330
01_Fermentation	Pyruvate fermentation to butanol			K10978	aksF; methanogen homoisocitrate dehydrogenase	1.1.1.87 1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K11150	RDH8; retinol dehydrogenase 8	1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K11151	RDH10; retinol dehydrogenase 10	1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K11152	RDH11; retinol dehydrogenase 11	1.1.1.300
01_Fermentation	Pyruvate fermentation to butanol			K11153	RDH12; retinol dehydrogenase 12	1.1.1.300
01_Fermentation	Pyruvate fermentation to butanol			K11154	RDH16; retinol dehydrogenase 16	1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K11161	RDH13; retinol dehydrogenase 13	1.1.1.300
01_Fermentation	Pyruvate fermentation to butanol			K11162	RDH14; retinol dehydrogenase 14	1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K11539	CBR4; carbonyl reductase 4 / 3-oxoacyl-[acyl-carrier protein] reductase beta subunit	1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K12420	actIII, oxyJ, snoaD, aknA; ketoreductase	1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K12451	UER1; 3,5-epimerase/4-reductase	5.1.3.- 1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K13015	wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase	1.1.1.136
01_Fermentation	Pyruvate fermentation to butanol			K13016	wbpB; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase	1.1.1.335
01_Fermentation	Pyruvate fermentation to butanol			K13020	wlbA, bplA; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase	1.1.1.335
01_Fermentation	Pyruvate fermentation to butanol			K13548	neoA, kanK; 2-deoxy-scyllo-inosamine dehydrogenase	1.1.1.329
01_Fermentation	Pyruvate fermentation to butanol			K13574	hcxB; hydroxycarboxylate dehydrogenase B	1.1.1.237 1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K14248		
01_Fermentation	Pyruvate fermentation to butanol			K14465	K14465; succinate semialdehyde reductase (NADPH)	1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K14633	gra6, RED2; ketoreductase RED2	1.1.1.-
01_Fermentation	Pyruvate fermentation to butanol			K01782	fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase	1.1.1.35 4.2.1.17 5.1.2.3
01_Fermentation	Pyruvate fermentation to butanol			K01825	fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase	1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8
01_Fermentation	Pyruvate fermentation to butanol			K07514	EHHADH; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase	4.2.1.17 1.1.1.35 5.3.3.8
01_Fermentation	Pyruvate fermentation to butanol			K07516	fadN; 3-hydroxyacyl-CoA dehydrogenase	1.1.1.35
01_Fermentation	Pyruvate fermentation to butanol			K07547	bbsC; 2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase BbsC subunit	1.1.1.35
01_Fermentation	Pyruvate fermentation to butanol			K07548	bbsD; 2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase BbsD subunit	1.1.1.35
01_Fermentation	Pyruvate fermentation to butanol			K08683	HSD17B10; 3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase	1.1.1.35 1.1.1.178
01_Fermentation	Pyruvate fermentation to butanol			K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit	1.2.7.1
01_Fermentation	Pyruvate fermentation to butanol			K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit	1.2.7.1
01_Fermentation	Pyruvate fermentation to butanol			K08074	ADPGK; ADP-dependent glucokinase	2.7.1.147
01_Fermentation	Pyruvate fermentation to butanol			K13497	trpGD; anthranilate synthase/phosphoribosyltransferase	4.1.3.27 2.4.2.18
01_Fermentation	Pyruvate fermentation to butanol			K13501	TRP1; anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase	4.1.3.27 4.1.1.48 5.3.1.24
01_Fermentation	Pyruvate fermentation to butanol			K13503	trpEG; anthranilate synthase	4.1.3.27
01_Fermentation	Pyruvate fermentation to butanol			K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase	4.2.1.59
01_Fermentation	Pyruvate fermentation to butanol			K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-
01_Fermentation	Pyruvate fermentation to butanol			K05554	actVII; aromatase	4.2.1.-
01_Fermentation	Pyruvate fermentation to butanol			K07534	badK; cyclohex-1-ene-1-carboxyl-CoA hydratase	4.2.1.-
01_Fermentation	Pyruvate fermentation to butanol			K07546	bbsH; E-phenylitaconyl-CoA hydratase	4.2.1.-
01_Fermentation	Pyruvate fermentation to butanol			K08299	caiD; crotonobetainyl-CoA hydratase	4.2.1.149
01_Fermentation	Pyruvate fermentation to butanol			K09483	quiC; 3-dehydroshikimate dehydratase	4.2.1.118
01_Fermentation	Pyruvate fermentation to butanol			K10703	HACD, PHS1, PAS2; very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase	4.2.1.134
01_Fermentation	Pyruvate fermentation to butanol			K11336	bchF; 3-vinyl bacteriochlorophyllide hydratase	4.2.1.165
01_Fermentation	Pyruvate fermentation to butanol			K10527	MFP2; enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase	4.2.1.17 1.1.1.35 1.1.1.211
01_Fermentation	Pyruvate fermentation to butanol			K12405	HSD17B4; (3R)-3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase / enoyl-CoA hydratase 2	1.1.1.- 4.2.1.107 4.2.1.119
01_Fermentation	Pyruvate fermentation to butanol			K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit	1.2.7.1
01_Fermentation	Pyruvate fermentation to butanol			K00022	HADH; 3-hydroxyacyl-CoA dehydrogenase	1.1.1.35
01_Fermentation	Pyruvate fermentation to butanol			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3
01_Fermentation	Pyruvate fermentation to butanol			K00232	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase	1.3.3.6
01_Fermentation	Pyruvate fermentation to butanol			K00625	E2.3.1.8, pta; phosphate acetyltransferase	2.3.1.8
01_Fermentation	Pyruvate fermentation to butanol			K01658	trpG; anthranilate synthase component II	4.1.3.27
