L1	ID	Function	EC
unknown function	phrog_30625	NA	
unknown function	phrog_30626	NA	
unknown function	phrog_30627	NA	
unknown function	phrog_30628	NA	
unknown function	phrog_30629	NA	
unknown function	phrog_30630	NA	
unknown function	phrog_30631	NA	
unknown function	phrog_30632	NA	
unknown function	phrog_30633	NA	
unknown function	phrog_30634	NA	
unknown function	phrog_30635	NA	
unknown function	phrog_30636	NA	
unknown function	phrog_30637	NA	
unknown function	phrog_30638	NA	
unknown function	phrog_30639	NA	
unknown function	phrog_30640	NA	
unknown function	phrog_30641	NA	
unknown function	phrog_30642	NA	
unknown function	phrog_30643	NA	
unknown function	phrog_30644	NA	
unknown function	phrog_30645	NA	
unknown function	phrog_30646	NA	
unknown function	phrog_30647	NA	
unknown function	phrog_30648	NA	
unknown function	phrog_30649	NA	
unknown function	phrog_30650	NA	
unknown function	phrog_30651	NA	
unknown function	phrog_30652	NA	
unknown function	phrog_30653	NA	
unknown function	phrog_30654	NA	
head and packaging	phrog_30655	virion structural protein	
unknown function	phrog_30656	NA	
unknown function	phrog_30657	NA	
unknown function	phrog_30658	NA	
unknown function	phrog_30659	NA	
unknown function	phrog_30660	NA	
unknown function	phrog_30661	NA	
unknown function	phrog_30662	NA	
unknown function	phrog_30663	NA	
unknown function	phrog_30664	NA	
unknown function	phrog_30665	NA	
unknown function	phrog_30666	NA	
unknown function	phrog_30667	NA	
unknown function	phrog_30668	NA	
DNA, RNA and nucleotide metabolism	phrog_30669	replication initiation protein	
unknown function	phrog_30670	NA	
unknown function	phrog_30671	NA	
unknown function	phrog_30672	NA	
unknown function	phrog_30673	NA	
unknown function	phrog_30674	NA	
unknown function	phrog_30675	NA	
unknown function	phrog_30676	NA	
tail	phrog_30677	tail protein	
unknown function	phrog_30678	NA	
DNA, RNA and nucleotide metabolism	phrog_30679	DNA polymerase processivity factor	
unknown function	phrog_30680	NA	
unknown function	phrog_30681	NA	
unknown function	phrog_30682	NA	
unknown function	phrog_30683	NA	
unknown function	phrog_30684	NA	
unknown function	phrog_30685	NA	
unknown function	phrog_30686	NA	
unknown function	phrog_30687	NA	
unknown function	phrog_30688	NA	
unknown function	phrog_30689	NA	
unknown function	phrog_30690	NA	
unknown function	phrog_30691	NA	
unknown function	phrog_30692	NA	
unknown function	phrog_30693	NA	
unknown function	phrog_30694	NA	
unknown function	phrog_30695	NA	
unknown function	phrog_30696	NA	
unknown function	phrog_30697	NA	
unknown function	phrog_30698	NA	
unknown function	phrog_30699	NA	
unknown function	phrog_30700	NA	
unknown function	phrog_30701	NA	
unknown function	phrog_30702	NA	
head and packaging	phrog_30703	portal protein	
unknown function	phrog_30704	NA	
unknown function	phrog_30705	NA	
unknown function	phrog_30706	NA	
unknown function	phrog_30707	NA	
unknown function	phrog_30708	NA	
unknown function	phrog_30709	NA	
unknown function	phrog_30710	NA	
unknown function	phrog_30711	NA	
unknown function	phrog_30712	NA	
unknown function	phrog_30713	NA	
unknown function	phrog_30714	NA	
unknown function	phrog_30715	NA	
unknown function	phrog_30716	NA	
unknown function	phrog_30717	NA	
unknown function	phrog_30718	NA	
unknown function	phrog_30719	NA	
unknown function	phrog_30720	NA	
unknown function	phrog_30721	NA	
unknown function	phrog_30722	NA	
unknown function	phrog_30723	NA	
unknown function	phrog_30724	NA	
unknown function	phrog_30725	NA	
unknown function	phrog_30726	NA	
unknown function	phrog_30727	NA	
unknown function	phrog_30728	NA	
unknown function	phrog_30729	NA	
unknown function	phrog_30730	NA	
unknown function	phrog_30731	NA	
unknown function	phrog_30732	NA	
unknown function	phrog_30733	NA	
unknown function	phrog_30734	NA	
unknown function	phrog_30735	NA	
unknown function	phrog_30736	NA	
unknown function	phrog_30737	NA	
unknown function	phrog_30738	NA	
unknown function	phrog_30739	NA	
tail	phrog_30740	minor tail protein	
unknown function	phrog_30741	NA	
tail	phrog_30742	tail fiber protein	
unknown function	phrog_30743	NA	
unknown function	phrog_30744	NA	
unknown function	phrog_30745	NA	
unknown function	phrog_30746	NA	
unknown function	phrog_30747	NA	
unknown function	phrog_30748	NA	
unknown function	phrog_30749	NA	
unknown function	phrog_30750	NA	
head and packaging	phrog_30751	minor head protein	
unknown function	phrog_30752	NA	
unknown function	phrog_30753	NA	
unknown function	phrog_30754	NA	
unknown function	phrog_30755	NA	
unknown function	phrog_30756	NA	
unknown function	phrog_30757	NA	
unknown function	phrog_30758	NA	
unknown function	phrog_30759	NA	
unknown function	phrog_30760	NA	
unknown function	phrog_30761	NA	
unknown function	phrog_30762	NA	
unknown function	phrog_30763	NA	
unknown function	phrog_30764	NA	
unknown function	phrog_30765	NA	
unknown function	phrog_30766	NA	
head and packaging	phrog_30767	virion structural protein	
unknown function	phrog_30768	NA	
unknown function	phrog_30769	NA	
unknown function	phrog_30770	NA	
unknown function	phrog_30771	NA	
unknown function	phrog_30772	NA	
unknown function	phrog_30773	NA	
unknown function	phrog_30774	NA	
unknown function	phrog_30775	NA	
unknown function	phrog_30776	NA	
unknown function	phrog_30777	NA	
unknown function	phrog_30778	NA	
unknown function	phrog_30779	NA	
unknown function	phrog_30780	NA	
unknown function	phrog_30781	NA	
unknown function	phrog_30782	NA	
unknown function	phrog_30783	NA	
unknown function	phrog_30784	NA	
head and packaging	phrog_30785	major head protein	
unknown function	phrog_30786	NA	
unknown function	phrog_30787	NA	
unknown function	phrog_30788	NA	
unknown function	phrog_30789	NA	
unknown function	phrog_30790	NA	
unknown function	phrog_30791	NA	
unknown function	phrog_30792	NA	
unknown function	phrog_30793	NA	
unknown function	phrog_30794	NA	
unknown function	phrog_30795	NA	
unknown function	phrog_30796	NA	
unknown function	phrog_30797	NA	
unknown function	phrog_30798	NA	
unknown function	phrog_30799	NA	
unknown function	phrog_30800	NA	
unknown function	phrog_30801	NA	
unknown function	phrog_30802	NA	
unknown function	phrog_30803	NA	
unknown function	phrog_30804	NA	
unknown function	phrog_30805	NA	
unknown function	phrog_30806	NA	
unknown function	phrog_30807	NA	
unknown function	phrog_30808	NA	
unknown function	phrog_30809	NA	
unknown function	phrog_30810	NA	
unknown function	phrog_30811	NA	
unknown function	phrog_30812	NA	
unknown function	phrog_30813	NA	
unknown function	phrog_30814	NA	
unknown function	phrog_30815	NA	
unknown function	phrog_30816	NA	
unknown function	phrog_30817	NA	
unknown function	phrog_30818	NA	
unknown function	phrog_30819	NA	
unknown function	phrog_30820	NA	
unknown function	phrog_30821	NA	
unknown function	phrog_30822	NA	
unknown function	phrog_30823	NA	
unknown function	phrog_30824	NA	
unknown function	phrog_30825	NA	
unknown function	phrog_30826	NA	
unknown function	phrog_30827	NA	
unknown function	phrog_30828	NA	
unknown function	phrog_30829	NA	
head and packaging	phrog_30830	virion structural protein	
unknown function	phrog_30831	NA	
lysis	phrog_30832	RIIA lysis inhibitor	
unknown function	phrog_30833	NA	
unknown function	phrog_30834	NA	
unknown function	phrog_30835	NA	
unknown function	phrog_30836	NA	
unknown function	phrog_30837	NA	
unknown function	phrog_30838	NA	
unknown function	phrog_30839	NA	
unknown function	phrog_30840	NA	
unknown function	phrog_30841	NA	
unknown function	phrog_30842	NA	
unknown function	phrog_30843	NA	
unknown function	phrog_30844	NA	
unknown function	phrog_30845	NA	
unknown function	phrog_30846	NA	
unknown function	phrog_30847	NA	
unknown function	phrog_30848	NA	
unknown function	phrog_30849	NA	
unknown function	phrog_30850	NA	
unknown function	phrog_30851	NA	
unknown function	phrog_30852	NA	
unknown function	phrog_30853	NA	
unknown function	phrog_30854	NA	
unknown function	phrog_30855	NA	
unknown function	phrog_30856	NA	
unknown function	phrog_30857	NA	
unknown function	phrog_30858	NA	
unknown function	phrog_30859	NA	
unknown function	phrog_30860	NA	
unknown function	phrog_30861	NA	
unknown function	phrog_30862	NA	
unknown function	phrog_30863	NA	
unknown function	phrog_30864	NA	
unknown function	phrog_30865	NA	
unknown function	phrog_30866	NA	
unknown function	phrog_30867	NA	
unknown function	phrog_30868	NA	
unknown function	phrog_30869	NA	
unknown function	phrog_30870	NA	
unknown function	phrog_30871	NA	
unknown function	phrog_30872	NA	
unknown function	phrog_30873	NA	
unknown function	phrog_30874	NA	
unknown function	phrog_30875	NA	
unknown function	phrog_30876	NA	
unknown function	phrog_30877	NA	
unknown function	phrog_30878	NA	
unknown function	phrog_30879	NA	
unknown function	phrog_30880	NA	
unknown function	phrog_30881	NA	
unknown function	phrog_30882	NA	
unknown function	phrog_30883	NA	
unknown function	phrog_30884	NA	
unknown function	phrog_30885	NA	
unknown function	phrog_30886	NA	
unknown function	phrog_30887	NA	
unknown function	phrog_30888	NA	
unknown function	phrog_30889	NA	
unknown function	phrog_30890	NA	
unknown function	phrog_30891	NA	
unknown function	phrog_30892	NA	
unknown function	phrog_30893	NA	
unknown function	phrog_30894	NA	
unknown function	phrog_30895	NA	
unknown function	phrog_30896	NA	
unknown function	phrog_30897	NA	
unknown function	phrog_30898	NA	
unknown function	phrog_30899	NA	
unknown function	phrog_30900	NA	
unknown function	phrog_30901	NA	
unknown function	phrog_30902	NA	
unknown function	phrog_30903	NA	
unknown function	phrog_30904	NA	
unknown function	phrog_30905	NA	
unknown function	phrog_30906	NA	
unknown function	phrog_30907	NA	
unknown function	phrog_30908	NA	
unknown function	phrog_30909	NA	
unknown function	phrog_30910	NA	
unknown function	phrog_30911	NA	
unknown function	phrog_30912	NA	
unknown function	phrog_30913	NA	
unknown function	phrog_30914	NA	
unknown function	phrog_30915	NA	
unknown function	phrog_30916	NA	
unknown function	phrog_30917	NA	
unknown function	phrog_30918	NA	
unknown function	phrog_30919	NA	
unknown function	phrog_30920	NA	
unknown function	phrog_30921	NA	
unknown function	phrog_30922	NA	
head and packaging	phrog_30923	virion structural protein	
unknown function	phrog_30924	NA	
unknown function	phrog_30925	NA	
unknown function	phrog_30926	NA	
unknown function	phrog_30927	NA	
unknown function	phrog_30928	NA	
unknown function	phrog_30929	NA	
unknown function	phrog_30930	NA	
unknown function	phrog_30931	NA	
unknown function	phrog_30932	NA	
unknown function	phrog_30933	NA	
unknown function	phrog_30934	NA	
unknown function	phrog_30935	NA	
unknown function	phrog_30936	NA	
unknown function	phrog_30937	NA	
unknown function	phrog_30938	NA	
DNA, RNA and nucleotide metabolism	phrog_30939	ribonucleotide reductase	
unknown function	phrog_30940	NA	
unknown function	phrog_30941	NA	
unknown function	phrog_30942	NA	
unknown function	phrog_30943	NA	
unknown function	phrog_30944	NA	
unknown function	phrog_30945	NA	
unknown function	phrog_30946	NA	
unknown function	phrog_30947	NA	
unknown function	phrog_30948	NA	
unknown function	phrog_30949	NA	
unknown function	phrog_30950	NA	
unknown function	phrog_30951	NA	
unknown function	phrog_30952	NA	
unknown function	phrog_30953	NA	
unknown function	phrog_30954	NA	
unknown function	phrog_30955	NA	
unknown function	phrog_30956	NA	
unknown function	phrog_30957	NA	
unknown function	phrog_30958	NA	
unknown function	phrog_30959	NA	
unknown function	phrog_30960	NA	
unknown function	phrog_30961	NA	
unknown function	phrog_30962	NA	
unknown function	phrog_30963	NA	
unknown function	phrog_30964	NA	
unknown function	phrog_30965	NA	
unknown function	phrog_30966	NA	
unknown function	phrog_30967	NA	
unknown function	phrog_30968	NA	
DNA, RNA and nucleotide metabolism	phrog_30969	DnaD-like helicase loader	
unknown function	phrog_30970	NA	
DNA, RNA and nucleotide metabolism	phrog_30971	clamp loader of DNA polymerase	
unknown function	phrog_30972	NA	
unknown function	phrog_30973	NA	
unknown function	phrog_30974	NA	
unknown function	phrog_30975	NA	
unknown function	phrog_30976	NA	
unknown function	phrog_30977	NA	
unknown function	phrog_30978	NA	
unknown function	phrog_30979	NA	
unknown function	phrog_30980	NA	
unknown function	phrog_30981	NA	
unknown function	phrog_30982	NA	
unknown function	phrog_30983	NA	
unknown function	phrog_30984	NA	
unknown function	phrog_30985	NA	
unknown function	phrog_30986	NA	
unknown function	phrog_30987	NA	
unknown function	phrog_30988	NA	
unknown function	phrog_30989	NA	
unknown function	phrog_30990	NA	
tail	phrog_30991	tail protein	
unknown function	phrog_30992	NA	
unknown function	phrog_30993	NA	
tail	phrog_30994	minor tail protein	
unknown function	phrog_30995	NA	
unknown function	phrog_30996	NA	
unknown function	phrog_30997	NA	
unknown function	phrog_30998	NA	
unknown function	phrog_30999	NA	
unknown function	phrog_31000	NA	
unknown function	phrog_31001	NA	
unknown function	phrog_31002	NA	
unknown function	phrog_31003	NA	
unknown function	phrog_31004	NA	
unknown function	phrog_31005	NA	
unknown function	phrog_31006	NA	
unknown function	phrog_31007	NA	
unknown function	phrog_31008	NA	
unknown function	phrog_31009	NA	
unknown function	phrog_31010	NA	
unknown function	phrog_31011	NA	
unknown function	phrog_31012	NA	
unknown function	phrog_31013	NA	
unknown function	phrog_31014	NA	
unknown function	phrog_31015	NA	
unknown function	phrog_31016	NA	
unknown function	phrog_31017	NA	
unknown function	phrog_31018	NA	
unknown function	phrog_31019	NA	
unknown function	phrog_31020	NA	
tail	phrog_31021	tail assembly chaperone	
unknown function	phrog_31022	NA	
unknown function	phrog_31023	NA	
unknown function	phrog_31024	NA	
unknown function	phrog_31025	NA	
unknown function	phrog_31026	NA	
unknown function	phrog_31027	NA	
unknown function	phrog_31028	NA	
unknown function	phrog_31029	NA	
unknown function	phrog_31030	NA	
unknown function	phrog_31031	NA	
unknown function	phrog_31032	NA	
unknown function	phrog_31033	NA	
unknown function	phrog_31034	NA	
unknown function	phrog_31035	NA	
unknown function	phrog_31036	NA	
unknown function	phrog_31037	NA	
unknown function	phrog_31038	NA	
unknown function	phrog_31039	NA	
unknown function	phrog_31040	NA	
unknown function	phrog_31041	NA	
unknown function	phrog_31042	NA	
unknown function	phrog_31043	NA	
unknown function	phrog_31044	NA	
unknown function	phrog_31045	NA	
unknown function	phrog_31046	NA	
unknown function	phrog_31047	NA	
unknown function	phrog_31048	NA	
unknown function	phrog_31049	NA	
unknown function	phrog_31050	NA	
unknown function	phrog_31051	NA	
unknown function	phrog_31052	NA	
unknown function	phrog_31053	NA	
unknown function	phrog_31054	NA	
unknown function	phrog_31055	NA	
unknown function	phrog_31056	NA	
unknown function	phrog_31057	NA	
unknown function	phrog_31058	NA	
unknown function	phrog_31059	NA	
unknown function	phrog_31060	NA	
unknown function	phrog_31061	NA	
unknown function	phrog_31062	NA	
unknown function	phrog_31063	NA	
unknown function	phrog_31064	NA	
unknown function	phrog_31065	NA	
unknown function	phrog_31066	NA	
unknown function	phrog_31067	NA	
unknown function	phrog_31068	NA	
moron, auxiliary metabolic gene and host takeover	phrog_31069	FtsK/SpoIIIE-like protein	
unknown function	phrog_31070	NA	
unknown function	phrog_31071	NA	
unknown function	phrog_31072	NA	
unknown function	phrog_31073	NA	
unknown function	phrog_31074	NA	
unknown function	phrog_31075	NA	
unknown function	phrog_31076	NA	
lysis	phrog_31077	endolysin	
unknown function	phrog_31078	NA	
unknown function	phrog_31079	NA	
unknown function	phrog_31080	NA	
unknown function	phrog_31081	NA	
unknown function	phrog_31082	NA	
unknown function	phrog_31083	NA	
head and packaging	phrog_31084	minor head protein	
unknown function	phrog_31085	NA	
unknown function	phrog_31086	NA	
unknown function	phrog_31087	NA	
unknown function	phrog_31088	NA	
unknown function	phrog_31089	NA	
unknown function	phrog_31090	NA	
unknown function	phrog_31091	NA	
unknown function	phrog_31092	NA	
transcription regulation	phrog_31093	Arc-like repressor	
unknown function	phrog_31094	NA	
unknown function	phrog_31095	NA	
unknown function	phrog_31096	NA	
unknown function	phrog_31097	NA	
unknown function	phrog_31098	NA	
unknown function	phrog_31099	NA	
unknown function	phrog_31100	NA	
unknown function	phrog_31101	NA	
unknown function	phrog_31102	NA	
unknown function	phrog_31103	NA	
unknown function	phrog_31104	NA	
unknown function	phrog_31105	NA	
unknown function	phrog_31106	NA	
unknown function	phrog_31107	NA	
unknown function	phrog_31108	NA	
unknown function	phrog_31109	NA	
unknown function	phrog_31110	NA	
unknown function	phrog_31111	NA	
unknown function	phrog_31112	NA	
unknown function	phrog_31113	NA	
unknown function	phrog_31114	NA	
DNA, RNA and nucleotide metabolism	phrog_31115	replication initiation protein	
unknown function	phrog_31116	NA	
unknown function	phrog_31117	NA	
unknown function	phrog_31118	NA	
unknown function	phrog_31119	NA	
unknown function	phrog_31120	NA	
unknown function	phrog_31121	NA	
tail	phrog_31122	baseplate protein	
unknown function	phrog_31123	NA	
unknown function	phrog_31124	NA	
unknown function	phrog_31125	NA	
head and packaging	phrog_31126	terminase small subunit	
unknown function	phrog_31127	NA	
unknown function	phrog_31128	NA	
unknown function	phrog_31129	NA	
unknown function	phrog_31130	NA	
unknown function	phrog_31131	NA	
unknown function	phrog_31132	NA	
unknown function	phrog_31133	NA	
unknown function	phrog_31134	NA	
unknown function	phrog_31135	NA	
unknown function	phrog_31136	NA	
unknown function	phrog_31137	NA	
unknown function	phrog_31138	NA	
unknown function	phrog_31139	NA	
unknown function	phrog_31140	NA	
unknown function	phrog_31141	NA	
unknown function	phrog_31142	NA	
unknown function	phrog_31143	NA	
unknown function	phrog_31144	NA	
unknown function	phrog_31145	NA	
unknown function	phrog_31146	NA	
unknown function	phrog_31147	NA	
unknown function	phrog_31148	NA	
unknown function	phrog_31149	NA	
unknown function	phrog_31150	NA	
unknown function	phrog_31151	NA	
unknown function	phrog_31152	NA	
unknown function	phrog_31153	NA	
unknown function	phrog_31154	NA	
unknown function	phrog_31155	NA	
unknown function	phrog_31156	NA	
unknown function	phrog_31157	NA	
unknown function	phrog_31158	NA	
unknown function	phrog_31159	NA	
unknown function	phrog_31160	NA	
unknown function	phrog_31161	NA	
unknown function	phrog_31162	NA	
unknown function	phrog_31163	NA	
unknown function	phrog_31164	NA	
unknown function	phrog_31165	NA	
tail	phrog_31166	tail fiber protein	
unknown function	phrog_31167	NA	
unknown function	phrog_31168	NA	
unknown function	phrog_31169	NA	
unknown function	phrog_31170	NA	
unknown function	phrog_31171	NA	
unknown function	phrog_31172	NA	
unknown function	phrog_31173	NA	
unknown function	phrog_31174	NA	
unknown function	phrog_31175	NA	
unknown function	phrog_31176	NA	
unknown function	phrog_31177	NA	
unknown function	phrog_31178	NA	
unknown function	phrog_31179	NA	
unknown function	phrog_31180	NA	
unknown function	phrog_31181	NA	
unknown function	phrog_31182	NA	
unknown function	phrog_31183	NA	
unknown function	phrog_31184	NA	
unknown function	phrog_31185	NA	
unknown function	phrog_31186	NA	
unknown function	phrog_31187	NA	
unknown function	phrog_31188	NA	
tail	phrog_31189	baseplate protein	
unknown function	phrog_31190	NA	
unknown function	phrog_31191	NA	
unknown function	phrog_31192	NA	
unknown function	phrog_31193	NA	
unknown function	phrog_31194	NA	
unknown function	phrog_31195	NA	
unknown function	phrog_31196	NA	
unknown function	phrog_31197	NA	
unknown function	phrog_31198	NA	
unknown function	phrog_31199	NA	
unknown function	phrog_31200	NA	
unknown function	phrog_31201	NA	
unknown function	phrog_31202	NA	
unknown function	phrog_31203	NA	
unknown function	phrog_31204	NA	
unknown function	phrog_31205	NA	
unknown function	phrog_31206	NA	
unknown function	phrog_31207	NA	
unknown function	phrog_31208	NA	
unknown function	phrog_31209	NA	
unknown function	phrog_31210	NA	
unknown function	phrog_31211	NA	
unknown function	phrog_31212	NA	
unknown function	phrog_31213	NA	
unknown function	phrog_31214	NA	
unknown function	phrog_31215	NA	
unknown function	phrog_31216	NA	
unknown function	phrog_31217	NA	
unknown function	phrog_31218	NA	
unknown function	phrog_31219	NA	
unknown function	phrog_31220	NA	
unknown function	phrog_31221	NA	
unknown function	phrog_31222	NA	
unknown function	phrog_31223	NA	
unknown function	phrog_31224	NA	
unknown function	phrog_31225	NA	
unknown function	phrog_31226	NA	
unknown function	phrog_31227	NA	
unknown function	phrog_31228	NA	
unknown function	phrog_31229	NA	
unknown function	phrog_31230	NA	
unknown function	phrog_31231	NA	
unknown function	phrog_31232	NA	
unknown function	phrog_31233	NA	
unknown function	phrog_31234	NA	
unknown function	phrog_31235	NA	
unknown function	phrog_31236	NA	
unknown function	phrog_31237	NA	
unknown function	phrog_31238	NA	
unknown function	phrog_31239	NA	
unknown function	phrog_31240	NA	
unknown function	phrog_31241	NA	
unknown function	phrog_31242	NA	
unknown function	phrog_31243	NA	
unknown function	phrog_31244	NA	
unknown function	phrog_31245	NA	
unknown function	phrog_31246	NA	
unknown function	phrog_31247	NA	
unknown function	phrog_31248	NA	
unknown function	phrog_31249	NA	
unknown function	phrog_31250	NA	
unknown function	phrog_31251	NA	
unknown function	phrog_31252	NA	
unknown function	phrog_31253	NA	
unknown function	phrog_31254	NA	
unknown function	phrog_31255	NA	
unknown function	phrog_31256	NA	
unknown function	phrog_31257	NA	
unknown function	phrog_31258	NA	
unknown function	phrog_31259	NA	
unknown function	phrog_31260	NA	
unknown function	phrog_31261	NA	
unknown function	phrog_31262	NA	
unknown function	phrog_31263	NA	
unknown function	phrog_31264	NA	
unknown function	phrog_31265	NA	
unknown function	phrog_31266	NA	
unknown function	phrog_31267	NA	
unknown function	phrog_31268	NA	
unknown function	phrog_31269	NA	
unknown function	phrog_31270	NA	
unknown function	phrog_31271	NA	
tail	phrog_31272	pilot protein for DNA ejection	
unknown function	phrog_31273	NA	
unknown function	phrog_31274	NA	
unknown function	phrog_31275	NA	
unknown function	phrog_31276	NA	
unknown function	phrog_31277	NA	
unknown function	phrog_31278	NA	
unknown function	phrog_31279	NA	
unknown function	phrog_31280	NA	
unknown function	phrog_31281	NA	
unknown function	phrog_31282	NA	
unknown function	phrog_31283	NA	
unknown function	phrog_31284	NA	
unknown function	phrog_31285	NA	
unknown function	phrog_31286	NA	
unknown function	phrog_31287	NA	
unknown function	phrog_31288	NA	
unknown function	phrog_31289	NA	
unknown function	phrog_31290	NA	
unknown function	phrog_31291	NA	
unknown function	phrog_31292	NA	
unknown function	phrog_31293	NA	
unknown function	phrog_31294	NA	
unknown function	phrog_31295	NA	
unknown function	phrog_31296	NA	
unknown function	phrog_31297	NA	
unknown function	phrog_31298	NA	
unknown function	phrog_31299	NA	
unknown function	phrog_31300	NA	
DNA, RNA and nucleotide metabolism	phrog_31301	DNA binding protein	
unknown function	phrog_31302	NA	
unknown function	phrog_31303	NA	
unknown function	phrog_31304	NA	
unknown function	phrog_31305	NA	
head and packaging	phrog_31306	virion structural protein	
tail	phrog_31307	tail protein	
unknown function	phrog_31308	NA	
unknown function	phrog_31309	NA	
unknown function	phrog_31310	NA	
unknown function	phrog_31311	NA	
unknown function	phrog_31312	NA	
unknown function	phrog_31313	NA	
unknown function	phrog_31314	NA	
unknown function	phrog_31315	NA	
unknown function	phrog_31316	NA	
unknown function	phrog_31317	NA	
unknown function	phrog_31318	NA	
unknown function	phrog_31319	NA	
unknown function	phrog_31320	NA	
unknown function	phrog_31321	NA	
unknown function	phrog_31322	NA	
unknown function	phrog_31323	NA	
unknown function	phrog_31324	NA	
unknown function	phrog_31325	NA	
unknown function	phrog_31326	NA	
unknown function	phrog_31327	NA	
unknown function	phrog_31328	NA	
unknown function	phrog_31329	NA	
unknown function	phrog_31330	NA	
unknown function	phrog_31331	NA	
unknown function	phrog_31332	NA	
unknown function	phrog_31333	NA	
unknown function	phrog_31334	NA	
unknown function	phrog_31335	NA	
unknown function	phrog_31336	NA	
unknown function	phrog_31337	NA	
unknown function	phrog_31338	NA	
unknown function	phrog_31339	NA	
unknown function	phrog_31340	NA	
unknown function	phrog_31341	NA	
unknown function	phrog_31342	NA	
unknown function	phrog_31343	NA	
unknown function	phrog_31344	NA	
unknown function	phrog_31345	NA	
unknown function	phrog_31346	NA	
unknown function	phrog_31347	NA	
unknown function	phrog_31348	NA	
unknown function	phrog_31349	NA	
unknown function	phrog_31350	NA	
unknown function	phrog_31351	NA	
unknown function	phrog_31352	NA	
unknown function	phrog_31353	NA	
unknown function	phrog_31354	NA	
unknown function	phrog_31355	NA	
unknown function	phrog_31356	NA	
unknown function	phrog_31357	NA	
unknown function	phrog_31358	NA	
unknown function	phrog_31359	NA	
unknown function	phrog_31360	NA	
unknown function	phrog_31361	NA	
unknown function	phrog_31362	NA	
unknown function	phrog_31363	NA	
unknown function	phrog_31364	NA	
unknown function	phrog_31365	NA	
unknown function	phrog_31366	NA	
unknown function	phrog_31367	NA	
unknown function	phrog_31368	NA	
unknown function	phrog_31369	NA	
unknown function	phrog_31370	NA	
unknown function	phrog_31371	NA	
unknown function	phrog_31372	NA	
unknown function	phrog_31373	NA	
unknown function	phrog_31374	NA	
unknown function	phrog_31375	NA	
unknown function	phrog_31376	NA	
unknown function	phrog_31377	NA	
unknown function	phrog_31378	NA	
unknown function	phrog_31379	NA	
unknown function	phrog_31380	NA	
unknown function	phrog_31381	NA	
DNA, RNA and nucleotide metabolism	phrog_31382	3'-5' exonuclease	
unknown function	phrog_31383	NA	
unknown function	phrog_31384	NA	
unknown function	phrog_31385	NA	
unknown function	phrog_31386	NA	
unknown function	phrog_31387	NA	
unknown function	phrog_31388	NA	
unknown function	phrog_31389	NA	
unknown function	phrog_31390	NA	
unknown function	phrog_31391	NA	
unknown function	phrog_31392	NA	
unknown function	phrog_31393	NA	
unknown function	phrog_31394	NA	
unknown function	phrog_31395	NA	
unknown function	phrog_31396	NA	
unknown function	phrog_31397	NA	
unknown function	phrog_31398	NA	
unknown function	phrog_31399	NA	
unknown function	phrog_31400	NA	
unknown function	phrog_31401	NA	
unknown function	phrog_31402	NA	
unknown function	phrog_31403	NA	
unknown function	phrog_31404	NA	
unknown function	phrog_31405	NA	
unknown function	phrog_31406	NA	
unknown function	phrog_31407	NA	
unknown function	phrog_31408	NA	
tail	phrog_31409	tail length tape measure protein	
unknown function	phrog_31410	NA	
unknown function	phrog_31411	NA	
unknown function	phrog_31412	NA	
unknown function	phrog_31413	NA	
unknown function	phrog_31414	NA	
unknown function	phrog_31415	NA	
unknown function	phrog_31416	NA	
unknown function	phrog_31417	NA	
unknown function	phrog_31418	NA	
unknown function	phrog_31419	NA	
unknown function	phrog_31420	NA	
unknown function	phrog_31421	NA	
unknown function	phrog_31422	NA	
unknown function	phrog_31423	NA	
unknown function	phrog_31424	NA	
unknown function	phrog_31425	NA	
unknown function	phrog_31426	NA	
unknown function	phrog_31427	NA	
unknown function	phrog_31428	NA	
unknown function	phrog_31429	NA	
unknown function	phrog_31430	NA	
unknown function	phrog_31431	NA	
unknown function	phrog_31432	NA	
unknown function	phrog_31433	NA	
unknown function	phrog_31434	NA	
unknown function	phrog_31435	NA	
unknown function	phrog_31436	NA	
unknown function	phrog_31437	NA	
unknown function	phrog_31438	NA	
unknown function	phrog_31439	NA	
unknown function	phrog_31440	NA	
unknown function	phrog_31441	NA	
unknown function	phrog_31442	NA	
unknown function	phrog_31443	NA	
unknown function	phrog_31444	NA	
unknown function	phrog_31445	NA	
unknown function	phrog_31446	NA	
unknown function	phrog_31447	NA	
unknown function	phrog_31448	NA	
unknown function	phrog_31449	NA	
unknown function	phrog_31450	NA	
unknown function	phrog_31451	NA	
tail	phrog_31452	tail length tape measure protein	
unknown function	phrog_31453	NA	
unknown function	phrog_31454	NA	
unknown function	phrog_31455	NA	
unknown function	phrog_31456	NA	
unknown function	phrog_31457	NA	
unknown function	phrog_31458	NA	
unknown function	phrog_31459	NA	
tail	phrog_31460	tail protein	
unknown function	phrog_31461	NA	
unknown function	phrog_31462	NA	
unknown function	phrog_31463	NA	
unknown function	phrog_31464	NA	
unknown function	phrog_31465	NA	
unknown function	phrog_31466	NA	
unknown function	phrog_31467	NA	
unknown function	phrog_31468	NA	
unknown function	phrog_31469	NA	
unknown function	phrog_31470	NA	
unknown function	phrog_31471	NA	
unknown function	phrog_31472	NA	
unknown function	phrog_31473	NA	
unknown function	phrog_31474	NA	
unknown function	phrog_31475	NA	
unknown function	phrog_31476	NA	
unknown function	phrog_31477	NA	
unknown function	phrog_31478	NA	
unknown function	phrog_31479	NA	
