L1	L2	L3	L4	KO	Function	EC	Count
21_Cellular response to stress	Response to osmotic stress			K00108	betA, CHDH; choline dehydrogenase	1.1.99.1	1
14_Methanogenesis	From formate			K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit		1
15_Methylotrophy	Methane oxidation to cO2			K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit		1
15_Methylotrophy	Formaldehyde oxidation (tetrahydrofolate pathway)			K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit		1
15_Methylotrophy	Formaldehyde oxidation (glutathione-dependent)			K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit		1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00130	betB, gbsA; betaine-aldehyde dehydrogenase	1.2.1.8	1
21_Cellular response to stress	Response to osmotic stress			K00130	betB, gbsA; betaine-aldehyde dehydrogenase	1.2.1.8	1
01_Fermentation	Acetylene degradation			K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10	1
01_Fermentation	Heterolactic fermentation			K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10	1
01_Fermentation	Mixed acid fermentation			K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol III		K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10	1
08_Hydrocarbon degradation	Polycyclic aromatic hydrocarbon degradation			K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	1.2.1.10	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Methionine biosynthesis			K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00133	asd; aspartate-semialdehyde dehydrogenase	1.2.1.11	1
01_Fermentation	Bifidobacterium shunt			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
01_Fermentation	Heterolactic fermentation			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
01_Fermentation	Homolactic fermentation			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
02_Homoacetogenesis	Glycolysis			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
16_Embden Meyerhof-Parnos (EMP)	EMP			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
16_Embden Meyerhof-Parnos (EMP)	Glycolysis III (EMP)			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
17_Gluconeogenesis	Gluconeogenesis in archea			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
21_Cellular response to stress	Regulation of stress-activated protein kinase signaling cascade			K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	1
06_Amino acid utilization biosynthesis metabolism	Lysine degradation VIII			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
06_Amino acid utilization biosynthesis metabolism	Methionine degradation			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
21_Cellular response to stress	Cellular response to stress			K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K00138	aldB; aldehyde dehydrogenase	1.2.1.-	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K00138	aldB; aldehyde dehydrogenase	1.2.1.-	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K00138	aldB; aldehyde dehydrogenase	1.2.1.-	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00138	aldB; aldehyde dehydrogenase	1.2.1.-	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	1
15_Methylotrophy	Methane oxidation to cO2			K00148	fdhA; glutathione-independent formaldehyde dehydrogenase	1.2.1.46	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	1.2.4.2	1
10_TCA cycle	TCA cycle			K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	1.2.4.2	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit	1.2.4.4	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit	1.2.4.4	1
05_Fatty acid oxidation	Fatty acid activation			K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase	1.17.1.8	1
06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase	1.17.1.8	1
10_TCA cycle	TCA cycle			K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4	1
10_TCA cycle	Incomplete TCA fork			K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4	1
10_TCA cycle	Reductive TCA cycle			K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	1.3.5.1 1.3.5.4	1
10_TCA cycle	TCA cycle			K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	1.3.5.1 1.3.5.4	1
10_TCA cycle	Incomplete TCA fork			K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	1.3.5.1 1.3.5.4	1
10_TCA cycle	Reductive TCA cycle			K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	1.3.5.1 1.3.5.4	1
10_TCA cycle	TCA cycle			K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit		1
10_TCA cycle	Incomplete TCA fork			K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit		1
10_TCA cycle	Reductive TCA cycle			K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit		1
10_TCA cycle	TCA cycle			K00244	frdA; fumarate reductase flavoprotein subunit	1.3.5.4	1
10_TCA cycle	Incomplete TCA fork			K00244	frdA; fumarate reductase flavoprotein subunit	1.3.5.4	1
10_TCA cycle	Reductive TCA cycle			K00244	frdA; fumarate reductase flavoprotein subunit	1.3.5.4	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to propionate II (acrylate pathway)		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
05_Fatty acid oxidation	Fatty acid beta-oxidation I			K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	1
06_Amino acid utilization biosynthesis metabolism	Oxydation deamination			K00259	ald; alanine dehydrogenase	1.4.1.1	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00259	ald; alanine dehydrogenase	1.4.1.1	1
06_Amino acid utilization biosynthesis metabolism	Oxydation deamination			K00260	gudB, rocG; glutamate dehydrogenase	1.4.1.2	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00260	gudB, rocG; glutamate dehydrogenase	1.4.1.2	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00260	gudB, rocG; glutamate dehydrogenase	1.4.1.2	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K00260	gudB, rocG; glutamate dehydrogenase	1.4.1.2	1
11_Nitrogen cycle	Ammonia assimilation			K00260	gudB, rocG; glutamate dehydrogenase	1.4.1.2	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00263	E1.4.1.9; leucine dehydrogenase	1.4.1.9	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K00263	E1.4.1.9; leucine dehydrogenase	1.4.1.9	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00264	GLT1; glutamate synthase (NADH)	1.4.1.14	1
11_Nitrogen cycle	Ammonia assimilation			K00264	GLT1; glutamate synthase (NADH)	1.4.1.14	1
11_Nitrogen cycle	Ammonia assimilation			K00264	GLT1; glutamate synthase (NADH)	1.4.1.14	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	1
11_Nitrogen cycle	Ammonia assimilation			K00265	gltB; glutamate synthase (NADPH) large chain	1.4.1.13	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00266	gltD; glutamate synthase (NADPH) small chain	1.4.1.13	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00266	gltD; glutamate synthase (NADPH) small chain	1.4.1.13	1
11_Nitrogen cycle	Ammonia assimilation			K00266	gltD; glutamate synthase (NADPH) small chain	1.4.1.13	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K00274	MAO, aofH; monoamine oxidase	1.4.3.4	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00278	nadB; L-aspartate oxidase	1.4.3.16	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00281	GLDC, gcvP; glycine dehydrogenase	1.4.4.2	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00282	gcvPA; glycine dehydrogenase subunit 1	1.4.4.2	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00283	gcvPB; glycine dehydrogenase subunit 2	1.4.4.2	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00285	dadA; D-amino-acid dehydrogenase	1.4.5.1	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00286	proC; pyrroline-5-carboxylate reductase	1.5.1.2	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00301	E1.5.3.1; sarcosine oxidase	1.5.3.1	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00303	soxB; sarcosine oxidase, subunit beta	1.5.3.1	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00318	PRODH, fadM, putB; proline dehydrogenase	1.5.5.2	1
21_Cellular response to stress	Response to osmotic stress			K00318	PRODH, fadM, putB; proline dehydrogenase	1.5.5.2	1
14_Methanogenesis	From formate			K00320	mer; 5,10-methylenetetrahydromethanopterin reductase	1.5.98.2	1
14_Methanogenesis	From CO2			K00320	mer; 5,10-methylenetetrahydromethanopterin reductase	1.5.98.2	1
21_Cellular response to stress	Response to osmotic stress			K00330	nuoA; NADH-quinone oxidoreductase subunit A	7.1.1.2	1
07_Nucleic acid metabolism	Purine metabolism			K00364	E1.7.1.7, guaC; GMP reductase	1.7.1.7	1
11_Nitrogen cycle	Nitrogenated compounds Reduction	Denitrification	Nitrate to nitrite	K00372	nasA; assimilatory nitrate reductase catalytic subunit	1.7.99.-	1
11_Nitrogen cycle	Nitrogenated compounds Reduction	Denitrification	Nitrate to nitrite	K00372	nasA; assimilatory nitrate reductase catalytic subunit	1.7.99.-	1
11_Nitrogen cycle	Nitrogenated compounds Reduction	Denitrification	Nitrate to nitrite	K00374	narI, narV; nitrate reductase gamma subunit	1.7.5.1 1.7.99.-	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	1
21_Cellular response to stress	Cellular response to stress			K00383	GSR, gor; glutathione reductase (NADPH)	1.8.1.7	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K00384	trxB, TRR; thioredoxin reductase (NADPH)	1.8.1.9	1
21_Cellular response to stress	Cellular response to stress			K00384	trxB, TRR; thioredoxin reductase (NADPH)	1.8.1.9	1
21_Cellular response to stress	Cellular response to stress			K00432	gpx, btuE, bsaA; glutathione peroxidase	1.11.1.9	1
21_Cellular response to stress	Response to osmotic stress			K00432	gpx, btuE, bsaA; glutathione peroxidase	1.11.1.9	1
21_Cellular response to stress	Response to oxidative stress			K00432	gpx, btuE, bsaA; glutathione peroxidase	1.11.1.9	1
21_Cellular response to stress	Response to oxidative stress			K00435	hemQ; hydrogen peroxide-dependent heme synthase	1.3.98.5	1
06_Amino acid utilization biosynthesis metabolism	Methionine degradation			K00450	E1.13.11.4; gentisate 1,2-dioxygenase	1.13.11.4	1
08_Hydrocarbon degradation	Aromatic carboxylic acid degradation			K00450	E1.13.11.4; gentisate 1,2-dioxygenase	1.13.11.4	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00453	TDO2, kynA; tryptophan 2,3-dioxygenase	1.13.11.11	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00491	nos; nitric-oxide synthase, bacterial	1.14.14.47	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00500	phhA, PAH; phenylalanine-4-hydroxylase	1.14.16.1	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K00500	phhA, PAH; phenylalanine-4-hydroxylase	1.14.16.1	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K00500	phhA, PAH; phenylalanine-4-hydroxylase	1.14.16.1	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K00525	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain	1.17.4.1	1
07_Nucleic acid metabolism	Purine metabolism			K00525	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain	1.17.4.1	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K00526	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain	1.17.4.1	1
07_Nucleic acid metabolism	Purine metabolism			K00526	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain	1.17.4.1	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase	2.1.1.13	1
06_Amino acid utilization biosynthesis metabolism	Methionine biosynthesis			K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase	2.1.1.13	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase	2.1.1.13	1
06_Amino acid utilization biosynthesis metabolism	Methionine degradation			K00558	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1	2.1.1.37	1
06_Amino acid utilization biosynthesis metabolism	Cysteine and methionine metabolism			K00558	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1	2.1.1.37	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K00560	thyA, TYMS; thymidylate synthase	2.1.1.45	1
21_Cellular response to stress	Cellular response to stress			K00567	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase	2.1.1.63	1
21_Cellular response to stress	Response to nitrosative stress			K00567	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase	2.1.1.63	1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase	2.1.1.222 2.1.1.64	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase	2.1.1.222 2.1.1.64	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00588	E2.1.1.104; caffeoyl-CoA O-methyltransferase	2.1.1.104	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00588	E2.1.1.104; caffeoyl-CoA O-methyltransferase	2.1.1.104	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to lactate		K00600	glyA, SHMT; glycine hydroxymethyltransferase	2.1.2.1	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00600	glyA, SHMT; glycine hydroxymethyltransferase	2.1.2.1	1
15_Methylotrophy	Serine pathway for formaldehyde fixation			K00600	glyA, SHMT; glycine hydroxymethyltransferase	2.1.2.1	1
07_Nucleic acid metabolism	Purine metabolism			K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	2.1.2.3 3.5.4.10	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00605	gcvT, AMT; aminomethyltransferase	2.1.2.10	1
06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K00609	pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit	2.1.3.2	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K00609	pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit	2.1.3.2	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00611	OTC, argF, argI; ornithine carbamoyltransferase	2.1.3.3	1
01_Fermentation	Acetoin biosynthesis	(R)-acetoin biosynthesis I		K00615	E2.2.1.1, tktA, tktB; transketolase	2.2.1.1	1
01_Fermentation	Acetoin biosynthesis	(s)-acetoin biosynthesis		K00615	E2.2.1.1, tktA, tktB; transketolase	2.2.1.1	1
01_Fermentation	Acetoin biosynthesis	Meso-butanediol biosynthesis II		K00615	E2.2.1.1, tktA, tktB; transketolase	2.2.1.1	1
01_Fermentation	Acetoin biosynthesis	Superpathway of (R,R)-butanediol biosynthesis		K00615	E2.2.1.1, tktA, tktB; transketolase	2.2.1.1	1
06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K00620	argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase	2.3.1.35 2.3.1.1	1
06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00632	fadA, fadI; acetyl-CoA acyltransferase	2.3.1.16	1
01_Fermentation	Mixed acid fermentation			K00634	ptb; phosphate butyryltransferase	2.3.1.19	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate III		K00634	ptb; phosphate butyryltransferase	2.3.1.19	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K00634	ptb; phosphate butyryltransferase	2.3.1.19	1
06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00639	kbl, GCAT; glycine C-acetyltransferase	2.3.1.29	1
01_Fermentation	Acetylene degradation			K00640	cysE; serine O-acetyltransferase	2.3.1.30	1
