L1	L2	L3	L4	ID	Function	EC	Gene
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K03778	D-lactate dehydrogenase	1.1.1.28	ldhA
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01610	phosphoenolpyruvate carboxykinase (ATP)	4.1.1.49	pckA
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01658	anthranilate synthase component II	4.1.3.27	trpG
01_Fermentation	Heterolactic fermentation			K00001	alcohol dehydrogenase	1.1.1.1	adh
01_Fermentation	Heterolactic fermentation			K03778	D-lactate dehydrogenase	1.1.1.28	ldhA
01_Fermentation	Heterolactic fermentation			K04073	acetaldehyde dehydrogenase	1.2.1.10	mhpF
01_Fermentation	Heterolactic fermentation			K04072	acetaldehyde dehydrogenase / alcohol dehydrogenase	1.2.1.10 1.1.1.1	adhE
01_Fermentation	Heterolactic fermentation			K08074	ADP-dependent glucokinase	2.7.1.147	ADPGK
01_Fermentation	Heterolactic fermentation			K02203	phosphoserine / homoserine phosphotransferase	3.1.3.3 2.7.1.39	thrH
01_Fermentation	Heterolactic fermentation			K14075	pancreatic lipase-related protein 2	3.1.1.3	PNLIPRP2, PLRP2
01_Fermentation	Heterolactic fermentation			K01807	ribose 5-phosphate isomerase A	5.3.1.6	rpiA
01_Fermentation	Heterolactic fermentation			K07514	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase	4.2.1.17 1.1.1.35 5.3.3.8	EHHADH
01_Fermentation	Heterolactic fermentation			K14076	pancreatic lipase-related protein 3	3.1.1.3	PNLIPRP3, PLRP3
01_Fermentation	Heterolactic fermentation			K01808	ribose 5-phosphate isomerase B	5.3.1.6	rpiB
01_Fermentation	Heterolactic fermentation			K10705	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	1.2.1.12	GAPDHS
01_Fermentation	Heterolactic fermentation			K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh
01_Fermentation	Heterolactic fermentation			K03777	D-lactate dehydrogenase (quinone)	1.1.5.12	dld
01_Fermentation	Heterolactic fermentation			K00033	6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343	PGD, gnd, gntZ
01_Fermentation	Heterolactic fermentation			K00036	glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363	G6PD, zwf
01_Fermentation	Heterolactic fermentation			K00132	acetaldehyde dehydrogenase (acetylating)	1.2.1.10	
01_Fermentation	Heterolactic fermentation			K00134	glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	GAPDH, gapA
01_Fermentation	Heterolactic fermentation			K00640	serine O-acetyltransferase	2.3.1.30	cysE
01_Fermentation	Heterolactic fermentation			K00918	ADP-dependent phosphofructokinase/glucokinase	2.7.1.146 2.7.1.147	pfkC
01_Fermentation	Heterolactic fermentation			K00865	glycerate 2-kinase	2.7.1.165	glxK, garK
01_Fermentation	Heterolactic fermentation			K00872	homoserine kinase	2.7.1.39	thrB
01_Fermentation	Heterolactic fermentation			K05715	2-phosphoglycerate kinase	2.7.2.16	2PGK
01_Fermentation	Heterolactic fermentation			K14074	pancreatic lipase-related protein 1	3.1.1.3	PNLIPRP1, PLRP1
01_Fermentation	Heterolactic fermentation			K08302	tagatose 1,6-diphosphate aldolase GatY/KbaY	4.1.2.40	gatY-kbaY
01_Fermentation	Heterolactic fermentation			K13830	pentafunctional AROM polypeptide	4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19	ARO1
01_Fermentation	Heterolactic fermentation			K01776	glutamate racemase	5.1.1.3	murI
01_Fermentation	Heterolactic fermentation			K01805	xylose isomerase	5.3.1.5	xylA
01_Fermentation	Heterolactic fermentation			K01825	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase	1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8	fadB
01_Fermentation	Heterolactic fermentation			K00232	acyl-CoA oxidase	1.3.3.6	ACOX1, ACOX3
01_Fermentation	Lysine fermentation to acetate and butyrate			K00640	serine O-acetyltransferase	2.3.1.30	cysE
01_Fermentation	Lysine fermentation to acetate and butyrate			K00625	phosphate acetyltransferase	2.3.1.8	pta
01_Fermentation	Lysine fermentation to acetate and butyrate			K13598	two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	ntrY
01_Fermentation	Lysine fermentation to acetate and butyrate			K01039	glutaconate CoA-transferase, subunit A	2.8.3.12	gctA
01_Fermentation	Lysine fermentation to acetate and butyrate			K03431	phosphoglucosamine mutase	5.4.2.10	glmM
01_Fermentation	Lysine fermentation to acetate and butyrate			K01835	phosphoglucomutase	5.4.2.2	pgm
01_Fermentation	Lysine fermentation to acetate and butyrate			K00001	alcohol dehydrogenase	1.1.1.1	adh
01_Fermentation	Mixed acid fermentation			K03777	D-lactate dehydrogenase (quinone)	1.1.5.12	dld
01_Fermentation	Mixed acid fermentation			K00024	malate dehydrogenase	1.1.1.37	mdh
01_Fermentation	Mixed acid fermentation			K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	frmA, ADH5, adhC
01_Fermentation	Mixed acid fermentation			K03778	D-lactate dehydrogenase	1.1.1.28	ldhA
01_Fermentation	Mixed acid fermentation			K00025	malate dehydrogenase	1.1.1.37	MDH1
01_Fermentation	Mixed acid fermentation			K00026	malate dehydrogenase	1.1.1.37	MDH2
01_Fermentation	Mixed acid fermentation			K11440	choline dehydrogenase	1.1.1.1	gbsB
01_Fermentation	Mixed acid fermentation			K13951	alcohol dehydrogenase 1/7	1.1.1.1	ADH1_7
01_Fermentation	Mixed acid fermentation			K13952	alcohol dehydrogenase 6	1.1.1.1	ADH6
01_Fermentation	Mixed acid fermentation			K13953	alcohol dehydrogenase, propanol-preferring	1.1.1.1	adhP
01_Fermentation	Mixed acid fermentation			K13954	alcohol dehydrogenase	1.1.1.1	yiaY
01_Fermentation	Mixed acid fermentation			K13980	alcohol dehydrogenase 4	1.1.1.1	ADH4
01_Fermentation	Mixed acid fermentation			K00031	isocitrate dehydrogenase	1.1.1.42	IDH1, IDH2, icd
01_Fermentation	Mixed acid fermentation			K00132	acetaldehyde dehydrogenase (acetylating)	1.2.1.10	
01_Fermentation	Mixed acid fermentation			K04072	acetaldehyde dehydrogenase / alcohol dehydrogenase	1.2.1.10 1.1.1.1	adhE
01_Fermentation	Mixed acid fermentation			K04073	acetaldehyde dehydrogenase	1.2.1.10	mhpF
01_Fermentation	Mixed acid fermentation			K02203	phosphoserine / homoserine phosphotransferase	3.1.3.3 2.7.1.39	thrH
01_Fermentation	Mixed acid fermentation			K02472	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	1.1.1.336	wecC
01_Fermentation	Mixed acid fermentation			K02474	UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase	1.1.1.136 1.1.1.-	wbpO
01_Fermentation	Mixed acid fermentation			K05556	ketoreductase RED1	1.1.1.-	actVI1, RED1
01_Fermentation	Mixed acid fermentation			K06607	myo-inositol catabolism protein IolS	1.1.1.-	iolS
01_Fermentation	Mixed acid fermentation			K07535	2-hydroxycyclohexanecarboxyl-CoA dehydrogenase	1.1.1.-	badH
01_Fermentation	Mixed acid fermentation			K07538	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase	1.1.1.368	had
01_Fermentation	Mixed acid fermentation			K08322	L-gulonate 5-dehydrogenase	1.1.1.380	rspB
01_Fermentation	Mixed acid fermentation			K10251	17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase	1.1.1.62 1.1.1.330	HSD17B12, KAR, IFA38
01_Fermentation	Mixed acid fermentation			K10978	methanogen homoisocitrate dehydrogenase	1.1.1.87 1.1.1.-	aksF
01_Fermentation	Mixed acid fermentation			K11150	retinol dehydrogenase 8	1.1.1.-	RDH8
01_Fermentation	Mixed acid fermentation			K11151	retinol dehydrogenase 10	1.1.1.-	RDH10
01_Fermentation	Mixed acid fermentation			K11152	retinol dehydrogenase 11	1.1.1.300	RDH11
01_Fermentation	Mixed acid fermentation			K11153	retinol dehydrogenase 12	1.1.1.300	RDH12
01_Fermentation	Mixed acid fermentation			K11154	retinol dehydrogenase 16	1.1.1.-	RDH16
01_Fermentation	Mixed acid fermentation			K11161	retinol dehydrogenase 13	1.1.1.300	RDH13
01_Fermentation	Mixed acid fermentation			K11162	retinol dehydrogenase 14	1.1.1.-	RDH14
01_Fermentation	Mixed acid fermentation			K11539	carbonyl reductase 4 / 3-oxoacyl-[acyl-carrier protein] reductase beta subunit	1.1.1.-	CBR4
01_Fermentation	Mixed acid fermentation			K12420	ketoreductase	1.1.1.-	actIII, oxyJ, snoaD, aknA
01_Fermentation	Mixed acid fermentation			K12451	3,5-epimerase/4-reductase	5.1.3.- 1.1.1.-	UER1
01_Fermentation	Mixed acid fermentation			K13015	UDP-N-acetyl-D-glucosamine dehydrogenase	1.1.1.136	wbpA
01_Fermentation	Mixed acid fermentation			K13016	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase	1.1.1.335	wbpB
01_Fermentation	Mixed acid fermentation			K13020	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase	1.1.1.335	wlbA, bplA
01_Fermentation	Mixed acid fermentation			K13548	2-deoxy-scyllo-inosamine dehydrogenase	1.1.1.329	neoA, kanK
01_Fermentation	Mixed acid fermentation			K13574	hydroxycarboxylate dehydrogenase B	1.1.1.237 1.1.1.-	hcxB
01_Fermentation	Mixed acid fermentation			K14248			
01_Fermentation	Mixed acid fermentation			K14465	succinate semialdehyde reductase (NADPH)	1.1.1.-	K14465
01_Fermentation	Mixed acid fermentation			K14633	ketoreductase RED2	1.1.1.-	gra6, RED2
01_Fermentation	Mixed acid fermentation			K13767	enoyl-CoA hydratase	4.2.1.17	fadB
01_Fermentation	Mixed acid fermentation			K06001	tryptophan synthase beta chain	4.2.1.20	trpB
01_Fermentation	Mixed acid fermentation			K06001	tryptophan synthase beta chain	4.2.1.20	trpB
01_Fermentation	Mixed acid fermentation			K01089	imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase	4.2.1.19 3.1.3.15	hisB
01_Fermentation	Mixed acid fermentation			K01693	imidazoleglycerol-phosphate dehydratase	4.2.1.19	hisB
01_Fermentation	Mixed acid fermentation			K00634	phosphate butyryltransferase	2.3.1.19	ptb
01_Fermentation	Mixed acid fermentation			K00640	serine O-acetyltransferase	2.3.1.30	cysE
01_Fermentation	Mixed acid fermentation			K00872	homoserine kinase	2.7.1.39	thrB
01_Fermentation	Mixed acid fermentation			K13598	two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	ntrY
01_Fermentation	Mixed acid fermentation			K01593	aromatic-L-amino-acid/L-tryptophan decarboxylase	4.1.1.28 4.1.1.105	DDC, TDC
01_Fermentation	Mixed acid fermentation			K10527	enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase	4.2.1.17 1.1.1.35 1.1.1.211	MFP2
01_Fermentation	Mixed acid fermentation			K01696	tryptophan synthase beta chain	4.2.1.20	trpB
01_Fermentation	Mixed acid fermentation			K01696	tryptophan synthase beta chain	4.2.1.20	trpB
01_Fermentation	Mixed acid fermentation			K00061	11-cis-retinol dehydrogenase	1.1.1.315	RDH5
01_Fermentation	Pyruvate fermentation to butanol			K00061	11-cis-retinol dehydrogenase	1.1.1.315	RDH5
01_Fermentation	Pyruvate fermentation to butanol			K02472	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	1.1.1.336	wecC
01_Fermentation	Pyruvate fermentation to butanol			K02474	UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase	1.1.1.136 1.1.1.-	wbpO
01_Fermentation	Pyruvate fermentation to butanol			K05556	ketoreductase RED1	1.1.1.-	actVI1, RED1
01_Fermentation	Pyruvate fermentation to butanol			K06607	myo-inositol catabolism protein IolS	1.1.1.-	iolS
01_Fermentation	Pyruvate fermentation to butanol			K07535	2-hydroxycyclohexanecarboxyl-CoA dehydrogenase	1.1.1.-	badH
01_Fermentation	Pyruvate fermentation to butanol			K07538	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase	1.1.1.368	had
01_Fermentation	Pyruvate fermentation to butanol			K08322	L-gulonate 5-dehydrogenase	1.1.1.380	rspB
01_Fermentation	Pyruvate fermentation to butanol			K10251	17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase	1.1.1.62 1.1.1.330	HSD17B12, KAR, IFA38
01_Fermentation	Pyruvate fermentation to butanol			K10978	methanogen homoisocitrate dehydrogenase	1.1.1.87 1.1.1.-	aksF
01_Fermentation	Pyruvate fermentation to butanol			K11150	retinol dehydrogenase 8	1.1.1.-	RDH8
01_Fermentation	Pyruvate fermentation to butanol			K11151	retinol dehydrogenase 10	1.1.1.-	RDH10
01_Fermentation	Pyruvate fermentation to butanol			K11152	retinol dehydrogenase 11	1.1.1.300	RDH11
01_Fermentation	Pyruvate fermentation to butanol			K11153	retinol dehydrogenase 12	1.1.1.300	RDH12
01_Fermentation	Pyruvate fermentation to butanol			K11154	retinol dehydrogenase 16	1.1.1.-	RDH16
01_Fermentation	Pyruvate fermentation to butanol			K11161	retinol dehydrogenase 13	1.1.1.300	RDH13
01_Fermentation	Pyruvate fermentation to butanol			K11162	retinol dehydrogenase 14	1.1.1.-	RDH14
01_Fermentation	Pyruvate fermentation to butanol			K11539	carbonyl reductase 4 / 3-oxoacyl-[acyl-carrier protein] reductase beta subunit	1.1.1.-	CBR4
01_Fermentation	Pyruvate fermentation to butanol			K12420	ketoreductase	1.1.1.-	actIII, oxyJ, snoaD, aknA
01_Fermentation	Pyruvate fermentation to butanol			K12451	3,5-epimerase/4-reductase	5.1.3.- 1.1.1.-	UER1
01_Fermentation	Pyruvate fermentation to butanol			K13015	UDP-N-acetyl-D-glucosamine dehydrogenase	1.1.1.136	wbpA
01_Fermentation	Pyruvate fermentation to butanol			K13016	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase	1.1.1.335	wbpB
01_Fermentation	Pyruvate fermentation to butanol			K13020	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase	1.1.1.335	wlbA, bplA
01_Fermentation	Pyruvate fermentation to butanol			K13548	2-deoxy-scyllo-inosamine dehydrogenase	1.1.1.329	neoA, kanK
01_Fermentation	Pyruvate fermentation to butanol			K13574	hydroxycarboxylate dehydrogenase B	1.1.1.237 1.1.1.-	hcxB
01_Fermentation	Pyruvate fermentation to butanol			K14248			
01_Fermentation	Pyruvate fermentation to butanol			K14465	succinate semialdehyde reductase (NADPH)	1.1.1.-	K14465
01_Fermentation	Pyruvate fermentation to butanol			K14633	ketoreductase RED2	1.1.1.-	gra6, RED2
01_Fermentation	Pyruvate fermentation to butanol			K01782	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase	1.1.1.35 4.2.1.17 5.1.2.3	fadJ
01_Fermentation	Pyruvate fermentation to butanol			K01825	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase	1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8	fadB
01_Fermentation	Pyruvate fermentation to butanol			K07514	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase	4.2.1.17 1.1.1.35 5.3.3.8	EHHADH
01_Fermentation	Pyruvate fermentation to butanol			K07516	3-hydroxyacyl-CoA dehydrogenase	1.1.1.35	fadN
01_Fermentation	Pyruvate fermentation to butanol			K07547	2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase BbsC subunit	1.1.1.35	bbsC
01_Fermentation	Pyruvate fermentation to butanol			K07548	2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase BbsD subunit	1.1.1.35	bbsD
01_Fermentation	Pyruvate fermentation to butanol			K08683	3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase	1.1.1.35 1.1.1.178	HSD17B10
01_Fermentation	Pyruvate fermentation to butanol			K00170	pyruvate ferredoxin oxidoreductase beta subunit	1.2.7.1	porB
01_Fermentation	Pyruvate fermentation to butanol			K00171	pyruvate ferredoxin oxidoreductase delta subunit	1.2.7.1	porD
01_Fermentation	Pyruvate fermentation to butanol			K08074	ADP-dependent glucokinase	2.7.1.147	ADPGK
01_Fermentation	Pyruvate fermentation to butanol			K13497	anthranilate synthase/phosphoribosyltransferase	4.1.3.27 2.4.2.18	trpGD
01_Fermentation	Pyruvate fermentation to butanol			K13501	anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase	4.1.3.27 4.1.1.48 5.3.1.24	TRP1
01_Fermentation	Pyruvate fermentation to butanol			K13503	anthranilate synthase	4.1.3.27	trpEG
01_Fermentation	Pyruvate fermentation to butanol			K02372	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	4.2.1.59	fabZ
01_Fermentation	Pyruvate fermentation to butanol			K02509	2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	hpaH
01_Fermentation	Pyruvate fermentation to butanol			K05554	aromatase	4.2.1.-	actVII
01_Fermentation	Pyruvate fermentation to butanol			K07534	cyclohex-1-ene-1-carboxyl-CoA hydratase	4.2.1.-	badK
01_Fermentation	Pyruvate fermentation to butanol			K07546	E-phenylitaconyl-CoA hydratase	4.2.1.-	bbsH
01_Fermentation	Pyruvate fermentation to butanol			K08299	crotonobetainyl-CoA hydratase	4.2.1.149	caiD
01_Fermentation	Pyruvate fermentation to butanol			K09483	3-dehydroshikimate dehydratase	4.2.1.118	quiC
01_Fermentation	Pyruvate fermentation to butanol			K10703	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase	4.2.1.134	HACD, PHS1, PAS2
01_Fermentation	Pyruvate fermentation to butanol			K11336	3-vinyl bacteriochlorophyllide hydratase	4.2.1.165	bchF
01_Fermentation	Pyruvate fermentation to butanol			K10527	enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase	4.2.1.17 1.1.1.35 1.1.1.211	MFP2
01_Fermentation	Pyruvate fermentation to butanol			K12405	(3R)-3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase / enoyl-CoA hydratase 2	1.1.1.- 4.2.1.107 4.2.1.119	HSD17B4
01_Fermentation	Pyruvate fermentation to butanol			K00169	pyruvate ferredoxin oxidoreductase alpha subunit	1.2.7.1	porA
01_Fermentation	Pyruvate fermentation to butanol			K00022	3-hydroxyacyl-CoA dehydrogenase	1.1.1.35	HADH
01_Fermentation	Pyruvate fermentation to butanol			K14085	aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	ALDH7A1
01_Fermentation	Pyruvate fermentation to butanol			K00232	acyl-CoA oxidase	1.3.3.6	ACOX1, ACOX3
01_Fermentation	Pyruvate fermentation to butanol			K00625	phosphate acetyltransferase	2.3.1.8	pta
01_Fermentation	Pyruvate fermentation to butanol			K01658	anthranilate synthase component II	4.1.3.27	trpG
01_Fermentation	Pyruvate fermentation to butanol			K00918	ADP-dependent phosphofructokinase/glucokinase	2.7.1.146 2.7.1.147	pfkC
01_Fermentation	Homolactic fermentation			K01805	xylose isomerase	5.3.1.5	xylA
