ID		FUN	EC	FUNCTION
CBM79		Carb binding modules		
CBM7		Carb binding modules		
CBM80		Carb binding modules		
CBM81		Carb binding modules		
CBM82		Carb binding modules		
CBM83		Carb binding modules		
CBM84		Carb binding modules		
CBM85		Carb binding modules		
CBM86		Carb binding modules		
CBM87		Carb binding modules		
CBM88		Carb binding modules		
CBM89		Carb binding modules		
CBM8		Carb binding modules		
CBM90		Carb binding modules		
CBM91		Carb binding modules		
CBM92		Carb binding modules		
CBM93		Carb binding modules		
CBM9		Carb binding modules		
CE0		Carb esterases		
CE10		Carb esterases	3.1.1.-	arylesterase
CE11		Carb esterases	3.5.1.108	UDP-3-0-acyl N-acetylglucosamine deacetylase
CE12		Carb esterases	3.1.1.-	pectin acetylesterase
CE13		Carb esterases	3.1.1.-	pectin acetylesterase
CE14		Carb esterases	3.5.1.89	N-acetyl-1-D-myo-inosityl-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase
CE15		Carb esterases	3.1.1.-	4-O-methyl-glucuronoyl methylesterase
CE16		Carb esterases	3.1.1.6	acetylesterase
CE17		Carb esterases		
CE18		Carb esterases	3.5.1.-	N-acetylgalactosamine deacetylase
CE19		Carb esterases		
CE1		Carb esterases	3.1.1.72	acetyl xylan esterase
CE20		Carb esterases		
CE2		Carb esterases	3.1.1.72	acetyl xylan esterase
CE3		Carb esterases	3.1.1.72	acetyl xylan esterase
CE4		Carb esterases	3.1.1.72	acetyl xylan esterase
CE5		Carb esterases	3.1.1.72	acetyl xylan esterase
CE6		Carb esterases	3.1.1.72	acetyl xylan esterase
CE7		Carb esterases	3.1.1.72	acetyl xylan esterase
CE8		Carb esterases	3.1.1.11	pectin methylesterase
CE9		Carb esterases	3.5.1.25	N-acetylglucosamine 6-phosphate deacetylase
GH0		Glycoside hydrolase		
GH100		Glycoside hydrolase	3.2.1.26	alkaline and neutral invertase
GH101		Glycoside hydrolase	3.2.1.97	endo-alpha-N-acetylgalactosaminidase
GH102		Glycoside hydrolase	3.2.1.-	peptidoglycan lytic transglycosylase
GH103		Glycoside hydrolase	3.2.1.-	peptidoglycan lytic transglycosylase
GH104		Glycoside hydrolase	3.2.1.-	peptidoglycan lytic transglycosylase
GH105		Glycoside hydrolase	3.2.1.172	unsaturated rhamnogalacturonyl hydrolase
GH106		Glycoside hydrolase	3.2.1.40	alpha-L-rhamnosidase
GH107		Glycoside hydrolase	3.2.1.212	endo-alpha-1,4-L-fucanase
GH108		Glycoside hydrolase	3.2.1.17	N-acetylmuramidase
GH109		Glycoside hydrolase	3.2.1.49	alpha-N-acetylgalactosaminidase
GH10		Glycoside hydrolase	3.2.1.8	endo-1,4-beta-xylanase
GH110		Glycoside hydrolase	3.2.1.22	alpha-galactosidase
GH111		Glycoside hydrolase	3.2.1.-	keratan sulfate hydrolase (endo-beta-N-acetylglucosaminidase)
GH112		Glycoside hydrolase	2.4.1.211	lacto-N-biose phosphorylase or galacto-N-biose phosphorylase
GH113		Glycoside hydrolase	3.2.1.78	beta-mannanase
GH114		Glycoside hydrolase	3.2.1.109	endo-alpha-1,4-polygalactosaminidase
GH115		Glycoside hydrolase		
GH116		Glycoside hydrolase	3.2.1.21	beta-glucosidase
GH117		Glycoside hydrolase	3.2.1.146	beta-D-galactofuranosidase
GH118		Glycoside hydrolase	3.2.1.81	beta-agarase
GH119		Glycoside hydrolase	3.2.1.1	alpha-amylase
GH11		Glycoside hydrolase	3.2.1.8	endo-beta-1,4-xylanase
GH120		Glycoside hydrolase	3.2.1.37	beta-xylosidase
GH121		Glycoside hydrolase	3.2.1.-	beta-L-arabinobiosidase
GH122		Glycoside hydrolase	3.2.1.20	alpha-glucosidase
GH123		Glycoside hydrolase	3.2.1.53	beta-N-acetylgalactosaminidase
GH124		Glycoside hydrolase	3.2.1.4	endoglucanase
GH125		Glycoside hydrolase	3.2.1.163	exo-alpha-1,6-mannosidase
GH126		Glycoside hydrolase	3.2.1.-	alpha-amylase
GH127		Glycoside hydrolase	3.2.1.185	beta-L-arabinofuranosidase
GH128		Glycoside hydrolase	3.2.1.39	beta-1,3-glucanase
GH129		Glycoside hydrolase	3.2.1.49	alpha-N-acetylgalactosaminidase
GH12		Glycoside hydrolase	3.2.1.4	endoglucanase
GH130		Glycoside hydrolase	2.4.1.281	beta-1,4-mannosylglucose phosphorylase
GH131		Glycoside hydrolase	3.2.1.21	endo-beta-1,4-glucanase
GH132		Glycoside hydrolase	3.2.1.-	Activity on beta-1,3-glucan (curdlan) shown for the Aspergillus fumigatus Sun4 protein; activity on laminarioligosaccharides shown for Aspergillus fumigatus Sun4 protein and Candida albicans Sun41 protein; transglycosylation activity reported in PMID 23508952; beta-1,3-glucosidase
GH133		Glycoside hydrolase	3.2.1.33	amylo-alpha-1,6-glucosidase
GH134		Glycoside hydrolase	3.2.1.78	endo-beta-1,4-mannanase
GH135		Glycoside hydrolase	3.2.1.-	alpha-1,4-galactosaminogalactan hydrolase
GH136		Glycoside hydrolase	3.2.1.140	lacto-N-biosidase
GH137		Glycoside hydrolase	3.2.1.185	beta-L-arabinofuranosidase
GH138		Glycoside hydrolase	3.2.1.173	rhamnogalacturonan alpha-1,2-galacturonohydrolase
GH139		Glycoside hydrolase	3.2.1.-	alpha-2-O-Me-L-fucosidase
GH13		Glycoside hydrolase	3.2.1.1	alpha-amylase
GH140		Glycoside hydrolase	3.2.1.-	beta-1,2-apiosidase
GH141		Glycoside hydrolase	3.2.1.51	alpha-L-fucosidase
GH142		Glycoside hydrolase	3.2.1.185	beta-L-arabinofuranosidase
GH143		Glycoside hydrolase	3.2.1.-	2-keto-3-deoxy-D-lyxo-heptulosaric acid hydrolase
GH144		Glycoside hydrolase	3.2.1.71	endo-beta-1,2-glucanase
GH145		Glycoside hydrolase		
GH146		Glycoside hydrolase	3.2.1.185	beta-L-arabinofuranosidase
GH147		Glycoside hydrolase	3.2.1.23	beta-galactosidase
GH148		Glycoside hydrolase	3.2.1.-	beta-1,3-glucanase
GH149		Glycoside hydrolase	2.4.1.97	beta-1,3-glucan phosphorylase
GH14		Glycoside hydrolase	3.2.1.2	beta-amylase
GH150		Glycoside hydrolase	3.2.1.162	Iota;-carrageenase
GH151		Glycoside hydrolase	3.2.1.51	alpha-L-fucosidase
GH152		Glycoside hydrolase	3.2.1.39	beta-1,3-glucanase
GH153		Glycoside hydrolase	3.2.1.-	poly-beta-1,6-D-glucosamine hydrolase
GH154		Glycoside hydrolase	3.2.1.-	beta-glucuronidase (3.2.1.31); beta-1,6-D-glucuronidase
GH155		Glycoside hydrolase		
GH156		Glycoside hydrolase	3.2.1.18	exo-alpha-sialidase
GH157		Glycoside hydrolase	3.2.1.39	endo-beta-1,3-glucanase / laminarinase
GH158		Glycoside hydrolase	3.2.1.39	endo-beta-1,3-glucanase
GH159		Glycoside hydrolase	3.2.1.146	beta-D-galactofuranosidase
GH15		Glycoside hydrolase	3.2.1.3	glucoamylase
GH160		Glycoside hydrolase	3.2.1.-	endo-beta-1,4-galactosidase
GH161		Glycoside hydrolase	2.4.1.97	beta-1,3-glucan phosphorylase
GH162		Glycoside hydrolase	3.2.1.71	endo-beta-1,2-glucanase
GH163		Glycoside hydrolase	3.2.1.-	endo-beta-N-acetylglucosaminidase cleaving GlcNAc-beta-1,2-Man
GH164		Glycoside hydrolase	3.2.1.25	beta-mannosidase
GH165		Glycoside hydrolase	3.2.1.23	beta-galactosidase
GH166		Glycoside hydrolase	3.2.1.-	alpha-1,4-galactosaminogalactan hydrolase
GH167		Glycoside hydrolase	3.2.1.-	beta-carrageenase
GH168		Glycoside hydrolase	3.2.1.211	endo-alpha-(1,3)-L-fucanase
GH169		Glycoside hydrolase	3.2.1.31	beta-glucuronidase
GH16		Glycoside hydrolase	2.4.1.207	xyloglucan:xyloglucosyltransferase
GH170		Glycoside hydrolase	3.2.1.-	6-phospho-N-acetylmuramidase
GH171		Glycoside hydrolase	3.2.1.92	peptidoglycan beta-N-acetylmuramidase
GH172		Glycoside hydrolase	3.2.1.-	difructose-anhydride-I synthase (EC 4.2.1.179 (old 3.2.1.134)); alpha-D-Arabinofuranosidase
GH173		Glycoside hydrolase	3.2.1.23	beta-galactosidase
GH17		Glycoside hydrolase	3.2.1.39	glucan endo-1,3-beta-glucosidase
GH18		Glycoside hydrolase	3.2.1.14	chitinase
GH19		Glycoside hydrolase	3.2.1.14	chitinase
GH1		Glycoside hydrolase	3.2.1.21	beta-glucosidase
GH20		Glycoside hydrolase	3.2.1.52	beta-hexosaminidase
GH21		Glycoside hydrolase		
GH22		Glycoside hydrolase	3.2.1.17	lysozyme type C
GH23		Glycoside hydrolase	3.2.1.17	lysozyme type G
GH24		Glycoside hydrolase	3.2.1.17	lysozyme
GH25		Glycoside hydrolase	3.2.1.17	lysozyme
GH26		Glycoside hydrolase	3.2.1.78	beta-mannanase
GH27		Glycoside hydrolase	3.2.1.22	alpha-galactosidase
GH28		Glycoside hydrolase	3.2.1.15	polygalacturonase
GH29		Glycoside hydrolase	3.2.1.51	alpha-L-fucosidase
GH2		Glycoside hydrolase	3.2.1.23	beta-galactosidase
GH30		Glycoside hydrolase	3.2.1.8	endo-beta-1,4-xylanase
GH31		Glycoside hydrolase	3.2.1.20	alpha-glucosidase
GH32		Glycoside hydrolase	3.2.1.26	invertase
GH33		Glycoside hydrolase	3.2.1.18	sialidase or neuraminidase
GH34		Glycoside hydrolase	3.2.1.18	sialidase or neuraminidase
GH35		Glycoside hydrolase	3.2.1.23	beta-galactosidase
GH36		Glycoside hydrolase	3.2.1.22	alpha-galactosidase
GH37		Glycoside hydrolase	3.2.1.28	alpha,alpha-trehalase
GH38		Glycoside hydrolase	3.2.1.24	alpha-mannosidase
GH39		Glycoside hydrolase	3.2.1.76	alpha-L-iduronidase
GH3		Glycoside hydrolase	3.2.1.21	beta-glucosidase
GH40		Glycoside hydrolase		
GH41		Glycoside hydrolase		
GH42		Glycoside hydrolase	3.2.1.23	beta-galactosidase
GH43		Glycoside hydrolase	3.2.1.37	beta-xylosidase
GH44		Glycoside hydrolase	3.2.1.4	endoglucanase
GH45		Glycoside hydrolase	3.2.1.4	endoglucanase
GH46		Glycoside hydrolase	3.2.1.132	chitosanase
GH47		Glycoside hydrolase	3.2.1.113	alpha-mannosidase
GH48		Glycoside hydrolase	3.2.1.176	reducing end-acting cellobiohydrolase
GH49		Glycoside hydrolase	3.2.1.11	dextranase
GH4		Glycoside hydrolase	3.2.1.122	maltose-6-phosphate glucosidase
GH50		Glycoside hydrolase	3.2.1.81	beta-agarase
GH51		Glycoside hydrolase	3.2.1.4	endoglucanase
GH52		Glycoside hydrolase	3.2.1.37	beta-xylosidase
GH53		Glycoside hydrolase	3.2.1.89	endo-beta-1,4-galactanase
GH54		Glycoside hydrolase	3.2.1.55	alpha-L-arabinofuranosidase
GH55		Glycoside hydrolase	3.2.1.58	exo-beta-1,3-glucanase
GH56		Glycoside hydrolase	3.2.1.35	hyaluronidase
GH57		Glycoside hydrolase	3.2.1.1	alpha-amylase
GH58		Glycoside hydrolase	3.2.1.129	endo-N-acetylneuraminidase or endo-sialidase
GH59		Glycoside hydrolase	3.2.1.23	beta-galactosidase
GH5		Glycoside hydrolase	3.2.1.4	endo-beta-1,4-glucanase / cellulase
GH60		Glycoside hydrolase		
GH61		Glycoside hydrolase		
GH62		Glycoside hydrolase	3.2.1.55	alpha-L-arabinofuranosidase
GH63		Glycoside hydrolase	3.2.1.106	processing alpha-glucosidase
GH64		Glycoside hydrolase	3.2.1.39	beta-1,3-glucanase
GH65		Glycoside hydrolase	3.2.1.28	alpha,alpha-trehalase
GH66		Glycoside hydrolase	2.4.1.248	cycloisomaltooligosaccharide glucanotransferase
GH67		Glycoside hydrolase	3.2.1.139	alpha-glucuronidase
GH68		Glycoside hydrolase	2.4.1.10	levansucrase
GH69		Glycoside hydrolase		
GH6		Glycoside hydrolase	3.2.1.4	endoglucanase
GH70		Glycoside hydrolase	2.4.1.5	dextransucrase
GH71		Glycoside hydrolase	3.2.1.59	alpha-1,3-glucanase
GH72		Glycoside hydrolase	2.4.1.-	beta-1,3-glucanosyltransglycosylase
GH73		Glycoside hydrolase	3.2.1.17	lysozyme
GH74		Glycoside hydrolase	3.2.1.4	endoglucanase
GH75		Glycoside hydrolase	3.2.1.132	chitosanase
GH76		Glycoside hydrolase	3.2.1.101	alpha-1,6-mannanase
GH77		Glycoside hydrolase	2.4.1.25	amylomaltase or 4-alpha-glucanotransferase
GH78		Glycoside hydrolase	3.2.1.40	alpha-L-rhamnosidase
GH79		Glycoside hydrolase	3.2.1.31	beta-glucuronidase
GH7		Glycoside hydrolase	3.2.1.4	endo-beta-1,4-glucanase
GH80		Glycoside hydrolase	3.2.1.132	chitosanase
GH81		Glycoside hydrolase	3.2.1.39	endo-beta-1,3-glucanase
GH82		Glycoside hydrolase	3.2.1.157	Iota;-carrageenase
GH83		Glycoside hydrolase	3.2.1.18	neuraminidase
GH84		Glycoside hydrolase	3.2.1.52	N-acetyl beta-glucosaminidase
GH85		Glycoside hydrolase	3.2.1.96	endo-beta-N-acetylglucosaminidase
GH86		Glycoside hydrolase	3.2.1.81	beta-agarase
GH87		Glycoside hydrolase	3.2.1.61	mycodextranase
GH88		Glycoside hydrolase	3.2.1.-	d-4,5-unsaturated beta-glucuronyl hydrolase
GH89		Glycoside hydrolase	3.2.1.50	alpha-N-acetylglucosaminidase
GH8		Glycoside hydrolase	3.2.1.132	chitosanase
GH90		Glycoside hydrolase	3.2.1.-	endorhamnosidase
GH91		Glycoside hydrolase	4.2.2.17	inulin lyase [DFA-I-forming]
GH92		Glycoside hydrolase	3.2.1.113	mannosyl-oligosaccharide alpha-1,2-mannosidase
GH93		Glycoside hydrolase	3.2.1.-	exo-alpha-L-1,5-arabinanase
GH94		Glycoside hydrolase	2.4.1.20	cellobiose phosphorylase
GH95		Glycoside hydrolase	3.2.1.51	alpha-L-fucosidase
GH96		Glycoside hydrolase	3.2.1.158	alpha-agarase
GH97		Glycoside hydrolase	3.2.1.3	glucoamylase
GH98		Glycoside hydrolase	3.2.1.102	blood-group endo-beta-1,4-galactosidase
GH99		Glycoside hydrolase	3.2.1.130	glycoprotein endo-alpha-1,2-mannosidase
GH9		Glycoside hydrolase	3.2.1.4	endoglucanase
GT0		Glycosyl trasferase		
GT100		Glycosyl trasferase	2.4.99.-	alpha-sialyltransferase
GT101		Glycosyl trasferase	2.4.1.-	beta-glucosyltransferase
GT102		Glycosyl trasferase	2.4.1.289	dTDP-beta-L-Rhap : O-antigen-polysaccharide alpha-1,3-L-rhamnosyltransferase
GT103		Glycosyl trasferase	2.4.1.56	UDP-alpha-L-GlcpNAc: O-antigen-polysaccharide beta-1,4-N-acetylglucosaminyltransferase
GT104		Glycosyl trasferase	2.4.1.-	dTDP-beta-L-Rhap : arginine alpha-L-rhamnosyltransferase
GT105		Glycosyl trasferase	2.4.1.109	Dol-P-beta-D-Man: protein alpha-D-mannosyltransferase
GT106		Glycosyl trasferase	2.4.1.351	UDP-beta-L-rhamnose:rhamnogalacturonan I 4-alpha-rhamnosyltransferase
GT107		Glycosyl trasferase	2.4.99.-	CMP-beta-KDO: beta-2,4-KDO transferase
GT108		Glycosyl trasferase	2.4.1.374	GDP-alpha-D-Manp: beta-1,2-D-mannosyltransferase
GT109		Glycosyl trasferase	2.4.1.-	UDP-GalNAc: beta-1,4-N-acetylgalactosaminyltransferase
GT10		Glycosyl trasferase	2.4.1.65	galactoside alpha-1,3/1,4-L-fucosyltransferase
GT110		Glycosyl trasferase	2.4.2.-	UDP-D-xylose:ribitol-5-phosphate beta-1,4-xylosyltransferase
GT111		Glycosyl trasferase	2.4.1.-	UDP-Galf: beta-1,3-galactofuranosyltransferase
GT112		Glycosyl trasferase	2.4.99.-	ADP-glyceromannoheptose: glycoprotein O-heptosyltransferase
GT113		Glycosyl trasferase		
GT114		Glycosyl trasferase	2.4.1.-	beta-xylosyltransferase
GT115		Glycosyl trasferase	2.4.1.-	UDP-GlcNAc: Dol-PP-GlcNAc beta-GlcNAc-transferase
GT11		Glycosyl trasferase	2.4.1.69	GDP-L-Fuc: galactoside alpha-1,2-L-fucosyltransferase
GT12		Glycosyl trasferase	2.4.1.92	[N-acetylneuraminyl]-galactosylglucosylceramide N-acetylgalactosaminyltransferase
GT13		Glycosyl trasferase	2.4.1.101	alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
GT14		Glycosyl trasferase	2.4.1.102	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase
GT15		Glycosyl trasferase	2.4.1.131	glycolipid 2-alpha-mannosyltransferase
GT16		Glycosyl trasferase	2.4.1.143	alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
GT17		Glycosyl trasferase	2.4.1.144	beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase
GT18		Glycosyl trasferase	2.4.1.155	alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
GT19		Glycosyl trasferase	2.4.1.182	lipid-A-disaccharide synthase
GT1		Glycosyl trasferase	2.4.1.17	UDP-glucuronosyltransferase
GT20		Glycosyl trasferase	2.4.1.15	alpha,alpha-trehalose-phosphate synthase [UDP-forming]
GT21		Glycosyl trasferase	2.4.1.80	UDP-Glc: ceramide beta-glucosyltransferase
GT22		Glycosyl trasferase	2.4.1.259	Dol-P-Man: Man6GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase
GT23		Glycosyl trasferase	2.4.1.68	N-acetyl-beta-D-glucosaminide alpha-1,6-L-fucosyltransferase
GT24		Glycosyl trasferase	2.4.1.-	UDP-Glc: glycoprotein alpha-glucosyltransferase
GT25		Glycosyl trasferase	2.4.1.-	lipopolysaccharide beta-1,4-galactosyltransferase
GT26		Glycosyl trasferase	2.4.1.-	UDP-ManNAcA: beta-N-acetyl mannosaminuronyltransferase
GT27		Glycosyl trasferase	2.4.1.41	polypeptide alpha-N-acetylgalactosaminyltransferase
GT28		Glycosyl trasferase	2.4.1.46	1,2-diacylglycerol 3-beta-galactosyltransferase
GT29		Glycosyl trasferase	2.4.99.-	sialyltransferase
GT2		Glycosyl trasferase	2.4.1.12	cellulose synthase
GT30		Glycosyl trasferase	2.4.99.-	CMP-beta-KDO: alpha-3-deoxy-D-manno-octulosonic-acid (KDO) transferase
GT31		Glycosyl trasferase	2.4.1.149	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase
GT32		Glycosyl trasferase	2.4.1.-	alpha-1,6-mannosyltransferase
GT33		Glycosyl trasferase	2.4.1.142	GDP-Man: chitobiosyldiphosphodolichol beta-mannosyltransferase
GT34		Glycosyl trasferase	2.4.1.-	UDP-Gal: galactomannan alpha-1,6-galactosyltransferase
GT35		Glycosyl trasferase	2.4.1.1	glycogen or starch phosphorylase
GT36		Glycosyl trasferase		
GT37		Glycosyl trasferase	2.4.1.69	galactoside 2-L-fucosyltransferase
GT38		Glycosyl trasferase	2.4.-.-	polysialyltransferase
GT39		Glycosyl trasferase	2.4.1.109	Dol-P-Man: protein alpha-mannosyltransferase
GT3		Glycosyl trasferase	2.4.1.11	glycogen synthase
GT40		Glycosyl trasferase	2.4.1.-	beta-1,3-galactofuranosyltransferases
GT41		Glycosyl trasferase	2.4.1.255	UDP-GlcNAc: peptide beta-N-acetylglucosaminyltransferase
GT42		Glycosyl trasferase	2.4.99.-	CMP-NeuAc alpha-2,3-sialyltransferase
GT43		Glycosyl trasferase	2.4.1.135	beta-glucuronyltransferase
GT44		Glycosyl trasferase	2.4.1.-	UDP-Glc: alpha-glucosyltransferase
GT45		Glycosyl trasferase	2.4.1.-	alpha-N-acteylglucosaminyltransferase
GT46		Glycosyl trasferase		
GT47		Glycosyl trasferase	2.4.1.225	heparan beta-glucuronyltransferase
GT48		Glycosyl trasferase	2.4.1.34	1,3-beta-glucan synthase
GT49		Glycosyl trasferase	2.4.1.-	beta-1,3-N-acetylglucosaminyltransferase
GT4		Glycosyl trasferase	2.4.1.13	sucrose synthase
GT50		Glycosyl trasferase	2.4.1.-	Dol-P-Man alpha-1,4-mannosyltransferase
GT51		Glycosyl trasferase	2.4.1.129	murein polymerase
GT52		Glycosyl trasferase	2.4.99.4	alpha-2,3-sialyltransferase
GT53		Glycosyl trasferase	2.4.2.-	UDP-L-Ara: alpha-L-arabinosyltransferase
GT54		Glycosyl trasferase	2.4.1.145	UDP-GlcNAc: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase
GT55		Glycosyl trasferase	2.4.1.217	GDP-Man: mannosyl-3-phosphoglycerate synthase
GT56		Glycosyl trasferase	2.4.1.-	TDP-Fuc4NAc: lipid II Fuc4NAc transferase
GT57		Glycosyl trasferase	2.4.1.-	Dol-P-Glc: alpha-1,3-glucosyltransferase
GT58		Glycosyl trasferase	2.4.1.258	Dol-P-Man: Man5GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase
GT59		Glycosyl trasferase	2.4.1.256	Dol-P-Glc: Glc2Man9GlcNAc2-PP-Dol alpha-1,2-glucosyltransferase
GT5		Glycosyl trasferase	2.4.1.11	UDP-Glc: glycogen glucosyltransferase
GT60		Glycosyl trasferase	2.4.1.-	UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase
GT61		Glycosyl trasferase	2.4.2.38	beta-1,2-xylosyltransferase
GT62		Glycosyl trasferase	2.4.1.-	alpha-1,2-mannosyltransferase
GT63		Glycosyl trasferase	2.4.1.27	UDP-Glc: DNA beta-glucosyltransferase
GT64		Glycosyl trasferase	2.4.1.224	UDP-GlcNAc: heparan alpha-N-acetylhexosaminyltransferase
GT65		Glycosyl trasferase	2.4.1.-	GDP-Fuc: protein O-alpha-fucosyltransferase
GT66		Glycosyl trasferase	2.4.99.18	dolichyl-diphosphooligosaccharideâ€”protein glycotransferase
GT67		Glycosyl trasferase	2.4.1.-	UDP-Gal: phosphoglycan beta-1,3-galactosyltransferase 1 (SCG1)
GT68		Glycosyl trasferase	2.4.1.-	GDP-Fuc: protein O-alpha-fucosyltransferase
GT69		Glycosyl trasferase	2.4.1.-	GDP-Man: alpha-1,3-mannosyltransferase
GT6		Glycosyl trasferase	2.4.1.87	alpha-1,3-galactosyltransferase
GT70		Glycosyl trasferase	2.4.1.17	UDP-GlcA: beta-glucuronosyltransferase
GT71		Glycosyl trasferase	2.4.1.-	alpha-mannosyltransferase
GT72		Glycosyl trasferase	2.4.1.26	UDP-Glc: DNA alpha-glucosyltransferase
GT73		Glycosyl trasferase	2.4.99.-	CMP-beta-KDO: alpha-3-deoxy-D-manno-octulosonic-acid (KDO) transferase
GT74		Glycosyl trasferase	2.4.1.69	alpha-1,2-L-fucosyltransferase
GT75		Glycosyl trasferase	2.4.1.-	UDP-Glc: self-glucosylating beta-glucosyltransferase
GT76		Glycosyl trasferase	2.4.1.-	Dol-P-Man: alpha-1,6-mannosyltransferase
GT77		Glycosyl trasferase	2.4.2.39	alpha-xylosyltransferase
GT78		Glycosyl trasferase	2.4.1.-	GDP-Man: alpha-mannosyltransferase (mannosylglycerate synthase)
GT79		Glycosyl trasferase	2.4.2.-	GDP-D-Ara: phosphoglycan alpha-1,2-D-arabinopyranosyltransferase 1
GT7		Glycosyl trasferase	2.4.1.22	lactose synthase
GT80		Glycosyl trasferase	2.4.99.1	beta-galactoside alpha-2,6-sialyltransferase
GT81		Glycosyl trasferase	2.4.1.266	NDP-Glc: glucosyl-3-phosphoglycerate synthase
GT82		Glycosyl trasferase	2.4.1.-	UDP-GalNAc: beta-1,4-N-acetylgalactosaminyltransferase
