index	L1	L2	L3	L4	KO	Function	EC	Count
3469	12_Transporters	Phosphotransferase system (pts)	Enzyme I and hpr	Enzyme I	K08483	ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	2.7.3.9	19
806	05_Fatty acid oxidation	Fatty acid beta-oxidation I			K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
836	05_Fatty acid oxidation	Fatty acid beta-oxidation II (core pathway)			K01897	ACSL, fadD; long-chain acyl-CoA synthetase	6.2.1.3	6
2948	11_Nitrogen cycle	Nitrogenated compounds Reduction	Assimilatory nitrate reduction	Nitrate to nitrite	K00360	nasB; assimilatory nitrate reductase electron transfer subunit	1.7.99.-	5
878	05_Fatty acid oxidation	Fatty acid activation			K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2)	1.3.1.34	1
2846	09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase			K01840	manB; phosphomannomutase	5.4.2.8	8
5271	20_Hydrolysis of polymers	Mannose			K01840	manB; phosphomannomutase	5.4.2.8	8
3034	12_Transporters	ABC transporters, prokaryotic type	Mineral and organic ion transporters	Spermidine/putrescine transporter [mD:m00299]	K11072	potA; spermidine/putrescine transport system ATP-binding protein	7.6.2.11	5
456	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to propionate II (acrylate pathway)		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
536	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
614	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
657	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
835	05_Fatty acid oxidation	Fatty acid beta-oxidation I			K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
939	06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00248	ACADS, bcd; butyryl-CoA dehydrogenase	1.3.8.1	3
940	06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00249	ACADM, acd; acyl-CoA dehydrogenase	1.3.8.7	5
1741	06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K00249	ACADM, acd; acyl-CoA dehydrogenase	1.3.8.7	5
2054	06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K00249	ACADM, acd; acyl-CoA dehydrogenase	1.3.8.7	5
1144	06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K01426	E3.5.1.4, amiE; amidase	3.5.1.4	2
1270	06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K01426	E3.5.1.4, amiE; amidase	3.5.1.4	2
1417	06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K01426	E3.5.1.4, amiE; amidase	3.5.1.4	2
2556	08_Hydrocarbon degradation	Other aromatics degradation			K01426	E3.5.1.4, amiE; amidase	3.5.1.4	2
2880	09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase			K01426	E3.5.1.4, amiE; amidase	3.5.1.4	2
798	05_Fatty acid oxidation	Fatty acid alpha-oxidation			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
872	05_Fatty acid oxidation	Fatty acid omega-oxidation			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
929	06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
1248	06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
1373	06_Amino acid utilization biosynthesis metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
1832	06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
2511	08_Hydrocarbon degradation	Hydrocarbon degradation			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
5064	20_Hydrolysis of polymers	Xylose			K00128	ALDH; aldehyde dehydrogenase (NAD+)	1.2.1.3	9
3507	12_Transporters	Phosphotransferase system (pts)	Enzyme I and hpr	Fructose-specific II component [mD:m00273]	K02768	fruB; fructose PTS system EIIA component	2.7.1.202	37
3967	19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Lactose		K02768	fruB; fructose PTS system EIIA component	2.7.1.202	37
4026	19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Sucrose		K02768	fruB; fructose PTS system EIIA component	2.7.1.202	37
4073	19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Maltose		K02768	fruB; fructose PTS system EIIA component	2.7.1.202	37
4923	20_Hydrolysis of polymers	Starch			K02768	fruB; fructose PTS system EIIA component	2.7.1.202	37
5227	20_Hydrolysis of polymers	Mannose			K02768	fruB; fructose PTS system EIIA component	2.7.1.202	37
5303	20_Hydrolysis of polymers	Galactose			K02768	fruB; fructose PTS system EIIA component	2.7.1.202	37
3473	12_Transporters	Phosphotransferase system (pts)	Enzyme I and hpr	Phosphocarrier protein hpr	K11183	fruB, fpr; multiphosphoryl transfer protein	2.7.1.202	9
5728	21_Cellular response to stress	Cellular response to stress			K04757	rsbW; serine/threonine-protein kinase RsbW	2.7.11.1	10
6016	21_Cellular response to stress	Regulation of translational initiation in response to osmotic stress			K04757	rsbW; serine/threonine-protein kinase RsbW	2.7.11.1	10
6323	21_Cellular response to stress	Response to osmotic stress			K04757	rsbW; serine/threonine-protein kinase RsbW	2.7.11.1	10
215	01_Fermentation	Pyruvate fermentation to butanol			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
288	01_Fermentation	Acetoin biosynthesis	Superpathway of 2,3-butanediol biosynthesis		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
295	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and alanine		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
306	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate II		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
326	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate II		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
345	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate V		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
353	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VI		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
361	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VIII		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
378	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
436	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol III		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
466	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to propionate II (acrylate pathway)		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
543	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
616	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
899	06_Amino acid utilization biosynthesis metabolism	Deamination of cystein and methionine			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
905	06_Amino acid utilization biosynthesis metabolism	Lysine degradation Iv			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
909	06_Amino acid utilization biosynthesis metabolism	Lysine degradation v			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
912	06_Amino acid utilization biosynthesis metabolism	Lysine degradation vI			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
984	06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
1240	06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
1303	06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
1492	06_Amino acid utilization biosynthesis metabolism	Arginine and proline metabolism			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
1540	06_Amino acid utilization biosynthesis metabolism	Lysine biosynthesis			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
1700	06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
2882	10_TCA cycle	TCA cycle			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
5077	20_Hydrolysis of polymers	Xylose			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
6615	21_Cellular response to stress	Response to osmotic stress			K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	1.2.1.31 1.2.1.8 1.2.1.3	2
2477	08_Hydrocarbon degradation	Polycyclic aromatic hydrocarbon degradation			K00155	LNAA, LNBA; L-tyrosine reductase	1.2.1.101	4
5552	21_Cellular response to stress	Cellular response to osmotic stress			K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
5969	21_Cellular response to stress	Regulation of response to osmotic stress			K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
6532	21_Cellular response to stress	Response to osmotic stress			K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	10
5546	21_Cellular response to stress	Cellular response to osmotic stress			K02482	flgS; two-component system, NtrC family, sensor kinase	2.7.13.3	27
5963	21_Cellular response to stress	Regulation of response to osmotic stress			K02482	flgS; two-component system, NtrC family, sensor kinase	2.7.13.3	27
6526	21_Cellular response to stress	Response to osmotic stress			K02482	flgS; two-component system, NtrC family, sensor kinase	2.7.13.3	27
5536	21_Cellular response to stress	Cellular response to osmotic stress			K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS	2.7.13.3	25
5953	21_Cellular response to stress	Regulation of response to osmotic stress			K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS	2.7.13.3	25
6516	21_Cellular response to stress	Response to osmotic stress			K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS	2.7.13.3	25
47	01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
203	01_Fermentation	Pyruvate fermentation to butanol			K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
391	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
490	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
561	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
644	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
2031	06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
5075	20_Hydrolysis of polymers	Xylose			K02509	hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	1
101	01_Fermentation	Lysine fermentation to acetate and butyrate			K01835	pgm; phosphoglucomutase	5.4.2.2	5
2290	07_Nucleic acid metabolism	Purine metabolism			K01835	pgm; phosphoglucomutase	5.4.2.2	5
4996	20_Hydrolysis of polymers	Starch			K01835	pgm; phosphoglucomutase	5.4.2.2	5
5343	20_Hydrolysis of polymers	Galactose			K01835	pgm; phosphoglucomutase	5.4.2.2	5
5494	21_Cellular response to stress	Cellular response to osmotic stress			K07683	nreB; two-component system, NarL family, sensor histidine kinase NreB	2.7.13.3	6
5911	21_Cellular response to stress	Regulation of response to osmotic stress			K07683	nreB; two-component system, NarL family, sensor histidine kinase NreB	2.7.13.3	6
6474	21_Cellular response to stress	Response to osmotic stress			K07683	nreB; two-component system, NarL family, sensor histidine kinase NreB	2.7.13.3	6
5509	21_Cellular response to stress	Cellular response to osmotic stress			K07777	degS; two-component system, NarL family, sensor histidine kinase DegS	2.7.13.3	18
5926	21_Cellular response to stress	Regulation of response to osmotic stress			K07777	degS; two-component system, NarL family, sensor histidine kinase DegS	2.7.13.3	18
6489	21_Cellular response to stress	Response to osmotic stress			K07777	degS; two-component system, NarL family, sensor histidine kinase DegS	2.7.13.3	18
5469	21_Cellular response to stress	Cellular response to osmotic stress			K07642	baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS	2.7.13.3	24
5886	21_Cellular response to stress	Regulation of response to osmotic stress			K07642	baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS	2.7.13.3	24
6449	21_Cellular response to stress	Response to osmotic stress			K07642	baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS	2.7.13.3	24
6195	21_Cellular response to stress	Response to osmotic stress			K01537	ATP2C; P-type Ca2+ transporter type 2C	7.2.2.10	7
5543	21_Cellular response to stress	Cellular response to osmotic stress			K02476	K02476; two-component system, CitB family, sensor kinase	2.7.13.3	25
5960	21_Cellular response to stress	Regulation of response to osmotic stress			K02476	K02476; two-component system, CitB family, sensor kinase	2.7.13.3	25
6523	21_Cellular response to stress	Response to osmotic stress			K02476	K02476; two-component system, CitB family, sensor kinase	2.7.13.3	25
356	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VII		K00146	feaB; phenylacetaldehyde dehydrogenase	1.2.1.39	4
1125	06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K00146	feaB; phenylacetaldehyde dehydrogenase	1.2.1.39	4
2075	07_Nucleic acid metabolism	Pyrimidine metabolism			K00756	pdp; pyrimidine-nucleoside phosphorylase	2.4.2.2	1
5497	21_Cellular response to stress	Cellular response to osmotic stress			K07700	dpiB, citA; two-component system, CitB family, cit operon sensor histidine kinase CitA	2.7.13.3	2
5914	21_Cellular response to stress	Regulation of response to osmotic stress			K07700	dpiB, citA; two-component system, CitB family, cit operon sensor histidine kinase CitA	2.7.13.3	2
6477	21_Cellular response to stress	Response to osmotic stress			K07700	dpiB, citA; two-component system, CitB family, cit operon sensor histidine kinase CitA	2.7.13.3	2
1567	06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine biosynthesis			K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2.2.1.6	2
1883	06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	2.2.1.6	2
5547	21_Cellular response to stress	Cellular response to osmotic stress			K02484	K02484; two-component system, OmpR family, sensor kinase	2.7.13.3	134
5964	21_Cellular response to stress	Regulation of response to osmotic stress			K02484	K02484; two-component system, OmpR family, sensor kinase	2.7.13.3	134
6527	21_Cellular response to stress	Response to osmotic stress			K02484	K02484; two-component system, OmpR family, sensor kinase	2.7.13.3	134
5472	21_Cellular response to stress	Cellular response to osmotic stress			K07645	qseC; two-component system, OmpR family, sensor histidine kinase QseC	2.7.13.3	38
5889	21_Cellular response to stress	Regulation of response to osmotic stress			K07645	qseC; two-component system, OmpR family, sensor histidine kinase QseC	2.7.13.3	38
6452	21_Cellular response to stress	Response to osmotic stress			K07645	qseC; two-component system, OmpR family, sensor histidine kinase QseC	2.7.13.3	38
2066	07_Nucleic acid metabolism	Pyrimidine metabolism			K00384	trxB, TRR; thioredoxin reductase (NADPH)	1.8.1.9	1
5583	21_Cellular response to stress	Cellular response to stress			K00384	trxB, TRR; thioredoxin reductase (NADPH)	1.8.1.9	1
5551	21_Cellular response to stress	Cellular response to osmotic stress			K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	2.7.13.3	26
5968	21_Cellular response to stress	Regulation of response to osmotic stress			K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	2.7.13.3	26
6531	21_Cellular response to stress	Response to osmotic stress			K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	2.7.13.3	26
1238	06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K12972	ghrA; glyoxylate/hydroxypyruvate reductase	1.1.1.79 1.1.1.81	1
5489	21_Cellular response to stress	Cellular response to osmotic stress			K07678	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA	2.7.13.3	24
5906	21_Cellular response to stress	Regulation of response to osmotic stress			K07678	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA	2.7.13.3	24
6469	21_Cellular response to stress	Response to osmotic stress			K07678	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA	2.7.13.3	24
5527	21_Cellular response to stress	Cellular response to osmotic stress			K11527	K11527; two-component system, sensor histidine kinase and response regulator	2.7.13.3	22
5944	21_Cellular response to stress	Regulation of response to osmotic stress			K11527	K11527; two-component system, sensor histidine kinase and response regulator	2.7.13.3	22
6507	21_Cellular response to stress	Response to osmotic stress			K11527	K11527; two-component system, sensor histidine kinase and response regulator	2.7.13.3	22
5544	21_Cellular response to stress	Cellular response to osmotic stress			K02478	K02478; two-component system, LytTR family, sensor kinase	2.7.13.3	11
5961	21_Cellular response to stress	Regulation of response to osmotic stress			K02478	K02478; two-component system, LytTR family, sensor kinase	2.7.13.3	11
6524	21_Cellular response to stress	Response to osmotic stress			K02478	K02478; two-component system, LytTR family, sensor kinase	2.7.13.3	11
2288	07_Nucleic acid metabolism	Purine metabolism			K01768	E4.6.1.1; adenylate cyclase	4.6.1.1	2
2077	07_Nucleic acid metabolism	Pyrimidine metabolism			K00758	deoA, TYMP; thymidine phosphorylase	2.4.2.4	1
2472	07_Nucleic acid metabolism	Degradation of pyrimidine bases			K00758	deoA, TYMP; thymidine phosphorylase	2.4.2.4	1
1023	06_Amino acid utilization biosynthesis metabolism	Alanine, aspartate and glutamate metabolism (contain asparagin as well)			K01955	carB, CPA2; carbamoyl-phosphate synthase large subunit	6.3.5.5	14
2107	07_Nucleic acid metabolism	Pyrimidine metabolism			K01955	carB, CPA2; carbamoyl-phosphate synthase large subunit	6.3.5.5	14
12	01_Fermentation	Bifidobacterium shunt			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
35	01_Fermentation	Acetylene degradation			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
98	01_Fermentation	Lysine fermentation to acetate and butyrate			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
155	01_Fermentation	Mixed acid fermentation			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
297	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
311	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate II		K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
319	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
325	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate II		K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
330	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
355	01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VII		K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
502	01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
774	02_Homoacetogenesis	Acetate formation from acetyl-coA I			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
5541	21_Cellular response to stress	Cellular response to osmotic stress			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
5958	21_Cellular response to stress	Regulation of response to osmotic stress			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
6521	21_Cellular response to stress	Response to osmotic stress			K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	6
5506	21_Cellular response to stress	Cellular response to osmotic stress			K07718	yesM; two-component system, sensor histidine kinase YesM	2.7.13.3	10
5923	21_Cellular response to stress	Regulation of response to osmotic stress			K07718	yesM; two-component system, sensor histidine kinase YesM	2.7.13.3	10
6486	21_Cellular response to stress	Response to osmotic stress			K07718	yesM; two-component system, sensor histidine kinase YesM	2.7.13.3	10
5465	21_Cellular response to stress	Cellular response to osmotic stress			K07638	envZ; two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ	2.7.13.3	5
5882	21_Cellular response to stress	Regulation of response to osmotic stress			K07638	envZ; two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ	2.7.13.3	5
6445	21_Cellular response to stress	Response to osmotic stress			K07638	envZ; two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ	2.7.13.3	5
5499	21_Cellular response to stress	Cellular response to osmotic stress			K07704	lytS; two-component system, LytTR family, sensor histidine kinase LytS	2.7.13.3	14
5916	21_Cellular response to stress	Regulation of response to osmotic stress			K07704	lytS; two-component system, LytTR family, sensor histidine kinase LytS	2.7.13.3	14
6479	21_Cellular response to stress	Response to osmotic stress			K07704	lytS; two-component system, LytTR family, sensor histidine kinase LytS	2.7.13.3	14
5501	21_Cellular response to stress	Cellular response to osmotic stress			K07709	zraS, hydH; two-component system, NtrC family, sensor histidine kinase HydH	2.7.13.3	21
5918	21_Cellular response to stress	Regulation of response to osmotic stress			K07709	zraS, hydH; two-component system, NtrC family, sensor histidine kinase HydH	2.7.13.3	21
6481	21_Cellular response to stress	Response to osmotic stress			K07709	zraS, hydH; two-component system, NtrC family, sensor histidine kinase HydH	2.7.13.3	21
