	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000134.1_31	QGNH01000134.1	QGNH01000134.1	31	23975	24607	1	D	YP_009859586.1	YP_009859586.1 glycoside hydrolase [Alteromonas phage vB_AcoS-R7M]	False	0.277	64.0	1.632e-10								Conserved hypothetical protein 2217 (DUF2460) [PF09343.13]								0	False	
QGNH01000134.1_32	QGNH01000134.1	QGNH01000134.1	32	24604	25485	1	D	YP_009126440.1	YP_009126440.1 tail assembly protein [Paracoccus phage vB_PmaS-R3]	False	0.258	105.0	2.766e-23								Phage conserved hypothetical protein BR0599 [PF09356.13]; Uncharacterized conserved protein (DUF2163) [PF09931.12]					VOG04054	REFSEQ tail assembly protein; Xu	Xu	0	False	
QGNH01000134.1_33	QGNH01000134.1	QGNH01000134.1	33	25482	25931	1	D							MER0720002	C40	MER0720002 - family C40 unassigned peptidases (Acinetobacter bereziniae) [C40.UPW]#C40#{peptidase unit: 9-136}~source N9ETL8~	False	128.0	4.842e-33	0.622									0	False	P
QGNH01000134.1_34	QGNH01000134.1	QGNH01000134.1	34	25932	29015	1	D	YP_006989127.1	YP_006989127.1 tail protein [Caulobacter phage CcrRogue]	False	0.287	65.0	2.798e-09								Putative phage tail protein [PF13550.9]					VOG04279	REFSEQ tail protein; Xu	Xu	0	False	
QGNH01000134.1_35	QGNH01000134.1	QGNH01000134.1	35	29026	30111	1	E	YP_009626206.1	YP_009626206.1 hypothetical protein FDJ62_gp21 [Acinetobacter phage Loki]	False	0.451	115.0	6.132000000000001e-26													VOG03837	REFSEQ head protein; Xu	Xu	0	False	
QGNH01000134.1_36	QGNH01000134.1	QGNH01000134.1	36	30154	30336	1	E																						0	False	
QGNH01000134.1_37	QGNH01000134.1	QGNH01000134.1	37	30351	30533	1	E																						0	False	
QGNH01000134.1_38	QGNH01000134.1	QGNH01000134.1	38	30472	31002	1	D	YP_007111899.1	YP_007111899.1 endolysin [Vibrio phage vB_VpaS_MAR10]	False	0.337	87.0	1.109e-18								Transglycosylase SLT domain [PF01464.23]	GH23	GH23 lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14)	3.2.1.17,3.2.1.17_or_4.2.2.n1,4.2.2.n1	GH23.hmm	VOG00923	REFSEQ endolysin; Xu	Xu	0	False	
QGNH01000134.1_39	QGNH01000134.1	QGNH01000134.1	39	31121	31702	1	E																			VOG04164	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000134.1_40	QGNH01000134.1	QGNH01000134.1	40	31733	31921	1	E																						0	False	
QGNH01000134.1_41	QGNH01000134.1	QGNH01000134.1	41	31975	32145	-1	E																						0	False	
QGNH01000134.1_42	QGNH01000134.1	QGNH01000134.1	42	32234	32413	-1	E																						0	False	
QGNH01000134.1_43	QGNH01000134.1	QGNH01000134.1	43	32416	32673	-1	E																						0	False	
QGNH01000134.1_44	QGNH01000134.1	QGNH01000134.1	44	32676	34319	-1	D														Type III restriction enzyme, res subunit [PF04851.18]; Helicase conserved C-terminal domain [PF00271.34]								0	False	
QGNH01000134.1_45	QGNH01000134.1	QGNH01000134.1	45	34469	34912	-1	E	YP_009812655.1	YP_009812655.1 hypothetical protein HOU23_gp049 [Microbacterium phage OneinaGillian]	False	0.311	71.0	1.525e-13													VOG03219	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000134.1_46	QGNH01000134.1	QGNH01000134.1	46	35146	35343	-1	E																						0	False	
QGNH01000134.1_47	QGNH01000134.1	QGNH01000134.1	47	35348	37852	-1	E	YP_009860213.1	YP_009860213.1 SMC family ATPase [Leptospira phage LE1]	False	0.18	136.0	8.035e-31													VOG00264	sp|P04522|EXO2_BPT4 Exonuclease subunit 2; XhXp	Xp;Xh	0	False	F
QGNH01000134.1_48	QGNH01000134.1	QGNH01000134.1	48	37849	39051	-1	E	YP_009860214.1	YP_009860214.1 metallophosphoesterase [Leptospira phage LE1]	False	0.185	72.0	6.58e-12													VOG00413	sp|P04521|EXO1_BPT4 Exonuclease subunit 1; Xp	Xp	0	False	F
QGNH01000134.1_49	QGNH01000134.1	QGNH01000134.1	49	39070	40140	-1	E																						0	False	F
QGNH01000134.1_50	QGNH01000134.1	QGNH01000134.1	50	40163	40348	-1	E																						0	False	F
QGNH01000134.1_51	QGNH01000134.1	QGNH01000134.1	51	40414	40602	-1	E																						0	False	F
QGNH01000134.1_52	QGNH01000134.1	QGNH01000134.1	52	40615	41064	-1	E																						0	False	F
QGNH01000134.1_53	QGNH01000134.1	QGNH01000134.1	53	41019	41198	-1	E																						0	False	F
QGNH01000134.1_54	QGNH01000134.1	QGNH01000134.1	54	41186	41374	-1	E																						0	False	F
QGNH01000134.1_55	QGNH01000134.1	QGNH01000134.1	55	41391	41579	-1	E																						0	False	F
QGNH01000134.1_56	QGNH01000134.1	QGNH01000134.1	56	41686	41766	-1	E																						0	False	F
