	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000501.1_15	QGNH01000501.1	QGNH01000501.1	15	17474	18430	1	E	YP_009015338.1	YP_009015338.1 major head protein [Bacillus phage G]	False	0.376	195.0	1.156e-53													VOG04117	sp|P19693|CAPSA_BPT3 Major capsid protein; XrXs	Xs;Xr	0	False	V
QGNH01000501.1_16	QGNH01000501.1	QGNH01000501.1	16	18537	19187	1	E																						0	False	
QGNH01000501.1_17	QGNH01000501.1	QGNH01000501.1	17	19220	19918	1	D	YP_010113000.1	YP_010113000.1 homing endonuclease [uncultured phage cr115_1]	False	0.446	102.0	4.783e-23								Putative endonuclease segE, GIY-YIG domain [PF19835.2]; GIY-YIG catalytic domain [PF01541.27]					VOG00100	REFSEQ homing endonuclease; Xu	Xu	0	False	
QGNH01000501.1_18	QGNH01000501.1	QGNH01000501.1	18	19909	20916	1	E																						0	False	
QGNH01000501.1_19	QGNH01000501.1	QGNH01000501.1	19	20916	21092	1	E																						0	False	
QGNH01000501.1_20	QGNH01000501.1	QGNH01000501.1	20	21092	21955	1	D														IPT/TIG domain [PF01833.27]								0	False	
QGNH01000501.1_21	QGNH01000501.1	QGNH01000501.1	21	21958	22290	1	E																						0	False	
QGNH01000501.1_22	QGNH01000501.1	QGNH01000501.1	22	22291	23349	1	E																						0	False	
QGNH01000501.1_23	QGNH01000501.1	QGNH01000501.1	23	23360	23977	1	E																						0	False	
QGNH01000501.1_24	QGNH01000501.1	QGNH01000501.1	24	23980	28377	1	E																						0	False	
QGNH01000501.1_25	QGNH01000501.1	QGNH01000501.1	25	28387	28998	1	E																						0	False	
QGNH01000501.1_26	QGNH01000501.1	QGNH01000501.1	26	28999	29643	1	D														Bacterial Ig-like domain (group 3) [PF16640.8]								0	False	
QGNH01000501.1_27	QGNH01000501.1	QGNH01000501.1	27	29699	29914	1	E																						0	False	
QGNH01000501.1_28	QGNH01000501.1	QGNH01000501.1	28	29934	30473	1	D	YP_010113000.1	YP_010113000.1 homing endonuclease [uncultured phage cr115_1]	False	0.404	89.0	2.576e-19								Putative endonuclease segE, GIY-YIG domain [PF19835.2]; GIY-YIG catalytic domain [PF01541.27]					VOG00100	REFSEQ homing endonuclease; Xu	Xu	0	False	
QGNH01000501.1_29	QGNH01000501.1	QGNH01000501.1	29	30460	35703	1	E																						0	False	
QGNH01000501.1_30	QGNH01000501.1	QGNH01000501.1	30	35931	36668	1	E																						0	False	
QGNH01000501.1_31	QGNH01000501.1	QGNH01000501.1	31	36682	37440	1	E	YP_009276998.1	YP_009276998.1 group I intron endonuclease [Ralstonia phage RSP15]	False	0.358	73.0	4.976e-13																0	False	
QGNH01000501.1_32	QGNH01000501.1	QGNH01000501.1	32	37403	38584	1	E																						0	False	
QGNH01000501.1_33	QGNH01000501.1	QGNH01000501.1	33	38659	39462	-1	E																						0	False	
QGNH01000501.1_34	QGNH01000501.1	QGNH01000501.1	34	39480	40094	1	D														T5orf172 domain [PF10544.12]; Meiotically up-regulated gene 113 [PF13455.9]								0	False	
QGNH01000501.1_35	QGNH01000501.1	QGNH01000501.1	35	40124	40477	-1	E																						0	False	
QGNH01000501.1_36	QGNH01000501.1	QGNH01000501.1	36	40480	40818	-1	E																						0	False	
QGNH01000501.1_37	QGNH01000501.1	QGNH01000501.1	37	40819	41391	1	E																						0	False	
QGNH01000501.1_38	QGNH01000501.1	QGNH01000501.1	38	41393	42133	1	E	YP_010112642.1	YP_010112642.1 homing endonuclease [uncultured phage cr6_1]	False	0.411	89.0	1.768e-18													VOG01952	REFSEQ GIY-YIG nuclease; Xu	Xu	0	False	
QGNH01000501.1_39	QGNH01000501.1	QGNH01000501.1	39	42136	43560	1	E																						0	False	
QGNH01000501.1_40	QGNH01000501.1	QGNH01000501.1	40	43561	44079	1	E																						0	False	
QGNH01000501.1_41	QGNH01000501.1	QGNH01000501.1	41	44089	47730	1	E																						1	False	
QGNH01000501.1_42	QGNH01000501.1	QGNH01000501.1	42	47745	50912	1	E																						0	False	
QGNH01000501.1_43	QGNH01000501.1	QGNH01000501.1	43	51283	51972	1	E	YP_009612125.1	YP_009612125.1 HNH endonuclease [Agrobacterium phage Atu_ph07]	False	0.351	89.0	1.145e-18													VOG01246	REFSEQ HNH endonuclease; Xu	Xu	1	False	
QGNH01000501.1_44	QGNH01000501.1	QGNH01000501.1	44	51959	54934	1	D	YP_008409402.1	YP_008409402.1 exonuclease [Mycobacterium phage DrDrey]	False	0.335	202.0	4.407e-51	MER0295513	N09	MER0295513 - family N9 unassigned peptide lyases (Fibrella aestuarina) [N09.UPW]#N09#{peptidase unit: 253-594}~source CCH00139~	False	104.0	1.175e-20	0.234	Homing endonuclease [PF05204.17]; Hom_end-associated Hint [PF05203.19]; LAGLIDADG-like domain [PF14528.9]					VOG00428	sp|B6YUE9|CDC6_THEON ORC1-type DNA replication protein; XhXr	Xh;Xr	0	False	VP
QGNH01000501.1_45	QGNH01000501.1	QGNH01000501.1	45	55030	55350	1	E																						0	False	
QGNH01000501.1_46	QGNH01000501.1	QGNH01000501.1	46	55636	55857	1	E																						0	False	
QGNH01000501.1_47	QGNH01000501.1	QGNH01000501.1	47	55861	56232	1	E																						0	False	
QGNH01000501.1_48	QGNH01000501.1	QGNH01000501.1	48	56371	57654	1	E																						0	False	
QGNH01000501.1_49	QGNH01000501.1	QGNH01000501.1	49	57820	58578	1	D														CHC2 zinc finger [PF01807.23]								0	False	
QGNH01000501.1_50	QGNH01000501.1	QGNH01000501.1	50	58668	62246	1	D	YP_001467864.1	YP_001467864.1 DNA polymerase [Thermus phage P23-45]	False	0.174	94.0	4.772e-18								DNA polymerase family A [PF00476.23]					VOG00075	sp|O64235|DPOL_BPMD2 DNA polymerase; XhXr	Xh;Xr	0	False	V
QGNH01000501.1_51	QGNH01000501.1	QGNH01000501.1	51	62688	63416	1	E																						0	False	
QGNH01000501.1_52	QGNH01000501.1	QGNH01000501.1	52	63707	66223	1	E	YP_009015325.1	YP_009015325.1 portal protein [Bacillus phage G]	False	0.302	124.0	2.589e-27																0	False	
QGNH01000501.1_53	QGNH01000501.1	QGNH01000501.1	53	66227	69754	1	D														Fibronectin type III domain [PF00041.24]								0	False	F
QGNH01000501.1_54	QGNH01000501.1	QGNH01000501.1	54	69772	70776	1	E																						0	False	F
QGNH01000501.1_55	QGNH01000501.1	QGNH01000501.1	55	71149	71238	1	E																						0	False	F
